"tree","ntip","sf","annuals","perennials","missing_data"
"Alysseae-Huang_et_al-2019",150,0.52,0.17,0.74,0.09
"Antirrhineae-Gorospe_et_al-2020",331,1,0.33,0.38,0.29
"Apioideae-Banasiak_et_al-2013",1189,0.41,0.14,0.53,0.33
"Arabideae-Huang_et_al-2019",344,0.6,0.13,0.69,0.19
"Balsamiaceae-Rose_et_al-2018",232,NA,0.4,0.35,0.25
"Brassiceae-Huang_et_al-2019",188,0.52,0.42,0.41,0.16
"Cardamineae-Huang_et_al-2019",159,0.37,0.3,0.57,0.13
"Cardueae-Park_&_Potter-2015",191,0.08,0.28,0.54,0.18
"CES-Salariato_et_al-2016",67,0.9,0.31,0.54,0.15
"Chamaecrista-Vasconcelos_et_al-2020",105,0.32,0.04,0.8,0.16
"Chorisporeae-Huang_et_al-2019",54,0.92,0.22,0.65,0.13
"Croton-Arevalo_et_al-2017",304,0.24,0.06,0.88,0.07
"Erysimeae-Huang_et_al-2019",107,0.4,0.42,0.44,0.14
"Euclidieae-Huang_et_al-2019",72,0.46,0.36,0.64,0
"Eumalvoideae-Hoorn_et_al-2020",158,0.09,0.16,0.6,0.24
"Gesneriaceae-Roalson_&_Roberts-2016",762,0.23,0.02,0.7,0.28
"Grewioideae-Hoorn_et_al-2020",90,0.13,0.11,0.73,0.16
"Heliophileae-Huang_et_al-2019",54,0.56,0.56,0.35,0.09
"Hypericum-Nurk_et_al-2013",98,0.19,0.11,0.83,0.06
"Lepidieae-Huang_et_al-2019",137,0.49,0.33,0.38,0.29
"Lupinus-Drummond_et_al-2012",118,0.45,0.43,0.57,0
"Lysimachieae-Yan_et_al-2018",123,0.5,0.16,0.77,0.07
"Onagraceae-Freyman_&_Hohna-2018",292,0.45,0.36,0.62,0.02
"Orobanchaceae-Schneider_&_Moore-2017",139,0.08,0.34,0.54,0.12
"Poaceae-Spriggs_et_al-2014",3542,0.33,0.16,0.61,0.24
"Polemoniaceae-Rose_et_al-2018",271,NA,0.47,0.27,0.26
"Primulaceae-deVos_et_al-2014",264,0.38,0.05,0.76,0.19
"Rubieae-Ehrendorfer_et_al-2018",166,0.18,0.17,0.66,0.16
"Salvia-Kriebel_et_al-2020",519,0.52,0.07,0.72,0.22
"Solanaceae-Sarkinen_et_al-2013",1067,0.4,0.11,0.65,0.24
"Spermacoceae-Neupane_et_al-2017",289,0.36,0.3,0.46,0.24
"Thelypodieae-Huang_et_al-2019",127,0.46,0.49,0.31,0.2
