"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Sairocarpus nuttallianus (A.DC.) D.A.Sutton","15","5.648016","0.008086","0.002088","4e-06"
"Neogaerrhinum filipes (A.Gray) Rothm.","14","5.655316","0.00184","0.000492","4e-06"
"Linaria texana Scheele","75","5.645327","0.008725","0.001007","1e-06"
"Linaria canadensis (L.) Chaz.","106","5.639149","0.006565","0.000638","1e-06"
"Linaria vulgaris Mill.","670","5.634161","0.006172","0.000238","0"
"Chaenorhinum minus (L.) Lange","313","5.633401","0.006664","0.000377","0"
"Linaria incarnata (Vent.) Spreng.","73","5.634621","0.008334","0.000975","1e-06"
"Linaria repens (L.) Mill.","166","5.63305","0.006282","0.000488","0"
"Linaria supina (L.) Chaz.","91","5.635946","0.006694","0.000702","1e-06"
"Misopates orontium (L.) Raf.","189","5.633089","0.010599","0.000771","0"
"Linaria salzmannii Boiss.","4","5.644383","0.002955","0.001478","1.4e-05"
"Linaria nigricans Lange","2","5.634967","0.002525","0.001785","2.7e-05"
"Linaria intricata Coincy","2","5.644562","0.002001","0.001415","2.7e-05"
"Linaria oblongifolia subsp. haenseleri (Boiss. & Reut.) Valdés","14","5.642373","0.005754","0.001538","4e-06"
"Chaenorhinum exile (Coss. & Kralik) Lange","13","5.640738","0.004532","0.001257","4e-06"
"Linaria verticillata subsp. cuartanensis (Degen & Hervier) L.Sáez & M.B.Crespo","18","5.642641","0.008551","0.002015","3e-06"
"Misopates microcarpum (Pomel) D.A.Sutton","14","5.639858","0.006662","0.00178","4e-06"
"Linaria triphylla (L.) Mill.","42","5.626981","0.010812","0.001668","1e-06"
"Linaria hirta (L.) Moench","37","5.642934","0.004981","0.000819","1e-06"
"Linaria pedunculata (L.) Chaz.","14","5.633156","0.007422","0.001984","4e-06"
"Antirrhinum majus L.","69","5.637112","0.007463","0.000898","1e-06"
"Gadoria falukei Güemes & Mota","1","5.637465",NA,NA,"5.4e-05"
"Anarrhinum laxiflorum Boiss.","16","5.641692","0.00582","0.001455","3e-06"
"Linaria latifolia Desf.","11","5.645899","0.005404","0.001629","5e-06"
"Chaenorhinum reyesii (C.Vicioso & Pau) Benedí","15","5.645174","0.001833","0.000473","4e-06"
"Linaria benitoi Fern.Casas","3","5.633394","0.008844","0.005106","1.8e-05"
"Linaria lilacina Lange","4","5.645083","0.005324","0.002662","1.4e-05"
"Antirrhinum litigiosum Pau","27","5.641703","0.005271","0.001014","2e-06"
"Antirrhinum hispanicum Chav.","13","5.644969","0.002085","0.000578","4e-06"
"Linaria verticillata Boiss.","8","5.644324","0.00649","0.002295","7e-06"
"Linaria micrantha (Cav.) Hoffmanns. & Link","60","5.637884","0.011144","0.001439","1e-06"
"Linaria oligantha Lange","9","5.639309","0.00555","0.00185","6e-06"
"Linaria glauca subsp. olcadium Valdés & D.A.Webb","1","5.64633",NA,NA,"5.4e-05"
"Linaria arvensis (L.) Desf.","82","5.637138","0.007356","0.000812","1e-06"
"Antirrhinum charidemi Lange","3","5.640619","0.01173","0.006772","1.8e-05"
"Kickxia spuria subsp. integrifolia (Brot.) R.Fern.","65","5.637455","0.008712","0.001081","1e-06"
"Linaria amoi Campo ex Amo","2","5.643501","0.002003","0.001416","2.7e-05"
"Chaenorhinum robustum Loscos","17","5.6445","0.001582","0.000384","3e-06"
"Antirrhinum controversum Pau","10","5.64075","0.00699","0.00221","5e-06"
"Antirrhinum mollissimum (Pau) Rothm.","4","5.643851","0.003613","0.001806","1.4e-05"
"Linaria tristis subsp. pectinata (Pau & Font Quer) Maire","7","5.64479","0.00779","0.002944","8e-06"
"Linaria platycalyx Boiss.","2","5.642084","0","0","2.7e-05"
"Chaenorhinum raveyi (Boiss.) Pau","3","5.642909","0.002565","0.001481","1.8e-05"
"Chaenorhinum macropodum (Boiss. & Reut.) Lange","7","5.644851","0.005947","0.002248","8e-06"
"Antirrhinum siculum Mill.","16","5.628845","0.011034","0.002758","3e-06"
"Chaenorhinum grandiflorum (Coss.) Willk.","5","5.640793","0.005905","0.002641","1.1e-05"
"Linaria viscosa (L.) Dum.Cours.","28","5.641652","0.005536","0.001046","2e-06"
"Linaria nivea Boiss. & Reut.","12","5.645206","0.003307","0.000955","5e-06"
"Kickxia elatine subsp. crinita (Mabille) Greuter","55","5.628338","0.010842","0.001462","1e-06"
