"species","life_form","n","mean","sd","se"
"Acuston lunarioides","no_life_form_on_database",NA,NA,NA,NA
"Alyssoides utriculata","perennial",24,28.0833333333333,14.3342601655179,2.92596860381847
"Alyssum alyssoides","annual",230,31.2086956521739,14.2277149132843,0.938147739486171
"Alyssum aurantiacum","perennial",NA,NA,NA,NA
"Alyssum baumgartnerianum","perennial",NA,NA,NA,NA
"Alyssum caespitosum","no_life_form_on_database",NA,NA,NA,NA
"Alyssum contemptum","annual",NA,NA,NA,NA
"Alyssum corningii","perennial",NA,NA,NA,NA
"Alyssum cuneifolium","perennial",10,25.3,8.26034704678522,2.61215109312868
"Alyssum dasycarpum","annual",8,41.625,18.7611871388018,6.6330813244783
"Alyssum diffusum subsp. garganicum","perennial",NA,NA,NA,NA
"Alyssum doerfleri","perennial",NA,NA,NA,NA
"Alyssum erosulum","perennial",NA,NA,NA,NA
"Alyssum fastigiatum","perennial",2,36,4.24264068711928,3
"Alyssum foliosum","annual",10,81.4,17.2446449014695,5.45323553294535
"Alyssum gmelinii","perennial",8,31.375,5.9985117201805,2.12079415718331
"Alyssum granatense","annual",61,45,14.5063204615551,1.85734401120425
"Alyssum harputicum","perennial",1,65,NA,NA
"Alyssum hirsutum","annual",34,29.8235294117647,15.8084568626383,2.71112798522886
"Alyssum lanigerum","no_life_form_on_database",NA,NA,NA,NA
"Alyssum lenense","perennial",89,63.3483146067416,33.9635838146722,3.60013268409708
"Alyssum lepidotum","perennial",NA,NA,NA,NA
"Alyssum minutum","annual",52,48.5961538461538,21.647134135714,3.0019173881986
"Alyssum misirdalianum","perennial",NA,NA,NA,NA
"Alyssum montanum","perennial",74,30.6081081081081,15.5931294736712,1.81266448194093
"Alyssum niveum","perennial",NA,NA,NA,NA
"Alyssum ochroleucum","perennial",NA,NA,NA,NA
"Alyssum orophilum","perennial",NA,NA,NA,NA
"Alyssum paphlagonicum","perennial",NA,NA,NA,NA
"Alyssum persicum","perennial",4,59.25,20.271079563424,10.135539781712
