"species","life_form","n","mean","sd","se"
"Acuston lunarioides","no_life_form_on_database",NA,NA,NA,NA
"Alyssoides utriculata","perennial",24,71.5,51.1765911160647,10.4463779174508
"Alyssum alyssoides","annual",233,127.107296137339,63.623634650907,4.16812289149357
"Alyssum aurantiacum","perennial",NA,NA,NA,NA
"Alyssum baumgartnerianum","perennial",NA,NA,NA,NA
"Alyssum caespitosum","no_life_form_on_database",NA,NA,NA,NA
"Alyssum contemptum","annual",NA,NA,NA,NA
"Alyssum corningii","perennial",NA,NA,NA,NA
"Alyssum cuneifolium","perennial",10,28.9,43.3139700327735,13.6970799807842
"Alyssum dasycarpum","annual",8,116.5,80.4860236314355,28.4561065502644
"Alyssum diffusum subsp. garganicum","perennial",NA,NA,NA,NA
"Alyssum doerfleri","perennial",NA,NA,NA,NA
"Alyssum erosulum","perennial",NA,NA,NA,NA
"Alyssum fastigiatum","perennial",2,73,15.556349186104,11
"Alyssum foliosum","annual",10,61.8,16.3013291891592,5.15493291259288
"Alyssum gmelinii","perennial",8,185.375,18.3531818961804,6.48882968756969
"Alyssum granatense","annual",62,102.209677419355,38.6553230897495,4.90923094163159
"Alyssum harputicum","perennial",1,104,NA,NA
"Alyssum hirsutum","annual",34,127.529411764706,69.0810833617378,11.8473080566497
"Alyssum lanigerum","no_life_form_on_database",NA,NA,NA,NA
"Alyssum lenense","perennial",89,174.47191011236,33.2306299996501,3.52243973509049
"Alyssum lepidotum","perennial",NA,NA,NA,NA
"Alyssum minutum","annual",52,58.2115384615385,32.7434091787271,4.54069387413072
"Alyssum misirdalianum","perennial",NA,NA,NA,NA
"Alyssum montanum","perennial",74,132.27027027027,59.7889661551239,6.95032613846729
"Alyssum niveum","perennial",NA,NA,NA,NA
"Alyssum ochroleucum","perennial",NA,NA,NA,NA
"Alyssum orophilum","perennial",NA,NA,NA,NA
"Alyssum paphlagonicum","perennial",NA,NA,NA,NA
"Alyssum persicum","perennial",4,99.25,88.1074155032746,44.0537077516373
"Alyssum pluscanescens","no_life_form_on_database",NA,NA,NA,NA
"Alyssum praecox","perennial",NA,NA,NA,NA
"Alyssum pseudomouradicum","no_life_form_on_database",NA,NA,NA,NA
"Alyssum siculum","annual",13,52.7692307692308,35.8146940192473,9.93320890011151
"Alyssum simplex","annual",103,99.1650485436893,50.1329794562849,4.93974924598866
"Alyssum stapfii","annual",11,52.4545454545455,52.7055284317758,15.8913147441463
"Alyssum stribryni","no_life_form_on_database",NA,NA,NA,NA
"Alyssum strigosum","annual",30,102.666666666667,44.0683899014446,8.04575040731803
"Alyssum sulphureum","perennial",NA,NA,NA,NA
"Alyssum szovitsianum","annual",12,71.5,41.8101770994923,12.0695585016289
"Alyssum tetrastemon","perennial",NA,NA,NA,NA
"Alyssum thymops","perennial",NA,NA,NA,NA
"Alyssum trichostachyum","perennial",NA,NA,NA,NA
"Alyssum turkestanicum","annual",24,133.375,74.8342007954628,15.2754672714886
"Alyssum umbellatum","annual",14,86.7142857142857,27.0936511763537,7.24108286133432
"Alyssum wulfenianum","perennial",NA,NA,NA,NA
