"species","life_form","n","mean","sd","se"
"Acanthorrhinum ramosissimum","perennial",NA,NA,NA,NA
"Albraunia foveopilosa","annual",NA,NA,NA,NA
"Anarrhinum bellidifolium","annual",NA,NA,NA,NA
"Anarrhinum corsicum","perennial",1,41,NA,NA
"Anarrhinum duriminium","annual",5,67,23.259406699226,10.4019228991567
"Anarrhinum forskaohlii","perennial",NA,NA,NA,NA
"Anarrhinum fruticosum","perennial",NA,NA,NA,NA
"Anarrhinum laxiflorum","annual",15,91.2666666666667,17.4334107254952,4.5012872938291
"Anarrhinum longipedicellatum","annual",1,82,NA,NA
"Anarrhinum pedatum","annual",11,78.7272727272727,20.7175814664304,6.2465858443428
"Antirrhinum australe","perennial",15,96.3333333333333,17.8111789401515,4.59882662743513
"Antirrhinum charidemi","perennial",3,100.666666666667,5.85946527708232,3.38296385503074
"Antirrhinum cirrhigerum","perennial",NA,NA,NA,NA
"Antirrhinum controversum","perennial",10,77.3,24.7747631449604,7.83446800292712
"Antirrhinum graniticum","perennial",25,95.08,6.66408283261845,1.33281656652369
"Antirrhinum grosii","perennial",2,94,1.4142135623731,1
"Antirrhinum hispanicum","perennial",12,95.6666666666667,10.2454720227863,2.95761301516523
"Antirrhinum latifolium","perennial",16,68.75,14.0783521763025,3.51958804407561
"Antirrhinum linkianum","no_life_form_on_database",2,43.5,3.53553390593274,2.5
"Antirrhinum litigiosum","no_life_form_on_database",27,86.5185185185185,17.484873397334,3.36496545423243
"Antirrhinum lopesianum","no_life_form_on_database",2,92,1.4142135623731,1
"Antirrhinum majus","perennial",45,77.2444444444444,22.5137892650417,3.35615754851589
"Antirrhinum meonanthum","perennial",23,84.0434782608696,14.9893242641966,3.12549016606045
"Antirrhinum microphyllum","perennial",1,96,NA,NA
"Antirrhinum molle","perennial",6,89.6666666666667,13.5744858711727,5.54176065083211
"Antirrhinum mollissimum","no_life_form_on_database",3,94.6666666666667,16.1658075373095,9.33333333333333
"Antirrhinum onubense","no_life_form_on_database",3,76.6666666666667,36.950417228136,21.3333333333333
"Antirrhinum pertegasii","perennial",3,82.3333333333333,8.38649708360608,4.84194634877798
"Antirrhinum pulverulentum","perennial",6,97,3.57770876399966,1.46059348668044
"Antirrhinum rothmaleri","perennial",NA,NA,NA,NA
"Antirrhinum sempervirens","perennial",8,84,11.0324197578902,3.9005494118503
"Antirrhinum siculum","perennial",9,44.3333333333333,18.0969610708539,6.03232035695129
"Antirrhinum subbaeticum","no_life_form_on_database",1,102,NA,NA
"Antirrhinum tortuosum","perennial",9,78.2222222222222,22.6427569974251,7.54758566580837
"Antirrhinum valentinum","perennial",5,65.2,21.1352785645233,9.45198391873368
"Asarina procumbens","perennial",4,68.5,10.3762549441823,5.18812747209113
"Chaenorhinum calycinum","annual",NA,NA,NA,NA
"Chaenorhinum crassifolium","no_life_form_on_database",13,88.6923076923077,11.1309225088236,3.08716244990614
"Chaenorhinum cryptarum","annual",NA,NA,NA,NA
"Chaenorhinum exile","no_life_form_on_database",13,86.3076923076923,13.9844235692467,3.87858124897893
"Chaenorhinum flexuosum","perennial",4,94.5,33.1109246825475,16.5554623412737
"Chaenorhinum formenterae","no_life_form_on_database",NA,NA,NA,NA
"Chaenorhinum glareosum","perennial",1,103,NA,NA
"Chaenorhinum grandiflorum","annual",4,80.5,15.7162336455017,7.85811682275086
"Chaenorhinum johnstonii","annual",4,121.25,6.60176744011279,3.30088372005639
"Chaenorhinum litorale","annual",NA,NA,NA,NA
"Chaenorhinum litorale subsp. pterosporum","annual",NA,NA,NA,NA
"Chaenorhinum macropodum","perennial",5,102.6,4.50555213042752,2.01494416796099
"Chaenorhinum minus","annual",280,64.8857142857143,18.5091610425411,1.10613394064113
"Chaenorhinum origanifolium","perennial",27,86.2962962962963,11.8120369337476,2.27322756779232
"Chaenorhinum raveyi","annual",2,89,8.48528137423857,6
