"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Acanthorrhinum ramosissimum","perennial",NA,NA,NA,NA,NA
"Albraunia foveopilosa","annual",NA,NA,NA,NA,NA
"Anarrhinum bellidifolium","annual",NA,NA,NA,NA,NA
"Anarrhinum corsicum","perennial",1,9.024733,NA,NA,0.304592
"Anarrhinum duriminium","annual",5,9.388327,0.137745,0.061601,0.060918
"Anarrhinum forskaohlii","perennial",NA,NA,NA,NA,NA
"Anarrhinum fruticosum","perennial",NA,NA,NA,NA,NA
"Anarrhinum laxiflorum","annual",15,8.250944,0.434794,0.112263,0.020306
"Anarrhinum longipedicellatum","annual",1,9.319105,NA,NA,0.304592
"Anarrhinum pedatum","annual",11,8.189143,0.360052,0.10856,0.02769
"Antirrhinum australe","perennial",15,8.083361,0.332696,0.085902,0.020306
"Antirrhinum charidemi","perennial",3,8.256797,0.60857,0.351358,0.101531
"Antirrhinum cirrhigerum","perennial",NA,NA,NA,NA,NA
"Antirrhinum controversum","perennial",10,7.8291,0.287764,0.090999,0.030459
"Antirrhinum graniticum","perennial",25,8.332532,0.433107,0.086621,0.012184
"Antirrhinum grosii","perennial",2,8.732964,1.057096,0.74748,0.152296
"Antirrhinum hispanicum","perennial",12,8.135493,0.318066,0.091818,0.025383
"Antirrhinum latifolium","perennial",16,8.84792,0.266262,0.066566,0.019037
"Antirrhinum linkianum","no_life_form_on_database",2,8.599041,0.098043,0.069327,0.152296
"Antirrhinum litigiosum","no_life_form_on_database",27,8.038803,0.294129,0.056605,0.011281
"Antirrhinum lopesianum","no_life_form_on_database",2,8.893503,0.099415,0.070297,0.152296
"Antirrhinum majus","perennial",44,8.460616,0.429898,0.06481,0.006923
"Antirrhinum meonanthum","perennial",23,8.875418,0.501625,0.104596,0.013243
"Antirrhinum microphyllum","perennial",1,7.986845,NA,NA,0.304592
"Antirrhinum molle","perennial",6,8.364332,0.421938,0.172255,0.050765
"Antirrhinum mollissimum","no_life_form_on_database",3,8.166583,0.328215,0.189495,0.101531
"Antirrhinum onubense","no_life_form_on_database",3,8.12605,0.091265,0.052692,0.101531
"Antirrhinum pertegasii","perennial",3,8.560634,0.252825,0.145969,0.101531
"Antirrhinum pulverulentum","perennial",6,7.958439,0.130614,0.053323,0.050765
"Antirrhinum rothmaleri","perennial",NA,NA,NA,NA,NA
"Antirrhinum sempervirens","perennial",8,8.818645,0.65704,0.232299,0.038074
"Antirrhinum siculum","perennial",8,8.372664,0.590009,0.2086,0.038074
"Antirrhinum subbaeticum","no_life_form_on_database",1,7.872455,NA,NA,0.304592
"Antirrhinum tortuosum","perennial",9,8.246629,0.401506,0.133835,0.033844
"Antirrhinum valentinum","perennial",5,7.842891,0.355787,0.159113,0.060918
"Asarina procumbens","perennial",4,8.705639,0.328674,0.164337,0.076148
"Chaenorhinum calycinum","annual",NA,NA,NA,NA,NA
"Chaenorhinum crassifolium","no_life_form_on_database",13,8.132454,0.455805,0.126418,0.02343
"Chaenorhinum cryptarum","annual",NA,NA,NA,NA,NA
"Chaenorhinum exile","no_life_form_on_database",13,7.762339,0.198696,0.055108,0.02343
"Chaenorhinum flexuosum","perennial",4,8.43692,0.367156,0.183578,0.076148
"Chaenorhinum formenterae","no_life_form_on_database",NA,NA,NA,NA,NA
"Chaenorhinum glareosum","perennial",1,8.838697,NA,NA,0.304592
"Chaenorhinum grandiflorum","annual",4,7.719928,0.373736,0.186868,0.076148
"Chaenorhinum johnstonii","annual",4,7.267745,0.501724,0.250862,0.076148
"Chaenorhinum litorale","annual",NA,NA,NA,NA,NA
"Chaenorhinum litorale subsp. pterosporum","annual",NA,NA,NA,NA,NA
"Chaenorhinum macropodum","perennial",5,8.012867,0.178466,0.079812,0.060918
"Chaenorhinum minus","annual",276,8.957283,0.441382,0.026568,0.001104
"Chaenorhinum origanifolium","perennial",27,8.487829,0.57831,0.111296,0.011281
"Chaenorhinum raveyi","annual",2,8.308722,0.212423,0.150206,0.152296
"Chaenorhinum reyesii","no_life_form_on_database",13,7.980579,0.206568,0.057292,0.02343
"Chaenorhinum robustum","annual",15,8.020032,0.293734,0.075842,0.020306
"Chaenorhinum rubrifolium","annual",NA,NA,NA,NA,NA
"Chaenorhinum segoviense","no_life_form_on_database",NA,NA,NA,NA,NA
"Chaenorhinum serpyllifolium","annual",NA,NA,NA,NA,NA
"Chaenorhinum spicatum","no_life_form_on_database",NA,NA,NA,NA,NA
"Chaenorhinum tenellum","perennial",1,7.693937,NA,NA,0.304592
"Chaenorhinum tuberculatum","annual",1,7.748891,NA,NA,0.304592
"Chaenorhinum villosum","perennial",20,8.041997,0.33495,0.074897,0.01523
"Cymbalaria aequitriloba","perennial",7,8.850881,0.323661,0.122332,0.043513
"Cymbalaria fragilis","perennial",2,8.330851,0.007156,0.00506,0.152296
"Cymbalaria glutinosa","perennial",1,8.810758,NA,NA,0.304592
"Cymbalaria glutinosa subsp. brevicalcarata","perennial",1,8.939974,NA,NA,0.304592
"Cymbalaria hepaticifolia","perennial",2,8.866917,0.239101,0.16907,0.152296
"Cymbalaria longipes","perennial",7,8.149264,0.180669,0.068286,0.043513
"Cymbalaria microcalyx","perennial",10,8.498898,0.295377,0.093406,0.030459
"Cymbalaria microcalyx subsp. acutiloba","no_life_form_on_database",NA,NA,NA,NA,NA
"Cymbalaria microcalyx subsp. ebelii","no_life_form_on_database",NA,NA,NA,NA,NA
"Cymbalaria microcalyx subsp. minor","no_life_form_on_database",1,9.019301,NA,NA,0.304592
"Cymbalaria muelleri","perennial",NA,NA,NA,NA,NA
"Cymbalaria muralis","perennial",20,9.028709,0.374422,0.083723,0.01523
"Cymbalaria muralis f. visianii","perennial",NA,NA,NA,NA,NA
"Cymbalaria pallida","perennial",NA,NA,NA,NA,NA
"Cymbalaria pubescens","perennial",4,8.176261,0.133528,0.066764,0.076148
"Epixiphium wislizenii","perennial",13,7.158024,0.252252,0.069962,0.02343
"Gadoria falukei","no_life_form_on_database",1,7.550661,NA,NA,0.304592
"Galvezia ballii","no_life_form_on_database",NA,NA,NA,NA,NA
"Galvezia elisensii","no_life_form_on_database",NA,NA,NA,NA,NA
"Galvezia fruticosa","perennial",7,6.110111,1.466758,0.554382,0.043513
"Galvezia lanceolata","perennial",NA,NA,NA,NA,NA
"Galvezia leucantha","no_life_form_on_database",NA,NA,NA,NA,NA
"Galvezia leucantha subsp. porphyrantha","no_life_form_on_database",1,7.003974,NA,NA,0.304592
"Galvezia leucantha subsp. pubescens","no_life_form_on_database",NA,NA,NA,NA,NA
"Gambelia juncea","perennial",21,6.970369,0.582459,0.127103,0.014504
"Gambelia speciosa","perennial",4,7.619116,0.351572,0.175786,0.076148
"Holmgrenanthe petrophila","perennial",1,6.142037,NA,NA,0.304592
"Howelliella ovata","annual",NA,NA,NA,NA,NA
"Kickxia aegyptiaca","perennial",10,6.487903,1.108362,0.350495,0.030459
"Kickxia aegyptiaca subsp. fruticosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Kickxia caucasica","annual",NA,NA,NA,NA,NA
"Kickxia cirrhosa","annual",29,8.221455,0.304668,0.056575,0.010503
"Kickxia commutata","perennial",34,8.249304,0.40071,0.068721,0.008959
"Kickxia elatine","annual",104,8.748974,0.508568,0.049869,0.002929
"Kickxia elatine subsp. crinita","no_life_form_on_database",42,8.275379,0.586828,0.09055,0.007252
"Kickxia floribunda","perennial",NA,NA,NA,NA,NA
"Kickxia lanigera","annual",NA,NA,NA,NA,NA
"Kickxia scariosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Kickxia sieberi","no_life_form_on_database",NA,NA,NA,NA,NA
"Kickxia spuria","annual",92,8.614163,0.513781,0.053565,0.003311
"Kickxia spuria subsp. integrifolia","annual",57,8.242748,0.390646,0.051742,0.005344
"Limaria orientalis","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria accitensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria aeruginea","annual",4,8.357485,0.212708,0.106354,0.076148
"Linaria albifrons","annual",NA,NA,NA,NA,NA
"Linaria algarviana","annual",1,8.211754,NA,NA,0.304592
"Linaria almijarensis","perennial",1,8.367068,NA,NA,0.304592
"Linaria alpina","annual",43,9.21526,0.564317,0.086058,0.007084
"Linaria altaica","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria amethystea","no_life_form_on_database",39,8.344712,0.432614,0.069274,0.00781
"Linaria amethystea f. broussonetii","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria amoi","perennial",2,8.032923,0.123557,0.087368,0.152296
"Linaria angustissima","perennial",20,8.884375,0.397277,0.088834,0.01523
"Linaria anticaria","perennial",8,8.180134,0.209434,0.074046,0.038074
"Linaria antilibanotica","perennial",NA,NA,NA,NA,NA
"Linaria arenaria","annual",NA,NA,NA,NA,NA
"Linaria armeniaca","annual",2,7.978137,0.003152,0.002229,0.152296
"Linaria arvensis","annual",64,8.374212,0.505579,0.063197,0.004759
"Linaria atlantica","no_life_form_on_database",4,7.704514,0.169162,0.084581,0.076148
"Linaria atrofusca","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria azerbaijanensis","perennial",NA,NA,NA,NA,NA
"Linaria badalii","annual",21,8.460132,0.519259,0.113312,0.014504
"Linaria baligaliensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Linaria bamianica","perennial",4,7.69161,0.34292,0.17146,0.076148
"Linaria becerrae","annual",NA,NA,NA,NA,NA
"Linaria benitoi","no_life_form_on_database",2,7.719487,0.342074,0.241883,0.152296
"Linaria bipartita","annual",7,7.939302,0.437374,0.165312,0.043513
"Linaria bipunctata","annual",NA,NA,NA,NA,NA
"Linaria bordiana","annual",2,7.770948,0.046521,0.032895,0.152296
"Linaria bordiana subsp. kralikiana","no_life_form_on_database",3,9.017543,0.122847,0.070926,0.101531
"Linaria boushehrensis","annual",NA,NA,NA,NA,NA
