"species","life_form","n","mean","sd","se"
"Aciphylla aurea","perennial",15,286.8,151.263818731192,39.0561500553096
"Aciphylla colensoi","perennial",15,439.2,190.723509675281,49.2445984468396
"Aciphylla congesta","perennial",3,790.666666666667,175.329214146797,101.226368984459
"Aciphylla crenulata","perennial",13,657.230769230769,373.350182769955,103.54870982161
"Aciphylla dieffenbachii","perennial",NA,NA,NA,NA
"Aciphylla dissecta","perennial",1,321,NA,NA
"Aciphylla dobsonii","perennial",5,369.4,291.222080206841,130.238473578279
"Aciphylla hectori","perennial",5,244,146.078745887278,65.3284011743744
"Aciphylla horrida","perennial",9,726.333333333333,399.761804078379,133.253934692793
"Aciphylla kirkii","perennial",1,568,NA,NA
"Aciphylla lyallii","perennial",6,509.833333333333,219.722931590371,89.7015111974771
"Aciphylla monroi","perennial",11,345.181818181818,170.970066492248,51.5494146306273
"Aciphylla montana","perennial",4,306,166.302936434287,83.1514682171437
"Aciphylla pinnatifida","perennial",3,586.666666666667,403.016542257676,232.681709160342
"Aciphylla scott-thomsonii","perennial",12,260.583333333333,77.20628605276,22.2875350178461
"Aciphylla similis","perennial",7,427.714285714286,166.186355522662,62.8125382864472
"Aciphylla simplex","perennial",1,155,NA,NA
"Aciphylla simplicifolia","perennial",7,213.428571428571,62.6919908304539,23.6953452761318
"Aciphylla squarrosa","perennial",18,306.111111111111,121.389450500488,28.6117678711346
"Aciphylla subflabellata","perennial",8,203.25,41.7056008571648,14.7451565897803
"Aciphylla traillii","perennial",1,391,NA,NA
"Aciphylla traversii","perennial",NA,NA,NA,NA
"Acronema astrantiifolium","perennial",9,336.333333333333,122.281437675552,40.7604792251841
"Acronema schneideri","perennial",8,285.625,86.6271773587415,30.6273322727079
"Aegopodium alpestre","perennial",159,329.754716981132,187.06712790208,14.8353882418484
"Aegopodium kashmiricum","perennial",10,61.5,60.4028145039617,19.1010470917172
"Aegopodium podagraria","perennial",320,218.134375,68.4782010454198,3.82804781286139
"Aethusa cynapium","annual",243,224.855967078189,73.8712292278616,4.73884156445272
"Afrocarum imbricatum","no_life_form_on_database",12,187.583333333333,85.5096574379264,24.6845118700497
"Afroligusticum elliotii","perennial",8,377.125,113.399971655325,40.0929444719214
"Afroligusticum petitianum","perennial",4,263.5,85.0470458040725,42.5235229020362
"Agrocharis gracilis","no_life_form_on_database",NA,NA,NA,NA
"Agrocharis incognita","no_life_form_on_database",28,295.035714285714,92.5416751534769,17.4887327403875
"Agrocharis melanantha","no_life_form_on_database",28,515.642857142857,355.929998765437,67.2644472057767
"Agrocharis pedunculata","no_life_form_on_database",8,185.75,67.1240855218368,23.7319480267183
"Ainsworthia trachycarpa","no_life_form_on_database",8,7.625,16.783814482156,5.93397451725473
"Aletes acaulis","no_life_form_on_database",20,160.35,48.3161463695109,10.8038187693056
"Aletes anisatus","no_life_form_on_database",12,151.333333333333,47.0267493190328,13.5754531892283
"Aletes calcicola","no_life_form_on_database",NA,NA,NA,NA
"Aletes filifolius","no_life_form_on_database",10,171.8,31.1369733774995,9.84637553169242
"Aletes humilis","no_life_form_on_database",1,138,NA,NA
"Aletes macdougallii","no_life_form_on_database",NA,NA,NA,NA
"Aletes sessiliflorus","no_life_form_on_database",9,103.444444444444,43.852340619148,14.6174468730493
"Alococarpum erianthum","no_life_form_on_database",NA,NA,NA,NA
"Ammi majus","annual",119,47.3529411764706,56.4774723703528,5.17728140378548
"Ammoides pusilla","annual",67,41.5970149253731,40.5085324724993,4.94890490385459
"Anethum graveolens","annual",6,15,17.1347599924831,6.99523647443983
"Angelica acutiloba","perennial",10,591.5,191.858309987113,60.6709247589907
"Angelica ampla","perennial",16,128.5,44.3260645670242,11.0815161417561
"Angelica amurensis","no_life_form_on_database",6,418.666666666667,81.3060063381954,33.1930380920123
"Angelica anomala","perennial",31,568.032258064516,280.413561710909,50.3637624434915
"Angelica apaensis","perennial",8,326.5,192.534227012832,68.0711287656417
"Angelica archangelica","perennial",213,211.244131455399,54.8180224962351,3.75606901094919
"Angelica arguta","perennial",63,79.3174603174603,46.5651903065443,5.86666253826247
"Angelica biserrata","perennial",6,400.833333333333,41.892322287821,17.1024689575641
"Angelica breweri","perennial",11,26.7272727272727,13.6168345006533,4.10563007918485
"Angelica cartilaginomarginata","perennial",35,769.942857142857,244.831267569794,41.3840374954374
"Angelica cincta","perennial",9,328.888888888889,32.0251637171633,10.6750545723878
"Angelica dahurica","perennial",NA,NA,NA,NA
"Angelica decursiva","perennial",109,557.045871559633,187.000118108554,17.9113628463832
"Angelica fargesii","no_life_form_on_database",NA,NA,NA,NA
"Angelica furcijuga","no_life_form_on_database",NA,NA,NA,NA
"Angelica genuflexa","perennial",56,258.767857142857,209.608291913657,28.010086205993
"Angelica gigas","annual",16,810.6875,291.97596219552,72.9939905488801
"Angelica grayi","perennial",19,186.526315789474,63.6565161376557,14.6038063653635
"Angelica japonica","perennial",12,612.583333333333,202.200376914195,58.3702210208271
"Angelica kangdingensis","perennial",NA,NA,NA,NA
"Angelica keiskei","perennial",8,524.625,142.727450057794,50.4617738986651
"Angelica laxifoliata","perennial",16,450.5625,277.031639288127,69.2579098220316
"Angelica lignescens","perennial",NA,NA,NA,NA
"Angelica maowenensis","perennial",8,417.25,208.943430485041,73.8726582901762
"Angelica megaphylla","perennial",5,384.8,40.9841432751741,18.328666072576
"Angelica morii","perennial",7,494.142857142857,283.446896009011,107.132856676147
"Angelica nitida","perennial",6,218.333333333333,49.4395253483149,20.1836017047944
"Angelica omeiensis","no_life_form_on_database",5,487.8,162.724306727667,72.7725222869181
"Angelica oncosepala","no_life_form_on_database",4,507.25,249.375720550337,124.687860275169
"Angelica paeoniifolia","perennial",5,230.6,44.4555958232482,19.8811468482077
"Angelica pinnata","perennial",34,107.029411764706,40.9504395907272,7.02294245077349
"Angelica polymorpha","perennial",66,628.212121212121,205.450987241503,25.2892683427324
"Angelica pseudoselinum","perennial",11,357.909090909091,198.535868066934,59.8608165277747
