"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Aciphylla aurea","perennial",15,9.728455,0.451138,0.116483,0.020306
"Aciphylla colensoi","perennial",15,10.059653,0.34588,0.089306,0.020306
"Aciphylla congesta","perennial",3,10.348706,0.280224,0.161787,0.101531
"Aciphylla crenulata","perennial",13,10.116861,0.572904,0.158895,0.02343
"Aciphylla dieffenbachii","perennial",NA,NA,NA,NA,NA
"Aciphylla dissecta","perennial",1,10.07559,NA,NA,0.304592
"Aciphylla dobsonii","perennial",5,10.069821,0.328467,0.146895,0.060918
"Aciphylla hectori","perennial",5,9.946743,0.354465,0.158522,0.060918
"Aciphylla horrida","perennial",9,10.054872,0.518945,0.172982,0.033844
"Aciphylla kirkii","perennial",1,10.549831,NA,NA,0.304592
"Aciphylla lyallii","perennial",5,10.216663,0.255258,0.114155,0.060918
"Aciphylla monroi","perennial",11,10.116331,0.329961,0.099487,0.02769
"Aciphylla montana","perennial",4,9.887431,0.499087,0.249544,0.076148
"Aciphylla pinnatifida","perennial",3,9.962279,0.369332,0.213234,0.101531
"Aciphylla scott-thomsonii","perennial",12,9.53976,0.459707,0.132706,0.025383
"Aciphylla similis","perennial",7,10.178061,0.177414,0.067056,0.043513
"Aciphylla simplex","perennial",1,10.161921,NA,NA,0.304592
"Aciphylla simplicifolia","perennial",7,9.209091,0.416058,0.157255,0.043513
"Aciphylla squarrosa","perennial",17,9.65715,0.404896,0.098202,0.017917
"Aciphylla subflabellata","perennial",8,9.276572,0.319165,0.112842,0.038074
"Aciphylla traillii","perennial",1,9.78656,NA,NA,0.304592
"Aciphylla traversii","perennial",NA,NA,NA,NA,NA
"Acronema astrantiifolium","perennial",9,8.731338,0.113202,0.037734,0.033844
"Acronema schneideri","perennial",8,8.668472,0.118857,0.042022,0.038074
"Aegopodium alpestre","perennial",158,8.871077,0.585285,0.046563,0.001928
"Aegopodium kashmiricum","perennial",10,7.256252,0.929566,0.293955,0.030459
"Aegopodium podagraria","perennial",319,9.019184,0.279561,0.015652,0.000955
"Aethusa cynapium","annual",239,9.075857,0.346296,0.0224,0.001274
"Afrocarum imbricatum","no_life_form_on_database",12,8.972265,0.336285,0.097077,0.025383
"Afroligusticum elliotii","perennial",8,9.503316,0.405038,0.143203,0.038074
"Afroligusticum petitianum","perennial",4,8.8636,0.248189,0.124094,0.076148
"Agrocharis gracilis","no_life_form_on_database",NA,NA,NA,NA,NA
"Agrocharis incognita","no_life_form_on_database",28,9.162029,0.366351,0.069234,0.010878
"Agrocharis melanantha","no_life_form_on_database",28,9.06801,0.556688,0.105204,0.010878
"Agrocharis pedunculata","no_life_form_on_database",8,8.988678,0.178446,0.06309,0.038074
"Ainsworthia trachycarpa","no_life_form_on_database",8,8.152364,0.353022,0.124812,0.038074
"Aletes acaulis","no_life_form_on_database",20,7.842945,0.389385,0.087069,0.01523
"Aletes anisatus","no_life_form_on_database",12,8.136541,0.408257,0.117854,0.025383
"Aletes calcicola","no_life_form_on_database",NA,NA,NA,NA,NA
"Aletes filifolius","no_life_form_on_database",10,7.535331,0.26564,0.084003,0.030459
"Aletes humilis","no_life_form_on_database",1,8.001355,NA,NA,0.304592
