"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Abdra aprica","annual",2,8.995662,0.058879,0.041634,0.152071
"Abdra brachycarpa","annual",13,8.934358,0.198872,0.055157,0.023396
"Arabis abietina","annual",1,8.637994,NA,NA,0.304142
"Arabis aculeolata","perennial",3,8.955788,0.767397,0.443057,0.101381
"Arabis allionii","perennial",5,9.184016,0.376031,0.168166,0.060828
"Arabis alpina","perennial",336,9.393805,0.504024,0.027497,0.000905
"Arabis amplexicaulis","annual",13,8.64419,0.32479,0.090081,0.023396
"Arabis androsacea","perennial",2,8.480158,0.032724,0.023139,0.152071
"Arabis armena","perennial",1,8.258163,NA,NA,0.304142
"Arabis aubrietioides","perennial",5,8.324507,0.206865,0.092513,0.060828
"Arabis aucheri","annual",NA,NA,NA,NA,NA
"Arabis auriculata","no_life_form_on_database",141,8.451107,0.592626,0.049908,0.002157
"Arabis beirana","perennial",NA,NA,NA,NA,NA
"Arabis bijuga","perennial",5,8.622117,0.454631,0.203317,0.060828
"Arabis blepharophylla","perennial",7,8.58884,0.605955,0.229029,0.043449
"Arabis borealis","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis brachycarpa","perennial",3,9.088077,0.213147,0.12306,0.101381
"Arabis bryoides","perennial",7,8.751945,0.359048,0.135707,0.043449
"Arabis caerulea","perennial",11,9.247551,0.334278,0.100789,0.027649
"Arabis carduchorum","perennial",6,8.44623,0.190149,0.077628,0.05069
"Arabis ciliata","annual",42,9.296867,0.405949,0.062639,0.007241
"Arabis collina","perennial",39,8.853858,0.412628,0.066073,0.007799
"Arabis cretica","annual",NA,NA,NA,NA,NA
"Arabis crucisetosa","perennial",NA,NA,NA,NA,NA
"Arabis cypria","perennial",NA,NA,NA,NA,NA
"Arabis deflexa","perennial",NA,NA,NA,NA,NA
"Arabis doumetii","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis erikii","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis erubescens","no_life_form_on_database",1,8.232706,NA,NA,0.304142
"Arabis eschscholtziana","annual",89,9.084394,0.901792,0.09559,0.003417
"Arabis flagellosa","perennial",16,9.614656,0.238284,0.059571,0.019009
"Arabis furcata","perennial",6,9.779412,0.460336,0.187931,0.05069
"Arabis georgiana","annual",NA,NA,NA,NA,NA
"Arabis graellsiiformis","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis hirsuta","annual",NA,NA,NA,NA,NA
"Arabis ionocalyx","annual",NA,NA,NA,NA,NA
"Arabis jacquinii","no_life_form_on_database",1,9.100637,NA,NA,0.304142
"Arabis juressi","perennial",4,9.05569,0.444282,0.222141,0.076035
"Arabis kennedyae","annual",NA,NA,NA,NA,NA
"Arabis macdonaldiana","no_life_form_on_database",3,9.577199,0.087092,0.050283,0.101381
"Arabis modesta","perennial",5,8.562009,0.458873,0.205214,0.060828
"Arabis mollis","perennial",NA,NA,NA,NA,NA
"Arabis montbretiana","no_life_form_on_database",10,7.770215,0.631522,0.199705,0.030414
"Arabis nemorensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis nepetifolia","perennial",2,7.444412,0.369535,0.261301,0.152071
"Arabis nipponica","no_life_form_on_database",NA,NA,NA,NA,NA
"Arabis nordmanniana","perennial",4,9.409923,0.234319,0.11716,0.076035
"Arabis nova subsp. nova","no_life_form_on_database",7,8.846879,0.467848,0.17683,0.043449
"Arabis nuristanica","perennial",NA,NA,NA,NA,NA
"Arabis nuttallii","perennial",NA,NA,NA,NA,NA
"Arabis olympica","perennial",NA,NA,NA,NA,NA
"Arabis oregana","perennial",10,8.606134,0.636286,0.201211,0.030414
