"species","life_form","n","mean","sd","se"
"Ammosperma cinerea","no_life_form_on_database",NA,NA,NA,NA
"Brassica aucheri","annual",NA,NA,NA,NA
"Brassica balearica","perennial",1,53,NA,NA
"Brassica barrelieri","annual",37,47.6756756756757,13.1128733482577,2.15574309911698
"Brassica carinata","annual",25,80.56,22.3701437933093,4.47402875866185
"Brassica cretica","perennial",10,79.6,15.1964908229938,4.80555234425069
"Brassica deflexa","annual",3,78.6666666666667,5.85946527708232,3.38296385503074
"Brassica desnottesii","perennial",NA,NA,NA,NA
"Brassica elongata var. integrifolia","annual",NA,NA,NA,NA
"Brassica fruticulosa","annual",23,51,14.6163047189214,3.04771021414555
"Brassica gravinae","perennial",5,53.8,16.0686029262036,7.18609768928867
"Brassica incana","perennial",1,38,NA,NA
"Brassica insularis","perennial",6,51.1666666666667,8.28049917979989,3.38049963434073
"Brassica juncea var. integrifolia","no_life_form_on_database",NA,NA,NA,NA
"Brassica macrocarpa","perennial",NA,NA,NA,NA
"Brassica maurorum","no_life_form_on_database",1,58,NA,NA
"Brassica montana","perennial",7,30,10.8012344973464,4.08248290463863
"Brassica napus","annual",30,14.5333333333333,5.06327775351061,0.924423813503947
"Brassica nigra","annual",NA,NA,NA,NA
"Brassica oleracea var. capitata","no_life_form_on_database",52,58.9807692307692,43.7893757302803,6.07249382754169
"Brassica oxyrrhina","annual",20,55.45,14.1587800544955,3.16599946803201
"Brassica procumbens","perennial",NA,NA,NA,NA
"Brassica rapa subsp. rapa","no_life_form_on_database",5,32.2,37.1981182319751,16.6355042003541
"Brassica repanda","perennial",26,38.7692307692308,17.5802336555751,3.44776747935762
"Brassica rupestris","perennial",1,57,NA,NA
"Brassica tournefortii","no_life_form_on_database",47,65.4468085106383,27.6875490072298,4.03864410053711
"Brassica villosa","perennial",NA,NA,NA,NA
"Cakile arabica","annual",4,95.25,20.3858611133632,10.1929305566816
"Cakile constricta","annual",4,26.25,6.07590871118606,3.03795435559303
"Cakile edentula subsp. edentula","annual",5,9.6,1.94935886896179,0.871779788708135
"Cakile edentula subsp. harperi","annual",NA,NA,NA,NA
"Cakile edentula var. lacustris","annual",37,19.1351351351351,6.78299410356584,1.11511736152443
"Cakile lanceolata","annual",46,53.3695652173913,14.6019156972291,2.15293501400836
"Cakile lanceolata subsp. pseudoconstricta","annual",1,52,NA,NA
"Cakile lanceolata var. fusiformis","annual",NA,NA,NA,NA
"Cakile maritima","perennial",148,39.1891891891892,21.6717476045674,1.78140667966409
"Cakile maritima f. islandica","annual",NA,NA,NA,NA
"Carrichtera annua","annual",NA,NA,NA,NA
"Ceratocnemum rapistroides","annual",NA,NA,NA,NA
"Coincya longirostra","annual",7,51.5714285714286,10.8298529207794,4.09329965196983
"Coincya monensis","annual",35,40.6571428571429,13.8965566135747,2.34894678960767
"Coincya rupestris","annual",1,47,NA,NA
"Cordylocarpus muricatus","annual",6,63.6666666666667,4.41210456207315,1.80123414481417
"Crambe arborea","perennial",NA,NA,NA,NA
"Crambe aspera","perennial",11,21.4545454545455,6.66878754142965,2.01071509831989
"Crambe cordifolia","perennial",3,77,32.0468407179241,18.5022521151706
"Crambe edentula","perennial",NA,NA,NA,NA
"Crambe feuilleei","perennial",NA,NA,NA,NA
"Crambe filiformis","perennial",24,61.4166666666667,14.36153275902,2.93153559865535
"Crambe fruticosa","perennial",NA,NA,NA,NA
"Crambe gigantea","perennial",NA,NA,NA,NA
"Crambe gomeraea","perennial",NA,NA,NA,NA
"Crambe gordjaginii","perennial",NA,NA,NA,NA
"Crambe grossheimii","perennial",NA,NA,NA,NA
"Crambe hispanica subsp. hispanica","perennial",NA,NA,NA,NA
"Crambe juncea","perennial",NA,NA,NA,NA
"Crambe kilimandscharica","annual",NA,NA,NA,NA
"Crambe koktebelica","perennial",3,19.6666666666667,7.37111479583199,4.25571511160124
"Crambe kotschyana","perennial",22,76.5,19.7140269134152,4.2030446601939
"Crambe kralikii","perennial",4,60,13.7840487520902,6.89202437604511
"Crambe laevigata","perennial",1,78,NA,NA
"Crambe maritima","perennial",48,25.6875,7.07755291885189,1.02155677072574
"Crambe microcarpa","perennial",NA,NA,NA,NA
"Crambe orientalis","perennial",16,61.75,19.8107714808552,4.95269287021381
"Crambe orientalis subsp. orientalis","perennial",2,56.5,19.0918830920368,13.5
"Crambe pritzelii","perennial",2,83,1.4142135623731,1
"Crambe scaberrima","perennial",1,79,NA,NA
"Crambe schugnana","perennial",NA,NA,NA,NA
"Crambe scoparia","perennial",NA,NA,NA,NA
"Crambe strigosa","perennial",NA,NA,NA,NA
"Crambe sventenii","perennial",NA,NA,NA,NA
"Crambe tamadabensis","perennial",NA,NA,NA,NA
"Crambe tataria","perennial",36,24.6388888888889,8.61610710166149,1.43601785027692
"Crambe wildpretii","perennial",NA,NA,NA,NA
"Crambella teretifolia","perennial",NA,NA,NA,NA
"Didesmus aegyptius","annual",6,80.8333333333333,13.6589409057462,5.57623927431781
"Didesmus bipinnatus","annual",NA,NA,NA,NA
