"species","life_form","n_bio_12","mean_bio_12","sd_bio_12","se_bio_12","within_sp_var_bio_12"
"Ammosperma cinerea","no_life_form_on_database",NA,NA,NA,NA,NA
"Brassica aucheri","annual",NA,NA,NA,NA,NA
"Brassica balearica","perennial",1,6.961296,NA,NA,0.23351
"Brassica barrelieri","annual",37,6.390801,0.426862,0.070176,0.006311
"Brassica carinata","annual",25,6.994211,0.355681,0.071136,0.00934
"Brassica cretica","perennial",10,6.43488,0.176867,0.05593,0.023351
"Brassica deflexa","annual",3,5.950268,0.108458,0.062618,0.077837
"Brassica desnottesii","perennial",NA,NA,NA,NA,NA
"Brassica elongata var. integrifolia","annual",NA,NA,NA,NA,NA
"Brassica fruticulosa","annual",24,6.175727,0.420435,0.085821,0.00973
"Brassica gravinae","perennial",5,6.574039,0.287771,0.128695,0.046702
"Brassica incana","perennial",1,6.44254,NA,NA,0.23351
"Brassica insularis","perennial",6,6.522666,0.179938,0.073459,0.038918
"Brassica juncea var. integrifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Brassica macrocarpa","perennial",NA,NA,NA,NA,NA
"Brassica maurorum","no_life_form_on_database",1,5.897154,NA,NA,0.23351
"Brassica montana","perennial",7,6.668474,0.222736,0.084186,0.033359
"Brassica napus","annual",30,6.615667,0.175705,0.032079,0.007784
"Brassica nigra","annual",NA,NA,NA,NA,NA
"Brassica oleracea var. capitata","no_life_form_on_database",52,5.764058,1.820909,0.252515,0.004491
"Brassica oxyrrhina","annual",22,6.330072,0.289254,0.061669,0.010614
"Brassica procumbens","perennial",NA,NA,NA,NA,NA
"Brassica rapa subsp. rapa","no_life_form_on_database",5,6.526025,0.297297,0.132955,0.046702
"Brassica repanda","perennial",26,6.491899,0.359816,0.070566,0.008981
"Brassica rupestris","perennial",1,6.728629,NA,NA,0.23351
"Brassica tournefortii","no_life_form_on_database",47,5.937451,0.663477,0.096778,0.004865
"Brassica villosa","perennial",NA,NA,NA,NA,NA
"Cakile arabica","annual",4,4.60327,0.402639,0.20132,0.058377
"Cakile constricta","annual",4,7.286811,0.119822,0.059911,0.058377
"Cakile edentula subsp. edentula","annual",5,7.045055,0.03722,0.016645,0.046702
"Cakile edentula subsp. harperi","annual",NA,NA,NA,NA,NA
"Cakile edentula var. lacustris","annual",37,6.759072,0.108368,0.017816,0.006311
"Cakile lanceolata","annual",46,7.104728,0.41446,0.061109,0.005076
"Cakile lanceolata subsp. pseudoconstricta","annual",1,6.489205,NA,NA,0.23351
"Cakile lanceolata var. fusiformis","annual",NA,NA,NA,NA,NA
"Cakile maritima","perennial",147,6.512439,0.451573,0.037245,0.001589
"Cakile maritima f. islandica","annual",NA,NA,NA,NA,NA
"Carrichtera annua","annual",NA,NA,NA,NA,NA
"Ceratocnemum rapistroides","annual",NA,NA,NA,NA,NA
"Coincya longirostra","annual",7,6.323822,0.163069,0.061634,0.033359
"Coincya monensis","annual",35,6.61691,0.428672,0.072459,0.006672
"Coincya rupestris","annual",1,6.100319,NA,NA,0.23351
"Cordylocarpus muricatus","annual",6,5.932505,0.266206,0.108678,0.038918
"Crambe arborea","perennial",NA,NA,NA,NA,NA
"Crambe aspera","perennial",11,5.891314,0.22768,0.068648,0.021228
"Crambe cordifolia","perennial",3,6.158254,0.450604,0.260156,0.077837
"Crambe edentula","perennial",NA,NA,NA,NA,NA
"Crambe feuilleei","perennial",NA,NA,NA,NA,NA
"Crambe filiformis","perennial",24,6.199443,0.527681,0.107712,0.00973
"Crambe fruticosa","perennial",NA,NA,NA,NA,NA
"Crambe gigantea","perennial",NA,NA,NA,NA,NA
"Crambe gomeraea","perennial",NA,NA,NA,NA,NA
"Crambe gordjaginii","perennial",NA,NA,NA,NA,NA
"Crambe grossheimii","perennial",NA,NA,NA,NA,NA
"Crambe hispanica subsp. hispanica","perennial",NA,NA,NA,NA,NA
