"species","life_form","n","mean","sd","se"
"Ammosperma cinerea","no_life_form_on_database",NA,NA,NA,NA
"Brassica aucheri","annual",NA,NA,NA,NA
"Brassica balearica","perennial",1,91,NA,NA
"Brassica barrelieri","annual",37,36.1621621621622,28.0213346433605,4.60667903831299
"Brassica carinata","annual",25,205.04,73.8492157484876,14.7698431496975
"Brassica cretica","perennial",10,16.5,19.6765511883223,6.22227182519911
"Brassica deflexa","annual",3,23,34.6410161513775,20
"Brassica desnottesii","perennial",NA,NA,NA,NA
"Brassica elongata var. integrifolia","annual",NA,NA,NA,NA
"Brassica fruticulosa","annual",24,41,42.1240404354651,8.59853374760463
"Brassica gravinae","perennial",5,58.6,76.0808780180671,34.0244030072535
"Brassica incana","perennial",1,82,NA,NA
"Brassica insularis","perennial",6,46.8333333333333,21.3205690980955,8.70408588601417
"Brassica juncea var. integrifolia","no_life_form_on_database",NA,NA,NA,NA
"Brassica macrocarpa","perennial",NA,NA,NA,NA
"Brassica maurorum","no_life_form_on_database",1,8,NA,NA
"Brassica montana","perennial",7,125.428571428571,60.1466461876225,22.7332954295772
"Brassica napus","annual",30,177.233333333333,38.9904350192263,7.11864692898987
"Brassica nigra","annual",NA,NA,NA,NA
"Brassica oleracea var. capitata","no_life_form_on_database",52,94.5,109.506468606501,15.1858149059895
"Brassica oxyrrhina","annual",22,20.4090909090909,15.1678202310935,3.23379013882226
"Brassica procumbens","perennial",NA,NA,NA,NA
"Brassica rapa subsp. rapa","no_life_form_on_database",5,222.8,57.4865201590773,25.7087533731218
"Brassica repanda","perennial",26,88.6153846153846,85.5228984181789,16.7724203035888
"Brassica rupestris","perennial",1,61,NA,NA
"Brassica tournefortii","no_life_form_on_database",48,35.8541666666667,63.740160553421,9.2000997134269
"Brassica villosa","perennial",NA,NA,NA,NA
"Cakile arabica","annual",4,8.75,16.1941347407016,8.09706737035082
"Cakile constricta","annual",4,495,116.884558432669,58.4422792163345
"Cakile edentula subsp. edentula","annual",5,286.4,21.1258135938004,9.44775105514535
"Cakile edentula subsp. harperi","annual",NA,NA,NA,NA
"Cakile edentula var. lacustris","annual",37,241.486486486486,24.7191127376072,4.06379710114958
"Cakile lanceolata","annual",46,437.586956521739,169.24270226669,24.9534750871416
"Cakile lanceolata subsp. pseudoconstricta","annual",1,151,NA,NA
"Cakile lanceolata var. fusiformis","annual",NA,NA,NA,NA
"Cakile maritima","perennial",147,143.197278911565,98.6603166158347,8.13736576521227
"Cakile maritima f. islandica","annual",NA,NA,NA,NA
"Carrichtera annua","annual",NA,NA,NA,NA
"Ceratocnemum rapistroides","annual",NA,NA,NA,NA
"Coincya longirostra","annual",7,18.2857142857143,7.80415029998538,2.94969155541878
"Coincya monensis","annual",35,92.6,111.11657895043,18.7821298941665
"Coincya rupestris","annual",1,53,NA,NA
"Cordylocarpus muricatus","annual",6,11.1666666666667,4.62240918425302,1.88709064729575
"Crambe arborea","perennial",NA,NA,NA,NA
"Crambe aspera","perennial",11,110.090909090909,27.7613203772967,8.3703530342128
"Crambe cordifolia","perennial",3,93,98.878713583865,57.0876519047683
"Crambe edentula","perennial",NA,NA,NA,NA
"Crambe feuilleei","perennial",NA,NA,NA,NA
"Crambe filiformis","perennial",24,19.5416666666667,27.5664874781692,5.62698569352803
"Crambe fruticosa","perennial",NA,NA,NA,NA
"Crambe gigantea","perennial",NA,NA,NA,NA
"Crambe gomeraea","perennial",NA,NA,NA,NA
"Crambe gordjaginii","perennial",NA,NA,NA,NA
"Crambe grossheimii","perennial",NA,NA,NA,NA
"Crambe hispanica subsp. hispanica","perennial",NA,NA,NA,NA
"Crambe juncea","perennial",NA,NA,NA,NA
"Crambe kilimandscharica","annual",NA,NA,NA,NA
"Crambe koktebelica","perennial",3,120.666666666667,35.9490380028914,20.7551867680775
"Crambe kotschyana","perennial",21,75.8095238095238,189.929360302092,41.4459842989942
"Crambe kralikii","perennial",4,22.75,16.8399326997863,8.41996634989317
"Crambe laevigata","perennial",1,26,NA,NA
"Crambe maritima","perennial",47,208.382978723404,67.3374219853268,9.82217248537983
"Crambe microcarpa","perennial",NA,NA,NA,NA
"Crambe orientalis","perennial",16,32.25,38.1199860090915,9.52999650227288
"Crambe orientalis subsp. orientalis","perennial",2,30.5,7.77817459305202,5.5
"Crambe pritzelii","perennial",2,21.5,3.53553390593274,2.5
"Crambe scaberrima","perennial",1,31,NA,NA
"Crambe schugnana","perennial",NA,NA,NA,NA
"Crambe scoparia","perennial",NA,NA,NA,NA
"Crambe strigosa","perennial",NA,NA,NA,NA
"Crambe sventenii","perennial",NA,NA,NA,NA
"Crambe tamadabensis","perennial",NA,NA,NA,NA
"Crambe tataria","perennial",36,173.222222222222,83.0074389475722,13.8345731579287
"Crambe wildpretii","perennial",NA,NA,NA,NA
"Crambella teretifolia","perennial",NA,NA,NA,NA
"Didesmus aegyptius","annual",6,10.3333333333333,13.5154232884755,5.51764845241562
"Didesmus bipinnatus","annual",NA,NA,NA,NA
"Diplotaxis acris","annual",9,0,0,0
