"species","life_form","n","mean","sd","se"
"Ammosperma cinerea","no_life_form_on_database",NA,NA,NA,NA
"Brassica aucheri","annual",NA,NA,NA,NA
"Brassica balearica","perennial",1,4325,NA,NA
"Brassica barrelieri","annual",37,4147.21621621622,2546.68768681481,418.672876695378
"Brassica carinata","annual",25,6650,2747.33616435994,549.467232871988
"Brassica cretica","perennial",10,3549.5,885.96943137635,280.168134043351
"Brassica deflexa","annual",3,1781.66666666667,185.270972721939,106.966245974035
"Brassica desnottesii","perennial",NA,NA,NA,NA
"Brassica elongata var. integrifolia","annual",NA,NA,NA,NA
"Brassica fruticulosa","annual",24,3068.75,1370.36892049582,279.725384548613
"Brassica gravinae","perennial",5,4111.8,1890.21260708948,845.328776275835
"Brassica incana","perennial",1,3518,NA,NA
"Brassica insularis","perennial",6,4460.66666666667,1253.66720730291,511.807494192017
"Brassica juncea var. integrifolia","no_life_form_on_database",NA,NA,NA,NA
"Brassica macrocarpa","perennial",NA,NA,NA,NA
"Brassica maurorum","no_life_form_on_database",1,2318,NA,NA
"Brassica montana","perennial",7,6725,2937.67328566901,1110.33613529117
"Brassica napus","annual",30,8014.33333333333,1631.90500765914,297.943728133518
"Brassica nigra","annual",NA,NA,NA,NA
"Brassica oleracea var. capitata","no_life_form_on_database",52,5774.59615384615,5890.3701846439,816.847374315302
"Brassica oxyrrhina","annual",22,3812.31818181818,1510.03659326091,321.940883406411
"Brassica procumbens","perennial",NA,NA,NA,NA
"Brassica rapa subsp. rapa","no_life_form_on_database",5,9220,3218.78649493874,1439.48508154826
"Brassica repanda","perennial",26,5080.69230769231,3312.29297942354,649.594097569885
"Brassica rupestris","perennial",1,3562,NA,NA
"Brassica tournefortii","no_life_form_on_database",43,3018.3023255814,3040.63303664975,463.692190995174
"Brassica villosa","perennial",NA,NA,NA,NA
"Cakile arabica","annual",4,401.25,187.633285959608,93.816642979804
"Cakile constricta","annual",2,9880.5,85.5599205235722,60.5
"Cakile edentula subsp. edentula","annual",5,10158.4,600.674454259543,268.629782414385
"Cakile edentula subsp. harperi","annual",NA,NA,NA,NA
"Cakile edentula var. lacustris","annual",37,8701.18918918919,949.917126146564,156.16541356251
"Cakile lanceolata","annual",38,7295.57894736842,2827.32405844054,458.65252675742
"Cakile lanceolata subsp. pseudoconstricta","annual",1,3912,NA,NA
"Cakile lanceolata var. fusiformis","annual",NA,NA,NA,NA
"Cakile maritima","perennial",130,7944.31538461538,4779.8249246823,419.218378107623
"Cakile maritima f. islandica","annual",NA,NA,NA,NA
"Carrichtera annua","annual",NA,NA,NA,NA
"Ceratocnemum rapistroides","annual",NA,NA,NA,NA
"Coincya longirostra","annual",7,3013.28571428571,562.066933821265,212.441332437667
"Coincya monensis","annual",34,7390.52941176471,5996.51036012686,1028.39304255415
"Coincya rupestris","annual",1,3091,NA,NA
"Cordylocarpus muricatus","annual",6,1968.5,451.612112326496,184.369872810066
"Crambe arborea","perennial",NA,NA,NA,NA
"Crambe aspera","perennial",11,3621.90909090909,1387.167506435,418.2467400198
"Crambe cordifolia","perennial",3,2631,2508.91271271043,1448.52143005664
"Crambe edentula","perennial",NA,NA,NA,NA
"Crambe feuilleei","perennial",NA,NA,NA,NA
"Crambe filiformis","perennial",24,3250.875,1819.89097409946,371.48368950336
"Crambe fruticosa","perennial",NA,NA,NA,NA
"Crambe gigantea","perennial",NA,NA,NA,NA
"Crambe gomeraea","perennial",NA,NA,NA,NA
"Crambe gordjaginii","perennial",NA,NA,NA,NA
"Crambe grossheimii","perennial",NA,NA,NA,NA
"Crambe hispanica subsp. hispanica","perennial",NA,NA,NA,NA
"Crambe juncea","perennial",NA,NA,NA,NA
"Crambe kilimandscharica","annual",NA,NA,NA,NA
"Crambe koktebelica","perennial",3,4433.66666666667,1293.79764002464,746.97441574513
"Crambe kotschyana","perennial",21,2628,1819.24105054828,396.990943881355
"Crambe kralikii","perennial",4,1242,974.423932382615,487.211966191308
"Crambe laevigata","perennial",1,1964,NA,NA
"Crambe maritima","perennial",44,9930.43181818182,4303.29101425672,648.745529908977
"Crambe microcarpa","perennial",NA,NA,NA,NA
"Crambe orientalis","perennial",16,3075.125,1191.30454404685,297.826136011712
"Crambe orientalis subsp. orientalis","perennial",2,4491.5,341.532575313102,241.5
"Crambe pritzelii","perennial",2,2073,149.906637611548,106
"Crambe scaberrima","perennial",1,1930,NA,NA
"Crambe schugnana","perennial",NA,NA,NA,NA
"Crambe scoparia","perennial",NA,NA,NA,NA
"Crambe strigosa","perennial",NA,NA,NA,NA
"Crambe sventenii","perennial",NA,NA,NA,NA
"Crambe tamadabensis","perennial",NA,NA,NA,NA
"Crambe tataria","perennial",36,5408.86111111111,2279.50952309329,379.918253848882
"Crambe wildpretii","perennial",NA,NA,NA,NA
"Crambella teretifolia","perennial",NA,NA,NA,NA
"Didesmus aegyptius","annual",5,2915.6,643.834839069773,287.93169328853
"Didesmus bipinnatus","annual",NA,NA,NA,NA
"Diplotaxis acris","annual",9,298.555555555556,235.954503618341,78.6515012061137
