"species","life_form","n_bio_12","mean_bio_12","sd_bio_12","se_bio_12","within_sp_var_bio_12"
"Aimara rollinsii","perennial",NA,NA,NA,NA,NA
"Aschersoniodoxa cachensis","perennial",5,6.319145,0.616215,0.27558,0.046702
"Aschersoniodoxa mandoniana","perennial",2,6.966082,0.040684,0.028768,0.116755
"Aschersoniodoxa peruviana","no_life_form_on_database",NA,NA,NA,NA,NA
"Atacama nivea","no_life_form_on_database",NA,NA,NA,NA,NA
"Brayopsis alpaminae","perennial",NA,NA,NA,NA,NA
"Brayopsis calycina","perennial",16,6.318326,1.094314,0.273578,0.014594
"Brayopsis colombiana","perennial",NA,NA,NA,NA,NA
"Brayopsis diapensioides","perennial",2,7.181823,0.17161,0.121347,0.116755
"Brayopsis gamosepala","perennial",NA,NA,NA,NA,NA
"Brayopsis monimocalyx","perennial",8,6.394652,0.540798,0.191201,0.029189
"Cremolobus chilensis","annual",NA,NA,NA,NA,NA
"Cremolobus peruvianus","perennial",9,7.272141,0.370716,0.123572,0.025946
"Cremolobus rhomboideus","annual",NA,NA,NA,NA,NA
"Dactylocardamum imbricatifolium","perennial",NA,NA,NA,NA,NA
"Eudema nubigena subsp. nubigena","no_life_form_on_database",2,7.150694,0.005546,0.003922,0.116755
"Eudema nubigena subsp. remyana","perennial",1,6.74876,NA,NA,0.23351
"Eudema rupestris","perennial",NA,NA,NA,NA,NA
"Mathewsia auriculata","perennial",3,4.221469,2.044135,1.180182,0.077837
"Mathewsia collina","no_life_form_on_database",NA,NA,NA,NA,NA
"Mathewsia densifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Mathewsia foliosa","perennial",NA,NA,NA,NA,NA
"Mathewsia incana","perennial",NA,NA,NA,NA,NA
"Mathewsia linearifolia","perennial",NA,NA,NA,NA,NA
"Mathewsia peruviana","no_life_form_on_database",NA,NA,NA,NA,NA
"Menonvillea chilensis","annual",5,3.83019,1.732226,0.774675,0.046702
"Menonvillea cicatricosa","perennial",3,6.431657,0.79417,0.458514,0.077837
"Menonvillea comberi","annual",NA,NA,NA,NA,NA
"Menonvillea cuneata","perennial",15,4.953195,1.037288,0.267827,0.015567
"Menonvillea famatinensis","perennial",1,5.32301,NA,NA,0.23351
"Menonvillea filifolia","annual",NA,NA,NA,NA,NA
"Menonvillea flexuosa","perennial",NA,NA,NA,NA,NA
"Menonvillea frigida","perennial",NA,NA,NA,NA,NA
"Menonvillea hookeri","no_life_form_on_database",12,6.004075,0.547917,0.15817,0.019459
"Menonvillea linearis","perennial",2,5.948577,0.864139,0.611039,0.116755
"Menonvillea litoralis","annual",4,5.229654,1.066264,0.533132,0.058377
"Menonvillea marticorenae","annual",NA,NA,NA,NA,NA
"Menonvillea minima","annual",NA,NA,NA,NA,NA
"Menonvillea nordenskjoeldii","perennial",5,5.582337,0.825146,0.369017,0.046702
"Menonvillea orbiculata","annual",NA,NA,NA,NA,NA
"Menonvillea patagonica","annual",9,5.793403,0.62454,0.20818,0.025946
"Menonvillea pinnatifida","annual",3,4.652801,1.652506,0.954075,0.077837
"Menonvillea purpurea","perennial",2,6.362517,0.27874,0.197099,0.116755
"Menonvillea rigida","perennial",NA,NA,NA,NA,NA
"Menonvillea scapigera","perennial",2,6.262663,0.655588,0.463571,0.116755
"Menonvillea spathulata","perennial",6,5.945732,0.304727,0.124404,0.038918
"Menonvillea virens","perennial",7,4.862048,1.231089,0.465308,0.033359
"Onuris alismatifolia","perennial",3,5.904704,0.720465,0.415961,0.077837
"Onuris graminifolia","perennial",18,6.111062,0.801082,0.188817,0.012973
"Onuris hatcheriana","perennial",3,5.250802,0.510061,0.294484,0.077837
"Onuris hauthalii","no_life_form_on_database",1,5.342334,NA,NA,0.23351
"Onuris papillosa","perennial",7,5.494571,0.486092,0.183726,0.033359
"Onuris spegazziniana","perennial",6,5.511872,0.863552,0.352544,0.038918
"Schizopetalon arcuatum","annual",1,3.401197,NA,NA,0.23351
"Schizopetalon bipinnatifidum","annual",NA,NA,NA,NA,NA
"Schizopetalon biseriatum","annual",NA,NA,NA,NA,NA
"Schizopetalon brachycarpum","annual",NA,NA,NA,NA,NA
"Schizopetalon dentatum","annual",2,5.283474,0.824478,0.582994,0.116755
"Schizopetalon maritimum","annual",NA,NA,NA,NA,NA
"Schizopetalon rupestre","annual",NA,NA,NA,NA,NA
"Schizopetalon tenuifolium","annual",NA,NA,NA,NA,NA
"Schizopetalon walkeri","annual",3,5.968907,0.546734,0.315657,0.077837
"Smelowskia calycina","perennial",31,5.264202,0.853204,0.15324,0.007533
"Thlaspi arvense","annual",613,6.402811,0.515869,0.020836,0.000381
"Xerodraba patagonica","perennial",4,5.375309,0.135329,0.067664,0.058377
"Xerodraba pectinata","no_life_form_on_database",4,5.454418,0.490632,0.245316,0.058377
"Xerodraba pycnophylloides","no_life_form_on_database",5,5.088871,0.285925,0.12787,0.046702
