"species","life_form","n","mean","sd","se"
"Aimara rollinsii","perennial",NA,NA,NA,NA
"Aschersoniodoxa cachensis","perennial",5,16.2,11.6490342947388,5.20960651105244
"Aschersoniodoxa mandoniana","perennial",2,45,11.3137084989848,8
"Aschersoniodoxa peruviana","no_life_form_on_database",NA,NA,NA,NA
"Atacama nivea","no_life_form_on_database",NA,NA,NA,NA
"Brayopsis alpaminae","perennial",NA,NA,NA,NA
"Brayopsis calycina","perennial",16,23.375,16.231142904922,4.0577857262305
"Brayopsis colombiana","perennial",NA,NA,NA,NA
"Brayopsis diapensioides","perennial",2,49,12.7279220613579,9
"Brayopsis gamosepala","perennial",NA,NA,NA,NA
"Brayopsis monimocalyx","perennial",8,15,10.9152579970818,3.8591264740686
"Cremolobus chilensis","annual",NA,NA,NA,NA
"Cremolobus peruvianus","perennial",9,232.111111111111,97.2579616849495,32.4193205616498
"Cremolobus rhomboideus","annual",NA,NA,NA,NA
"Dactylocardamum imbricatifolium","perennial",NA,NA,NA,NA
"Eudema nubigena subsp. nubigena","no_life_form_on_database",2,152.5,40.3050865276332,28.5
"Eudema nubigena subsp. remyana","perennial",1,83,NA,NA
"Eudema rupestris","perennial",NA,NA,NA,NA
"Mathewsia auriculata","perennial",3,156.666666666667,235.966805575135,136.23549871862
"Mathewsia collina","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia densifolia","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia foliosa","perennial",NA,NA,NA,NA
"Mathewsia incana","perennial",NA,NA,NA,NA
"Mathewsia linearifolia","perennial",NA,NA,NA,NA
"Mathewsia peruviana","no_life_form_on_database",NA,NA,NA,NA
"Menonvillea chilensis","annual",5,106.6,180.801825212026,80.8570343260251
"Menonvillea cicatricosa","perennial",3,453,352.220101641005,203.354370496432
"Menonvillea comberi","annual",NA,NA,NA,NA
"Menonvillea cuneata","perennial",15,128.866666666667,161.838043676239,41.7864031960576
"Menonvillea famatinensis","perennial",1,5,NA,NA
"Menonvillea filifolia","annual",NA,NA,NA,NA
"Menonvillea flexuosa","perennial",NA,NA,NA,NA
"Menonvillea frigida","perennial",NA,NA,NA,NA
"Menonvillea hookeri","no_life_form_on_database",12,222,236.477559957888,68.2651914494962
"Menonvillea linearis","perennial",2,293,192.333044482741,136
"Menonvillea litoralis","annual",4,185.25,171.067968948018,85.5339844740089
"Menonvillea marticorenae","annual",NA,NA,NA,NA
"Menonvillea minima","annual",NA,NA,NA,NA
"Menonvillea nordenskjoeldii","perennial",5,96.8,75.830073189995,33.9122396783226
"Menonvillea orbiculata","annual",NA,NA,NA,NA
"Menonvillea patagonica","annual",9,176.888888888889,139.564003636723,46.5213345455742
"Menonvillea pinnatifida","annual",3,168.333333333333,225.76388846167,130.344841776642
"Menonvillea purpurea","perennial",2,374.5,77.0746391493337,54.5
"Menonvillea rigida","perennial",NA,NA,NA,NA
"Menonvillea scapigera","perennial",2,382,226.274169979695,160
"Menonvillea spathulata","perennial",6,89.8333333333333,55.3187731847577,22.5837945832355
"Menonvillea virens","perennial",7,20.1428571428571,16.4461603566361,6.21606433222123
"Onuris alismatifolia","perennial",3,97,59.1016074231488,34.1223289552946
"Onuris graminifolia","perennial",18,286.944444444444,253.144337395794,59.6666925305137
"Onuris hatcheriana","perennial",3,59.6666666666667,32.3470761172217,18.6755931037753
"Onuris hauthalii","no_life_form_on_database",1,62,NA,NA
"Onuris papillosa","perennial",7,67.5714285714286,34.6403288228097,13.0928136283796
"Onuris spegazziniana","perennial",6,102.666666666667,129.297589562477,52.7855198999793
"Schizopetalon arcuatum","annual",1,23,NA,NA
"Schizopetalon bipinnatifidum","annual",NA,NA,NA,NA
"Schizopetalon biseriatum","annual",NA,NA,NA,NA
"Schizopetalon brachycarpum","annual",NA,NA,NA,NA
"Schizopetalon dentatum","annual",2,186.5,122.329473145273,86.5
"Schizopetalon maritimum","annual",NA,NA,NA,NA
"Schizopetalon rupestre","annual",NA,NA,NA,NA
"Schizopetalon tenuifolium","annual",NA,NA,NA,NA
"Schizopetalon walkeri","annual",3,289.333333333333,136.61015091615,78.8719074054747
"Smelowskia calycina","perennial",31,37.4193548387097,40.9330951623487,7.35180091952435
"Thlaspi arvense","annual",613,120.425774877651,99.253454136869,4.00880925519466
"Xerodraba patagonica","perennial",4,58.75,20.2875166871979,10.143758343599
"Xerodraba pectinata","no_life_form_on_database",4,68.75,30.4781342386089,15.2390671193045
"Xerodraba pycnophylloides","no_life_form_on_database",5,40.6,4.9295030175465,2.20454076850486
