"species","life_form","n","mean","sd","se"
"Aimara rollinsii","perennial",NA,NA,NA,NA
"Aschersoniodoxa cachensis","perennial",5,1636.2,372.618705917993,166.640151224127
"Aschersoniodoxa mandoniana","perennial",2,1404.5,160.513239329346,113.5
"Aschersoniodoxa peruviana","no_life_form_on_database",NA,NA,NA,NA
"Atacama nivea","no_life_form_on_database",NA,NA,NA,NA
"Brayopsis alpaminae","perennial",NA,NA,NA,NA
"Brayopsis calycina","perennial",16,1493,396.360946613059,99.0902366532647
"Brayopsis colombiana","perennial",NA,NA,NA,NA
"Brayopsis diapensioides","perennial",2,1208.5,7.77817459305202,5.5
"Brayopsis gamosepala","perennial",NA,NA,NA,NA
"Brayopsis monimocalyx","perennial",8,1670.625,240.185605313891,84.9184351304238
"Cremolobus chilensis","annual",NA,NA,NA,NA
"Cremolobus peruvianus","perennial",9,1166.55555555556,163.386895979383,54.4622986597944
"Cremolobus rhomboideus","annual",NA,NA,NA,NA
"Dactylocardamum imbricatifolium","perennial",NA,NA,NA,NA
"Eudema nubigena subsp. nubigena","no_life_form_on_database",2,919.5,44.5477272147525,31.5
"Eudema nubigena subsp. remyana","perennial",1,880,NA,NA
"Eudema rupestris","perennial",NA,NA,NA,NA
"Mathewsia auriculata","perennial",3,1685.66666666667,423.107945249594,244.281486086122
"Mathewsia collina","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia densifolia","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia foliosa","perennial",NA,NA,NA,NA
"Mathewsia incana","perennial",NA,NA,NA,NA
"Mathewsia linearifolia","perennial",NA,NA,NA,NA
"Mathewsia peruviana","no_life_form_on_database",NA,NA,NA,NA
"Menonvillea chilensis","annual",5,1566.4,146.278159682162,65.4175817345765
"Menonvillea cicatricosa","perennial",3,1407,172.267234261191,99.4585340732508
"Menonvillea comberi","annual",NA,NA,NA,NA
"Menonvillea cuneata","perennial",15,1581.86666666667,304.883553102461,78.720594913225
"Menonvillea famatinensis","perennial",1,1980,NA,NA
"Menonvillea filifolia","annual",NA,NA,NA,NA
"Menonvillea flexuosa","perennial",NA,NA,NA,NA
"Menonvillea frigida","perennial",NA,NA,NA,NA
"Menonvillea hookeri","no_life_form_on_database",12,1532.75,150.639922874503,43.4860000111495
"Menonvillea linearis","perennial",2,1520,152.735064736294,108
"Menonvillea litoralis","annual",4,1458,153.772559320576,76.8862796602879
"Menonvillea marticorenae","annual",NA,NA,NA,NA
"Menonvillea minima","annual",NA,NA,NA,NA
"Menonvillea nordenskjoeldii","perennial",5,1023.4,200.285546158478,89.5704192242059
"Menonvillea orbiculata","annual",NA,NA,NA,NA
"Menonvillea patagonica","annual",9,1509.66666666667,180.833486943099,60.277828981033
"Menonvillea pinnatifida","annual",3,1550.66666666667,122.663496335843,70.8198026292395
"Menonvillea purpurea","perennial",2,1409.5,3.53553390593274,2.5
"Menonvillea rigida","perennial",NA,NA,NA,NA
"Menonvillea scapigera","perennial",2,1228.5,177.483802077823,125.5
"Menonvillea spathulata","perennial",6,1484.83333333333,201.541476293756,82.2789631544891
"Menonvillea virens","perennial",7,1868.28571428571,253.48353942989,95.8077723971322
"Onuris alismatifolia","perennial",3,759.666666666667,266.385685301094,153.797847116849
"Onuris graminifolia","perennial",18,1418.77777777778,276.681502082758,65.2144554505327
"Onuris hatcheriana","perennial",3,1065.33333333333,147.507061977837,85.1632419402748
"Onuris hauthalii","no_life_form_on_database",1,946,NA,NA
"Onuris papillosa","perennial",6,975.166666666667,168.581632056006,68.8231630904725
"Onuris spegazziniana","perennial",6,1193.83333333333,453.909866236312,185.307926915655
"Schizopetalon arcuatum","annual",1,1313,NA,NA
"Schizopetalon bipinnatifidum","annual",NA,NA,NA,NA
"Schizopetalon biseriatum","annual",NA,NA,NA,NA
"Schizopetalon brachycarpum","annual",NA,NA,NA,NA
"Schizopetalon dentatum","annual",2,1626,15.556349186104,11
"Schizopetalon maritimum","annual",NA,NA,NA,NA
"Schizopetalon rupestre","annual",NA,NA,NA,NA
"Schizopetalon tenuifolium","annual",NA,NA,NA,NA
"Schizopetalon walkeri","annual",3,1345.33333333333,84.7191438420699,48.9126205027337
"Smelowskia calycina","perennial",31,877.870967741935,270.854172564683,48.646845468692
"Thlaspi arvense","annual",606,930.483498349835,276.063818633754,11.2143260538767
"Xerodraba patagonica","perennial",4,1351.25,253.322423010676,126.661211505338
"Xerodraba pectinata","no_life_form_on_database",4,1118.25,260.905314881344,130.452657440672
"Xerodraba pycnophylloides","no_life_form_on_database",5,1183.8,141.236326771833,63.1628055108384
