"species","life_form","n_bio_15","mean_bio_15","sd_bio_15","se_bio_15","within_sp_var_bio_15"
"Andrzeiowskia cardamine","annual",1,4.644391,NA,NA,0.220168
"Aplanodes doidgeana","perennial",1,4.418841,NA,NA,0.220168
"Armoracia rusticana","perennial",6,3.189197,0.319962,0.130624,0.036695
"Barbarea australis","annual",4,3.217242,0.3741,0.18705,0.055042
"Barbarea grayi","annual",8,3.094587,0.235959,0.083424,0.027521
"Barbarea intermedia","perennial",83,3.45732,0.600045,0.065863,0.002653
"Barbarea orthoceras","perennial",430,3.811621,0.481944,0.023241,0.000512
"Barbarea stricta","perennial",222,3.435652,0.251355,0.01687,0.000992
"Barbarea verna","perennial",30,3.305798,0.536839,0.098013,0.007339
"Barbarea vulgaris","perennial",223,3.342073,0.480702,0.03219,0.000987
"Cardamine abchasica","perennial",NA,NA,NA,NA,NA
"Cardamine acris","perennial",NA,NA,NA,NA,NA
"Cardamine africana","perennial",94,4.016175,0.520006,0.053635,0.002342
"Cardamine alpina","no_life_form_on_database",14,3.139638,0.486813,0.130106,0.015726
"Cardamine altigena","perennial",10,2.97197,0.374178,0.118325,0.022017
"Cardamine amara","perennial",343,3.284723,0.366442,0.019786,0.000642
"Cardamine amporitana","no_life_form_on_database",3,3.216155,0.437616,0.252658,0.073389
"Cardamine angulata","perennial",27,4.075532,0.246743,0.047486,0.008154
"Cardamine angustata","perennial",33,2.759669,0.213295,0.03713,0.006672
"Cardamine apennina","perennial",4,3.231085,0.324905,0.162452,0.055042
"Cardamine appendiculata","perennial",19,3.542332,0.365585,0.083871,0.011588
"Cardamine asarifolia","perennial",5,3.121038,0.118597,0.053038,0.044034
"Cardamine barbaraeoides","perennial",1,4.110874,NA,NA,0.220168
"Cardamine bellidifolia","perennial",552,3.776979,0.459145,0.019543,0.000399
"Cardamine bilobata","perennial",9,2.538344,0.243876,0.081292,0.024463
"Cardamine bipinnata","perennial",5,3.319297,0.643603,0.287828,0.044034
"Cardamine blaisdellii","perennial",18,4.09821,0.289001,0.068118,0.012232
"Cardamine bonariensis","perennial",90,3.790017,0.647409,0.068243,0.002446
"Cardamine breweri","perennial",64,3.795575,0.617956,0.077244,0.00344
"Cardamine bulbifera","perennial",176,3.29395,0.319602,0.024091,0.001251
"Cardamine bulbosa","perennial",194,3.096719,0.549377,0.039443,0.001135
"Cardamine californica","perennial",46,4.399789,0.188829,0.027841,0.004786
"Cardamine carnosa","perennial",5,3.879863,0.290891,0.13009,0.044034
"Cardamine castellana","no_life_form_on_database",NA,NA,NA,NA,NA
"Cardamine clematitis","perennial",NA,NA,NA,NA,NA
"Cardamine concatenata","perennial",22,2.601839,0.273773,0.058369,0.010008
"Cardamine conferta","perennial",2,4.13896,0.378669,0.267759,0.110084
"Cardamine constancei","perennial",NA,NA,NA,NA,NA
"Cardamine cordifolia","perennial",70,3.472533,0.553405,0.066145,0.003145
"Cardamine corymbosa","perennial",38,2.654462,0.284178,0.0461,0.005794
"Cardamine crassifolia","perennial",2,3.601703,0.192286,0.135967,0.110084
"Cardamine cubita","perennial",NA,NA,NA,NA,NA
"Cardamine debilis","perennial",41,2.803785,0.269517,0.042091,0.00537
"Cardamine delavayi","perennial",NA,NA,NA,NA,NA
"Cardamine densiflora","no_life_form_on_database",NA,NA,NA,NA,NA
"Cardamine dentata","no_life_form_on_database",171,3.410363,0.268015,0.020496,0.001288
"Cardamine digitata","perennial",110,4.234997,0.220707,0.021044,0.002002
"Cardamine diphylla","perennial",131,2.759249,0.344951,0.030139,0.001681
"Cardamine dissecta","perennial",NA,NA,NA,NA,NA
"Cardamine douglassii","perennial",65,2.928509,0.371746,0.046109,0.003387
