"species","life_form","n","mean","sd","se"
"Andrzeiowskia cardamine","annual",1,5836,NA,NA
"Aplanodes doidgeana","perennial",1,3974,NA,NA
"Armoracia rusticana","perennial",6,10342.6666666667,1441.12187779753,588.335542960912
"Barbarea australis","annual",4,3069.25,257.167098725064,128.583549362532
"Barbarea grayi","annual",8,4697.75,359.430800015803,127.07797802924
"Barbarea intermedia","annual",83,5818.30120481928,1392.09013528386,152.801743538381
"Barbarea orthoceras","annual",430,9233.10697674419,3255.79009029643,157.008140153901
"Barbarea stricta","annual",222,8650.25675675676,2005.39807082421,134.593505834819
"Barbarea verna","annual",30,5705.76666666667,795.00473576266,145.147342366881
"Barbarea vulgaris","annual",223,6903.60538116592,1159.5346714891,77.6481847992906
"Cardamine abchasica","perennial",NA,NA,NA,NA
"Cardamine acris","perennial",NA,NA,NA,NA
"Cardamine africana","perennial",94,1591.82978723404,1116.65119204458,115.173776413499
"Cardamine alpina","no_life_form_on_database",14,6464.35714285714,357.939317405974,95.6633064992062
"Cardamine altigena","perennial",10,359.1,100.380885741371,31.7432232487853
"Cardamine amara","perennial",343,7714.93586005831,1828.02809154465,98.7042391809625
"Cardamine amporitana","no_life_form_on_database",3,6261.33333333333,317.296916677949,183.191460257052
"Cardamine angulata","perennial",27,4447.51851851852,1146.16810991335,220.580155598345
"Cardamine angustata","perennial",33,7771.06060606061,590.102742081513,102.72370211458
"Cardamine apennina","perennial",4,6577.5,273.356299848141,136.67814992407
"Cardamine appendiculata","perennial",19,8053.63157894737,216.635949239557,49.6996952775388
"Cardamine asarifolia","perennial",5,6565,225.145508505055,100.688132369212
"Cardamine barbaraeoides","perennial",1,6739,NA,NA
"Cardamine bellidifolia","perennial",552,10329.1594202899,3553.1747338968,151.233159857831
"Cardamine bilobata","perennial",9,3596.77777777778,198.567858538195,66.1892861793982
"Cardamine bipinnata","perennial",5,7607.4,477.079448310237,213.356415417957
"Cardamine blaisdellii","perennial",18,12692.8333333333,2180.0910463988,513.852387504224
"Cardamine bonariensis","perennial",90,2200.37777777778,1782.23707787371,187.864283216127
"Cardamine breweri","perennial",64,6836,1813.45663096225,226.682078870281
"Cardamine bulbifera","perennial",176,7154.27272727273,1251.45272134677,94.3317981721914
"Cardamine bulbosa","perennial",194,8800.12371134021,1559.77618467338,111.98540374039
"Cardamine californica","perennial",46,4762.23913043478,1643.85744427595,242.373557223835
"Cardamine carnosa","perennial",5,6676.4,235.306820980608,105.232409456403
"Cardamine castellana","no_life_form_on_database",NA,NA,NA,NA
"Cardamine clematitis","perennial",NA,NA,NA,NA
"Cardamine concatenata","perennial",22,9139,987.856216643852,210.611653044812
"Cardamine conferta","perennial",2,16762,1384.51507756326,979
"Cardamine constancei","perennial",NA,NA,NA,NA
"Cardamine cordifolia","perennial",70,8022.52857142857,748.417590971905,89.4530116458748
"Cardamine corymbosa","perennial",38,2813.18421052632,754.012827163927,122.317032373356
"Cardamine crassifolia","perennial",2,5238,776.403245742829,549
"Cardamine cubita","perennial",NA,NA,NA,NA
"Cardamine debilis","perennial",41,3037.36585365854,446.942040766896,69.8006198527369
"Cardamine delavayi","perennial",NA,NA,NA,NA
"Cardamine densiflora","no_life_form_on_database",NA,NA,NA,NA
"Cardamine dentata","no_life_form_on_database",171,8499.69590643275,2154.08362417162,164.726891819297
"Cardamine digitata","perennial",110,13456.7636363636,1496.79744927968,142.71403715664
"Cardamine diphylla","perennial",131,8987.48091603053,960.597236908413,83.9277702704264
"Cardamine dissecta","perennial",NA,NA,NA,NA
"Cardamine douglassii","perennial",65,8759.06153846154,718.393909115219,89.1057978476102
"Cardamine enneaphyllos","perennial",22,7017.81818181818,406.772152950008,86.7241144024556
"Cardamine fallax","no_life_form_on_database",NA,NA,NA,NA
"Cardamine fialae","annual",1,6772,NA,NA
"Cardamine flexuosa","annual",261,6347.47126436782,1181.58800420074,73.1384613420014
"Cardamine fragariifolia","perennial",9,6314.44444444444,1168.75971772549,389.586572575165
"Cardamine franchetiana","perennial",7,5773.28571428571,443.869618351198,167.766946384917
"Cardamine fulcrata","perennial",26,1228.73076923077,772.268686802323,151.454350143912
"Cardamine gallaecica","no_life_form_on_database",NA,NA,NA,NA
"Cardamine glacialis","perennial",22,3066.13636363636,803.598412822542,171.327757275998
"Cardamine glanduligera","perennial",12,7718.83333333333,287.015942963368,82.8543659658075
"Cardamine glandulosa","no_life_form_on_database",NA,NA,NA,NA
"Cardamine glauca","perennial",1,6781,NA,NA
"Cardamine glechomifolia","perennial",1,6900,NA,NA
"Cardamine graeca","annual",49,6432.18367346939,997.507616375881,142.501088053697
"Cardamine granulosa","no_life_form_on_database",NA,NA,NA,NA
"Cardamine griffithii","perennial",25,5964.28,1066.45755189787,213.291510379574
"Cardamine heptaphylla","perennial",40,6223.6,506.184105556416,80.0347344466683
"Cardamine hirsuta","annual",492,5946.53861788618,1770.14445097691,79.8042750210468
"Cardamine impatiens","annual",371,7679.96226415094,1925.15648888091,99.9491448407351
"Cardamine jamesonii","perennial",10,288.2,129.364944590445,40.9087874287284
"Cardamine keysseri","perennial",NA,NA,NA,NA
"Cardamine kitaibelii","perennial",3,6558.66666666667,258.681915358096,149.350073466485
"Cardamine lacustris","annual",2,3116.5,1021.76929881456,722.5
"Cardamine leucantha","perennial",112,9608.53571428571,2181.51448314111,206.133742995607
"Cardamine lihengiana","perennial",NA,NA,NA,NA
"Cardamine lilacina","annual",37,4053.24324324324,898.087672205207,147.644703821962
"Cardamine longii","perennial",7,8133.57142857143,870.333433641547,328.955117588639
"Cardamine macrophylla","perennial",183,9740.36612021858,3435.1549259414,253.933959028026
"Cardamine majovskii","no_life_form_on_database",NA,NA,NA,NA
"Cardamine maritima","annual",NA,NA,NA,NA
"Cardamine matthioli","perennial",15,7439,254.741325381538,65.7739273862336
"Cardamine microphylla","perennial",30,12801.4666666667,2988.50409740892,545.62370244916
"Cardamine microzyga","perennial",10,5683.6,422.412699724912,133.57862437115
"Cardamine monteluccii","annual",3,6203,795.564579402577,459.31942407581
"Cardamine niigatensis","perennial",1,8277,NA,NA
"Cardamine nipponica","perennial",14,8061.57142857143,1008.50328661878,269.533840854497
"Cardamine nuttallii","perennial",31,5411.12903225806,1156.54386692811,207.721410526838
"Cardamine obliqua","perennial",26,1163.26923076923,734.386359224751,144.02501446936
"Cardamine occidentalis","no_life_form_on_database",NA,NA,NA,NA
"Cardamine occulta","annual",6,6333,2121.95212010073,866.283325477295
"Cardamine oligosperma","annual",131,6512.69465648855,1895.68209316748,165.626513494012
"Cardamine ovata","perennial",31,588.677419354839,452.175584413605,81.2131324077389
"Cardamine pancicii","no_life_form_on_database",1,7105,NA,NA
"Cardamine papuana","perennial",7,603.285714285714,683.519254614361,258.345994861977
"Cardamine parviflora","annual",221,8423.56561085973,1917.22021580801,128.966187927379
"Cardamine pattersonii","annual",1,3939,NA,NA
"Cardamine paucijuga","annual",47,3977.29787234043,1070.06604661853,156.085174792197
"Cardamine pectinata","annual",5,7183.8,458.536476193552,205.063746186399
"Cardamine pedata","perennial",NA,NA,NA,NA
"Cardamine pensylvanica","annual",262,9063.9465648855,2111.22766599676,130.432080796985
"Cardamine pentaphyllos","perennial",15,6533.6,416.811502446164,107.620267165446
"Cardamine penzesii","no_life_form_on_database",NA,NA,NA,NA
"Cardamine plumierii","annual",7,6010.28571428571,860.959874071902,325.412245085677
"Cardamine polemonioides","perennial",26,13828.1153846154,1818.532382487,356.643542476984
"Cardamine pratensis","perennial",559,8341.98032200358,2712.1017662786,114.709682474504
"Cardamine prorepens","perennial",14,15577.2142857143,1389.46526397036,371.350212042893
"Cardamine purpurea","perennial",78,11491.7948717949,1885.97930990135,213.545105947317
"Cardamine quinquefolia","perennial",52,8994.57692307692,1210.35292772525,167.845751627745
"Cardamine raphanifolia","perennial",13,5175.76923076923,535.986497629395,148.655907704549
"Cardamine resedifolia","perennial",40,6125.4,898.643673144173,142.088040601774
"Cardamine rivularis","no_life_form_on_database",7,6974.85714285714,357.421986159884,135.092812640832
"Cardamine rockii","perennial",6,5538.5,815.07490453332,332.752936375724
"Cardamine rotundifolia","perennial",19,8368.84210526316,389.68580836331,89.4000557046118
"Cardamine rupestris","annual",NA,NA,NA,NA
"Cardamine rupicola","perennial",NA,NA,NA,NA
"Cardamine scutata","annual",56,7883.16071428571,1228.0005149064,164.098471341491
"Cardamine seidlitziana","perennial",NA,NA,NA,NA
"Cardamine serbica","no_life_form_on_database",NA,NA,NA,NA
"Cardamine sphenophylla","no_life_form_on_database",NA,NA,NA,NA
"Cardamine tanakae","annual",30,7745.36666666667,542.823238095139,99.1055107475684
"Cardamine tangutorum","perennial",43,7633.76744186046,1655.01088814156,252.386794326482
"Cardamine tenera","perennial",14,7820.92857142857,801.46341768674,214.200108358334
"Cardamine torrentis","no_life_form_on_database",11,8459.09090909091,1510.38706658561,455.398835279092
"Cardamine trichocarpa","annual",27,1153,625.136169781617,120.307511967863
"Cardamine trifolia","perennial",21,6986.19047619048,244.398162646043,53.3320514301725
"Cardamine uliginosa","perennial",25,7997.16,642.582593913032,128.516518782606
"Cardamine umbellata","perennial",133,7907.35338345865,2701.10513072046,234.215518758046
"Cardamine victoris","perennial",3,10715,1079.59297885824,623.303296959033
"Cardamine waldsteinii","perennial",3,7313.66666666667,216.084088570476,124.756206703759
"Cardamine wiedmanniana","no_life_form_on_database",NA,NA,NA,NA
"Cardamine yezoensis","perennial",21,9103.28571428571,850.667687340782,185.630908023436
"Cardamine yunnanensis","perennial",29,5461.72413793103,998.102875335852,185.343050970979
"Iodanthus pinnatifidus","perennial",NA,NA,NA,NA
"Leavenworthia alabamica","annual",1,7467,NA,NA
"Leavenworthia aurea","annual",NA,NA,NA,NA
"Leavenworthia crassa","annual",NA,NA,NA,NA
"Leavenworthia exigua","annual",NA,NA,NA,NA
"Leavenworthia stylosa","annual",2,7744.5,258.09397513309,182.5
"Leavenworthia texana","annual",NA,NA,NA,NA
"Leavenworthia torulosa","annual",1,7756,NA,NA
"Leavenworthia uniflora","annual",13,8425.07692307692,464.51201303778,128.832452390516
"Nasturtium microphyllum","perennial",43,5780.83720930233,904.633467744509,137.955310506064
"Nasturtium officinale","perennial",186,6205.52688172043,1445.41414315047,105.982907052039
"Ornithocarpa torulosa","no_life_form_on_database",7,4160.14285714286,798.321244564999,301.73706849408
"Planodes virginicum","annual",75,7967.65333333333,1824.35134339418,210.657947841017
"Rorippa amphibia","perennial",220,8204.32727272727,2412.69207950076,162.663666816556
"Rorippa austriaca","perennial",NA,NA,NA,NA
"Rorippa divaricata","annual",NA,NA,NA,NA
"Rorippa dubia","annual",102,6786.50980392157,2021.5672762434,200.164987153446
"Rorippa indica","no_life_form_on_database",NA,NA,NA,NA
"Rorippa islandica","annual",NA,NA,NA,NA
"Rorippa palustris","annual",1231,9347.18115353371,2902.08866396225,82.7145002817696
"Rorippa sylvestris","perennial",264,7559.7196969697,1950.01863816536,120.015350804631
"Selenia aurea","annual",18,8629.33333333333,476.862663667434,112.397607724641
"Selenia dissecta","annual",13,7325.15384615385,620.076453102605,171.97826510533
"Selenia grandis","annual",NA,NA,NA,NA
"Selenia jonesii","annual",NA,NA,NA,NA
"Selenia mexicana","no_life_form_on_database",NA,NA,NA,NA
"Sisymbrella aspera","annual",34,6038.76470588235,578.277958688083,99.1738517341044
