"species","life_form","n","mean","sd","se"
"Acroptilon repens","perennial",169,1685.49704142012,439.674516035122,33.8211166180863
"Alfredia cernua","perennial",12,893.333333333333,154.001377404308,44.4563683499753
"Alfredia nivea","perennial",8,1155.875,321.276666486335,113.588454754748
"Amphoricarpos autariatus","no_life_form_on_database",NA,NA,NA,NA
"Amphoricarpos exsul","no_life_form_on_database",NA,NA,NA,NA
"Ancathia igniaria","perennial",13,1048.61538461538,229.168983671271,63.5600401055951
"Arctium lappa","perennial",393,1006.72010178117,244.03840453032,12.3101090965398
"Atractylis cancellata","annual",102,1694.80392156863,243.348873109934,24.0951288795944
"Atractylis carduus","perennial",6,2352.66666666667,589.424012631541,240.631345515177
"Atractylodes japonica","perennial",9,1115.33333333333,111.217129975557,37.0723766585191
"Atractylodes koreana","perennial",8,1108.5,130.421295368948,46.1108911832583
"Atractylodes lancea","perennial",65,1303.30769230769,134.748483650666,16.7134924059087
"Berardia subacaulis","no_life_form_on_database",2,1148.5,159.099025766973,112.5
"Callicephalus nitens","annual",6,1465.66666666667,308.70611698939,126.028744516656
"Cardopatium corymbosum","perennial",13,1588.15384615385,193.700734017645,53.7229175842792
"Carduus acanthoides","annual",270,999.914814814815,236.44098299875,14.389339989679
"Carduus carlinoides","perennial",12,1155.08333333333,252.524151260225,72.8974433534863
"Carduus defloratus","perennial",40,950.9,140.600871719222,22.2309497818948
"Carduus keniensis","no_life_form_on_database",4,1108.25,191.642679658438,95.821339829219
"Carduus nutans","annual",252,953.785714285714,248.103406893651,15.6290455730588
"Carduus nyassanus","perennial",13,1363,263.860442911273,73.1817197294796
"Carduus pycnocephalus","annual",147,1504.1768707483,328.849524248341,27.1230516210943
"Carduus tenuiflorus","annual",115,1327.01739130435,336.775186156402,31.4044480386871
"Carlina acanthifolia","perennial",20,1094.45,127.897358106125,28.5987186867929
"Carlina falcata","no_life_form_on_database",1,1869,NA,NA
"Carlina gummifera","no_life_form_on_database",23,1556.95652173913,204.742738412883,42.6918121326033
"Carlina lanata","no_life_form_on_database",46,1513.5,240.682617199959,35.4867158924423
"Carlina sicula","perennial",3,1450,83.1624915451672,48.0138868800822
"Carlina vulgaris","annual",267,886.625468164794,173.574782336663,10.6226041693128
"Carthamus balearicus","no_life_form_on_database",NA,NA,NA,NA
