"species","life_form","n","mean","sd","se"
"Chorispora bungeana","perennial",31,71.258064516129,103.209485268857,18.536970773741
"Chorispora macropoda","perennial",25,1.88,85.567867800945,17.113573560189
"Chorispora persica","annual",2,27,31.1126983722081,22
"Chorispora purpurascens","annual",5,76,52.1967431934216,23.343093196918
"Chorispora sabulosa","perennial",23,12.7826086956522,113.510895160588,23.6686577935041
"Chorispora sibirica","annual",NA,NA,NA,NA
"Chorispora songarica","perennial",1,-28,NA,NA
"Chorispora tashkorganica","annual",NA,NA,NA,NA
"Chorispora tenella","annual",135,162.703703703704,80.1291005027152,6.89641492874659
"Diptychocarpus strictus","annual",16,93.625,60.7913096859521,15.197827421488
"Litwinowia tenuissima","annual",NA,NA,NA,NA
"Parrya ajanensis","no_life_form_on_database",NA,NA,NA,NA
"Parrya alba","perennial",NA,NA,NA,NA
"Parrya albida","perennial",NA,NA,NA,NA
"Parrya angrenica","no_life_form_on_database",NA,NA,NA,NA
"Parrya arctica","perennial",89,50.0112359550562,27.5039230185369,2.91541000915072
"Parrya asperrima","perennial",NA,NA,NA,NA
"Parrya australis","perennial",1,110,NA,NA
"Parrya darvazica","perennial",NA,NA,NA,NA
"Parrya fruticulosa","perennial",NA,NA,NA,NA
"Parrya glabra","perennial",NA,NA,NA,NA
"Parrya kuramensis","perennial",NA,NA,NA,NA
"Parrya lancifolia","perennial",NA,NA,NA,NA
"Parrya longicarpa","perennial",NA,NA,NA,NA
"Parrya maidantalica","perennial",1,-38,NA,NA
"Parrya minjanensis","perennial",NA,NA,NA,NA
"Parrya nauruaq","perennial",4,97.5,7.85281265959316,3.92640632979658
"Parrya nudicaulis","perennial",51,61.5098039215686,75.7478376058405,10.6068188407646
"Parrya nuratensis","perennial",NA,NA,NA,NA
"Parrya papillosa","annual",NA,NA,NA,NA
"Parrya pavlovii","perennial",1,92,NA,NA
"Parrya pazijae","perennial",NA,NA,NA,NA
"Parrya pinnatifida","perennial",NA,NA,NA,NA
"Parrya podlechii","perennial",NA,NA,NA,NA
"Parrya popovii","perennial",NA,NA,NA,NA
"Parrya pulvinata","perennial",NA,NA,NA,NA
"Parrya runcinata","perennial",NA,NA,NA,NA
"Parrya rydbergii","perennial",4,17,45.5192267069642,22.7596133534821
"Parrya saurica","perennial",1,86,NA,NA
"Parrya saxifraga","perennial",NA,NA,NA,NA
"Parrya schugnana","perennial",1,-17,NA,NA
"Parrya simulatrix","no_life_form_on_database",NA,NA,NA,NA
"Parrya stenocarpa","perennial",1,-4,NA,NA
"Parrya stenophylla","no_life_form_on_database",1,-3,NA,NA
"Parrya subsiliquosa","perennial",NA,NA,NA,NA
"Parrya tianschanica","perennial",NA,NA,NA,NA
"Parrya turkestanica","perennial",1,-87,NA,NA
"Parrya villosula","no_life_form_on_database",NA,NA,NA,NA
"Pseudoclausia gracillima","no_life_form_on_database",NA,NA,NA,NA
"Pseudoclausia hispida","annual",NA,NA,NA,NA
"Pseudoclausia mollissima","annual",NA,NA,NA,NA
"Pseudoclausia olgae","annual",NA,NA,NA,NA
"Pseudoclausia sarawschanica","annual",NA,NA,NA,NA
"Pseudoclausia turkestanica","no_life_form_on_database",NA,NA,NA,NA
