"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Chorispora bungeana","perennial",31,8.163134,0.96024,0.172464,0.009811
"Chorispora macropoda","perennial",25,8.05048,0.899939,0.179988,0.012166
"Chorispora persica","annual",2,6.976653,0.685063,0.484413,0.152071
"Chorispora purpurascens","annual",5,7.116039,0.67215,0.300595,0.060828
"Chorispora sabulosa","perennial",23,8.281947,0.63786,0.133003,0.013224
"Chorispora sibirica","annual",NA,NA,NA,NA,NA
"Chorispora songarica","perennial",1,8.885718,NA,NA,0.304142
"Chorispora tashkorganica","annual",NA,NA,NA,NA,NA
"Chorispora tenella","annual",135,8.171689,0.658415,0.056667,0.002253
"Diptychocarpus strictus","annual",16,6.9605,0.410859,0.102715,0.019009
"Litwinowia tenuissima","annual",NA,NA,NA,NA,NA
"Parrya ajanensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya alba","perennial",NA,NA,NA,NA,NA
"Parrya albida","perennial",NA,NA,NA,NA,NA
"Parrya angrenica","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya arctica","perennial",84,8.465365,0.206209,0.022499,0.003621
"Parrya asperrima","perennial",NA,NA,NA,NA,NA
"Parrya australis","perennial",1,7.721792,NA,NA,0.304142
"Parrya darvazica","perennial",NA,NA,NA,NA,NA
"Parrya fruticulosa","perennial",NA,NA,NA,NA,NA
"Parrya glabra","perennial",NA,NA,NA,NA,NA
"Parrya kuramensis","perennial",NA,NA,NA,NA,NA
"Parrya lancifolia","perennial",NA,NA,NA,NA,NA
"Parrya longicarpa","perennial",NA,NA,NA,NA,NA
"Parrya maidantalica","perennial",1,8.830543,NA,NA,0.304142
"Parrya minjanensis","perennial",NA,NA,NA,NA,NA
"Parrya nauruaq","perennial",4,9.110899,0.147401,0.0737,0.076035
"Parrya nudicaulis","perennial",51,8.381528,0.515124,0.072132,0.005964
"Parrya nuratensis","perennial",NA,NA,NA,NA,NA
"Parrya papillosa","annual",NA,NA,NA,NA,NA
"Parrya pavlovii","perennial",1,7.800163,NA,NA,0.304142
"Parrya pazijae","perennial",NA,NA,NA,NA,NA
"Parrya pinnatifida","perennial",NA,NA,NA,NA,NA
"Parrya podlechii","perennial",NA,NA,NA,NA,NA
"Parrya popovii","perennial",NA,NA,NA,NA,NA
"Parrya pulvinata","perennial",NA,NA,NA,NA,NA
"Parrya runcinata","perennial",NA,NA,NA,NA,NA
"Parrya rydbergii","perennial",4,8.483264,0.145912,0.072956,0.076035
"Parrya saurica","perennial",1,8.874728,NA,NA,0.304142
"Parrya saxifraga","perennial",NA,NA,NA,NA,NA
"Parrya schugnana","perennial",1,7.290293,NA,NA,0.304142
"Parrya simulatrix","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya stenocarpa","perennial",1,8.414496,NA,NA,0.304142
"Parrya stenophylla","no_life_form_on_database",1,8.749098,NA,NA,0.304142
"Parrya subsiliquosa","perennial",NA,NA,NA,NA,NA
"Parrya tianschanica","perennial",NA,NA,NA,NA,NA
"Parrya turkestanica","perennial",1,7.855157,NA,NA,0.304142
"Parrya villosula","no_life_form_on_database",NA,NA,NA,NA,NA
"Pseudoclausia gracillima","no_life_form_on_database",NA,NA,NA,NA,NA
"Pseudoclausia hispida","annual",NA,NA,NA,NA,NA
"Pseudoclausia mollissima","annual",NA,NA,NA,NA,NA
"Pseudoclausia olgae","annual",NA,NA,NA,NA,NA
"Pseudoclausia sarawschanica","annual",NA,NA,NA,NA,NA
"Pseudoclausia turkestanica","no_life_form_on_database",NA,NA,NA,NA,NA
