"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Croton abutiloides","perennial",7,5.274157,0.562383,0.212561,0.031925
"Croton acapulcensis","perennial",2,5.731132,0.32509,0.229873,0.111738
"Croton acutifolius","perennial",3,5.482969,0.237427,0.137079,0.074492
"Croton adenophyllum","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton adspersus","perennial",29,5.270469,0.559048,0.103813,0.007706
"Croton aequatoris","perennial",5,5.356175,0.581202,0.259921,0.044695
"Croton alabamensis var. alabamensis","perennial",1,5.087596,NA,NA,0.223476
"Croton alabamensis var. texensis","perennial",3,4.641351,0.135362,0.078151,0.074492
"Croton alainii","perennial",1,5.525453,NA,NA,0.223476
"Croton alamosanus","perennial",36,5.163123,0.353108,0.058851,0.006208
"Croton alchorneicarpus","perennial",6,5.710248,0.229344,0.093629,0.037246
"Croton ameliae","perennial",3,5.22212,0.224988,0.129897,0.074492
"Croton andinus","perennial",37,4.98223,0.285754,0.046978,0.00604
"Croton antisyphiliticus","perennial",61,5.563618,0.241962,0.03098,0.003664
"Croton arboreus","perennial",25,5.397602,0.419436,0.083887,0.008939
"Croton argenteus","annual",108,5.339446,0.348428,0.033527,0.002069
"Croton argentinus","perennial",13,4.894717,0.339609,0.094191,0.01719
"Croton argyranthemus","annual",51,4.868631,0.390748,0.054716,0.004382
"Croton argyratus","perennial",94,5.859488,0.34553,0.035639,0.002377
"Croton argyrophyllus","perennial",56,5.051548,0.47982,0.064119,0.003991
"Croton astroites","perennial",NA,NA,NA,NA,NA
"Croton ater","perennial",NA,NA,NA,NA,NA
"Croton atrostellatus","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton axillaris","perennial",11,5.426287,0.178543,0.053833,0.020316
"Croton beetlei","perennial",9,5.09005,0.273121,0.09104,0.024831
"Croton betulinus","perennial",10,5.214602,0.204269,0.064596,0.022348
"Croton billbergianus","perennial",34,5.933599,0.302949,0.051955,0.006573
"Croton bispinosus","perennial",NA,NA,NA,NA,NA
"Croton bixoides","perennial",2,5.779198,0.078648,0.055613,0.111738
"Croton blanchetianus","perennial",76,5.078668,0.394211,0.045219,0.00294
"Croton boiteaui","perennial",5,5.045125,0.195101,0.087252,0.044695
"Croton bojerianus","perennial",10,5.602505,0.394466,0.124741,0.022348
"Croton bonplandianus","perennial",85,4.954584,0.319862,0.034694,0.002629
"Croton bracteatus","perennial",1,5.843544,NA,NA,0.223476
"Croton breedlovei","perennial",1,5.758902,NA,NA,0.223476
"Croton brevipes","perennial",9,6.242028,0.267998,0.089333,0.024831
"Croton brittonianus","perennial",NA,NA,NA,NA,NA
"Croton burchellii","perennial",NA,NA,NA,NA,NA
"Croton caboensis","perennial",7,4.174393,0.435548,0.164622,0.031925
"Croton cajucara","perennial",42,5.865058,0.169544,0.026161,0.005321
"Croton californicus","perennial",85,3.821259,0.799334,0.0867,0.002629
"Croton campanulatus","perennial",1,5.505332,NA,NA,0.223476
"Croton capitatus","annual",145,4.858034,0.164618,0.013671,0.001541
"Croton caracasanus","perennial",6,5.143908,0.403624,0.164779,0.037246
"Croton cascarilloides","perennial",55,5.77696,0.296258,0.039947,0.004063
"Croton catamarcensis","perennial",NA,NA,NA,NA,NA
"Croton caudatus","perennial",78,5.839935,0.347833,0.039384,0.002865
"Croton ceanothifolius","perennial",26,5.423234,0.261496,0.051284,0.008595
"Croton celtidifolius","perennial",43,5.4275,0.226606,0.034557,0.005197
"Croton cerinus","perennial",5,5.40745,0.102648,0.045906,0.044695
"Croton chamelensis","perennial",5,5.646038,0.104885,0.046906,0.044695
"Croton chichenensis","perennial",17,5.209197,0.401685,0.097423,0.013146
"Croton chilensis","perennial",1,0.693147,NA,NA,0.223476
"Croton chocoanus","perennial",9,6.039096,0.367643,0.122548,0.024831
"Croton chrysodaphne","perennial",13,5.933792,0.292261,0.081059,0.01719
"Croton ciliatoglandulifer","perennial",107,5.091746,0.489427,0.047315,0.002089
"Croton columnaris","perennial",NA,NA,NA,NA,NA
"Croton conduplicatus","perennial",34,5.043651,0.44694,0.07665,0.006573
"Croton conspurcatus","perennial",NA,NA,NA,NA,NA
"Croton cordiifolius","perennial",14,4.859674,0.192346,0.051407,0.015963
"Croton coriaceus","perennial",3,5.503702,0.704911,0.406981,0.074492
"Croton coriifolius","perennial",NA,NA,NA,NA,NA
"Croton corinthius","perennial",NA,NA,NA,NA,NA
"Croton coryi","annual",2,4.715941,0.101188,0.071551,0.111738
"Croton corylifolius","perennial",11,5.2659,0.222815,0.067181,0.020316
"Croton craspedotrichus","perennial",2,5.375343,0.094858,0.067075,0.111738
"Croton crassifolius","perennial",19,5.565111,0.23302,0.053458,0.011762
"Croton crocodilorum","perennial",15,5.404083,0.392687,0.101391,0.014898
"Croton culiacanensis","perennial",5,5.400739,0.265323,0.118656,0.044695
"Croton cuneatus","perennial",128,5.771555,0.236777,0.020928,0.001746
"Croton cupreatus","perennial",NA,NA,NA,NA,NA
"Croton cupulifer","perennial",2,5.512053,0.0742,0.052467,0.111738
"Croton curiosus","perennial",NA,NA,NA,NA,NA
"Croton cuyabensis","perennial",6,5.251526,0.101276,0.041346,0.037246
"Croton decalobus","perennial",6,5.857866,0.146522,0.059817,0.037246
"Croton decalvatus","perennial",2,6.013329,0.273292,0.193247,0.111738
"Croton dichrous","perennial",7,5.734513,0.217219,0.082101,0.031925
"Croton dioicus","perennial",94,4.396794,0.487615,0.050294,0.002377
"Croton discolor","perennial",7,5.072169,0.379774,0.143541,0.031925
"Croton disjunctus","perennial",2,4.791572,0.017605,0.012449,0.111738
"Croton domatifer","perennial",NA,NA,NA,NA,NA
"Croton draco","perennial",70,5.660357,0.473992,0.056653,0.003193
"Croton draconoides","perennial",15,5.807175,0.378205,0.097652,0.014898
"Croton echinocarpus","perennial",5,5.819274,0.168021,0.075141,0.044695
"Croton echioides","perennial",52,4.993655,0.395247,0.054811,0.004298
"Croton ehrenbergii","perennial",7,4.772327,0.797831,0.301552,0.031925
"Croton eichleri","perennial",NA,NA,NA,NA,NA
"Croton ekmanii","perennial",1,5.036953,NA,NA,0.223476
"Croton elegans","perennial",3,5.108712,0.519431,0.299894,0.074492
"Croton elliottii","annual",4,4.993967,0.093665,0.046832,0.055869
"Croton emporiorum","perennial",4,5.314895,0.186805,0.093402,0.055869
"Croton eremophilus","perennial",3,5.143382,0.49578,0.286239,0.074492
"Croton erythroxyloides","perennial",17,5.580506,0.329305,0.079868,0.013146
"Croton euryphyllus","perennial",17,5.46553,0.403943,0.097971,0.013146
"Croton fantzianus","perennial",8,5.153057,0.275874,0.097536,0.027934
"Croton flavens","perennial",22,5.220756,0.307186,0.065492,0.010158
"Croton floccosus","perennial",2,5.406528,0.773172,0.546715,0.111738
"Croton floribundus","perennial",85,5.336877,0.27953,0.030319,0.002629
"Croton fragrans","perennial",27,5.539968,0.326042,0.062747,0.008277
"Croton fragrantulus","perennial",3,5.475148,0.179383,0.103567,0.074492
"Croton francoanus","perennial",7,5.390782,0.516749,0.195313,0.031925
"Croton fruticulosus","perennial",56,4.427275,0.43772,0.058493,0.003991
"Croton fuscescens","no_life_form_on_database",31,5.375921,0.282547,0.050747,0.007209
"Croton glabellus","perennial",33,5.51139,0.328795,0.057236,0.006772
"Croton glandulosepalus","perennial",15,5.363679,0.264464,0.068284,0.014898
"Croton glandulosus","annual",407,5.217674,0.409091,0.020278,0.000549
"Croton gnaphalii","perennial",7,5.040661,0.144868,0.054755,0.031925
"Croton gossypiifolius","perennial",35,5.564651,0.446633,0.075495,0.006385
"Croton goudotii","perennial",14,5.75464,0.30706,0.082065,0.015963
"Croton gracilipes","perennial",79,5.267769,0.296024,0.033305,0.002829
"Croton gratissimus","perennial",78,4.868092,0.673239,0.076229,0.002865
"Croton grewiifolius","perennial",6,5.512377,0.522021,0.213114,0.037246
"Croton grisebachianus","perennial",NA,NA,NA,NA,NA
"Croton guatemalensis","perennial",38,5.627919,0.408833,0.066321,0.005881
"Croton guianensis","perennial",5,5.958252,0.297966,0.133254,0.044695
"Croton guildingii subsp. tiarensis","perennial",NA,NA,NA,NA,NA
"Croton gynopetalus","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton helicoideus","no_life_form_on_database",4,5.272249,0.452682,0.226341,0.055869
"Croton heliotropiifolius","perennial",99,5.107139,0.379235,0.038115,0.002257
"Croton hemiargyreus","perennial",7,5.343727,0.275016,0.103946,0.031925
"Croton heptalon","annual",10,4.82008,0.292374,0.092457,0.022348
"Croton heteranthus","perennial",4,5.91975,0.196807,0.098404,0.055869
"Croton heterocalyx","perennial",10,4.954475,0.303555,0.095993,0.022348
"Croton heterochrous","perennial",4,5.525041,0.259341,0.12967,0.055869
"Croton hibiscifolius","perennial",18,5.428286,0.374361,0.088238,0.012415
"Croton hircinus","perennial",10,4.98793,0.521856,0.165025,0.022348
"Croton hirtus","annual",219,5.421521,0.447183,0.030218,0.00102
"Croton hoffmannii","perennial",NA,NA,NA,NA,NA
"Croton huberi","perennial",1,4.934474,NA,NA,0.223476
"Croton humilis","perennial",39,5.1248,0.363367,0.058185,0.00573
"Croton hutchinsonianus","perennial",10,5.550102,0.314859,0.099567,0.022348
"Croton hypoleucus","perennial",20,4.657431,0.573961,0.128342,0.011174
"Croton icche","perennial",14,5.315829,0.249874,0.066782,0.015963
"Croton impressus","perennial",NA,NA,NA,NA,NA
"Croton insularis","perennial",62,5.164512,0.500787,0.0636,0.003604
"Croton itzaeus","perennial",5,5.07612,0.260194,0.116362,0.044695
"Croton jacobinensis","perennial",31,5.048459,0.471649,0.084711,0.007209
"Croton jamaicensis","perennial",NA,NA,NA,NA,NA
"Croton jimenezii","perennial",NA,NA,NA,NA,NA
"Croton jutiapensis","perennial",7,5.548466,0.169945,0.064233,0.031925
"Croton kerrii","perennial",9,5.771855,0.312725,0.104242,0.024831
"Croton klotzschianus","perennial",NA,NA,NA,NA,NA
"Croton kongensis","perennial",27,5.662555,0.383552,0.073815,0.008277
"Croton kongkandanus","perennial",2,5.718508,0.025547,0.018064,0.111738
"Croton laceratoglandulosus","perennial",29,5.144736,0.275946,0.051242,0.007706
"Croton lachnocarpus","perennial",21,5.614213,0.288753,0.063011,0.010642
"Croton lachnostachyus","perennial",39,4.967676,0.232929,0.037298,0.00573
"Croton laevigatus","perennial",1,5.693732,NA,NA,0.223476
"Croton lagoensis","perennial",6,5.772555,0.222172,0.090701,0.037246
"Croton lanatus var. tatacuensis","perennial",3,5.183037,0.043143,0.024909,0.074492
"Croton lasiopetaloides","no_life_form_on_database",3,5.53962,0.176992,0.102186,0.074492
"Croton laureltyanus","perennial",5,5.12976,0.112664,0.050385,0.044695
