"species","life_form","n","mean","sd","se"
"Croton abutiloides","perennial",7,87,26.1406452355969,9.88023520059354
"Croton acapulcensis","perennial",2,105,12.7279220613579,9
"Croton acutifolius","perennial",3,169,10.5356537528527,6.08276253029822
"Croton adenophyllum","no_life_form_on_database",NA,NA,NA,NA
"Croton adspersus","perennial",29,187.48275862069,34.1818881548769,6.34741728045003
"Croton aequatoris","perennial",5,75.6,17.0381923923872,7.6197112806195
"Croton alabamensis var. alabamensis","perennial",1,285,NA,NA
"Croton alabamensis var. texensis","perennial",3,309.666666666667,9.45163125250522,5.45690184791497
"Croton alainii","perennial",1,97,NA,NA
"Croton alamosanus","perennial",36,195.416666666667,60.3131707956776,10.0521951326129
"Croton alchorneicarpus","perennial",6,144.833333333333,5.34477938428395,2.18199704654042
"Croton ameliae","perennial",3,112,21.6564078277077,12.5033328890074
"Croton andinus","perennial",37,176.432432432432,32.2529417612138,5.30235096316222
"Croton antisyphiliticus","perennial",61,145.360655737705,8.12000161511734,1.0396596718497
"Croton arboreus","perennial",25,133.44,35.4343054115641,7.08686108231282
"Croton argenteus","annual",108,148.712962962963,47.061512923146,4.52849619244157
"Croton argentinus","perennial",13,218,39.7994974842648,11.0383945320936
"Croton argyranthemus","annual",51,260.509803921569,33.9313262629209,4.75133603906247
"Croton argyratus","perennial",94,67.6914893617021,26.5463792139503,2.73804995325112
"Croton argyrophyllus","perennial",56,123.482142857143,20.7706007891649,2.7755882810897
"Croton astroites","perennial",NA,NA,NA,NA
"Croton ater","perennial",NA,NA,NA,NA
"Croton atrostellatus","no_life_form_on_database",NA,NA,NA,NA
"Croton axillaris","perennial",11,128.454545454545,33.8241441469363,10.1983631809349
"Croton beetlei","perennial",9,167.888888888889,42.998384982591,14.332794994197
"Croton betulinus","perennial",10,77.4,31.0311671281203,9.81291665782062
"Croton billbergianus","perennial",34,89.2058823529412,42.7124135045033,7.32511848404411
"Croton bispinosus","perennial",NA,NA,NA,NA
"Croton bixoides","perennial",2,35,0,0
"Croton blanchetianus","perennial",76,125.671052631579,18.6686104877642,2.14143648769705
"Croton boiteaui","perennial",5,165.4,19.8065645683445,8.85776495511142
"Croton bojerianus","perennial",10,150.2,30.2720993655874,9.57287835501945
"Croton bonplandianus","perennial",85,197.317647058824,33.9032979729904,3.67732897542157
"Croton bracteatus","perennial",1,105,NA,NA
"Croton breedlovei","perennial",1,141,NA,NA
"Croton brevipes","perennial",9,59.3333333333333,31.7056777249754,10.5685592416585
"Croton brittonianus","perennial",NA,NA,NA,NA
"Croton burchellii","perennial",NA,NA,NA,NA
"Croton caboensis","perennial",7,207.714285714286,52.8763156990421,19.985368797858
"Croton cajucara","perennial",42,94.9761904761905,21.0984776878172,3.25556578633065
"Croton californicus","perennial",85,279.976470588235,72.8082897671929,7.89716781609527
"Croton campanulatus","perennial",1,146,NA,NA
"Croton capitatus","annual",145,317.289655172414,49.4261397948409,4.1046174965806
"Croton caracasanus","perennial",6,84,15.8871016865884,6.48588210397527
"Croton cascarilloides","perennial",55,103.6,51.7331471932505,6.97569614449603
"Croton catamarcensis","perennial",NA,NA,NA,NA
"Croton caudatus","perennial",78,80.6666666666667,43.1083403105362,4.88105837137099
"Croton ceanothifolius","perennial",26,158.692307692308,14.0506775089865,2.75556456913544
"Croton celtidifolius","perennial",43,143.488372093023,13.6562772815868,2.08256276150761
"Croton cerinus","perennial",5,87,10.7935165724615,4.82700735445887
"Croton chamelensis","perennial",5,147.2,41.4210091620183,18.5240384365829
"Croton chichenensis","perennial",17,122.176470588235,34.8070310679424,8.44194503572246
"Croton chilensis","perennial",1,176,NA,NA
"Croton chocoanus","perennial",9,66.4444444444444,19.8312323817199,6.61041079390665
"Croton chrysodaphne","perennial",13,107.230769230769,29.8584266334588,8.2812375562781
"Croton ciliatoglandulifer","perennial",107,189.420560747664,59.3485129414532,5.73743730311016
"Croton columnaris","perennial",NA,NA,NA,NA
"Croton conduplicatus","perennial",34,110.117647058824,25.7820288665907,4.42158147272363
"Croton conspurcatus","perennial",NA,NA,NA,NA
"Croton cordiifolius","perennial",14,125,15.043526591451,4.02055159957377
"Croton coriaceus","perennial",3,72.6666666666667,5.68624070307733,3.2829526005987
"Croton coriifolius","perennial",NA,NA,NA,NA
"Croton corinthius","perennial",NA,NA,NA,NA
"Croton coryi","annual",2,227,25.4558441227157,18
"Croton corylifolius","perennial",11,86.2727272727273,27.1038407207942,8.1721154589482
"Croton craspedotrichus","perennial",2,82.5,3.53553390593274,2.5
"Croton crassifolius","perennial",19,182.210526315789,57.2631148950647,13.1370595273656
