"species","life_form","n","mean","sd","se"
"Erysimum acrotonum","annual",4,92.25,21.7159695462425,10.8579847731213
"Erysimum alaicum","perennial",NA,NA,NA,NA
"Erysimum amurense","no_life_form_on_database",22,92.2727272727273,14.1191589462917,3.01021480168812
"Erysimum arbuscula","perennial",NA,NA,NA,NA
"Erysimum asperum","annual",196,56.6224489795918,13.9717776385827,0.99798411704162
"Erysimum aureum","annual",19,27.7894736842105,11.4337655281209,2.6230857095378
"Erysimum badghysi","no_life_form_on_database",NA,NA,NA,NA
"Erysimum belvederense","annual",1,32,NA,NA
"Erysimum bicolor","perennial",1,62,NA,NA
"Erysimum bonannianum","perennial",3,56.3333333333333,4.61880215351701,2.66666666666667
"Erysimum boreale","annual",NA,NA,NA,NA
"Erysimum caboverdeanum","perennial",1,145,NA,NA
"Erysimum caespitosum","perennial",NA,NA,NA,NA
"Erysimum callicarpum","annual",NA,NA,NA,NA
"Erysimum canum","annual",17,23.7647058823529,5.58490612907578,1.35453869878464
"Erysimum capitatum","annual",250,57.876,23.3541922829447,1.47704881055266
"Erysimum carniolicum","annual",NA,NA,NA,NA
"Erysimum cheiranthoides","annual",528,36.6136363636364,20.4905301317935,0.891735863658054
"Erysimum cheiri","perennial",3,68.3333333333333,3.21455025366432,1.85592145427667
"Erysimum collinum","annual",NA,NA,NA,NA
"Erysimum comatum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum crassicaule","annual",7,87.8571428571429,8.53284968867516,3.22511403584706
"Erysimum crassipes","perennial",12,68.8333333333333,23.8549912190427,6.88634280091524
"Erysimum crassistylum","annual",17,38.9411764705882,14.0333112104525,3.40357790575648
"Erysimum cuspidatum","annual",NA,NA,NA,NA
"Erysimum cyaneum","annual",NA,NA,NA,NA
"Erysimum czernjajevii","annual",7,40,10.8781125813871,4.11154008915904
"Erysimum deflexum","annual",11,110.818181818182,29.8958799228863,9.01394695288482
"Erysimum diffusum","annual",37,30.9189189189189,14.7692969410237,2.42805746031641
"Erysimum duriaei","perennial",8,32.125,8.14927691796728,2.88120448523084
"Erysimum echinellum","perennial",NA,NA,NA,NA
"Erysimum ehrendorferi","perennial",NA,NA,NA,NA
"Erysimum elbrusense","perennial",NA,NA,NA,NA
"Erysimum franciscanum","annual",5,86.6,1.67332005306815,0.748331477354788
"Erysimum gabrielianiae","no_life_form_on_database",2,43.5,2.12132034355964,1.5
"Erysimum gelidum","perennial",2,55.5,13.4350288425444,9.5
"Erysimum ghaznicum","annual",2,95.5,6.36396103067893,4.5
"Erysimum grandiflorum","perennial",10,56.6,15.00518428929,4.74505590647313
"Erysimum griffithianum","annual",1,75,NA,NA
"Erysimum griffithii","perennial",NA,NA,NA,NA
"Erysimum gypsaceum","annual",NA,NA,NA,NA
"Erysimum hajastanicum","perennial",7,43,4.43471156521669,1.67616341969505
"Erysimum hezarense","no_life_form_on_database",NA,NA,NA,NA
"Erysimum hieraciifolium","no_life_form_on_database",361,40.9916897506925,24.8033921889982,1.3054416941578
"Erysimum hirschfeldioides","perennial",NA,NA,NA,NA
"Erysimum humillimum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum ibericum","annual",NA,NA,NA,NA
"Erysimum idae","perennial",1,69,NA,NA
"Erysimum incanum","annual",27,41.3703703703704,15.4051643392431,2.96472525939082
"Erysimum inense","perennial",1,67,NA,NA
"Erysimum ischnostylum","perennial",10,55.8,12.2001821480027,3.85803634566141
"Erysimum kamelinii","no_life_form_on_database",NA,NA,NA,NA
"Erysimum kerbabaevii","annual",NA,NA,NA,NA
"Erysimum krendlii","perennial",1,56,NA,NA
"Erysimum kurdicum","annual",1,78,NA,NA
"Erysimum laxiflorum","no_life_form_on_database",3,77,36.3730669589464,21
"Erysimum ledebourii","perennial",NA,NA,NA,NA
"Erysimum leptocarpum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum leptophyllum","perennial",NA,NA,NA,NA
"Erysimum leptostylum","annual",NA,NA,NA,NA
"Erysimum leucanthemum","annual",28,21.6785714285714,7.60630134203347,1.43745583914553
"Erysimum lilacinum","annual",1,47,NA,NA
"Erysimum linariifolium","perennial",NA,NA,NA,NA
"Erysimum lycaonicum","perennial",NA,NA,NA,NA
"Erysimum macrostigma","perennial",NA,NA,NA,NA
"Erysimum majellense","perennial",3,39.6666666666667,19.1398362932741,11.0503896361672
"Erysimum mediohispanicum","no_life_form_on_database",29,34.7586206896552,13.4208131870235,2.49218244337538
"Erysimum metlesicsii","annual",NA,NA,NA,NA
"Erysimum mongolicum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum myriophyllum","annual",8,49.625,12.4778374957934,4.41158175390965
"Erysimum nasturtioides","perennial",1,75,NA,NA
"Erysimum naxense","perennial",1,88,NA,NA
"Erysimum ochroleucum","perennial",NA,NA,NA,NA
"Erysimum odoratum","annual",46,25.4782608695652,10.0238363257782,1.47793403604925
"Erysimum oleifolium","perennial",NA,NA,NA,NA
"Erysimum pachycarpum","annual",NA,NA,NA,NA
"Erysimum pallasii","no_life_form_on_database",129,60.937984496124,18.0890816248644,1.59265483112101
"Erysimum pectinatum","perennial",2,77,9.89949493661167,7
"Erysimum perofskianum","annual",NA,NA,NA,NA
"Erysimum pseudopurpureum","perennial",1,23,NA,NA
"Erysimum pulchellum","perennial",NA,NA,NA,NA
"Erysimum purpureum","perennial",NA,NA,NA,NA
"Erysimum pusillum","perennial",2,63.5,0.707106781186548,0.5
"Erysimum quadrangulum","annual",2,18.5,3.53553390593274,2.5
"Erysimum repandum","annual",88,39,23.5659992752075,2.51214396355502
"Erysimum rhodium","perennial",1,94,NA,NA
"Erysimum riphaeanum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum robustum","annual",5,86.6,41.1679486979859,18.4108663565841
"Erysimum roseum","perennial",11,98.8181818181818,12.8904474850036,3.8866161534125
"Erysimum salangense","perennial",NA,NA,NA,NA
"Erysimum scabrum","annual",NA,NA,NA,NA
"Erysimum scoparium","perennial",2,87,5.65685424949238,4
"Erysimum semperflorens","perennial",4,73.5,7.68114574786861,3.8405728739343
"Erysimum senoneri","perennial",NA,NA,NA,NA
"Erysimum serpentinicum","perennial",NA,NA,NA,NA
"Erysimum siliculosum","annual",17,24.5882352941176,8.47834612062851,2.056300975641
"Erysimum sintenisianum","perennial",2,43,2.82842712474619,2
"Erysimum sisymbrioides","annual",17,74.1176470588235,27.905829034767,6.76815768710427
"Erysimum smyrnaeum","annual",5,67.6,15.8524446064322,7.08942874990644
"Erysimum spetae","no_life_form_on_database",NA,NA,NA,NA
"Erysimum subulatum","annual",NA,NA,NA,NA
