"species","life_form","n","mean","sd","se"
"Erysimum acrotonum","annual",4,4.75,28.1587760150662,14.0793880075331
"Erysimum alaicum","perennial",NA,NA,NA,NA
"Erysimum amurense","no_life_form_on_database",22,193.681818181818,37.0949699627429,7.90867416924663
"Erysimum arbuscula","perennial",NA,NA,NA,NA
"Erysimum asperum","annual",197,179.467005076142,45.9475652534426,3.27362847843476
"Erysimum aureum","annual",19,129.947368421053,82.5452560614213,18.9371804968644
"Erysimum badghysi","no_life_form_on_database",NA,NA,NA,NA
"Erysimum belvederense","annual",1,164,NA,NA
"Erysimum bicolor","perennial",1,98,NA,NA
"Erysimum bonannianum","perennial",3,92.3333333333333,55.1935986626469,31.8660390454233
"Erysimum boreale","annual",NA,NA,NA,NA
"Erysimum caboverdeanum","perennial",1,150,NA,NA
"Erysimum caespitosum","perennial",NA,NA,NA,NA
"Erysimum callicarpum","annual",NA,NA,NA,NA
"Erysimum canum","annual",17,201.941176470588,9.30369945394905,2.25647856221372
"Erysimum capitatum","annual",250,119.472,96.3604408158082,6.09436938631615
"Erysimum carniolicum","annual",NA,NA,NA,NA
"Erysimum cheiranthoides","annual",528,143.998106060606,59.3176730339879,2.58147036962578
"Erysimum cheiri","perennial",3,115.666666666667,4.50924975282289,2.60341655863555
"Erysimum collinum","annual",NA,NA,NA,NA
"Erysimum comatum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum crassicaule","annual",7,117.428571428571,102.087963937735,38.5856234903112
"Erysimum crassipes","perennial",12,74.5833333333333,34.0012254681112,9.81530833839558
"Erysimum crassistylum","annual",17,72.5294117647059,29.8875342891038,7.24879180960261
"Erysimum cuspidatum","annual",NA,NA,NA,NA
"Erysimum cyaneum","annual",NA,NA,NA,NA
"Erysimum czernjajevii","annual",7,115.857142857143,65.3514309239631,24.7005191495746
"Erysimum deflexum","annual",11,120,44.7682923507252,13.4981480211176
"Erysimum diffusum","annual",37,165.837837837838,49.146896315204,8.07969998342094
"Erysimum duriaei","perennial",8,43.875,24.7469334319571,8.74936222165446
"Erysimum echinellum","perennial",NA,NA,NA,NA
"Erysimum ehrendorferi","perennial",NA,NA,NA,NA
"Erysimum elbrusense","perennial",NA,NA,NA,NA
"Erysimum franciscanum","annual",5,87,27.2304976083802,12.1778487426967
"Erysimum gabrielianiae","no_life_form_on_database",2,126,39.5979797464467,28
"Erysimum gelidum","perennial",2,-2.5,17.6776695296637,12.5
"Erysimum ghaznicum","annual",2,-9,49.4974746830583,35
"Erysimum grandiflorum","perennial",10,76.3,51.3918497645514,16.251529842517
"Erysimum griffithianum","annual",1,39,NA,NA
"Erysimum griffithii","perennial",NA,NA,NA,NA
"Erysimum gypsaceum","annual",NA,NA,NA,NA
"Erysimum hajastanicum","perennial",7,125.714285714286,43.7481972417694,16.5352643155891
"Erysimum hezarense","no_life_form_on_database",NA,NA,NA,NA
"Erysimum hieraciifolium","no_life_form_on_database",359,134.284122562674,70.073724534292,3.69834972988418
"Erysimum hirschfeldioides","perennial",NA,NA,NA,NA
"Erysimum humillimum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum ibericum","annual",NA,NA,NA,NA
"Erysimum idae","perennial",1,5,NA,NA
"Erysimum incanum","annual",27,111,32.9766817381849,6.34636535950723
"Erysimum inense","perennial",1,156,NA,NA
"Erysimum ischnostylum","perennial",10,49.5,58.5932305532531,18.5288064015647
"Erysimum kamelinii","no_life_form_on_database",NA,NA,NA,NA
"Erysimum kerbabaevii","annual",NA,NA,NA,NA
"Erysimum krendlii","perennial",1,73,NA,NA
"Erysimum kurdicum","annual",1,31,NA,NA
"Erysimum laxiflorum","no_life_form_on_database",3,86.3333333333333,36.6105631387081,21.1371184833169
"Erysimum ledebourii","perennial",NA,NA,NA,NA
"Erysimum leptocarpum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum leptophyllum","perennial",NA,NA,NA,NA
"Erysimum leptostylum","annual",NA,NA,NA,NA
"Erysimum leucanthemum","annual",28,164.964285714286,89.5265249925891,16.9189229195857
"Erysimum lilacinum","annual",1,127,NA,NA
"Erysimum linariifolium","perennial",NA,NA,NA,NA
"Erysimum lycaonicum","perennial",NA,NA,NA,NA
"Erysimum macrostigma","perennial",NA,NA,NA,NA
"Erysimum majellense","perennial",3,61.6666666666667,38.940124978399,22.4820916385563
"Erysimum mediohispanicum","no_life_form_on_database",29,88.0689655172414,46.3896009240393,8.61433263148795
"Erysimum metlesicsii","annual",NA,NA,NA,NA
"Erysimum mongolicum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum myriophyllum","annual",8,100.125,43.8355286431973,15.498199780251
"Erysimum nasturtioides","perennial",1,-14,NA,NA
"Erysimum naxense","perennial",1,113,NA,NA
"Erysimum ochroleucum","perennial",NA,NA,NA,NA
"Erysimum odoratum","annual",46,156.804347826087,46.9792481682509,6.92671224861328
"Erysimum oleifolium","perennial",NA,NA,NA,NA
"Erysimum pachycarpum","annual",NA,NA,NA,NA
"Erysimum pallasii","no_life_form_on_database",127,84.4803149606299,31.5516332668338,2.7997547162035
"Erysimum pectinatum","perennial",2,58,2.82842712474619,2
"Erysimum perofskianum","annual",NA,NA,NA,NA
"Erysimum pseudopurpureum","perennial",1,29,NA,NA
"Erysimum pulchellum","perennial",NA,NA,NA,NA
"Erysimum purpureum","perennial",NA,NA,NA,NA
"Erysimum pusillum","perennial",2,53.5,38.8908729652601,27.5
"Erysimum quadrangulum","annual",2,198.5,4.94974746830583,3.5
"Erysimum repandum","annual",89,128.85393258427,73.4310979703543,7.78368081751149
"Erysimum rhodium","perennial",1,110,NA,NA
"Erysimum riphaeanum","no_life_form_on_database",NA,NA,NA,NA
"Erysimum robustum","annual",5,65.8,139.158901978997,62.2337528998533
"Erysimum roseum","perennial",11,80.1818181818182,37.3331439389135,11.256366426337
"Erysimum salangense","perennial",NA,NA,NA,NA
"Erysimum scabrum","annual",NA,NA,NA,NA
"Erysimum scoparium","perennial",2,95,7.07106781186548,5
"Erysimum semperflorens","perennial",4,151,6.97614984548545,3.48807492274273
"Erysimum senoneri","perennial",NA,NA,NA,NA
"Erysimum serpentinicum","perennial",NA,NA,NA,NA
"Erysimum siliculosum","annual",17,173.117647058824,76.0812742671786,18.4524194079508
"Erysimum sintenisianum","perennial",2,66,28.2842712474619,20
"Erysimum sisymbrioides","annual",17,71.5294117647059,101.932034738263,24.7221497564697
"Erysimum smyrnaeum","annual",5,64.6,56.1943057613492,25.130857526157
"Erysimum spetae","no_life_form_on_database",NA,NA,NA,NA
"Erysimum subulatum","annual",NA,NA,NA,NA
"Erysimum sylvestre","perennial",12,162.916666666667,30.422654039184,8.78226374949287
"Erysimum szowitsianum","perennial",NA,NA,NA,NA
"Erysimum uncinatifolium","perennial",3,59,73.3280301112746,42.3359579238894
"Erysimum vitellinum","annual",1,-51,NA,NA
"Erysimum wilczekianum","annual",1,57,NA,NA
"Erysimum witmannii","annual",8,164.875,37.2575495705233,13.1725329758555
