"species","life_form","n","mean","sd","se"
"Abelmoschus esculentus","annual",NA,NA,NA,NA
"Abelmoschus manihot","perennial",76,1319.80263157895,249.543103543888,28.6245571159294
"Abutilon abutiloides","perennial",76,2056.09210526316,241.719571825512,27.7271364806139
"Abutilon amoenum","no_life_form_on_database",13,1338.15384615385,154.11134835666,42.7427975869869
"Abutilon andrewsianum","no_life_form_on_database",28,2707.5,190.924359658769,36.0813124915255
"Abutilon angulatum","perennial",63,2012.09523809524,352.493683964724,44.410029832936
"Abutilon costicalyx","no_life_form_on_database",4,1198,73.6975802406927,36.8487901203463
"Abutilon dianthum","no_life_form_on_database",25,1411,164.946203351275,32.9892406702549
"Abutilon eremitopetalum","perennial",NA,NA,NA,NA
"Abutilon fruticosum","perennial",114,2215.25438596491,399.238496632004,37.3921111382741
"Abutilon geminiflorum","no_life_form_on_database",2,1349.5,129.400540957138,91.5
"Abutilon grandifolium","perennial",62,1682.67741935484,144.052332725725,18.2946645508407
"Abutilon incanum","perennial",72,2226.94444444444,252.714496197625,29.7826889942471
"Abutilon indicum","annual",85,1710,442.420399081925,47.9872298605773
"Abutilon malacum","perennial",70,2234.24285714286,263.843906187538,31.5353785073885
"Abutilon menziesii","perennial",3,1869.33333333333,13.5030860670194,7.79601037568433
"Abutilon monteiroi","no_life_form_on_database",NA,NA,NA,NA
"Abutilon muelleri","no_life_form_on_database",NA,NA,NA,NA
"Abutilon pauciflorum","no_life_form_on_database",71,1593.2676056338,156.708825327783,18.5979159576118
"Abutilon peruvianum","no_life_form_on_database",NA,NA,NA,NA
"Abutilon pubistamineum","perennial",NA,NA,NA,NA
"Abutilon purpusii","no_life_form_on_database",20,1639.25,157.094967925037,35.1275027203532
"Abutilon regnellii","no_life_form_on_database",9,1351.55555555556,224.222607641999,74.7408692139996
"Abutilon sandwicense","perennial",2,1604.5,605.990511476871,428.5
"Abutilon sonneratianum","perennial",27,1744.81481481481,168.900525352609,32.5049212595328
"Abutilon theophrasti","annual",68,1327.07352941176,198.31358525028,24.0490546759364
"Alcea rosea","annual",NA,NA,NA,NA
"Alcea rugosa","perennial",29,1150,75.6467353653056,14.0472461056504
"Alyogyne hakeifolia","perennial",62,2102.6935483871,302.318938562294,38.3945435919741
"Andeimalva chilensis","perennial",NA,NA,NA,NA
"Andeimalva machupicchensis","perennial",NA,NA,NA,NA
"Andeimalva mandonii","perennial",NA,NA,NA,NA
"Andeimalva spiciformis","perennial",NA,NA,NA,NA
"Anisodontea capensis","perennial",12,1772.16666666667,219.542844579505,63.3765602083166
"Anisodontea malvastroides","perennial",3,1913.33333333333,34.0783411176855,19.6751394178316
"Anisodontea triloba","perennial",12,2149.58333333333,218.811857055048,63.165542286307
"Anoda crenatiflora","annual",46,1990.39130434783,199.152256467354,29.3633982662084
"Bakeridesia amoena","no_life_form_on_database",NA,NA,NA,NA
"Bakeridesia bakeriana","perennial",6,1858.5,152.300689427199,62.1764960951216
"Bakeridesia esculenta","perennial",NA,NA,NA,NA
"Bakeridesia exalata","perennial",6,1849.66666666667,93.1314483226083,38.0207545661285
"Bakeridesia ferruginea","perennial",9,1593.33333333333,141.346206174768,47.115402058256
"Bakeridesia gaumeri","perennial",10,1843.9,63.4428001343643,20.0623749563428
"Bakeridesia gloriosa","perennial",7,1696.57142857143,161.62183963691,61.0873134451465
"Bakeridesia integerrima","perennial",6,1709.66666666667,216.828657392575,88.5199287040934
"Bakeridesia macrantha","no_life_form_on_database",NA,NA,NA,NA
"Bakeridesia molinae","perennial",NA,NA,NA,NA
"Bakeridesia nelsonii","perennial",4,1719.25,74.1366980651283,37.0683490325642
"Bakeridesia notolophium","perennial",14,1660.07142857143,173.926803475005,46.483893498588
"Bakeridesia pickelii","no_life_form_on_database",4,1645.75,120.718336083077,60.3591680415384
"Bakeridesia pittieri","perennial",8,1802.125,66.2170403187233,23.4112591197361
"Bakeridesia rufinervis","no_life_form_on_database",NA,NA,NA,NA
"Bakeridesia rufivela","no_life_form_on_database",NA,NA,NA,NA
"Bakeridesia scabrida","no_life_form_on_database",NA,NA,NA,NA
"Bakeridesia subcordata","no_life_form_on_database",3,1852.66666666667,173.828459503423,100.35990788712
"Bakeridesia vulcanicola","perennial",NA,NA,NA,NA
"Bakeridesia yucatana","perennial",5,1804.8,38.4668688613981,17.2029067311312
"Bastardia bivalvis","no_life_form_on_database",24,1693.25,190.727497390569,38.9320873770754
"Bastardiastrum cinctum","perennial",12,2188.66666666667,161.236885771629,46.5450797017735
"Bastardiopsis densiflora","no_life_form_on_database",45,1491.75555555556,162.132683536377,24.1693134507867
"Billieturnera helleri","perennial",13,1999,140.64612804245,39.008217411733
"Briquetia sonorae","perennial",3,2211.33333333333,63.5164020811423,36.671211839504
"Briquetia spicata","perennial",81,1693.04938271605,241.763257197747,26.8625841330831
"Callirhoe involucrata","perennial",74,1836.35135135135,251.272402118979,29.2098234278188
"Corynabutilon vitifolium","perennial",NA,NA,NA,NA
"Cristaria andicola","perennial",14,1870.78571428571,295.033551826393,78.8510334669553
"Cristaria gracilis","annual",10,1834.9,279.31044058936,88.325716652752
"Decaschistia byrnesii","perennial",2,2257.5,64.3467170879758,45.5
"Dendrosida breedlovei","perennial",4,1873.25,44.440034503437,22.2200172517185
"Dendrosida wingfieldii","no_life_form_on_database",NA,NA,NA,NA
"Eremalche exilis","annual",45,2404.8,446.245580573991,66.5223635214869
"Eremalche parryi","annual",10,1986,260.638105852199,82.4210059525011
"Eremalche rotundifolia","annual",27,2693.2962962963,396.881382668464,76.3798577066629
"Fuertesimalva chilensis","annual",10,1549,339.32056295551,107.302583586997
"Fuertesimalva echinata","annual",9,1481.88888888889,221.115040445265,73.7050134817549
"Fuertesimalva jacens","perennial",NA,NA,NA,NA
"Fuertesimalva limensis","perennial",23,1487.39130434783,249.64916093853,52.055448512938
"Fuertesimalva peruviana","annual",13,1562.30769230769,335.451781089172,93.037584397133
"Gaya atiquipana","perennial",1,1679,NA,NA
"Gaya calyptrata","perennial",1,1866,NA,NA
"Gossypioides kirkii","perennial",NA,NA,NA,NA
"Gossypium arboreum","perennial",NA,NA,NA,NA
"Gossypium darwinii","perennial",NA,NA,NA,NA
"Gossypium herbaceum","annual",NA,NA,NA,NA
"Hibiscus mechowii","annual",15,1801.66666666667,475.426525293216,122.754600987059
"Hibiscus micranthus","perennial",114,2037.64912280702,387.816008342432,36.322297091777
"Hibiscus surattensis","perennial",132,1538.79545454545,227.969856673421,19.8422291391328
"Hochreutinera amplexifolia","perennial",26,1746.57692307692,138.806101617162,27.2221161827558
"Horsfordia exalata","no_life_form_on_database",1,2155,NA,NA
"Humbertiella henrici","perennial",4,1998.5,144.292526949019,72.1462634745094
"Humbertiella quararibeoides","perennial",NA,NA,NA,NA
"Kearnemalvastrum lacteum","perennial",22,1684.81818181818,158.561881074457,33.8055066317673
"Kokia drynarioides","perennial",1,1253,NA,NA
"Kosteletzkya diplocrater","no_life_form_on_database",18,2069.94444444444,226.149734942093,53.3040037136982
"Kosteletzkya reflexiflora","no_life_form_on_database",6,1919.33333333333,399.540068912577,163.111550105374
"Lavatera occidentalis","no_life_form_on_database",2,1863,199.404112294606,141
"Malacothamnus fasciculatus","perennial",23,1874.08695652174,367.378788055385,76.6037727283669
"Malacothamnus palmeri","perennial",2,1489,131.521861300698,93
"Malope trifida","annual",11,1729.18181818182,297.443378874642,89.6825531002464
"Malvastrum americanum","annual",168,1721.64880952381,205.58763854941,15.8614306694848
"Malvastrum coromandelianum","annual",NA,NA,NA,NA
"Malvaviscus arboreus","perennial",165,1743.07272727273,193.880827227184,15.0936019289525
"Malvaviscus palmanus","perennial",7,1631.85714285714,95.8304554433307,36.2205075898727
"Malvella sagittifolia","perennial",38,2332.86842105263,239.82337769561,38.9044891501616
"Megistostegium microphyllum","perennial",4,2045,94.4633967912087,47.2316983956043
"Megistostegium perrieri","perennial",NA,NA,NA,NA
"Modiola caroliniana","annual",NA,NA,NA,NA
"Modiolastrum lateritum","no_life_form_on_database",2,1421,24.0416305603426,17
"Neobrittonia acerifolia","perennial",23,1606.34782608696,174.902728471792,36.4697399442794
"Nototriche anthemidifolia","perennial",6,1756,226.272402205837,92.3753213796845
"Nototriche flabellata","no_life_form_on_database",4,1319.75,123.957990195604,61.9789950978018
