"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Acanthonema strigosum","no_life_form_on_database",11,6.089178,0.323516,0.097544,0.020316
"Achimenes admirabilis","perennial",2,6.09583,0.116127,0.082114,0.111738
"Achimenes antirrhina","perennial",37,5.604845,0.389198,0.063984,0.00604
"Achimenes candida","perennial",12,5.947168,0.328352,0.094787,0.018623
"Achimenes dulcis","perennial",3,5.271728,0.117297,0.067721,0.074492
"Achimenes erecta","perennial",35,5.625386,0.407315,0.068849,0.006385
"Achimenes fimbriata","perennial",11,5.644386,0.239244,0.072135,0.020316
"Achimenes flava","perennial",22,5.417971,0.327168,0.069752,0.010158
"Achimenes glabrata","perennial",NA,NA,NA,NA,NA
"Achimenes grandiflora","perennial",64,5.564292,0.397568,0.049696,0.003492
"Achimenes hintoniana","no_life_form_on_database",4,5.518293,0.35814,0.17907,0.055869
"Achimenes longiflora","perennial",47,5.727546,0.318659,0.046481,0.004755
"Achimenes mexicana","perennial",12,5.52728,0.275699,0.079587,0.018623
"Achimenes misera","perennial",13,5.732642,0.437676,0.121389,0.01719
"Achimenes nayaritensis","perennial",NA,NA,NA,NA,NA
"Achimenes patens","perennial",12,5.435819,0.234495,0.067693,0.018623
"Achimenes pedunculata","perennial",20,5.779969,0.391414,0.087523,0.011174
"Achimenes warszewicziana","no_life_form_on_database",NA,NA,NA,NA,NA
"Achimenes woodii","perennial",NA,NA,NA,NA,NA
"Aeschynanthus andersonii","perennial",4,5.624298,0.25108,0.12554,0.055869
"Aeschynanthus bracteatus","perennial",NA,NA,NA,NA,NA
"Aeschynanthus lancilimbus","perennial",NA,NA,NA,NA,NA
"Aeschynanthus longiflorus","perennial",NA,NA,NA,NA,NA
"Aeschynanthus micranthus","perennial",4,6.156349,0.452531,0.226266,0.055869
"Aeschynanthus rhododendron","perennial",6,5.901143,0.207857,0.084857,0.037246
"Aeschynanthus roseoflorus","perennial",1,5.713733,NA,NA,0.223476
"Agalmyla biflora","perennial",1,5.697093,NA,NA,0.223476
"Agalmyla bilirana","perennial",1,5.948035,NA,NA,0.223476
"Agalmyla clarkei","perennial",3,5.972369,0.271843,0.156949,0.074492
"Agalmyla glabra","perennial",NA,NA,NA,NA,NA
"Agalmyla parasitica","perennial",NA,NA,NA,NA,NA
"Agalmyla paucipilosa","perennial",1,5.894403,NA,NA,0.223476
"Agalmyla sojoliana","perennial",1,5.484797,NA,NA,0.223476
"Allocheilos guangxiensis","no_life_form_on_database",1,5.805135,NA,NA,0.223476
"Alloplectus aquatilis","perennial",5,5.180529,0.316166,0.141394,0.044695
"Alloplectus hispidus","perennial",26,5.589746,0.395519,0.077568,0.008595
"Alloplectus tessmannii","perennial",4,5.470456,0.584028,0.292014,0.055869
"Allostigma guangxiense","perennial",NA,NA,NA,NA,NA
"Alsobia dianthiflora","perennial",NA,NA,NA,NA,NA
"Alsobia punctata","perennial",1,5.831882,NA,NA,0.223476
"Anetanthus gracilis","perennial",14,5.606522,0.417227,0.111509,0.015963
"Anna mollifolia","perennial",1,5.598422,NA,NA,0.223476
"Anna ophiorrhizoides","perennial",4,5.557283,0.364131,0.182065,0.055869
"Anna submontana","perennial",NA,NA,NA,NA,NA
"Asteranthera ovata","perennial",NA,NA,NA,NA,NA
"Bellonia aspera","perennial",NA,NA,NA,NA,NA
"Besleria aggregata","perennial",65,5.698957,0.475269,0.05895,0.003438
"Besleria angustiflora","perennial",12,5.810092,0.388346,0.112106,0.018623
"Besleria divaricata","perennial",19,5.455556,0.516506,0.118495,0.011762
"Besleria emendata","no_life_form_on_database",5,5.639788,0.435872,0.194928,0.044695
