"species","life_form","n","mean","sd","se"
"Acanthonema strigosum","no_life_form_on_database",11,468.545454545455,260.310723419672,78.4866362262755
"Achimenes admirabilis","perennial",2,294,79.1959594928933,56
"Achimenes antirrhina","perennial",37,365.891891891892,307.140646735135,50.4936112835687
"Achimenes candida","perennial",12,388.583333333333,192.994798956455,55.7127995648535
"Achimenes dulcis","perennial",3,146.666666666667,173.044310317714,99.9071791436654
"Achimenes erecta","perennial",35,348.571428571429,234.932817144452,39.7108939969981
"Achimenes fimbriata","perennial",11,414.545454545455,356.353297623682,107.444561911236
"Achimenes flava","perennial",22,266.954545454545,217.312256633437,46.3311287871031
"Achimenes glabrata","perennial",NA,NA,NA,NA
"Achimenes grandiflora","perennial",64,361.015625,223.191390016239,27.8989237520299
"Achimenes hintoniana","no_life_form_on_database",4,391,556.984141007025,278.492070503512
"Achimenes longiflora","perennial",47,349.595744680851,244.708847370704,35.6944539411873
"Achimenes mexicana","perennial",12,447.916666666667,323.832015468552,93.4822506514937
"Achimenes misera","perennial",13,378.153846153846,240.151287786764,66.6059832295297
"Achimenes nayaritensis","perennial",NA,NA,NA,NA
"Achimenes patens","perennial",12,145.166666666667,111.66494797411,32.2348938859489
"Achimenes pedunculata","perennial",20,406.25,216.535611511436,48.4188346889057
"Achimenes warszewicziana","no_life_form_on_database",NA,NA,NA,NA
"Achimenes woodii","perennial",NA,NA,NA,NA
"Aeschynanthus andersonii","perennial",4,496.5,97.6063522522996,48.8031761261498
"Aeschynanthus bracteatus","perennial",NA,NA,NA,NA
"Aeschynanthus lancilimbus","perennial",NA,NA,NA,NA
"Aeschynanthus longiflorus","perennial",NA,NA,NA,NA
"Aeschynanthus micranthus","perennial",4,1402.25,625.55968273752,312.77984136876
"Aeschynanthus rhododendron","perennial",6,773.833333333333,228.266875973424,93.1895618856771
"Aeschynanthus roseoflorus","perennial",1,467,NA,NA
"Agalmyla biflora","perennial",1,378,NA,NA
"Agalmyla bilirana","perennial",1,473,NA,NA
"Agalmyla clarkei","perennial",3,629.333333333333,219.475131468997,126.714026234054
"Agalmyla glabra","perennial",NA,NA,NA,NA
"Agalmyla parasitica","perennial",NA,NA,NA,NA
"Agalmyla paucipilosa","perennial",1,435,NA,NA
"Agalmyla sojoliana","perennial",1,472,NA,NA
"Allocheilos guangxiensis","no_life_form_on_database",1,570,NA,NA
"Alloplectus aquatilis","perennial",5,342.8,215.929849719764,96.5667644689414
"Alloplectus hispidus","perennial",26,539.384615384615,344.516133372366,67.5651725697397
"Alloplectus tessmannii","perennial",4,659.75,469.991755246834,234.995877623417
"Allostigma guangxiense","perennial",NA,NA,NA,NA
"Alsobia dianthiflora","perennial",NA,NA,NA,NA
"Alsobia punctata","perennial",1,373,NA,NA
"Anetanthus gracilis","perennial",14,578.714285714286,297.874890766997,79.6104132409154
"Anna mollifolia","perennial",1,757,NA,NA
"Anna ophiorrhizoides","perennial",4,765,348.735812136733,174.367906068366
"Anna submontana","perennial",NA,NA,NA,NA
"Asteranthera ovata","perennial",NA,NA,NA,NA
"Bellonia aspera","perennial",NA,NA,NA,NA
"Besleria aggregata","perennial",65,622.907692307692,238.846166697634,29.6252208939908
"Besleria angustiflora","perennial",12,831.833333333333,358.095171030205,103.373171694897
"Besleria divaricata","perennial",19,611.157894736842,335.070682950776,76.8704866276626
"Besleria emendata","no_life_form_on_database",5,762.6,350.269610443156,156.645331880653
"Besleria formicaria","perennial",11,672.454545454545,466.611265109698,140.688589938356
"Besleria formosa","no_life_form_on_database",31,591.774193548387,378.055437705232,67.9007610719128
"Besleria gracilenta","no_life_form_on_database",5,675.6,451.89855056196,202.095175598033
"Besleria lutea","perennial",6,641,217.586764303346,88.8294245544047
"Besleria melancholica","no_life_form_on_database",4,670.75,299.454364915035,149.727182457517
"Besleria modica","perennial",7,586,221.488148667147,83.7146513887674
"Besleria mortoniana","perennial",NA,NA,NA,NA
"Besleria notabilis","perennial",9,455.777777777778,254.05254268447,84.6841808948233
"Besleria ovalifolia","no_life_form_on_database",NA,NA,NA,NA
"Besleria pendula","perennial",7,415.857142857143,149.245244001753,56.4093999982562
"Besleria rotundifolia","no_life_form_on_database",3,903.333333333333,441.825003064939,255.08778445425
"Besleria solanoides","perennial",72,604.347222222222,330.056724092899,38.8975579637177
"Besleria tambensis","perennial",18,776.055555555556,387.873004113797,91.4225438160211
"Besleria variabilis","perennial",30,714.633333333333,353.319283498586,64.5069805245794
"Boea hygrometrica","no_life_form_on_database",58,433.293103448276,155.129488483709,20.3694997641492
