"species","life_form","n","mean","sd","se"
"Acanthonema strigosum","no_life_form_on_database",11,18577.8181818182,3601.6673310616,1085.94355971019
"Achimenes admirabilis","perennial",2,15457.5,2737.21034997313,1935.5
"Achimenes antirrhina","perennial",37,7269.16216216216,3118.73199405636,512.716381499683
"Achimenes candida","perennial",12,12568.25,5351.10634482593,1544.73134432378
"Achimenes dulcis","perennial",3,5420,771.572420450602,445.467544646446
"Achimenes erecta","perennial",35,9821.14285714286,5784.85688542715,977.819281942863
"Achimenes fimbriata","perennial",11,6666,1341.59323194476,404.505579240094
"Achimenes flava","perennial",22,6416.27272727273,1496.51220483522,319.057474105784
"Achimenes glabrata","perennial",NA,NA,NA,NA
"Achimenes grandiflora","perennial",64,7977.359375,3472.58564919885,434.073206149857
"Achimenes hintoniana","no_life_form_on_database",4,5602.5,1836.2716756152,918.135837807602
"Achimenes longiflora","perennial",47,10839.9361702128,5469.43425817816,797.79898156745
"Achimenes mexicana","perennial",12,5420.75,1346.76157875104,388.77658001308
"Achimenes misera","perennial",13,8327.69230769231,2227.6104680657,617.82798187471
"Achimenes nayaritensis","perennial",NA,NA,NA,NA
"Achimenes patens","perennial",12,6295.33333333333,1281.42848793718,369.916541228893
"Achimenes pedunculata","perennial",20,11594.65,5571.99455241166,1245.9358589451
"Achimenes warszewicziana","no_life_form_on_database",NA,NA,NA,NA
"Achimenes woodii","perennial",NA,NA,NA,NA
"Aeschynanthus andersonii","perennial",4,8750.25,1609.10417624217,804.552088121086
"Aeschynanthus bracteatus","perennial",NA,NA,NA,NA
"Aeschynanthus lancilimbus","perennial",NA,NA,NA,NA
"Aeschynanthus longiflorus","perennial",NA,NA,NA,NA
"Aeschynanthus micranthus","perennial",4,15408.75,4794.01594872886,2397.00797436443
"Aeschynanthus rhododendron","perennial",6,21746.6666666667,7696.0474444137,3141.89821251068
"Aeschynanthus roseoflorus","perennial",1,34279,NA,NA
"Agalmyla biflora","perennial",1,13412,NA,NA
"Agalmyla bilirana","perennial",1,23633,NA,NA
"Agalmyla clarkei","perennial",3,28440,14460.6635739858,8348.86800710132
"Agalmyla glabra","perennial",NA,NA,NA,NA
"Agalmyla parasitica","perennial",NA,NA,NA,NA
"Agalmyla paucipilosa","perennial",1,22095,NA,NA
"Agalmyla sojoliana","perennial",1,14386,NA,NA
"Allocheilos guangxiensis","no_life_form_on_database",1,14342,NA,NA
