"species","life_form","n","mean","sd","se"
"Apeiba glabra","perennial",47,48.468085106383,8.90493527996838,1.29891830890189
"Apeiba membranacea","perennial",124,49.3548387096774,11.6425024189562,1.04552758165204
"Apeiba petoumo","perennial",19,51.8947368421053,10.7594647576608,2.4683905034332
"Apeiba tibourbou","perennial",342,58.766081871345,14.2474246836558,0.77041249321205
"Colona auriculata","perennial",11,57.4545454545455,6.31448551132452,1.90388901683626
"Colona floribunda","perennial",31,67.6774193548387,8.00577748368512,1.43788008291642
"Colona scabra","no_life_form_on_database",12,23.1666666666667,9.62792655232526,2.77934299336147
"Corchorus aestuans","annual",298,69.3389261744966,24.2935726390807,1.40728887764211
"Corchorus arenicola","no_life_form_on_database",NA,NA,NA,NA
"Corchorus asplenifolius","perennial",45,121.333333333333,12.3269844428613,1.83759834478802
"Corchorus capsularis","annual",53,66.7547169811321,16.6362736910104,2.28516793620193
"Corchorus confusus","perennial",12,103,16.1075927889473,4.64986151634779
"Corchorus cunninghamii","no_life_form_on_database",3,70.3333333333333,14.5716619962629,8.41295297608264
"Corchorus fascicularis","annual",71,97.1267605633803,17.0896205570723,2.0281648222626
"Corchorus hirsutus","perennial",21,29.5714285714286,20.4023808134527,4.45216449690294
"Corchorus kirkii","perennial",11,113.272727272727,7.49787848782453,2.26069542434466
"Corchorus longipedunculatus","annual",NA,NA,NA,NA
"Corchorus olitorius","annual",117,75.965811965812,26.8157608133504,2.47911796418238
"Corchorus orinocensis","annual",83,58.6385542168675,17.4597644169094,1.91645812081639
"Corchorus pinnatipartitus","perennial",3,127,3.60555127546399,2.08166599946613
"Corchorus psammophilus","perennial",NA,NA,NA,NA
"Corchorus schimperi","annual",22,123.318181818182,11.9697490272308,2.55195906720247
"Corchorus siliquosus","perennial",137,56.2408759124088,23.3690108865431,1.99654934041845
"Corchorus sulcatus","perennial",3,122,9.16515138991168,5.29150262212918
"Corchorus tridens","annual",212,98.6037735849057,21.6351387191931,1.48590742778824
"Corchorus trilocularis","annual",72,82.9583333333333,24.8088111903021,2.92374643763988
"Desplatsia dewevrei","perennial",98,53.6530612244898,9.57025249407437,0.966741490889636
"Entelea arborescens","perennial",17,35.2941176470588,13.8101624985115,3.34945639342982
"Glyphaea brevis","perennial",123,54.0406504065041,11.5768270335039,1.04384734019076
"Glyphaea tomentosa","perennial",12,70.5,10.6386943833263,3.07112653301979
"Goethalsia meiantha","perennial",15,44,10.2469507659596,2.64575131106459
"Grewia bicolor","perennial",NA,NA,NA,NA
"Grewia biloba","perennial",149,75.4362416107383,13.5673107473148,1.11147740398013
"Grewia caffra","perennial",19,90.5789473684211,18.3827086308897,4.21728259108427
"Grewia falcistipula","perennial",15,106.866666666667,14.2721840688536,3.68506208084512
"Grewia flava","perennial",62,123.854838709677,8.23396957072297,1.04571518119752
"Grewia flavescens","perennial",111,103.36036036036,20.2779740752431,1.92470012311789
"Grewia glabra","no_life_form_on_database",46,51.1304347826087,23.109986966343,3.40738168503178
"Grewia gracillima","perennial",4,92.25,20.3695033485519,10.1847516742759
"Grewia hexamita","perennial",12,102.333333333333,10.6458129484475,3.0731814857643
"Grewia inaequilatera","perennial",21,93.0476190476191,9.82077487002014,2.14306877261845
"Grewia kakothamnos","perennial",8,88.75,6.77706215321738,2.39605330253136
"Grewia lasiocarpa","perennial",5,65,5.1478150704935,2.30217288664427
"Grewia latifolia","no_life_form_on_database",NA,NA,NA,NA
"Grewia lepidopetala","perennial",6,70.3333333333333,15.6290328128988,6.38052592746955
"Grewia micrantha","perennial",8,83.625,8.07000619578449,2.85317805262833
"Grewia microcarpa","perennial",9,64,19.1507180022056,6.38357266740185
"Grewia microthyrsa","no_life_form_on_database",12,84.5833333333333,19.0093677066351,5.48753178127517
"Grewia monticola","perennial",32,97.46875,21.1690345597892,3.74219197209983
"Grewia occidentalis","perennial",44,100.795454545455,22.7642922603398,3.43184618388811
"Grewia orientalis","perennial",NA,NA,NA,NA
"Grewia papuana","no_life_form_on_database",14,61.7142857142857,26.5747959581966,7.10241297135689
"Grewia pondoensis","perennial",2,79.5,17.6776695296637,12.5
"Grewia robusta","no_life_form_on_database",10,118.7,9.48741856940607,3.00018517946995
"Grewia similis","perennial",37,85.4864864864865,14.3267845923905,2.35530887833099
"Grewia stolzii","perennial",15,86.8666666666667,8.83876742107233,2.28215993485425
"Grewia sulcata","perennial",21,85.6666666666667,22.7251695996605,4.95903856529302
"Grewia transzambesica","perennial",14,61.7857142857143,15.0034794499275,4.00984855079515
"Grewia villosa","perennial",93,97.6559139784946,24.5341353254284,2.54407132044486
"Heliocarpus americanus","perennial",181,65.8121546961326,15.1381808058059,1.12521211777867
