"species","life_form","n","mean","sd","se"
"Heliophila acuminata","annual",4,56,14.7648230602334,7.3824115301167
"Heliophila africana","annual",5,59.4,22.6561249996552,10.1321271211923
"Heliophila amplexicaulis","annual",9,57.2222222222222,15.2297224020809,5.07657413402696
"Heliophila arenaria","annual",6,63,5.62138772902208,2.2949219304078
"Heliophila arenosa","annual",4,52.75,19.6532440070335,9.82662200351677
"Heliophila bulbostyla","annual",3,52,24.0208242989286,13.8684293751431
"Heliophila carnosa","perennial",28,51.5357142857143,19.1610757891311,3.6211029564644
"Heliophila cedarbergensis","perennial",NA,NA,NA,NA
"Heliophila collina","annual",3,56.3333333333333,8.02080627701064,4.63081466314993
"Heliophila cornellsbergia","annual",NA,NA,NA,NA
"Heliophila cornuta","perennial",15,51.7333333333333,15.1160589472004,3.90294963751979
"Heliophila coronopifolia","annual",5,55,23.3130864537495,10.4259292151827
"Heliophila crithmifolia","annual",14,52.3571428571429,17.3542596981355,4.63812099939443
"Heliophila descurva","no_life_form_on_database",5,41.6,21.1730961363708,9.46889645101265
"Heliophila deserticola","annual",13,61.3846153846154,17.0759990509997,4.73603001216569
"Heliophila digitata","annual",5,50,20.2113829314077,9.03880523078133
"Heliophila dregeana","perennial",3,53,13.228756555323,7.63762615825973
"Heliophila elata","perennial",4,64.75,13.7204227340122,6.86021136700612
"Heliophila elongata","perennial",10,39.7,13.8327309105774,4.37429359376396
"Heliophila ephemera","annual",1,17,NA,NA
"Heliophila esterhuyseniae","perennial",NA,NA,NA,NA
"Heliophila eximia","annual",1,41,NA,NA
"Heliophila gariepina","annual",2,49,9.89949493661167,7
"Heliophila glauca","perennial",3,19.3333333333333,3.51188458428425,2.02758751009941
"Heliophila hurkana","perennial",2,56.5,4.94974746830583,3.5
"Heliophila juncea","perennial",NA,NA,NA,NA
"Heliophila lactea","annual",7,51.2857142857143,9.6732325812744,3.65613825487706
"Heliophila latisiliqua","no_life_form_on_database",NA,NA,NA,NA
"Heliophila linearis var. linearis","no_life_form_on_database",NA,NA,NA,NA
"Heliophila linoides","annual",3,44.3333333333333,24.5424801789333,14.1696075378882
"Heliophila macowaniana","annual",4,57.75,20.6619618300554,10.3309809150277
"Heliophila macra","no_life_form_on_database",4,40.5,24.5288945259803,12.2644472629902
"Heliophila macrosperma","perennial",NA,NA,NA,NA
"Heliophila maraisiana","perennial",5,51.4,15.5016128193166,6.93253200497481
"Heliophila minima","annual",NA,NA,NA,NA
"Heliophila monosperma","perennial",1,76,NA,NA
"Heliophila namaquana","annual",5,60.2,17.8521707363558,7.98373346248483
"Heliophila nubigena","perennial",3,39.6666666666667,22.1208800307161,12.7714960404453
"Heliophila pectinata","annual",7,42.2857142857143,20.6858589839717,7.81851978962004
"Heliophila pinnata","annual",4,47,13.5400640077266,6.7700320038633
"Heliophila polygaloides","perennial",1,56,NA,NA
"Heliophila pubescens","annual",6,30.8333333333333,15.2894298999886,6.24188361883744
"Heliophila pusilla","annual",10,51.3,23.4570529549927,7.41777145329602
"Heliophila refracta","annual",4,49.75,23.2145787527292,11.6072893763646
"Heliophila rigidiuscula","perennial",20,60.3,13.9928553197694,3.1288975694324
"Heliophila scoparia var. aspera","no_life_form_on_database",NA,NA,NA,NA
"Heliophila seselifolia","annual",19,53.8421052631579,20.0700527538883,4.60438588135418
"Heliophila suavissima","perennial",23,50.1739130434783,17.8214686006233,3.71603308289553
"Heliophila suborbicularis","annual",6,47,17.5271218401653,7.15541752799933
"Heliophila subulata","annual",18,39.4444444444444,16.4896481688369,3.88664734652164
"Heliophila tricuspidata","perennial",1,35,NA,NA
"Heliophila trifurca","annual",21,66.7619047619048,15.0263261042238,3.27901318046173
"Heliophila tulbaghensis","perennial",NA,NA,NA,NA
"Heliophila variabilis","annual",12,47.8333333333333,14.7822579978551,4.26727031714607
