"species","life_form","n","mean","sd","se"
"Heliophila acuminata","annual",5,160.6,84.3255595890119,37.711536696348
"Heliophila africana","annual",5,223.8,101.423370087963,45.357910004761
"Heliophila amplexicaulis","annual",9,99,49.1655367101794,16.3885122367265
"Heliophila arenaria","annual",6,104.833333333333,63.6252046493107,25.9748810284945
"Heliophila arenosa","annual",4,131,62.7853486093691,31.3926743046845
"Heliophila bulbostyla","annual",4,199,124.217551094843,62.1087755474216
"Heliophila carnosa","perennial",27,54.7777777777778,45.3196623428705,8.72177308441308
"Heliophila cedarbergensis","perennial",NA,NA,NA,NA
"Heliophila collina","annual",4,118.5,49.6957409308551,24.8478704654275
"Heliophila cornellsbergia","annual",NA,NA,NA,NA
"Heliophila cornuta","perennial",15,79,43.5611229030133,11.2474335696977
"Heliophila coronopifolia","annual",5,210.4,169.340780676127,75.7314993909404
"Heliophila crithmifolia","annual",13,94.3846153846154,99.9512701783044,27.7214945904332
"Heliophila descurva","no_life_form_on_database",4,109.75,27.8732249061114,13.9366124530557
"Heliophila deserticola","annual",16,40.375,38.3107904730073,9.57769761825182
"Heliophila digitata","annual",5,155.2,92.8154082035952,41.5083124205261
"Heliophila dregeana","perennial",3,194.333333333333,114.962312665209,66.3735221639205
"Heliophila elata","perennial",3,227.666666666667,73.4188894858355,42.3884156082505
"Heliophila elongata","perennial",13,94.6153846153846,29.7056068263733,8.23885296778939
"Heliophila ephemera","annual",1,93,NA,NA
"Heliophila esterhuyseniae","perennial",NA,NA,NA,NA
"Heliophila eximia","annual",1,17,NA,NA
"Heliophila gariepina","annual",2,20,1.4142135623731,1
"Heliophila glauca","perennial",4,113.25,64.7939040342531,32.3969520171266
"Heliophila hurkana","perennial",2,166.5,68.5893577750951,48.5
"Heliophila juncea","perennial",NA,NA,NA,NA
"Heliophila lactea","annual",7,51.5714285714286,26.5069622480406,10.0186900171561
"Heliophila latisiliqua","no_life_form_on_database",NA,NA,NA,NA
"Heliophila linearis var. linearis","no_life_form_on_database",NA,NA,NA,NA
"Heliophila linoides","annual",3,197,77.5435361587283,44.7697814751573
"Heliophila macowaniana","annual",5,188,86.7582849069759,38.7994845326584
"Heliophila macra","no_life_form_on_database",3,208,112.822870021995,65.138314377945
"Heliophila macrosperma","perennial",NA,NA,NA,NA
"Heliophila maraisiana","perennial",5,142.6,53.4116092249616,23.8863978029338
"Heliophila minima","annual",NA,NA,NA,NA
"Heliophila monosperma","perennial",1,145,NA,NA
"Heliophila namaquana","annual",6,99.8333333333333,67.0206435858883,27.3610631697268
"Heliophila nubigena","perennial",2,140.5,99.7020561473032,70.5
"Heliophila pectinata","annual",7,84,34.9904748943671,13.225156403792
"Heliophila pinnata","annual",5,120.6,58.692418590479,26.2480475464367
"Heliophila polygaloides","perennial",1,146,NA,NA
"Heliophila pubescens","annual",4,136.5,119.790094192578,59.8950470962889
"Heliophila pusilla","annual",8,184.625,121.690400490049,43.0240536959103
"Heliophila refracta","annual",5,223.4,212.137455438685,94.8707541869464
"Heliophila rigidiuscula","perennial",22,50.4545454545455,31.3273458403772,6.67901257468837
"Heliophila scoparia var. aspera","no_life_form_on_database",NA,NA,NA,NA
"Heliophila seselifolia","annual",19,64.6842105263158,104.983095269656,24.0847738452912
"Heliophila suavissima","perennial",21,44.4761904761905,28.3877069303229,6.19470551497273
"Heliophila suborbicularis","annual",5,108.4,14.7749788493926,6.60757141467272
"Heliophila subulata","annual",18,90.2777777777778,34.6898960633913,8.17648691502683
"Heliophila tricuspidata","perennial",1,178,NA,NA
"Heliophila trifurca","annual",19,23.7894736842105,27.8399771459206,6.38692878787104
"Heliophila tulbaghensis","perennial",NA,NA,NA,NA
"Heliophila variabilis","annual",11,62.9090909090909,35.4639381497728,10.6927796755606
