"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Heliophila acuminata","annual",5,7.394958,0.608403,0.272086,0.060918
"Heliophila africana","annual",5,7.755536,0.413581,0.184959,0.060918
"Heliophila amplexicaulis","annual",9,6.827968,0.266209,0.088736,0.033844
"Heliophila arenaria","annual",6,6.792371,0.610911,0.249403,0.050765
"Heliophila arenosa","annual",4,7.220356,0.424273,0.212137,0.076148
"Heliophila bulbostyla","annual",4,7.527114,0.786333,0.393166,0.076148
"Heliophila carnosa","perennial",27,7.588632,0.976419,0.187912,0.011281
"Heliophila cedarbergensis","perennial",NA,NA,NA,NA,NA
"Heliophila collina","annual",4,7.051878,0.137437,0.068718,0.076148
"Heliophila cornellsbergia","annual",NA,NA,NA,NA,NA
"Heliophila cornuta","perennial",15,7.005413,0.67442,0.174134,0.020306
"Heliophila coronopifolia","annual",5,7.678541,0.556583,0.248911,0.060918
"Heliophila crithmifolia","annual",13,6.648289,0.717064,0.198878,0.02343
"Heliophila descurva","no_life_form_on_database",4,7.432887,0.362085,0.181042,0.076148
"Heliophila deserticola","annual",16,6.132825,0.675258,0.168815,0.019037
"Heliophila digitata","annual",5,7.284118,0.58073,0.25971,0.060918
"Heliophila dregeana","perennial",3,7.553674,0.553097,0.319331,0.101531
"Heliophila elata","perennial",3,7.533054,0.321523,0.185631,0.101531
"Heliophila elongata","perennial",13,8.400307,0.454719,0.126116,0.02343
"Heliophila ephemera","annual",1,7.864804,NA,NA,0.304592
"Heliophila esterhuyseniae","perennial",NA,NA,NA,NA,NA
"Heliophila eximia","annual",1,5.438079,NA,NA,0.304592
"Heliophila gariepina","annual",2,5.733257,0.018308,0.012946,0.152296
"Heliophila glauca","perennial",4,7.678442,0.625824,0.312912,0.076148
"Heliophila hurkana","perennial",2,7.270405,0.364003,0.257389,0.152296
"Heliophila juncea","perennial",NA,NA,NA,NA,NA
"Heliophila lactea","annual",7,6.204103,0.625086,0.23626,0.043513
"Heliophila latisiliqua","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila linearis var. linearis","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila linoides","annual",3,8.002935,0.054451,0.031437,0.101531
"Heliophila macowaniana","annual",5,7.51445,0.379825,0.169863,0.060918
"Heliophila macra","no_life_form_on_database",3,8.129636,0.272918,0.157569,0.101531
"Heliophila macrosperma","perennial",NA,NA,NA,NA,NA
"Heliophila maraisiana","perennial",5,7.350669,0.229064,0.102441,0.060918
"Heliophila minima","annual",NA,NA,NA,NA,NA
"Heliophila monosperma","perennial",1,7.057037,NA,NA,0.304592
"Heliophila namaquana","annual",6,6.897396,0.842845,0.34409,0.050765
"Heliophila nubigena","perennial",2,7.588906,0.104032,0.073562,0.152296
"Heliophila pectinata","annual",7,7.089729,0.513488,0.19408,0.043513
"Heliophila pinnata","annual",5,7.031737,0.264776,0.118411,0.060918
"Heliophila polygaloides","perennial",1,7.317212,NA,NA,0.304592
"Heliophila pubescens","annual",4,7.098926,0.50092,0.25046,0.076148
"Heliophila pusilla","annual",7,7.504187,0.421326,0.159246,0.043513
"Heliophila refracta","annual",5,7.679346,0.56902,0.254473,0.060918
"Heliophila rigidiuscula","perennial",22,8.427699,0.371432,0.07919,0.013845
"Heliophila scoparia var. aspera","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila seselifolia","annual",19,6.574174,0.652172,0.149619,0.016031
"Heliophila suavissima","perennial",21,7.683197,0.59897,0.130706,0.014504
"Heliophila suborbicularis","annual",5,7.164457,0.271222,0.121294,0.060918
"Heliophila subulata","annual",17,8.090068,0.562092,0.136327,0.017917
"Heliophila tricuspidata","perennial",1,8.135054,NA,NA,0.304592
"Heliophila trifurca","annual",19,6.452347,0.600896,0.137855,0.016031
"Heliophila tulbaghensis","perennial",NA,NA,NA,NA,NA
"Heliophila variabilis","annual",11,6.69225,0.68994,0.208025,0.02769
