"species","life_form","n","mean","sd","se"
"Cyphocardamum aretioides","perennial",NA,NA,NA,NA
"Delpinophytum patagonicum","perennial",3,31.6666666666667,13.8684293751431,8.00694143297621
"Lepidium aegrum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium affghanum","perennial",NA,NA,NA,NA
"Lepidium afghanicum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium africanum","annual",8,47.75,8.31092224554102,2.93835473886809
"Lepidium alluaudii","no_life_form_on_database",4,60,15.9791530856092,7.98957654280459
"Lepidium alyssoides","perennial",55,52.0909090909091,17.8234892116209,2.40331879501798
"Lepidium angustissimum","annual",NA,NA,NA,NA
"Lepidium apetalum","annual",189,86.3492063492064,24.2766581243366,1.76586703929106
"Lepidium appelianum","perennial",NA,NA,NA,NA
"Lepidium apterum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium arbuscula","perennial",NA,NA,NA,NA
"Lepidium armoracia","perennial",3,107.333333333333,22.0075744536588,12.7060790350306
"Lepidium aschersonii","perennial",12,26.75,17.581627807562,5.07537877374386
"Lepidium aucheri","annual",5,92,21.7485631709315,9.72625313263026
"Lepidium auriculatum","annual",45,49.1111111111111,26.935294708061,4.01527666408099
"Lepidium austrinum","annual",58,48.4137931034483,17.1587372074094,2.25305257508232
"Lepidium banksii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium bidentatum","perennial",NA,NA,NA,NA
"Lepidium bipinnatifidum","perennial",31,51.5483870967742,22.6419061471974,4.06660639202928
"Lepidium biplicatum","perennial",4,78,10.4880884817015,5.24404424085076
"Lepidium bonariense","annual",99,56.1717171717172,32.9730998598581,3.31392122454756
"Lepidium botschantsevianum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium brachyotum","perennial",1,27,NA,NA
"Lepidium brevicaule","no_life_form_on_database",NA,NA,NA,NA
"Lepidium campestre","annual",108,26.0555555555556,8.92945700993133,0.859237401400174
"Lepidium capense","perennial",3,43.3333333333333,17.7857620959388,10.2686145338329
"Lepidium capitatum","annual",44,96.5227272727273,31.0562045902553,4.681899001745
"Lepidium cardamines","no_life_form_on_database",8,40.375,15.0611847380704,5.32493293049647
"Lepidium cardiophyllum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium cartilagineum","perennial",21,49.2857142857143,34.7881342660725,7.59139326478877
"Lepidium chalepense","perennial",15,70.4666666666667,27.0947192183977,6.99582642020135
"Lepidium chichicara","perennial",16,75.875,30.1968541407876,7.54921353519689
"Lepidium cordatum","perennial",6,81.3333333333333,36.1201698039567,14.7459975737298
"Lepidium coronopifolium","no_life_form_on_database",NA,NA,NA,NA
"Lepidium coronopus","annual",66,33.7575757575758,20.6152002218383,2.53755573214354
"Lepidium costaricense","no_life_form_on_database",25,72.16,19.5292088933474,3.90584177866948
"Lepidium crassum","no_life_form_on_database",1,15,NA,NA
"Lepidium davisii","perennial",6,33.5,4.03732584763727,1.64823137534348
"Lepidium depressum","no_life_form_on_database",5,92,24.2280828791714,10.8351280564652
"Lepidium desertorum","annual",17,46.3529411764706,19.7861731281929,4.79885186672337
"Lepidium desvauxii","perennial",15,30.9333333333333,20.916386831746,5.40058785747896
"Lepidium dictyotum","annual",36,67.8611111111111,22.0922129497222,3.68203549162037
"Lepidium didymum","annual",63,62.9206349206349,28.9634372332527,3.64905009680073
"Lepidium divaricatum subsp. trifurcum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium draba","perennial",168,40.9761904761905,24.0742246393825,1.85736675479833
"Lepidium echinatum","perennial",20,72.05,11.8697980295858,2.65416752733468
"Lepidium englerianum","annual",NA,NA,NA,NA
"Lepidium fasciculatum","annual",70,25.5142857142857,12.9343300719418,1.5459481344559
"Lepidium ferganense","perennial",5,44.2,5.40370243444252,2.41660919471891
"Lepidium flavum","annual",27,56.7407407407407,22.1716946935512,4.26694463323732
"Lepidium flexicaule","perennial",6,19.3333333333333,2.80475786239502,1.14503760248784
"Lepidium foliosum","perennial",17,37.0588235294118,23.946478311631,5.8078740847304
"Lepidium fremontii","perennial",51,51.3333333333333,18.4007246234127,2.57661682218486
"Lepidium graminifolium","perennial",84,37.4880952380952,21.2560375817688,2.31922383793528
"Lepidium heterophyllum","perennial",56,38.1785714285714,15.7573730423191,2.10566754428378
"Lepidium hirtum subsp. hirtum","no_life_form_on_database",15,34.4,10.7690031373117,2.78054465373757
"Lepidium jaredii","annual",2,89,4.24264068711928,3
"Lepidium johnstonii","annual",NA,NA,NA,NA
"Lepidium juvencum","no_life_form_on_database",1,12,NA,NA
"Lepidium kawarau","no_life_form_on_database",NA,NA,NA,NA
"Lepidium kirilowii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium kirkii","no_life_form_on_database",1,23,NA,NA
"Lepidium lacerum","perennial",NA,NA,NA,NA
"Lepidium lacerum subsp. rubtzovii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium lasiocarpum","annual",135,64.1407407407407,23.3168195531482,2.00679230701925
"Lepidium latifolium","perennial",223,43.7668161434978,28.1293564745668,1.88368103475276
"Lepidium latipes","annual",19,90.1052631578947,5.84897651865602,1.34184724041915
"Lepidium leptopetalum","perennial",32,19.5,7.2734603736084,1.28577828821753
"Lepidium limenophylax de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium linifolium","perennial",7,83.1428571428571,11.5531896234845,4.366695227616
"Lepidium lipskyi","no_life_form_on_database",NA,NA,NA,NA
"Lepidium litwinowii","perennial",NA,NA,NA,NA
"Lepidium lyratum","perennial",NA,NA,NA,NA
"Lepidium meyenii","perennial",21,98.1904761904762,20.7499856569084,4.52801809247766
"Lepidium montanum","annual",94,44.3829787234043,20.936209505332,2.15940512999248
"Lepidium myriocarpum","perennial",3,54,27.2213151776324,15.7162336455017
"Lepidium naufragorum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium navasii","perennial",NA,NA,NA,NA
"Lepidium nesophilum","perennial",NA,NA,NA,NA
"Lepidium niloticum","annual",NA,NA,NA,NA
"Lepidium nitidum","annual",47,86,12.0144840125141,1.75249260833696
"Lepidium oblongum","annual",136,65.0882352941177,23.7391598928501,2.03561616704779
"Lepidium obtusatum","perennial",1,21,NA,NA
"Lepidium oleraceum","annual",NA,NA,NA,NA
"Lepidium oligodontum de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium orbiculare","no_life_form_on_database",NA,NA,NA,NA
"Lepidium orientale","no_life_form_on_database",NA,NA,NA,NA
"Lepidium oxycarpum","annual",11,89,4.40454310910905,1.32801971507819
"Lepidium oxytrichum","annual",210,42.1714285714286,19.3719360684555,1.33679058986231
"Lepidium paniculatum","no_life_form_on_database",3,52.3333333333333,14.6401275039985,8.45248155540398
"Lepidium papilliferum","annual",3,36.6666666666667,3.05505046330389,1.76383420737639
"Lepidium papillosum","annual",63,22.8095238095238,10.9336077669653,1.37750509924354
"Lepidium patrinoides","no_life_form_on_database",NA,NA,NA,NA
"Lepidium pavlovii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium pedicellosum","perennial",24,82.0833333333333,15.9970558885518,3.26538535947807
"Lepidium perfoliatum","annual",108,34.0925925925926,19.2477876078027,1.85211922611161
"Lepidium phlebopetalum","annual",233,42.9399141630901,22.5292108083655,1.47593767336418
"Lepidium pholidogynum","annual",25,87.32,16.3317686325354,3.26635372650708
"Lepidium pinnatifidum","annual",14,52.8571428571429,28.234886066864,7.54609071548588
"Lepidium pinnatum","perennial",4,50.5,26.1087469378878,13.0543734689439
"Lepidium platypetalum","perennial",46,62.4565217391304,21.9734248802089,3.23980474776069
"Lepidium pseudohyssopifolium","annual",62,28.9516129032258,15.7338805561723,1.99820482883971
"Lepidium pseudopapillosum","annual",4,24.75,3.5,1.75
"Lepidium pseudotasmanicum","annual",44,24.75,16.6162221100135,2.50498973509647
"Lepidium quitense","no_life_form_on_database",1,44,NA,NA
"Lepidium rahmeri","annual",7,117.428571428571,31.9523454687192,12.0768514164932
"Lepidium ramosissimum","annual",107,47.3551401869159,17.0483509612816,1.64812629523276
"Lepidium rekohuense de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium rhytidocarpum","perennial",NA,NA,NA,NA
"Lepidium rigidum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium rotundum","perennial",53,41.8301886792453,23.5802523711429,3.23899676375261
"Lepidium ruderale","annual",347,28.1700288184438,9.01780004375928,0.484100870800868
"Lepidium sagittatum","perennial",NA,NA,NA,NA
"Lepidium sativum","annual",89,55.5393258426966,35.7144789138215,3.78572719341827
"Lepidium schinzii","perennial",14,62.7857142857143,8.34983713732072,2.23158784308682
"Lepidium seditiosum de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium serra","perennial",1,22,NA,NA
"Lepidium serratum","perennial",NA,NA,NA,NA
"Lepidium silaifolium","no_life_form_on_database",NA,NA,NA,NA
"Lepidium sisymbrioides","no_life_form_on_database",4,14.5,4.93288286231625,2.46644143115812
"Lepidium solomonii","no_life_form_on_database",1,75,NA,NA
"Lepidium songaricum","perennial",NA,NA,NA,NA
"Lepidium spinescens","no_life_form_on_database",NA,NA,NA,NA
"Lepidium spinosum","annual",13,77.0769230769231,12.867669683238,3.56884944912678
"Lepidium strictum","annual",36,91.5277777777778,25.5471397460919,4.25785662434865
"Lepidium subcordatum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium subulatum","perennial",26,35.5769230769231,10.9660314678486,2.15061570927818
"Lepidium tenuicaule","no_life_form_on_database",5,17,2.73861278752583,1.22474487139159
"Lepidium thurberi","annual",32,71.03125,19.0525324284066,3.36804371972572
"Lepidium tiehmii","perennial",1,42,NA,NA
"Lepidium vesicarium","annual",8,49.125,9.86244681318268,3.48690151034656
"Lepidium villarsii subsp. villarsii","no_life_form_on_database",10,31.8,8.03879482399086,2.54209012865835
"Lepidium violaceum","perennial",NA,NA,NA,NA
"Lepidium virginicum","annual",503,45.0218687872763,29.579279635442,1.31887489232818
"Lithodraba mendocinensis","perennial",5,44.4,18.8494031735755,8.42970936628304
