"species","life_form","n","mean","sd","se"
"Cyphocardamum aretioides","perennial",NA,NA,NA,NA
"Delpinophytum patagonicum","perennial",3,1.66666666666667,6.02771377334171,3.48010216963685
"Lepidium aegrum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium affghanum","perennial",NA,NA,NA,NA
"Lepidium afghanicum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium africanum","annual",8,29.25,58.6947308416303,20.751721099018
"Lepidium alluaudii","no_life_form_on_database",4,36.25,41.2179168161937,20.6089584080969
"Lepidium alyssoides","perennial",55,-37.1090909090909,55.8823740605187,7.53517778114423
"Lepidium angustissimum","annual",NA,NA,NA,NA
"Lepidium apetalum","annual",192,-133.296875,85.247900839335,6.15223731218007
"Lepidium appelianum","perennial",NA,NA,NA,NA
"Lepidium apterum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium arbuscula","perennial",NA,NA,NA,NA
"Lepidium armoracia","perennial",3,64.3333333333333,12.6622799421484,7.31057073315377
"Lepidium aschersonii","perennial",12,57.9166666666667,17.921334839354,5.17344374686922
"Lepidium aucheri","annual",5,53.2,28.331960751067,12.6704380350484
"Lepidium auriculatum","annual",45,52.7111111111111,60.2406621289754,8.98014770199908
"Lepidium austrinum","annual",58,43.448275862069,47.4035206382925,6.22438720000642
"Lepidium banksii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium bidentatum","perennial",NA,NA,NA,NA
"Lepidium bipinnatifidum","perennial",31,70.5483870967742,67.6495078620569,12.1502102915274
"Lepidium biplicatum","perennial",5,132.4,27.808272150567,12.4362373730964
"Lepidium bonariense","annual",99,52.8080808080808,58.7968964833607,5.90931043856589
"Lepidium botschantsevianum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium brachyotum","perennial",1,-193,NA,NA
"Lepidium brevicaule","no_life_form_on_database",NA,NA,NA,NA
"Lepidium campestre","annual",108,-22.4537037037037,29.0894155717146,2.79913031848305
"Lepidium capense","perennial",4,61.25,45.9229427047817,22.9614713523909
"Lepidium capitatum","annual",44,-154.159090909091,60.9208190564044,9.18415903323758
"Lepidium cardamines","no_life_form_on_database",8,27.5,29.6840505514806,10.4948967190181
"Lepidium cardiophyllum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium cartilagineum","perennial",21,-132.52380952381,90.1191539283515,19.6656116400975
"Lepidium chalepense","perennial",15,-51.6666666666667,60.8941313928956,15.7227971177634
"Lepidium chichicara","perennial",16,53.5,62.572624472155,15.6431561180388
"Lepidium cordatum","perennial",6,-225.5,55.3777933832687,22.6078894783805
"Lepidium coronopifolium","no_life_form_on_database",NA,NA,NA,NA
"Lepidium coronopus","annual",66,-3.6969696969697,43.6552824178665,5.37359380193904
"Lepidium costaricense","no_life_form_on_database",25,140.6,61.8728534981215,12.3745706996243
"Lepidium crassum","no_life_form_on_database",1,52,NA,NA
"Lepidium davisii","perennial",6,-61.1666666666667,12.5445871461227,5.12130625697954
"Lepidium depressum","no_life_form_on_database",5,-79.6,55.5724752013081,24.8527664456092
"Lepidium desertorum","annual",14,34.2142857142857,22.4368466570525,5.99649950216248
"Lepidium desvauxii","perennial",15,77.8,30.8410672411223,7.96312932027533
"Lepidium dictyotum","annual",36,8.61111111111111,52.2779810397007,8.71299683995011
"Lepidium didymum","annual",63,48.3174603174603,58.9879226011632,7.43177969328591
"Lepidium divaricatum subsp. trifurcum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium draba","perennial",168,-30.0238095238095,72.0449753392155,5.55839052138863
"Lepidium echinatum","perennial",20,94.2,13.2371089227059,2.95990753767393
"Lepidium englerianum","annual",NA,NA,NA,NA
"Lepidium fasciculatum","annual",70,59.4285714285714,16.1385050657021,1.92892029664152
"Lepidium ferganense","perennial",5,-113,54.1617946526885,24.2218909253592
"Lepidium flavum","annual",28,1.67857142857143,42.7248332432249,8.07423454059131
"Lepidium flexicaule","perennial",6,79.3333333333333,20.8774200194053,8.52317103221826
"Lepidium foliosum","perennial",17,90.5294117647059,17.8994331162289,4.34125019864062
"Lepidium fremontii","perennial",52,-6.69230769230769,43.2165266415788,5.99305395206416
"Lepidium graminifolium","perennial",84,25.5119047619048,41.8973197082798,4.57137235664184
"Lepidium heterophyllum","perennial",56,15.1607142857143,29.14651189841,3.89486648369216
"Lepidium hirtum subsp. hirtum","no_life_form_on_database",15,0.333333333333333,23.1938004853103,5.98861353432429
"Lepidium jaredii","annual",2,17,8.48528137423857,6
"Lepidium johnstonii","annual",NA,NA,NA,NA
"Lepidium juvencum","no_life_form_on_database",1,45,NA,NA
"Lepidium kawarau","no_life_form_on_database",NA,NA,NA,NA
"Lepidium kirilowii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium kirkii","no_life_form_on_database",1,3,NA,NA
"Lepidium lacerum","perennial",NA,NA,NA,NA
"Lepidium lacerum subsp. rubtzovii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium lasiocarpum","annual",135,29.6962962962963,52.5689702007872,4.52441658033162
"Lepidium latifolium","perennial",224,-75.3705357142857,86.6776473721559,5.7913939206824
"Lepidium latipes","annual",19,52.6315789473684,23.1017328025309,5.29990098457426
"Lepidium leptopetalum","perennial",32,57.09375,13.4532868630441,2.37822759252659
"Lepidium limenophylax de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium linifolium","perennial",7,141.285714285714,26.3736881867408,9.96831715681115
"Lepidium lipskyi","no_life_form_on_database",NA,NA,NA,NA
"Lepidium litwinowii","perennial",NA,NA,NA,NA
"Lepidium lyratum","perennial",NA,NA,NA,NA
"Lepidium meyenii","perennial",20,-51.45,71.00517030841,15.8772387563555
"Lepidium montanum","annual",94,-48.0957446808511,49.4416282635743,5.09951458406798
"Lepidium myriocarpum","perennial",3,21.3333333333333,65.546421209196,37.8432439295459
"Lepidium naufragorum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium navasii","perennial",NA,NA,NA,NA
"Lepidium nesophilum","perennial",NA,NA,NA,NA
"Lepidium niloticum","annual",NA,NA,NA,NA
"Lepidium nitidum","annual",47,47.0425531914894,41.368417614748,6.03420388365657
"Lepidium oblongum","annual",136,17.2205882352941,55.997181301611,4.80171868259742
"Lepidium obtusatum","perennial",1,65,NA,NA
"Lepidium oleraceum","annual",NA,NA,NA,NA
"Lepidium oligodontum de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium orbiculare","no_life_form_on_database",NA,NA,NA,NA
"Lepidium orientale","no_life_form_on_database",NA,NA,NA,NA
"Lepidium oxycarpum","annual",11,49.7272727272727,14.3184559858311,4.31717691656546
"Lepidium oxytrichum","annual",210,70.0666666666667,15.6160674626618,1.07761103283497
"Lepidium paniculatum","no_life_form_on_database",3,-57.6666666666667,8.02080627701064,4.63081466314993
"Lepidium papilliferum","annual",3,-53,13,7.50555349946513
"Lepidium papillosum","annual",62,56.2741935483871,9.86826234947118,1.25327057165404
"Lepidium patrinoides","no_life_form_on_database",NA,NA,NA,NA
"Lepidium pavlovii","no_life_form_on_database",NA,NA,NA,NA
"Lepidium pedicellosum","perennial",24,108.416666666667,24.201898356492,4.94019181500902
"Lepidium perfoliatum","annual",108,-72.3148148148148,60.7766937850524,5.84824008620924
"Lepidium phlebopetalum","annual",235,72.6127659574468,16.9715399910324,1.10710119790996
"Lepidium pholidogynum","annual",26,120.461538461538,29.5394390863886,5.79316062777234
"Lepidium pinnatifidum","annual",14,-56.5,65.442576120067,17.4902641677975
"Lepidium pinnatum","perennial",4,42.5,42.2492603485552,21.1246301742776
"Lepidium platypetalum","perennial",46,97.1739130434783,30.7052687102726,4.52724488290435
"Lepidium pseudohyssopifolium","annual",63,63,19.6271701080826,2.47279100218797
"Lepidium pseudopapillosum","annual",4,52.5,3.87298334620742,1.93649167310371
"Lepidium pseudotasmanicum","annual",45,56.4222222222222,25.9890614130505,3.87422053273318
"Lepidium quitense","no_life_form_on_database",1,110,NA,NA
"Lepidium rahmeri","annual",7,-58.8571428571429,40.5603606633725,15.3303753431958
"Lepidium ramosissimum","annual",107,-145.439252336449,63.9103407303225,6.1784458411344
"Lepidium rekohuense de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium rhytidocarpum","perennial",NA,NA,NA,NA
"Lepidium rigidum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium rotundum","perennial",53,78.7358490566038,22.38315897087,3.07456333919187
"Lepidium ruderale","annual",349,-65.1002865329513,59.6592693506876,3.19348747193467
"Lepidium sagittatum","perennial",NA,NA,NA,NA
"Lepidium sativum","annual",90,-1.01111111111111,62.0973310766368,6.54563342732428
"Lepidium schinzii","perennial",12,-3.41666666666667,28.0079804644492,8.08520753030377
"Lepidium seditiosum de","no_life_form_on_database",NA,NA,NA,NA
"Lepidium serra","perennial",1,213,NA,NA
"Lepidium serratum","perennial",NA,NA,NA,NA
"Lepidium silaifolium","no_life_form_on_database",NA,NA,NA,NA
"Lepidium sisymbrioides","no_life_form_on_database",4,7.75,12.8160056179763,6.40800280898815
"Lepidium solomonii","no_life_form_on_database",1,-20,NA,NA
"Lepidium songaricum","perennial",NA,NA,NA,NA
"Lepidium spinescens","no_life_form_on_database",NA,NA,NA,NA
"Lepidium spinosum","annual",13,71.6923076923077,20.1054910218768,5.57625990751983
"Lepidium strictum","annual",37,43.4054054054054,29.8062814590216,4.9001224872016
"Lepidium subcordatum","no_life_form_on_database",NA,NA,NA,NA
"Lepidium subulatum","perennial",27,20.2222222222222,22.9687636272417,4.42034062104697
"Lepidium tenuicaule","no_life_form_on_database",5,63.4,25.4519154485473,11.3824426201058
"Lepidium thurberi","annual",32,10.125,40.9182899399878,7.23340007278066
"Lepidium tiehmii","perennial",1,-77,NA,NA
"Lepidium vesicarium","annual",8,-46.75,32.3231451793558,11.4279575727999
"Lepidium villarsii subsp. villarsii","no_life_form_on_database",10,-25.3,35.5997815224257,11.2576393815242
"Lepidium violaceum","perennial",NA,NA,NA,NA
"Lepidium virginicum","annual",502,8.93625498007968,84.968961811805,3.79235036062348
"Lithodraba mendocinensis","perennial",5,-53.8,44.2459037652075,19.7873697089836
