"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Cyphocardamum aretioides","perennial",NA,NA,NA,NA,NA
"Delpinophytum patagonicum","perennial",3,7.283757,0.28453,0.164273,0.101381
"Lepidium aegrum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium affghanum","perennial",NA,NA,NA,NA,NA
"Lepidium afghanicum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium africanum","annual",8,8.061618,0.608683,0.215202,0.038018
"Lepidium alluaudii","no_life_form_on_database",4,6.633719,0.452164,0.226082,0.076035
"Lepidium alyssoides","perennial",55,7.48112,0.423159,0.057059,0.00553
"Lepidium angustissimum","annual",NA,NA,NA,NA,NA
"Lepidium apetalum","annual",192,7.972934,0.984255,0.071032,0.001584
"Lepidium appelianum","perennial",NA,NA,NA,NA,NA
"Lepidium apterum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium arbuscula","perennial",NA,NA,NA,NA,NA
"Lepidium armoracia","perennial",3,7.900576,0.262115,0.151332,0.101381
"Lepidium aschersonii","perennial",12,8.130127,0.261288,0.075427,0.025345
"Lepidium aucheri","annual",5,6.576422,1.056712,0.472576,0.060828
"Lepidium auriculatum","annual",45,8.482909,0.630123,0.093933,0.006759
"Lepidium austrinum","annual",58,8.053593,0.500696,0.065745,0.005244
"Lepidium banksii","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium bidentatum","perennial",NA,NA,NA,NA,NA
"Lepidium bipinnatifidum","perennial",31,9.042645,0.492439,0.088445,0.009811
"Lepidium biplicatum","perennial",5,6.891626,0.247344,0.110616,0.060828
"Lepidium bonariense","annual",98,8.2112,0.838922,0.084744,0.003103
"Lepidium botschantsevianum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium brachyotum","perennial",1,7.905442,NA,NA,0.304142
"Lepidium brevicaule","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium campestre","annual",107,8.942572,0.36153,0.03495,0.002842
"Lepidium capense","perennial",4,7.80324,0.475858,0.237929,0.076035
"Lepidium capitatum","annual",44,8.17475,0.846563,0.127624,0.006912
"Lepidium cardamines","no_life_form_on_database",8,7.936066,0.260976,0.092269,0.038018
"Lepidium cardiophyllum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium cartilagineum","perennial",21,8.143366,0.420335,0.091725,0.014483
"Lepidium chalepense","perennial",15,7.459866,0.906232,0.233988,0.020276
"Lepidium chichicara","perennial",16,7.995992,1.892574,0.473144,0.019009
"Lepidium cordatum","perennial",6,7.768914,0.355341,0.145067,0.05069
"Lepidium coronopifolium","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium coronopus","annual",65,8.787308,0.380407,0.047184,0.004679
"Lepidium costaricense","no_life_form_on_database",25,8.972167,0.521794,0.104359,0.012166
"Lepidium crassum","no_life_form_on_database",1,8.488794,NA,NA,0.304142
"Lepidium davisii","perennial",6,7.320153,0.177974,0.072658,0.05069
"Lepidium depressum","no_life_form_on_database",5,7.870815,0.862176,0.385577,0.060828
"Lepidium desertorum","annual",14,6.914361,0.593149,0.158526,0.021724
"Lepidium desvauxii","perennial",16,8.654811,0.392625,0.098156,0.019009
"Lepidium dictyotum","annual",36,7.170908,0.636691,0.106115,0.008448
"Lepidium didymum","annual",62,8.391131,0.722641,0.091775,0.004906
"Lepidium divaricatum subsp. trifurcum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium draba","perennial",165,8.340602,0.668437,0.052038,0.001843
"Lepidium echinatum","perennial",20,6.808048,0.203497,0.045503,0.015207
"Lepidium englerianum","annual",NA,NA,NA,NA,NA
"Lepidium fasciculatum","annual",70,7.689983,0.477609,0.057085,0.004345
"Lepidium ferganense","perennial",5,7.659981,0.489915,0.219097,0.060828
"Lepidium flavum","annual",28,6.775828,0.655171,0.123816,0.010862
"Lepidium flexicaule","perennial",3,9.10774,0.507049,0.292745,0.101381
"Lepidium foliosum","perennial",15,8.493467,0.532209,0.137416,0.020276
"Lepidium fremontii","perennial",52,6.864907,0.67218,0.093215,0.005849
"Lepidium graminifolium","perennial",83,8.413529,0.536232,0.058859,0.003664
"Lepidium heterophyllum","perennial",56,8.681469,0.539928,0.072151,0.005431
"Lepidium hirtum subsp. hirtum","no_life_form_on_database",15,8.310713,0.497946,0.128569,0.020276
"Lepidium jaredii","annual",2,7.359715,0.242257,0.171302,0.152071
"Lepidium johnstonii","annual",NA,NA,NA,NA,NA
"Lepidium juvencum","no_life_form_on_database",1,8.47658,NA,NA,0.304142
"Lepidium kawarau","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium kirilowii","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium kirkii","no_life_form_on_database",1,8.601902,NA,NA,0.304142
"Lepidium lacerum","perennial",NA,NA,NA,NA,NA
"Lepidium lacerum subsp. rubtzovii","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium lasiocarpum","annual",135,7.119664,0.677604,0.058319,0.002253
"Lepidium latifolium","perennial",220,8.240724,0.786352,0.053016,0.001382
"Lepidium latipes","annual",19,7.792785,0.497471,0.114128,0.016007
"Lepidium leptopetalum","perennial",32,7.317745,0.480766,0.084988,0.009504
"Lepidium limenophylax de","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium linifolium","perennial",7,6.930072,0.355686,0.134437,0.043449
"Lepidium lipskyi","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium litwinowii","perennial",NA,NA,NA,NA,NA
"Lepidium lyratum","perennial",NA,NA,NA,NA,NA
"Lepidium meyenii","perennial",20,7.770133,0.911047,0.203716,0.015207
"Lepidium montanum","annual",94,7.39922,0.479763,0.049484,0.003236
"Lepidium myriocarpum","perennial",3,8.440052,0.248045,0.143209,0.101381
"Lepidium naufragorum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium navasii","perennial",NA,NA,NA,NA,NA
"Lepidium nesophilum","perennial",NA,NA,NA,NA,NA
"Lepidium niloticum","annual",NA,NA,NA,NA,NA
"Lepidium nitidum","annual",46,7.687215,0.832027,0.122676,0.006612
"Lepidium oblongum","annual",134,7.914728,0.758666,0.065539,0.00227
"Lepidium obtusatum","perennial",1,9.499871,NA,NA,0.304142
"Lepidium oleraceum","annual",NA,NA,NA,NA,NA
"Lepidium oligodontum de","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium orbiculare","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium orientale","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium oxycarpum","annual",11,7.771361,0.623535,0.188003,0.027649
"Lepidium oxytrichum","annual",210,6.850041,0.382928,0.026425,0.001448
"Lepidium paniculatum","no_life_form_on_database",3,8.094884,0.1891,0.109177,0.101381
"Lepidium papilliferum","annual",3,7.422294,0.062205,0.035914,0.101381
"Lepidium papillosum","annual",62,7.15405,0.484896,0.061582,0.004906
"Lepidium patrinoides","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium pavlovii","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium pedicellosum","perennial",24,6.95858,0.273385,0.055804,0.012673
"Lepidium perfoliatum","annual",108,8.150412,0.631485,0.060765,0.002816
"Lepidium phlebopetalum","annual",235,6.820147,0.40253,0.026258,0.001294
"Lepidium pholidogynum","annual",26,7.010558,0.278484,0.054615,0.011698
"Lepidium pinnatifidum","annual",14,8.084903,0.719765,0.192365,0.021724
"Lepidium pinnatum","perennial",4,7.652606,0.73012,0.36506,0.076035
"Lepidium platypetalum","perennial",46,6.806447,0.166641,0.02457,0.006612
"Lepidium pseudohyssopifolium","annual",63,8.009476,0.566166,0.07133,0.004828
"Lepidium pseudopapillosum","annual",4,7.383386,0.728002,0.364001,0.076035
"Lepidium pseudotasmanicum","annual",46,8.483732,0.450008,0.06635,0.006612
"Lepidium quitense","no_life_form_on_database",1,8.525756,NA,NA,0.304142
"Lepidium rahmeri","annual",7,6.694221,0.656593,0.248169,0.043449
"Lepidium ramosissimum","annual",107,8.284237,0.474833,0.045904,0.002842
"Lepidium rekohuense de","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium rhytidocarpum","perennial",NA,NA,NA,NA,NA
"Lepidium rigidum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium rotundum","perennial",53,7.354689,0.498061,0.068414,0.005739
"Lepidium ruderale","annual",345,8.837644,0.443337,0.023868,0.000882
"Lepidium sagittatum","perennial",NA,NA,NA,NA,NA
"Lepidium sativum","annual",90,8.106261,1.303178,0.137367,0.003342
"Lepidium schinzii","perennial",12,7.99631,0.653619,0.188684,0.025345
"Lepidium seditiosum de","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium serra","perennial",1,8.533657,NA,NA,0.304142
"Lepidium serratum","perennial",NA,NA,NA,NA,NA
"Lepidium silaifolium","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium sisymbrioides","no_life_form_on_database",4,9.035797,0.191078,0.095539,0.076035
"Lepidium solomonii","no_life_form_on_database",1,8.562167,NA,NA,0.304142
"Lepidium songaricum","perennial",NA,NA,NA,NA,NA
"Lepidium spinescens","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium spinosum","annual",13,8.077146,0.239194,0.06634,0.023396
"Lepidium strictum","annual",36,7.934428,0.943232,0.157205,0.008448
"Lepidium subcordatum","no_life_form_on_database",NA,NA,NA,NA,NA
"Lepidium subulatum","perennial",27,7.955772,0.4155,0.079963,0.011265
"Lepidium tenuicaule","no_life_form_on_database",5,8.885253,0.387952,0.173497,0.060828
"Lepidium thurberi","annual",32,7.381784,0.335287,0.059271,0.009504
"Lepidium tiehmii","perennial",1,7.308543,NA,NA,0.304142
"Lepidium vesicarium","annual",8,7.957295,0.225818,0.079839,0.038018
"Lepidium villarsii subsp. villarsii","no_life_form_on_database",10,8.539039,0.545322,0.172446,0.030414
"Lepidium violaceum","perennial",NA,NA,NA,NA,NA
"Lepidium virginicum","annual",497,8.586917,0.693287,0.031098,0.000612
"Lithodraba mendocinensis","perennial",5,7.495559,0.35902,0.160559,0.060828
