"species","life_form","n_bio_6","mean_bio_6","sd_bio_6","se_bio_6","within_sp_var_bio_6"
"Lupinus albescens","perennial",18,5.642424,0.005628,0.001327,2.8e-05
"Lupinus albicaulis","annual",38,5.60573,0.013715,0.002225,1.3e-05
"Lupinus albifrons","perennial",45,5.617663,0.017714,0.002641,1.1e-05
"Lupinus albus","annual",13,5.632681,0.01143,0.00317,3.9e-05
"Lupinus anatolicus","annual",NA,NA,NA,NA,NA
"Lupinus andersonii","perennial",37,5.599598,0.019696,0.003238,1.4e-05
"Lupinus angustifolius","annual",113,5.626454,0.01266,0.001191,4e-06
"Lupinus arboreus","perennial",28,5.625384,0.015487,0.002927,1.8e-05
"Lupinus arcticus","perennial",200,5.521275,0.027817,0.001967,3e-06
"Lupinus argenteus","perennial",183,5.578108,0.017682,0.001307,3e-06
"Lupinus arizonicus","annual",59,5.635558,0.018438,0.0024,9e-06
"Lupinus arvensis","perennial",NA,NA,NA,NA,NA
"Lupinus aschenbornii","perennial",12,5.618414,0.02523,0.007283,4.2e-05
"Lupinus atlanticus","annual",NA,NA,NA,NA,NA
"Lupinus aureonitens","annual",1,5.626001,NA,NA,0.000508
"Lupinus ballianus","perennial",14,5.627172,0.013889,0.003712,3.6e-05
"Lupinus bandelierae","perennial",NA,NA,NA,NA,NA
"Lupinus bangii","perennial",NA,NA,NA,NA,NA
"Lupinus benthamii","annual",20,5.622964,0.009442,0.002111,2.5e-05
"Lupinus bicolor","annual",78,5.62152,0.014407,0.001631,7e-06
"Lupinus bogotensis","perennial",14,5.631488,0.021211,0.005669,3.6e-05
"Lupinus bracteolaris","annual",17,5.640434,0.006836,0.001658,3e-05
"Lupinus brevicaulis","annual",96,5.59399,0.013193,0.001347,5e-06
"Lupinus breweri","perennial",19,5.584839,0.016588,0.003806,2.7e-05
"Lupinus cervinus","perennial",3,5.605986,0.000973,0.000562,0.000169
"Lupinus chachas","perennial",NA,NA,NA,NA,NA
"Lupinus chamissonis","perennial",18,5.62452,0.017187,0.004051,2.8e-05
"Lupinus chrysanthus","perennial",NA,NA,NA,NA,NA
"Lupinus citrinus","annual",NA,NA,NA,NA,NA
"Lupinus concinnus","annual",89,5.621966,0.017864,0.001894,6e-06
"Lupinus cosentinii","annual",14,5.639106,0.008858,0.002367,3.6e-05
"Lupinus crotalarioides","perennial",9,5.659571,0.004239,0.001413,5.6e-05
"Lupinus cumulicola","perennial",NA,NA,NA,NA,NA
"Lupinus diffusus","perennial",30,5.640911,0.01726,0.003151,1.7e-05
"Lupinus digitatus","annual",NA,NA,NA,NA,NA
"Lupinus duranii","perennial",1,5.577652,NA,NA,0.000508
"Lupinus elegans","perennial",39,5.632429,0.014353,0.002298,1.3e-05
"Lupinus ellsworthianus","perennial",NA,NA,NA,NA,NA
"Lupinus excubitus","perennial",31,5.61851,0.017809,0.003199,1.6e-05
"Lupinus flavoculatus","annual",21,5.606295,0.011031,0.002407,2.4e-05
"Lupinus formosus","perennial",35,5.615419,0.016408,0.002773,1.5e-05
"Lupinus gibertianus","annual",27,5.639088,0.008838,0.001701,1.9e-05
"Lupinus grayi","perennial",16,5.596586,0.012606,0.003151,3.2e-05
"Lupinus guadalupensis","annual",3,5.651839,0.004568,0.002637,0.000169
"Lupinus guaraniticus","perennial",13,5.64249,0.008205,0.002276,3.9e-05
"Lupinus havardii","annual",5,5.619843,0.005929,0.002652,0.000102
"Lupinus hirsutissimus","annual",28,5.630054,0.014956,0.002826,1.8e-05
"Lupinus hispanicus","annual",32,5.618194,0.009282,0.001641,1.6e-05
"Lupinus huachucanus","perennial",8,5.610001,0.006776,0.002396,6.4e-05
"Lupinus huaronensis","perennial",NA,NA,NA,NA,NA
"Lupinus huigrensis","annual",NA,NA,NA,NA,NA
"Lupinus lanatus","perennial",13,5.641649,0.007458,0.002068,3.9e-05
"Lupinus latifolius","perennial",65,5.601734,0.018034,0.002237,8e-06
"Lupinus lepidus","perennial",14,5.599071,0.015903,0.00425,3.6e-05
"Lupinus leucophyllus","perennial",66,5.586437,0.016298,0.002006,8e-06
"Lupinus lindleyanus","annual",NA,NA,NA,NA,NA
"Lupinus linearis","annual",12,5.645738,0.008484,0.002449,4.2e-05
"Lupinus littoralis","perennial",12,5.625578,0.014294,0.004126,4.2e-05
"Lupinus luteolus","annual",26,5.614496,0.013775,0.002701,2e-05
"Lupinus luteus","annual",35,5.629776,0.011847,0.002003,1.5e-05
"Lupinus magnistipulatus","annual",5,5.636721,0.008742,0.00391,0.000102
"Lupinus mantaroensis","annual",NA,NA,NA,NA,NA
"Lupinus mexicanus","annual",21,5.632095,0.01432,0.003125,2.4e-05
"Lupinus micranthus","annual",34,5.630883,0.014066,0.002412,1.5e-05
"Lupinus microcarpus","annual",65,5.612203,0.018263,0.002265,8e-06
"Lupinus microphyllus","perennial",17,5.613254,0.017329,0.004203,3e-05
"Lupinus misticola","perennial",2,5.617948,0.019518,0.013801,0.000254
"Lupinus mollendoensis","annual",NA,NA,NA,NA,NA
"Lupinus montanus","perennial",43,5.623239,0.020334,0.003101,1.2e-05
"Lupinus multiflorus","perennial",13,5.640368,0.010505,0.002914,3.9e-05
"Lupinus mutabilis","annual",16,5.634635,0.020567,0.005142,3.2e-05
"Lupinus nanus","annual",33,5.620387,0.009253,0.001611,1.5e-05
"Lupinus neomexicanus","perennial",13,5.595108,0.020161,0.005592,3.9e-05
"Lupinus nevadensis","perennial",15,5.586345,0.009416,0.002431,3.4e-05
"Lupinus nootkatensis","perennial",102,5.571304,0.027034,0.002677,5e-06
"Lupinus nubigenus","perennial",NA,NA,NA,NA,NA
"Lupinus odoratus","annual",16,5.610229,0.011918,0.00298,3.2e-05
"Lupinus pachylobus","annual",15,5.620316,0.007312,0.001888,3.4e-05
"Lupinus palaestinus","annual",NA,NA,NA,NA,NA
"Lupinus paraguariensis","perennial",13,5.646664,0.006319,0.001753,3.9e-05
"Lupinus paranensis","perennial",10,5.637952,0.005056,0.001599,5.1e-05
"Lupinus parvifolius","perennial",3,5.660209,0.009082,0.005243,0.000169
"Lupinus perennis","perennial",104,5.591867,0.023211,0.002276,5e-06
"Lupinus pilosus","annual",10,5.636678,0.009219,0.002915,5.1e-05
"Lupinus piurensis","annual",NA,NA,NA,NA,NA
"Lupinus polyphyllus","perennial",98,5.585917,0.024907,0.002516,5e-06
"Lupinus praestabilis","perennial",NA,NA,NA,NA,NA
"Lupinus princei","annual",5,5.649633,0.0051,0.002281,0.000102
"Lupinus prostratus","perennial",NA,NA,NA,NA,NA
"Lupinus pubescens","perennial",10,5.636625,0.031488,0.009957,5.1e-05
"Lupinus pulvinaris","perennial",1,5.604514,NA,NA,0.000508
"Lupinus purosericeus","perennial",NA,NA,NA,NA,NA
"Lupinus ramosissimus","perennial",11,5.631913,0.008283,0.002497,4.6e-05
"Lupinus reitzii","annual",11,5.638541,0.007248,0.002185,4.6e-05
"Lupinus rivularis","perennial",45,5.612301,0.02106,0.003139,1.1e-05
"Lupinus rubriflorus","annual",4,5.631204,0.004547,0.002274,0.000127
"Lupinus sarmentosus","perennial",5,5.628407,0.016786,0.007507,0.000102
"Lupinus semperflorens","perennial",7,5.642232,0.019085,0.007213,7.3e-05
"Lupinus sericeus","perennial",128,5.576578,0.015511,0.001371,4e-06
"Lupinus shockleyi","annual",17,5.618942,0.013261,0.003216,3e-05
"Lupinus solanagrorum","perennial",NA,NA,NA,NA,NA
"Lupinus sparsiflorus","annual",63,5.62762,0.017599,0.002217,8e-06
"Lupinus stiversii","annual",14,5.608105,0.011154,0.002981,3.6e-05
"Lupinus subacaulis","perennial",NA,NA,NA,NA,NA
"Lupinus subsessilis","perennial",4,5.662948,0.005674,0.002837,0.000127
"Lupinus succulentus","annual",52,5.633411,0.017801,0.002469,1e-05
"Lupinus sulphureus","perennial",17,5.587292,0.014576,0.003535,3e-05
"Lupinus tarapacensis","perennial",NA,NA,NA,NA,NA
"Lupinus tegeticulatus","perennial",NA,NA,NA,NA,NA
"Lupinus texensis","annual",48,5.627465,0.011627,0.001678,1.1e-05
"Lupinus tomentosus","perennial",NA,NA,NA,NA,NA
