"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Lupinus albescens","perennial",18,9.081864,0.2565,0.060458,0.016897
"Lupinus albicaulis","annual",38,8.752463,0.709549,0.115104,0.008004
"Lupinus albifrons","perennial",43,8.264688,0.726505,0.110791,0.007073
"Lupinus albus","annual",12,8.443812,0.336454,0.097126,0.025345
"Lupinus anatolicus","annual",NA,NA,NA,NA,NA
"Lupinus andersonii","perennial",37,8.343735,0.84052,0.138181,0.00822
"Lupinus angustifolius","annual",106,8.379889,0.438489,0.04259,0.002869
"Lupinus arboreus","perennial",27,8.511501,0.745481,0.143468,0.011265
"Lupinus arcticus","perennial",198,8.708741,0.485018,0.034469,0.001536
"Lupinus argenteus","perennial",183,8.0147,0.541874,0.040056,0.001662
"Lupinus arizonicus","annual",57,6.659884,0.717471,0.095031,0.005336
"Lupinus arvensis","perennial",NA,NA,NA,NA,NA
"Lupinus aschenbornii","perennial",11,8.703334,0.568981,0.171554,0.027649
"Lupinus atlanticus","annual",NA,NA,NA,NA,NA
"Lupinus aureonitens","annual",1,8.794219,NA,NA,0.304142
"Lupinus ballianus","perennial",14,8.600208,0.711157,0.190065,0.021724
"Lupinus bandelierae","perennial",NA,NA,NA,NA,NA
"Lupinus bangii","perennial",NA,NA,NA,NA,NA
"Lupinus benthamii","annual",20,7.874863,0.336165,0.075169,0.015207
"Lupinus bicolor","annual",78,8.098781,0.911517,0.103209,0.003899
"Lupinus bogotensis","perennial",14,9.380819,0.424931,0.113568,0.021724
"Lupinus bracteolaris","annual",17,9.399749,0.240137,0.058242,0.017891
"Lupinus brevicaulis","annual",96,7.308616,0.46895,0.047862,0.003168
"Lupinus breweri","perennial",19,8.659991,0.535824,0.122926,0.016007
"Lupinus cervinus","perennial",3,8.818164,0.24308,0.140342,0.101381
"Lupinus chachas","perennial",NA,NA,NA,NA,NA
"Lupinus chamissonis","perennial",18,8.095881,0.538085,0.126828,0.016897
"Lupinus chrysanthus","perennial",NA,NA,NA,NA,NA
"Lupinus citrinus","annual",NA,NA,NA,NA,NA
"Lupinus concinnus","annual",87,7.219108,0.744402,0.079808,0.003496
"Lupinus cosentinii","annual",14,7.931843,0.503903,0.134674,0.021724
"Lupinus crotalarioides","perennial",9,9.135065,0.182291,0.060764,0.033794
"Lupinus cumulicola","perennial",NA,NA,NA,NA,NA
"Lupinus diffusus","perennial",30,8.988465,0.127347,0.02325,0.010138
"Lupinus digitatus","annual",NA,NA,NA,NA,NA
"Lupinus duranii","perennial",1,7.427739,NA,NA,0.304142
"Lupinus elegans","perennial",39,8.725789,0.395106,0.063268,0.007799
"Lupinus ellsworthianus","perennial",NA,NA,NA,NA,NA
"Lupinus excubitus","perennial",31,7.380052,0.795414,0.142861,0.009811
"Lupinus flavoculatus","annual",21,6.78737,0.392681,0.08569,0.014483
"Lupinus formosus","perennial",35,8.239419,0.68074,0.115066,0.00869
"Lupinus gibertianus","annual",27,9.26414,0.342482,0.065911,0.011265
"Lupinus grayi","perennial",16,8.356573,0.517851,0.129463,0.019009
"Lupinus guadalupensis","annual",2,7.15047,0.561488,0.397032,0.152071
"Lupinus guaraniticus","perennial",13,9.467777,0.131519,0.036477,0.023396
"Lupinus havardii","annual",5,7.111965,0.24515,0.109634,0.060828
"Lupinus hirsutissimus","annual",28,7.534778,0.635906,0.120175,0.010862
"Lupinus hispanicus","annual",32,8.455494,0.539908,0.095443,0.009504
"Lupinus huachucanus","perennial",8,8.081364,0.5099,0.180277,0.038018
"Lupinus huaronensis","perennial",NA,NA,NA,NA,NA
"Lupinus huigrensis","annual",NA,NA,NA,NA,NA
"Lupinus lanatus","perennial",13,9.465432,0.168178,0.046644,0.023396
"Lupinus latifolius","perennial",65,8.767917,0.882187,0.109422,0.004679
"Lupinus lepidus","perennial",14,8.792694,0.946644,0.253001,0.021724
"Lupinus leucophyllus","perennial",66,8.161497,0.457859,0.056359,0.004608
"Lupinus lindleyanus","annual",NA,NA,NA,NA,NA
"Lupinus linearis","annual",12,9.22151,0.178026,0.051392,0.025345
"Lupinus littoralis","perennial",11,9.23647,0.788442,0.237724,0.027649
"Lupinus luteolus","annual",26,8.349327,0.866165,0.169869,0.011698
"Lupinus luteus","annual",35,8.545413,0.5192,0.087761,0.00869
"Lupinus magnistipulatus","annual",5,9.572086,0.204589,0.091495,0.060828
"Lupinus mantaroensis","annual",NA,NA,NA,NA,NA
"Lupinus mexicanus","annual",21,8.474736,0.531687,0.116024,0.014483
"Lupinus micranthus","annual",33,8.383525,0.434781,0.075686,0.009216
"Lupinus microcarpus","annual",65,7.683345,0.848705,0.105269,0.004679
"Lupinus microphyllus","perennial",17,9.135361,0.416797,0.101088,0.017891
"Lupinus misticola","perennial",2,7.217088,2.173526,1.536915,0.152071
"Lupinus mollendoensis","annual",NA,NA,NA,NA,NA
"Lupinus montanus","perennial",42,8.559643,0.738436,0.113943,0.007241
"Lupinus multiflorus","perennial",12,9.288425,0.311888,0.090034,0.025345
"Lupinus mutabilis","annual",16,8.712994,1.03123,0.257808,0.019009
"Lupinus nanus","annual",33,8.142722,0.808821,0.140798,0.009216
"Lupinus neomexicanus","perennial",13,7.919896,0.360027,0.099854,0.023396
"Lupinus nevadensis","perennial",15,7.556756,0.345708,0.089261,0.020276
"Lupinus nootkatensis","perennial",97,9.600102,0.595598,0.060474,0.003135
"Lupinus nubigenus","perennial",NA,NA,NA,NA,NA
"Lupinus odoratus","annual",16,6.484189,0.419458,0.104864,0.019009
"Lupinus pachylobus","annual",15,8.225532,0.50797,0.131157,0.020276
"Lupinus palaestinus","annual",NA,NA,NA,NA,NA
"Lupinus paraguariensis","perennial",13,9.31791,0.18254,0.050627,0.023396
"Lupinus paranensis","perennial",10,9.522993,0.182955,0.057855,0.030414
"Lupinus parvifolius","perennial",3,9.0922,0.252975,0.146055,0.101381
"Lupinus perennis","perennial",104,9.06294,0.120576,0.011823,0.002924
"Lupinus pilosus","annual",9,8.185308,0.181813,0.060604,0.033794
"Lupinus piurensis","annual",NA,NA,NA,NA,NA
"Lupinus polyphyllus","perennial",97,8.979166,0.696207,0.070689,0.003135
"Lupinus praestabilis","perennial",NA,NA,NA,NA,NA
"Lupinus princei","annual",5,8.766482,0.350129,0.156582,0.060828
"Lupinus prostratus","perennial",NA,NA,NA,NA,NA
"Lupinus pubescens","perennial",10,9.3018,0.521502,0.164913,0.030414
"Lupinus pulvinaris","perennial",1,8.991064,NA,NA,0.304142
"Lupinus purosericeus","perennial",NA,NA,NA,NA,NA
"Lupinus ramosissimus","perennial",11,9.194211,0.298019,0.089856,0.027649
"Lupinus reitzii","annual",11,9.60291,0.11874,0.035801,0.027649
"Lupinus rivularis","perennial",45,9.128034,0.88006,0.131192,0.006759
"Lupinus rubriflorus","annual",4,9.625733,0.208955,0.104478,0.076035
"Lupinus sarmentosus","perennial",5,9.342253,0.312386,0.139703,0.060828
"Lupinus semperflorens","perennial",7,8.50847,0.282362,0.106723,0.043449
"Lupinus sericeus","perennial",128,8.116762,0.524529,0.046362,0.002376
"Lupinus shockleyi","annual",17,6.272252,0.617025,0.149651,0.017891
"Lupinus solanagrorum","perennial",NA,NA,NA,NA,NA
"Lupinus sparsiflorus","annual",63,6.879735,0.630353,0.079417,0.004828
"Lupinus stiversii","annual",14,8.174176,0.525374,0.140412,0.021724
"Lupinus subacaulis","perennial",NA,NA,NA,NA,NA
