"species","life_form","n","mean","sd","se"
"Lupinus albescens","perennial",18,1551.44444444444,159.661488310967,37.6325736930073
"Lupinus albicaulis","annual",38,1450.10526315789,388.269326243112,62.9856018846413
"Lupinus albifrons","perennial",45,1706.95555555556,327.041765164048,48.7525078925556
"Lupinus albus","annual",12,1468.08333333333,179.700993235143,51.8752084089765
"Lupinus anatolicus","annual",NA,NA,NA,NA
"Lupinus andersonii","perennial",37,1605.78378378378,326.186733766542,53.6247687036618
"Lupinus angustifolius","annual",110,1445.87272727273,229.554099441668,21.8871246025593
"Lupinus arboreus","perennial",26,1425.46153846154,307.579223065438,60.3212484763991
"Lupinus arcticus","perennial",197,578.350253807107,141.423932688849,10.0760380017692
"Lupinus argenteus","perennial",183,1530.33333333333,366.781821744078,27.1132924432691
"Lupinus arizonicus","annual",58,2339.5,444.176361765096,58.3232136239844
"Lupinus arvensis","perennial",NA,NA,NA,NA
"Lupinus aschenbornii","perennial",11,1674.09090909091,239.404868181687,72.1832837039227
"Lupinus atlanticus","annual",NA,NA,NA,NA
"Lupinus aureonitens","annual",1,1491,NA,NA
"Lupinus ballianus","perennial",14,1323.07142857143,146.413253018095,39.130587834054
"Lupinus bandelierae","perennial",NA,NA,NA,NA
"Lupinus bangii","perennial",NA,NA,NA,NA
"Lupinus benthamii","annual",20,1928.35,237.817328172165,53.1775712020337
"Lupinus bicolor","annual",78,1683.51282051282,465.279967208398,52.682582131762
"Lupinus bogotensis","perennial",14,1222.07142857143,203.337334074615,54.344188431943
"Lupinus bracteolaris","annual",17,1324.94117647059,164.324172973818,39.8544660007836
"Lupinus brevicaulis","annual",96,1976.19791666667,384.93560964733,39.2873261442968
"Lupinus breweri","perennial",19,1489.63157894737,223.483086739197,51.2705363519313
"Lupinus cervinus","perennial",3,1518,32.3573793747269,18.6815416922694
"Lupinus chachas","perennial",NA,NA,NA,NA
"Lupinus chamissonis","perennial",18,1713.33333333333,311.010118995584,73.3057880531374
"Lupinus chrysanthus","perennial",NA,NA,NA,NA
"Lupinus citrinus","annual",NA,NA,NA,NA
"Lupinus concinnus","annual",89,2172.37078651685,414.102599880493,43.8947877978444
"Lupinus cosentinii","annual",14,1687.57142857143,194.380560236363,51.9503899324031
"Lupinus crotalarioides","perennial",9,1503.11111111111,109.513063655032,36.5043545516774
"Lupinus cumulicola","perennial",NA,NA,NA,NA
"Lupinus diffusus","perennial",30,1670.6,113.537658950676,20.7290456445378
"Lupinus digitatus","annual",NA,NA,NA,NA
"Lupinus duranii","perennial",1,1775,NA,NA
"Lupinus elegans","perennial",39,1687.94871794872,200.2251297018,32.0616803645333
"Lupinus ellsworthianus","perennial",NA,NA,NA,NA
"Lupinus excubitus","perennial",31,2049.12903225806,323.228478730395,58.0535485460276
"Lupinus flavoculatus","annual",21,2408.80952380952,231.376882822727,50.4905752189559
"Lupinus formosus","perennial",35,1753.85714285714,290.90448633197,49.1718328686156
"Lupinus gibertianus","annual",27,1451.62962962963,213.586435061231,41.104728592618
"Lupinus grayi","perennial",16,1769,167.190908843753,41.7977272109382
"Lupinus guadalupensis","annual",3,1636.33333333333,181.169349872801,104.598172917971
"Lupinus guaraniticus","perennial",13,1304.53846153846,145.357957805673,40.3150438588528
"Lupinus havardii","annual",5,2397.2,88.6154614048813,39.6300391117647
"Lupinus hirsutissimus","annual",28,1867.96428571429,334.19782145076,63.1574517327341
"Lupinus hispanicus","annual",32,1451.90625,184.601638998595,32.6332676885145
"Lupinus huachucanus","perennial",8,2043.5,268.719184279798,95.0065787195813
"Lupinus huaronensis","perennial",NA,NA,NA,NA
"Lupinus huigrensis","annual",NA,NA,NA,NA
"Lupinus lanatus","perennial",13,1291.76923076923,127.860701446375,35.4621780908998
"Lupinus latifolius","perennial",65,1431.32307692308,396.854432840789,49.2237342479582
"Lupinus lepidus","perennial",14,1162.92857142857,237.377487198284,63.441802030664
"Lupinus leucophyllus","perennial",66,1329.90909090909,181.613853018958,22.3551199506049
"Lupinus lindleyanus","annual",NA,NA,NA,NA
"Lupinus linearis","annual",12,1483.5,185.207745763802,53.4648709363674
"Lupinus littoralis","perennial",11,1269.63636363636,401.007299865544,120.908250167959
"Lupinus luteolus","annual",26,1637.26923076923,300.875729521982,59.0065852307326
"Lupinus luteus","annual",35,1442.8,208.304189334055,35.2098343786901
"Lupinus magnistipulatus","annual",5,1288.4,188.921412232706,84.4882240315181
"Lupinus mantaroensis","annual",NA,NA,NA,NA
"Lupinus mexicanus","annual",21,1766.95238095238,174.928121292855,38.1724455714725
"Lupinus micranthus","annual",33,1531.15151515152,208.959493863661,36.3751788814752
"Lupinus microcarpus","annual",65,1740.96923076923,391.068327199304,48.5060561704113
"Lupinus microphyllus","perennial",17,1094.05882352941,252.570898607756,61.2574407598204
"Lupinus misticola","perennial",2,1618.5,550.836182544321,389.5
"Lupinus mollendoensis","annual",NA,NA,NA,NA
"Lupinus montanus","perennial",42,1721.07142857143,283.971347992779,43.8177302885368
"Lupinus multiflorus","perennial",12,1374.83333333333,231.779218353601,66.9088970545062
"Lupinus mutabilis","annual",16,1270.125,195.024400182815,48.7561000457037
"Lupinus nanus","annual",33,1820.33333333333,341.749237989884,59.490906273925
"Lupinus neomexicanus","perennial",13,1956.15384615385,242.674626524848,67.3058314761086
"Lupinus nevadensis","perennial",15,1709.66666666667,206.701878720699,53.3701955943369
"Lupinus nootkatensis","perennial",98,636.989795918367,106.187103387046,10.7265172685053
"Lupinus nubigenus","perennial",NA,NA,NA,NA
"Lupinus odoratus","annual",16,2516.3125,361.075932688218,90.2689831720545
"Lupinus pachylobus","annual",15,1814.46666666667,195.643212677227,50.5148602998277
"Lupinus palaestinus","annual",NA,NA,NA,NA
"Lupinus paraguariensis","perennial",13,1431.38461538462,206.188642777085,57.1864403039314
"Lupinus paranensis","perennial",10,1202,93.1486267567411,29.4561821468205
"Lupinus parvifolius","perennial",3,1416,115.581140330073,66.7308024828115
"Lupinus perennis","perennial",104,1209.39423076923,218.50802203706,21.4264743892986
"Lupinus pilosus","annual",9,1741,111.291284474571,37.0970948248572
"Lupinus piurensis","annual",NA,NA,NA,NA
"Lupinus polyphyllus","perennial",97,1109.50515463918,303.002101330425,30.7652021613275
"Lupinus praestabilis","perennial",NA,NA,NA,NA
"Lupinus princei","annual",5,1519.6,155.310334491945,69.4568931064441
"Lupinus prostratus","perennial",NA,NA,NA,NA
"Lupinus pubescens","perennial",10,1094.7,182.802899320552,57.8073524735392
"Lupinus pulvinaris","perennial",1,1161,NA,NA
"Lupinus purosericeus","perennial",NA,NA,NA,NA
"Lupinus ramosissimus","perennial",11,1195.45454545455,194.65321144865,58.6901515102621
"Lupinus reitzii","annual",11,1214.54545454545,128.762854609832,38.8234614250815
"Lupinus rivularis","perennial",45,1225.28888888889,378.430528163974,56.4130923823864
"Lupinus rubriflorus","annual",4,1190,150.370653165215,75.1853265826074
"Lupinus sarmentosus","perennial",5,997.6,184.728990686357,82.6133161179238
"Lupinus semperflorens","perennial",7,1417.28571428571,148.190996449081,56.010931877589
"Lupinus sericeus","perennial",128,1337.046875,270.072776991772,23.8712865030955
"Lupinus shockleyi","annual",17,2665.23529411765,355.548085603721,86.23307717237
"Lupinus solanagrorum","perennial",NA,NA,NA,NA
"Lupinus sparsiflorus","annual",63,2307.36507936508,394.522631166852,49.705179459731
