"species","life_form","n","mean","sd","se"
"Anagallis acuminata","annual",6,170.333333333333,5.75036230742609,2.34757558155454
"Anagallis alternifolia","perennial",20,186.6,58.2466624297953,13.0243496655505
"Anagallis angustiloba","perennial",6,118.833333333333,34.1081612912022,13.924598537999
"Anagallis arvensis","annual",703,239.806543385491,74.4199955697318,2.80680329262121
"Anagallis crassifolia","perennial",7,223.857142857143,50.124606636623,18.945320532206
"Anagallis djalonis","annual",30,156.733333333333,36.049710251199,6.58174649870231
"Anagallis filiformis","perennial",13,160.692307692308,13.4250053717222,3.72342655700952
"Anagallis hexamera","perennial",NA,NA,NA,NA
"Anagallis huttonii","perennial",15,217.066666666667,32.5125616749383,8.39470732730517
"Anagallis kingaensis","perennial",NA,NA,NA,NA
"Anagallis kochii","annual",7,172.142857142857,11.1867268288297,4.22818531055678
"Anagallis minima","perennial",197,251.619289340102,76.4894432725552,5.44964718838712
"Anagallis monelli","annual",27,248.555555555556,63.8907320432756,12.2957771146358
"Anagallis nummularifolia","perennial",NA,NA,NA,NA
"Anagallis oligantha","perennial",NA,NA,NA,NA
"Anagallis pumila","annual",97,139.845360824742,47.3225501668658,4.80487698362705
"Anagallis rhodesica","annual",NA,NA,NA,NA
"Anagallis rubricaulis","no_life_form_on_database",NA,NA,NA,NA
"Anagallis serpens","perennial",12,147.5,23.6085500690669,6.81520136877625
"Anagallis tenella","perennial",102,214.28431372549,54.9363948059648,5.43951363371226
"Anagallis tenuicaulis","annual",10,148.2,13.2731977223945,4.19735366365258
"Asterolinon adoense","annual",10,146,19.7877627728744,6.25744001613723
"Asterolinon linum-stellatum","annual",128,239.078125,61.0086620124649,5.39245482751651
"Glaux maritima","perennial",441,357.988662131519,109.053728869083,5.19303470805158
"Lysimachia alfredii","perennial",33,270,29.1418942417956,5.07295263972063
"Lysimachia alpestris","perennial",NA,NA,NA,NA
"Lysimachia andina","no_life_form_on_database",11,112.545454545455,9.58502620094109,2.88999413765884
"Lysimachia auriculata","perennial",6,292.333333333333,15.2271687015895,6.21646559102875
"Lysimachia barystachys","perennial",123,368.20325203252,81.8095508622827,7.37651878383012
"Lysimachia candida","annual",73,289.054794520548,49.7191809652972,5.8191899778304
"Lysimachia capillipes","perennial",46,238.804347826087,71.6484068413147,10.5639812600654
"Lysimachia chapaensis","perennial",NA,NA,NA,NA
"Lysimachia chekiangensis","perennial",NA,NA,NA,NA
"Lysimachia chenopodioides","annual",NA,NA,NA,NA
"Lysimachia chikungensis","no_life_form_on_database",7,322.857142857143,43.4450939747653,16.4207020490085
"Lysimachia christinae","perennial",42,285.428571428571,45.4903596633358,7.01931488703314
"Lysimachia ciliata","perennial",382,360.934554973822,48.646762654164,2.48898490459778
"Lysimachia circaeoides","perennial",13,280.692307692308,19.3622683561982,5.37012702827436
"Lysimachia clethroides","perennial",171,297.66081871345,50.8467320648899,3.88834678386218
"Lysimachia confertifolia","no_life_form_on_database",NA,NA,NA,NA
"Lysimachia congestiflora","perennial",95,258.263157894737,49.4065226390536,5.06900226794741
"Lysimachia crispidens","annual",4,306.75,15.6498136304132,7.8249068152066
"Lysimachia daphnoides","perennial",1,48,NA,NA
"Lysimachia davurica","perennial",120,463,85.3223250952754,7.78882701891191
"Lysimachia decurrens","perennial",53,206.622641509434,57.2263476216944,7.86064338203967
"Lysimachia deltoidea","perennial",6,184.833333333333,58.1116740996735,23.7239916071849
"Lysimachia dextrorsiflora","no_life_form_on_database",NA,NA,NA,NA
"Lysimachia drymarifolia","perennial",11,240.363636363636,25.4883217465283,7.68501816082639
"Lysimachia engleri","perennial",NA,NA,NA,NA
"Lysimachia ephemerum","perennial",NA,NA,NA,NA
"Lysimachia erosipetala","perennial",1,263,NA,NA
"Lysimachia filifolia","perennial",NA,NA,NA,NA
"Lysimachia fistulosa","perennial",9,274.111111111111,22.4078359310111,7.46927864367036
"Lysimachia foenum-graecum","perennial",12,230.833333333333,40.3818891298682,11.6572472797575
"Lysimachia fordiana","perennial",9,244.555555555556,26.3491513673169,8.7830504557723
"Lysimachia fortunei","perennial",118,278.508474576271,43.5759962471915,4.01149560947971
"Lysimachia gesnerioides","perennial",NA,NA,NA,NA
"Lysimachia glanduliflora","perennial",3,323.666666666667,7.63762615825973,4.40958551844098
"Lysimachia glutinosa","perennial",1,49,NA,NA
"Lysimachia grammica","perennial",15,323.666666666667,13.2916013582513,3.43187671366233
"Lysimachia hemsleyana","perennial",25,308.44,20.5691516597063,4.11383033194127
"Lysimachia hemsleyi","perennial",4,230.75,9.28708781050335,4.64354390525168
"Lysimachia heterobotrys","perennial",NA,NA,NA,NA
"Lysimachia heterogenea","perennial",NA,NA,NA,NA
"Lysimachia hybrida","perennial",128,365.6796875,46.2926217474019,4.09172834456147
"Lysimachia iniki","perennial",NA,NA,NA,NA
"Lysimachia insignis","perennial",12,195.833333333333,28.3992104030227,8.19814588547898
"Lysimachia japonica","perennial",65,248.4,75.8171731865545,9.40396295349834
"Lysimachia kalalauensis","perennial",1,48,NA,NA
"Lysimachia klattiana","perennial",22,323.409090909091,11.4253648098851,2.43589596209169
"Lysimachia lanceolata","perennial",120,326.283333333333,35.0919999342265,3.20344665865761
"Lysimachia lancifolia","perennial",7,176.714285714286,22.6768184549353,8.57103173684555
"Lysimachia laxa","annual",15,163.2,61.8144689488519,15.9604272529039
"Lysimachia lichiangensis","perennial",10,230.1,14.340695783523,4.53492619075058
"Lysimachia lobelioides","annual",25,213.16,21.0152325706855,4.2030465141371
"Lysimachia longipes","annual",6,315.333333333333,10.9117673484485,4.4547103659435
"Lysimachia mauritiana","annual",47,222.31914893617,81.6384144401606,11.9081866282156
"Lysimachia maxima","perennial",2,66.5,27.5771644662754,19.5
"Lysimachia melampyroides","perennial",13,286.692307692308,18.6207080754403,5.16445521164973
"Lysimachia mexicana","no_life_form_on_database",NA,NA,NA,NA
"Lysimachia microcarpa","perennial",8,212.625,4.59619407771256,1.625
"Lysimachia millietii","perennial",NA,NA,NA,NA
"Lysimachia nanchuanensis","perennial",1,277,NA,NA
"Lysimachia nemorum","perennial",145,233.275862068966,42.4964839654446,3.52914090300711
"Lysimachia nummularia","perennial",285,285.929824561404,64.1321972182424,3.79886350504507
"Lysimachia nutantiflora","perennial",NA,NA,NA,NA
"Lysimachia omeiensis","perennial",7,255.571428571429,17.0377731610007,6.43967295404837
"Lysimachia ovoidea","perennial",1,49,NA,NA
