"species","life_form","n","mean","sd","se"
"Camissonia benitensis","annual",1,1679,NA,NA
"Camissonia campestris","annual",22,2227.22727272727,437.128065774146,93.1960167621903
"Camissonia contorta","annual",NA,NA,NA,NA
"Camissonia kernensis","annual",8,2329.875,356.499023240497,126.041438409868
"Camissonia strigulosa","annual",26,1919.38461538462,343.660539128143,67.3973767333162
"Camissoniopsis cheiranthifolia","perennial",16,1532.125,258.975384930692,64.743846232673
"Chamerion angustifolium","perennial",NA,NA,NA,NA
"Chamerion conspersum","perennial",2,881.5,41.7193000900063,29.5
"Chamerion dodonaei","no_life_form_on_database",NA,NA,NA,NA
"Chamerion latifolium","perennial",130,782.061538461538,396.730294301077,34.7955486118798
"Chylismia arenaria","annual",7,2910.71428571429,190.083941357246,71.8449767226082
"Chylismia claviformis","annual",27,2512.62962962963,490.781727149355,94.4509874276765
"Chylismiella pterosperma","annual",NA,NA,NA,NA
"Circaea alpina","perennial",761,849.672798948752,246.042121786778,8.9190199467891
"Circaea canadensis","perennial",NA,NA,NA,NA
"Circaea cordata","perennial",121,1149.27272727273,194.375409967413,17.6704918152194
"Circaea erubescens","perennial",76,1065.21052631579,187.525878448067,21.5106935119426
"Circaea glabrescens","perennial",16,1123.5625,79.4237317598882,19.855932939972
"Circaea lutetiana","perennial",270,903.251851851852,172.836008335147,10.5184645015901
"Circaea mollis","perennial",133,1143.96240601504,152.196762897873,13.1971330438045
"Circaea repens","perennial",20,1163.05,93.9733864901178,21.0130880267764
"Clarkia affinis","annual",18,1743.66666666667,191.950667681906,45.2432062570537
"Clarkia amoena","annual",24,1348.20833333333,305.503430446358,62.3606266052857
"Clarkia arcuata","annual",11,1905.18181818182,234.997794960641,70.8545011313926
"Clarkia biloba","annual",6,1912,212.373256320093,86.7010188329218
"Clarkia bottae","annual",15,1823.73333333333,365.293319845586,94.3183296161849
"Clarkia concinna","annual",13,1702.61538461538,199.761749116933,55.4039407167288
"Clarkia delicata","annual",4,1954.5,126.83190975986,63.4159548799301
"Clarkia dudleyana","annual",15,2013.06666666667,172.549564997865,44.5521061088043
"Clarkia epilobioides","annual",30,1957.96666666667,343.887961238915,62.785064541672
"Clarkia franciscana","annual",3,1713.66666666667,419.774145622778,242.356715974156
"Clarkia gracilis","annual",22,1528.04545454545,266.088864009345,56.7303364210429
"Clarkia heterandra","annual",16,1759.375,270.765058060797,67.6912645151992
"Clarkia imbricata","annual",1,1583,NA,NA
"Clarkia lassenensis","annual",18,1542.88888888889,270.631698697454,63.788503117668
"Clarkia lewisii","annual",2,1436.5,6.36396103067893,4.5
"Clarkia lingulata","annual",NA,NA,NA,NA
"Clarkia mildrediae","annual",2,1591.5,19.0918830920368,13.5
"Clarkia modesta","annual",14,1761.21428571429,230.121766620473,61.5026291380687
"Clarkia pulchella","annual",42,1281.19047619048,181.33397810229,27.980440283136
"Clarkia rostrata","annual",1,2054,NA,NA
"Clarkia similis","annual",11,1897.54545454545,222.37642124846,67.0490137730145
"Clarkia unguiculata","annual",29,1828.13793103448,231.735336126911,43.0321716096594
"Clarkia xantiana","annual",7,2051.85714285714,209.997165513751,79.3714679968362
"Epilobium alsinifolium","perennial",217,635.331797235023,174.727726162194,11.8612909303199
"Epilobium alsinoides","perennial",NA,NA,NA,NA
"Epilobium anagallidifolium","perennial",414,700.838164251208,267.812437334062,13.1622632143816
"Epilobium angustum","perennial",5,1117.4,93.5270014487795,41.8265465942385
"Epilobium arcticum","perennial",45,353.355555555556,99.4263444958024,14.8216043364618
"Epilobium billardierianum","perennial",NA,NA,NA,NA
"Epilobium brachycarpum","annual",NA,NA,NA,NA
"Epilobium brevipes","perennial",6,1101.33333333333,77.842576182104,31.779098651647
"Epilobium brunnescens","perennial",16,1012.625,222.314754346175,55.5786885865437
"Epilobium canum","perennial",51,1935.86274509804,378.786695627386,53.0407465981808
"Epilobium chionanthum","perennial",24,1111.45833333333,96.2189437944916,19.6406096571699
"Epilobium chlorifolium","perennial",20,1063.5,57.5860911569525,12.8766414385445
"Epilobium ciliatum","perennial",522,1145.50574712644,479.718236404734,20.9966968000209
"Epilobium cleistogamum","annual",14,1897.71428571429,141.985063445977,37.9471043895863
"Epilobium coloratum","perennial",184,1148.14130434783,233.710487453666,17.2293657220416
"Epilobium crassum","perennial",4,1110,51.7687164221791,25.8843582110896
"Epilobium cylindricum","perennial",41,1127.70731707317,169.331810936758,26.4451859214037
"Epilobium davuricum","perennial",216,518.398148148148,100.521333134611,6.83961040122553
"Epilobium densiflorum","annual",72,1560.70833333333,278.623954638849,32.8361479543572
"Epilobium foliosum","annual",NA,NA,NA,NA
"Epilobium glabellum","perennial",NA,NA,NA,NA
"Epilobium gracilipes","perennial",9,1059.66666666667,72.9828747035906,24.3276249011969
"Epilobium gunnianum","perennial",39,1235.46153846154,224.838169422253,36.0029209745008
"Epilobium hirsutum","perennial",618,1129.1715210356,347.661825987873,13.9850096149692
"Epilobium hirtigerum","perennial",110,1635.06363636364,321.075551350035,30.613352653366
"Epilobium hornemannii","perennial",454,711.321585903084,306.288077502924,14.3748117337174
"Epilobium insulare","perennial",15,1079,102.130868427299,26.370076836842
"Epilobium komarovianum","perennial",16,1084.75,100.236054724169,25.0590136810423
"Epilobium lactiflorum","perennial",302,742.072847682119,293.34116292289,16.8798871132718
"Epilobium lanceolatum","perennial",72,1093.80555555556,250.548954418593,29.5274774480978
"Epilobium leptophyllum","perennial",292,1040.81849315068,277.893557832863,16.2624904035863
"Epilobium luteum","perennial",56,791.035714285714,211.755773928854,28.297055561176
"Epilobium macropus","perennial",11,1073.27272727273,55.9501401411845,16.8696019832828
"Epilobium margaretiae","perennial",NA,NA,NA,NA
"Epilobium melanocaulon","perennial",18,1089.33333333333,72.345575904413,17.0520157702855
"Epilobium microphyllum","perennial",18,1109.83333333333,52.4227723305772,12.3561659345165
"Epilobium minutum","annual",81,1357.67901234568,386.269168688121,42.9187965209024
"Epilobium montanum","perennial",524,803.013358778626,180.306001351328,7.87670424104929
"Epilobium nerterioides","perennial",NA,NA,NA,NA
"Epilobium nevadense","perennial",7,2098.57142857143,292.565580763731,110.579395554002
"Epilobium nummularifolium","perennial",22,1142.95454545455,72.5084410670511,15.4588515773239
"Epilobium obcordatum","perennial",25,1313.68,209.519235393794,41.9038470787588
"Epilobium obscurum","perennial",188,898.755319148936,248.684934195097,18.1372129060111
"Epilobium pallidiflorum","perennial",68,1265.98529411765,208.237844256296,25.2525478564596
"Epilobium pallidum","annual",NA,NA,NA,NA
"Epilobium palustre","perennial",1219,744.997538966366,228.068218902619,6.532251813883
"Epilobium parviflorum","perennial",400,1048.2425,295.92961076931,14.7964805384655
"Epilobium pedunculare","perennial",34,1025.08823529412,200.44728282202,34.3764253996367
"Epilobium pernitens","perennial",10,1042.3,72.1080208206179,22.8025583359996
"Epilobium porphyrium","perennial",11,1062.81818181818,91.1973883198616,27.4970471743019
"Epilobium pubens","perennial",32,1101.9375,84.3001310602433,14.9022985819032
"Epilobium pycnostachyum","perennial",14,1059,64.5898301116062,17.2623582105404
"Epilobium pygmaeum","no_life_form_on_database",61,1598.62295081967,261.533437246204,33.4859253031298
"Epilobium rigidum","perennial",NA,NA,NA,NA
"Epilobium roseum","perennial",200,833.94,159.632103419742,11.2876942823171
"Epilobium rostratum","perennial",6,1137.66666666667,32.6659863874745,13.3358330990023
"Epilobium rotundifolium","perennial",32,1101.8125,94.387477812165,16.6855064050192
"Epilobium septentrionale","perennial",6,1375.83333333333,155.526739394442,63.4935254791997
"Epilobium sikkimense","perennial",47,1171.72340425532,178.585347045785,26.049350128482
"Epilobium siskiyouense","perennial",5,1303,255.990234188728,114.482313044417
"Epilobium subdentatum","annual",NA,NA,NA,NA
"Epilobium suffruticosum","perennial",10,1185.1,103.873266799286,32.847611108809
"Epilobium tasmanicum","perennial",15,1018.66666666667,103.683354957477,26.7709271352813
"Epilobium tetragonum","perennial",229,1038.85589519651,284.21315083514,18.7813336565809
"Epilobium torreyi","annual",54,1553.98148148148,295.255085795876,40.1791280089758
"Epilobium wilsonii","perennial",2,1156.5,6.36396103067893,4.5
"Eremothera boothii","annual",23,2354.26086956522,476.737131436307,99.4065636206922
"Eremothera minor","annual",11,1596.81818181818,204.517880969767,61.6644612813894
"Eremothera nevadensis","annual",NA,NA,NA,NA
"Eremothera refracta","annual",22,2663.5,351.540521270647,74.9486909629266
"Eulobus californicus","annual",49,2228.36734693878,375.716908826621,53.6738441180887
"Eulobus crassifolius","perennial",8,1697.25,254.657052299194,90.0348642788686
"Fuchsia andrei","perennial",7,1286.14285714286,110.960095787372,41.9389741293276
"Fuchsia arborescens","perennial",37,1654.94594594595,153.365566529769,25.2131438250064
"Fuchsia boliviana","perennial",23,1554.34782608696,181.662426368664,37.8792343904484
"Fuchsia bracelinae","perennial",2,1206,188.090403795622,133
"Fuchsia brevilobis","perennial",1,1206,NA,NA
"Fuchsia coccinea","perennial",4,1288.5,76.0285034268947,38.0142517134473
"Fuchsia colensoi","perennial",14,1112.92857142857,74.0950162195233,19.802726054351
"Fuchsia cylindracea","perennial",17,1708.82352941176,116.308445143784,28.2089414399518
"Fuchsia cyrtandroides","perennial",1,1482,NA,NA
"Fuchsia decussata","perennial",11,1319.18181818182,135.662683286022,40.9038380465959
"Fuchsia denticulata","perennial",22,1336.54545454545,186.6222890972,39.7880057234468
"Fuchsia excorticata","perennial",34,1079.14705882353,120.295628866641,20.6305301494573
"Fuchsia fulgens","perennial",14,1686.28571428571,165.594234650396,44.2569208062024
"Fuchsia glazioviana","perennial",3,1218.66666666667,86.5582655402321,49.9744379102401
"Fuchsia hartwegii","perennial",14,1254.14285714286,194.878998806501,52.0836032436753
"Fuchsia hatschbachii","perennial",2,1266,134.350288425444,95
"Fuchsia inflata","perennial",5,1297.2,99.8859349458171,44.6703481069937
"Fuchsia insignis","perennial",NA,NA,NA,NA
"Fuchsia jimenezii","perennial",5,1445.8,241.716155852272,108.098751149123
"Fuchsia lycioides","perennial",3,1387.33333333333,229.578599467227,132.547266202581
"Fuchsia macrostigma","perennial",9,1216.44444444444,180.171523215456,60.0571744051522
"Fuchsia magdalenae","perennial",NA,NA,NA,NA
"Fuchsia magellanica","perennial",36,970.388888888889,214.807991042868,35.8013318404781
"Fuchsia microphylla","perennial",40,1631.025,213.972378699107,33.8320036526636
"Fuchsia nigricans","perennial",NA,NA,NA,NA
"Fuchsia pachyrrhiza","perennial",2,1257,250.315800540038,177
"Fuchsia paniculata","perennial",31,1559.74193548387,208.99233921238,37.5361322055216
"Fuchsia pilaloensis","perennial",NA,NA,NA,NA
"Fuchsia procumbens","perennial",1,1219,NA,NA
"Fuchsia regia","perennial",45,1230.26666666667,137.623234032101,20.5156604386094
"Fuchsia splendens","perennial",16,1596.125,228.153712804913,57.0384282012282
"Fuchsia thymifolia","perennial",36,1663.19444444444,185.094542552015,30.8490904253358
"Fuchsia triphylla","perennial",1,1411,NA,NA
"Fuchsia vargasiana","perennial",5,1358.6,93.4708510713367,41.8014353820536
"Fuchsia verrucosa","perennial",NA,NA,NA,NA
"Gayophytum diffusum","annual",87,1425.90804597701,294.404429637741,31.5634679326393
"Gayophytum eriospermum","annual",9,1689.22222222222,171.287607387238,57.0958691290792
"Gayophytum heterozygum","annual",40,1457.95,263.37571388924,41.6433568131421
"Gayophytum humile","annual",59,1387.22033898305,322.638372763057,42.0039383906475
"Gongylocarpus fruticulosus","perennial",0,NA,NA,NA
"Hauya elegans","perennial",29,1812.75862068966,120.406055606024,22.3588432143256
"Hauya heydeana","perennial",4,1662.75,47.1478171993855,23.5739085996927
"Lopezia grandiflora","perennial",7,1658.71428571429,115.14731764963,43.5215952338684
"Lopezia laciniata","perennial",7,1804.57142857143,195.958207400504,74.0652405919645
"Lopezia langmaniae","perennial",2,1695,36.7695526217005,26
"Lopezia lopezioides","no_life_form_on_database",NA,NA,NA,NA
"Lopezia racemosa","no_life_form_on_database",64,1748.671875,171.934100949883,21.4917626187353
"Ludwigia adscendens","perennial",84,1789.13095238095,419.354919978203,45.7553729488635
"Ludwigia alata","perennial",21,1667.19047619048,99.2363940536027,21.6551565450048
"Ludwigia arcuata","perennial",15,1691.73333333333,97.1901425532642,25.0943869016211
"Ludwigia brevipes","perennial",NA,NA,NA,NA
"Ludwigia glandulosa","perennial",77,1576.68831168831,115.135076248024,13.1208596599492
"Ludwigia grandiflora","perennial",71,1589.04225352113,210.957168071065,25.0360097731257
