"species","life_form","n","mean","sd","se"
"Agalinis purpurea","annual",144,23.1111111111111,12.0946795857217,1.00788996547681
"Aphyllon arizonicum","annual",NA,NA,NA,NA
"Aphyllon chilensis","no_life_form_on_database",NA,NA,NA,NA
"Aphyllon corymbosum","annual",12,53.1666666666667,23.698229060545,6.84108946371154
"Aphyllon dugesii","annual",NA,NA,NA,NA
"Aphyllon fasciculatum","perennial",84,60.3214285714286,25.2176839435497,2.75147489339974
"Aphyllon ludovicianum","annual",NA,NA,NA,NA
"Aphyllon multiflorum","annual",NA,NA,NA,NA
"Aphyllon pinorum","annual",NA,NA,NA,NA
"Aphyllon purpureum","annual",29,76.4827586206897,17.9376314124707,3.33093453123405
"Aphyllon riparium","annual",NA,NA,NA,NA
"Aphyllon robbinsii","annual",NA,NA,NA,NA
"Aphyllon tacnaense","annual",NA,NA,NA,NA
"Aphyllon tarapacanum","annual",NA,NA,NA,NA
"Aphyllon tuberosum","perennial",19,87.3157894736842,11.8042018487719,2.70806962989225
"Aphyllon uniflorum","annual",32,24.625,19.6497558057551,3.47361889472729
"Aphyllon vallicolum","annual",6,92.6666666666667,1.86189867250253,0.760116950066092
"Bellardia trixago","annual",124,54.258064516129,22.920105480731,2.05828623367612
"Boschniakia himalaica","annual",NA,NA,NA,NA
"Boschniakia rossica","perennial",174,56.3620689655172,20.2852760827266,1.5378228111773
"Castilleja exserta","annual",47,77.0212765957447,17.6172955552974,2.56974666638935
"Castilleja miniata","perennial",299,42.7892976588629,18.4906765688782,1.06934343619405
"Castilleja rubicundula","annual",NA,NA,NA,NA
"Castilleja sulphurea","no_life_form_on_database",60,32.5166666666667,16.3172900569384,2.10655308819194
"Cistanche deserticola","perennial",6,49.8333333333333,18.09327683607,7.38654933721498
"Cistanche Hoffmanns.","no_life_form_on_database",NA,NA,NA,NA
"Cistanche salsa","perennial",7,61.1428571428571,18.6496521096112,7.0489059314146
"Cistanche tubulosa","perennial",10,92.3,16.4927593540654,5.2154684459894
"Cistanche violacea","perennial",NA,NA,NA,NA
"Conopholis alpina","perennial",66,80.4090909090909,19.4319144887811,2.39190332700696
"Conopholis americana","perennial",NA,NA,NA,NA
"Cordylanthus ramosus","annual",14,30.3571428571429,9.07750510333643,2.42606528738406
"Diphelypaea coccinea","perennial",NA,NA,NA,NA
"Diphelypaea tournefortii","perennial",NA,NA,NA,NA
"Epifagus virginiana","annual",178,17.2865168539326,7.13485422845458,0.534779934059283
"Euphrasia pectinata","annual",200,49.015,30.084884516679,2.12732258529579
"Harveya capensis","annual",6,32.8333333333333,21.9765026031593,8.97186961811441
"Hyobanche atropurpurea","annual",4,52.25,15.7770930993852,7.88854654969258
"Hyobanche sanguinea","annual",16,53.0625,11.1622503704823,2.79056259262059
"Kopsiopsis hookeri","perennial",NA,NA,NA,NA
"Kopsiopsis strobilacea","perennial",16,84.625,9.85139584018427,2.46284896004607
"Lamourouxia rhinanthifolia","perennial",45,93.2,12.9625334224168,1.9323403928758
"Lathraea squamaria","perennial",191,28.0104712041885,8.08701983284312,0.585156218354145
"Lindenbergia indica","annual",2,131,16.9705627484771,12
"Lindenbergia muraria","annual",15,90.3333333333333,12.9706628681072,3.34901075183001
"Lindenbergia philippensis","perennial",42,80.0238095238095,11.5536671303078,1.78276954255341
"Mannagettaea hummelii","perennial",7,91,18.0923556601492,6.83826767258381
"Melampyrum arvense","annual",202,24.950495049505,9.13620128297642,0.642820879086395
"Melampyrum carstiense","annual",1,17,NA,NA
"Monochasma sheareri","annual",8,45.25,5.41822321957511,1.91563119027198
"Nesogenes africanus","annual",NA,NA,NA,NA
"Orobanche alba","perennial",NA,NA,NA,NA
"Orobanche amethystea","perennial",78,42.2051282051282,17.6277223922036,1.99594652289686
"Orobanche anatolica","perennial",NA,NA,NA,NA
