"species","life_form","n","mean","sd","se"
"Acritochaete volkensii","annual",12,1326.25,227.666073250036,65.7215343381268
"Acroceras excavatum","annual",25,1582.04,130.647898311964,26.1295796623928
"Acroceras tonkinense","perennial",NA,NA,NA,NA
"Acroceras zizanioides","perennial",377,1590.25198938992,277.638115241037,14.2990904196444
"Alexfloydia repens","perennial",2,1663.5,3.53553390593274,2.5
"Alloteropsis angusta","perennial",NA,NA,NA,NA
"Alloteropsis paniculata","annual",39,1711.38461538462,332.445928756179,53.2339528117445
"Alloteropsis papillosa","perennial",13,1686.23076923077,71.6079067400543,19.860459959993
"Alloteropsis semialata subsp. eckloniana","perennial",46,1713.80434782609,206.488053952573,30.4450025973853
"Alloteropsis semialata subsp. semialata","perennial",23,1686.21739130435,165.356077635711,34.4791256389864
"Amphicarpum amphicarpon","annual",7,1423,160.195713633876,60.5482884819649
"Amphicarpum muhlenbergianum","no_life_form_on_database",17,1694.70588235294,73.932202646988,17.9311929793001
"Ancistrachne uncinulata","perennial",64,2081.765625,187.838561399968,23.479820174996
"Andropogon bicornis","perennial",481,1529.46153846154,200.215527299445,9.12904225071688
"Andropogon chinensis","perennial",132,1888.77272727273,372.706617545182,32.4399471707211
"Andropogon distachyos","perennial",69,1563.72463768116,217.486908602494,26.182347027098
"Andropogon eucomus","perennial",87,1808.14942528736,311.763719741955,33.4245791843007
"Andropogon fastigiatus","no_life_form_on_database",229,1855.71615720524,338.774420044366,22.3868438123702
"Andropogon gayanus","perennial",197,2061.35532994924,432.61981428119,30.8228855338522
"Andropogon gerardii","perennial",495,1428.03636363636,391.561245785797,17.599369203648
"Andropogon glomeratus","perennial",238,1787.96218487395,368.782479995084,23.9046176713615
"Andropogon ternarius","perennial",135,1571.34814814815,191.254511936574,16.4605675470529
"Anthaenantiopsis rojasiana","perennial",5,1634.8,33.8777212929087,15.1505775467472
"Anthenantia rufa","perennial",9,1593.88888888889,37.8267248266502,12.6089082755501
"Anthephora cristata","annual",NA,NA,NA,NA
"Anthephora elongata","perennial",31,1756.70967741935,152.89673934792,27.4610650494923
"Anthephora pubescens","perennial",57,2326.84210526316,273.090368969798,36.1717030103328
"Apluda mutica","perennial",169,1535.58579881657,262.461210353041,20.1893238733108
"Apocopis collinus","perennial",5,1781.2,162.730451975038,72.7752705250898
"Apocopis courtallumensis","annual",NA,NA,NA,NA
"Apocopis intermedius","perennial",1,1672,NA,NA
"Apocopis siamensis","annual",2,1722,24.0416305603426,17
"Arthraxon hispidus","annual",227,1351.140969163,314.894303723711,20.9002690071469
"Arthraxon lanceolatus","perennial",1,1777,NA,NA
"Arthropogon piptostachyus","perennial",NA,NA,NA,NA
"Arthropogon villosus","perennial",28,1552.75,111.896984701042,21.1465424269254
"Arundinella bengalensis","perennial",27,1389.22222222222,169.84298933321,32.6862985371666
"Arundinella berteroniana","perennial",142,1602.68309859155,224.26985928394,18.8203085138904
"Arundinella deppeana","perennial",76,1711.34210526316,148.607810708283,17.0464849762691
"Arundinella hirta","perennial",177,1150.72881355932,167.370081621178,12.5803057057068
"Arundinella hispida","perennial",NA,NA,NA,NA
"Arundinella kokutensis","annual",NA,NA,NA,NA
"Arundinella nepalensis","perennial",225,1954.39111111111,489.213935738379,32.6142623825586
"Arundinella setosa","perennial",161,1692.96273291925,504.334547797872,39.7471305345394
"Axonopus anceps","perennial",42,1594.2380952381,168.574628407198,26.0116298818455
"Axonopus argentinus","perennial",35,1566.11428571429,206.151396598053,34.8459459906141
"Axonopus brasiliensis","perennial",84,1476.30952380952,172.240094138055,18.7929349784276
"Axonopus compressus","annual",348,1562.97988505747,230.259538186011,12.3432068577592
"Axonopus fissifolius","annual",247,1566.65182186235,204.131673357677,12.9885873398239
"Axonopus furcatus","perennial",49,1608.73469387755,116.274419569648,16.6106313670925
"Axonopus polystachyus","perennial",30,1288.2,137.344871739368,25.0756281364352
"Axonopus rosengurttii","no_life_form_on_database",3,1627.33333333333,19.8578280114753,11.4649223479466
"Axonopus siccus","perennial",129,1503.64341085271,210.31508350752,18.5172105888145
"Bothriochloa alta","perennial",52,1837.38461538462,179.001276569679,24.8230108094418
"Bothriochloa barbinodis","perennial",251,1984.29083665339,314.334979083934,19.8406479495644
"Bothriochloa bladhii","perennial",233,1959.16309012876,485.123739114547,31.7815128498238
"Bothriochloa compressa","perennial",NA,NA,NA,NA
"Bothriochloa ewartiana","perennial",212,2659.14150943396,396.455000672082,27.2286412362975
"Bothriochloa grahamii","perennial",NA,NA,NA,NA
"Bothriochloa ischaemum","perennial",271,1223.84870848708,240.454128966867,14.6065481116792
"Bothriochloa laguroides","perennial",73,1705.08219178082,264.591968542795,30.9681475371313
