"species","life_form","n","mean","sd","se"
"Acanthogilia gloriosa","perennial",6,104.666666666667,20.2056097821042,8.24890565132397
"Aliciella caespitosa","perennial",1,-103,NA,NA
"Aliciella hutchinsifolia","annual",38,-29.5789473684211,43.7626470238912,7.09923879265957
"Aliciella latifolia","annual",20,29,39.5141546923711,8.8356335965584
"Aliciella leptomeria","annual",85,-48.8235294117647,36.3007203360865,3.93736594082713
"Aliciella mcvickerae","annual",8,-91.25,20.9812841769584,7.41800415976465
"Aliciella subnuda","annual",16,-59.5,22.378561169119,5.59464029227975
"Aliciella tenuis","perennial",NA,NA,NA,NA
"Aliciella triodon","annual",36,-51.5277777777778,25.959843837425,4.32664063957083
"Allophyllum divaricatum","annual",27,5.18518518518519,26.8113595859852,5.15984855810281
"Allophyllum gilioides","annual",44,3.65909090909091,33.3312781255072,5.02487924205854
"Allophyllum glutinosum","annual",19,43.8421052631579,40.1403968837916,9.20883860895065
"Allophyllum integrifolium","annual",14,-47.9285714285714,38.2269825882478,10.2165908410997
"Bonplandia geminiflora","perennial",41,109.878048780488,35.8533088584242,5.5993461205742
"Bryantiella glutinosa","no_life_form_on_database",NA,NA,NA,NA
"Bryantiella palmeri","annual",6,97,28.5376943707791,11.6504649406508
"Cantua bicolor","perennial",NA,NA,NA,NA
"Cantua buxifolia","perennial",22,19.2727272727273,62.3562589505098,13.2943990775046
"Cantua candelilla","perennial",NA,NA,NA,NA
"Cantua cuzcoensis","perennial",NA,NA,NA,NA
"Cantua flexuosa","perennial",9,52.7777777777778,41.8442880742933,13.9480960247644
"Cantua pyrifolia","perennial",NA,NA,NA,NA
"Cantua quercifolia","perennial",10,144.2,44.1532684080251,13.9624894310116
"Cantua volcanica","perennial",1,-4,NA,NA
"Cobaea minor","perennial",2,48,18.3847763108502,13
"Cobaea pachysepala","perennial",7,97.1428571428571,32.7792036278521,12.3893744248633
"Cobaea penduliflora","perennial",NA,NA,NA,NA
"Cobaea scandens","perennial",15,88.6666666666667,29.4464809119059,7.60304867841507
"Collomia biflora","annual",27,-9.14814814814815,33.4959282298193,6.44629439341419
"Collomia cavanillesii","no_life_form_on_database",3,-30.3333333333333,35.0761077278157,20.2512002387787
"Collomia debilis","annual",17,-103.588235294118,49.3888383437106,11.9785527775103
"Collomia diversifolia","annual",7,1.85714285714286,31.3072333038686,11.8330219370736
"Collomia grandiflora","annual",112,-46.8660714285714,45.5776726466671,4.30668525572115
"Collomia heterophylla","annual",61,-1.50819672131148,36.6663437641023,4.69464425410265
"Collomia larsenii","annual",12,-96.25,29.1956565885469,8.42806009528272
"Collomia linearis","annual",364,-113.873626373626,54.9706705372972,2.88124601943425
"Collomia macrocalyx","annual",NA,NA,NA,NA
"Collomia mazama","annual",1,-44,NA,NA
"Collomia rawsoniana","perennial",1,-11,NA,NA
"Collomia renacta","no_life_form_on_database",2,-80,2.82842712474619,2
"Collomia tenella","annual",23,-84.304347826087,26.9130498636707,5.61175882281214
"Collomia tinctoria","annual",50,-70.18,29.6521947427374,4.19345359593074
"Collomia tracyi","annual",9,-45.2222222222222,23.0855895407599,7.69519651358664
"Collomia wilkenii","no_life_form_on_database",8,-104.625,21.4605119097512,7.58743674955986
"Dayia grantii","perennial",1,126,NA,NA
"Dayia scabra","annual",2,133,8.48528137423857,6
"Eriastrum densifolium","perennial",19,11.1052631578947,47.4422394272377,10.8839961746626
"Eriastrum sapphirinum","annual",19,30.7368421052632,40.3069364105859,9.24704539670864
"Eriastrum signatum","annual",29,-46.6896551724138,24.3400074073763,4.51982590674469
"Eriastrum wilcoxii","annual",53,-51.7735849056604,33.4040770827074,4.58840286626617
"Gilia achilleifolia","annual",18,34.3888888888889,27.945617122187,6.5868451238471
"Gilia angelensis","annual",26,49.2307692307692,42.0859194432605,8.25372786494921
"Gilia brecciarum","annual",17,-29.4117647058824,36.30781393779,8.80593834710477
"Gilia cana","annual",13,-10.4615384615385,40.8933885948478,11.3417853389383
"Gilia capitata","annual",53,7.64150943396226,41.7078180918816,5.72900941417019
"Gilia clivorum","annual",20,39.3,39.9803899299065,8.9398869650219
"Gilia clokeyi","annual",43,-28.6279069767442,36.5936653741457,5.58048165278696
"Gilia crassifolia","annual",38,-40.7631578947368,44.4774064785198,7.21518808715607
"Gilia diegensis","annual",10,15.9,49.9053548674333,15.7814588820059
"Gilia inconspicua","annual",96,-52.84375,39.2761687822339,4.00860719032929
"Gilia laciniata","annual",40,6.35,73.1126808601907,11.5601298679601
"Gilia leptantha","annual",5,-49,40.4660351405966,18.0969610708539
"Gilia lomensis","no_life_form_on_database",NA,NA,NA,NA
"Gilia millefoliata","annual",3,72,3.60555127546399,2.08166599946613
"Gilia nevinii","annual",3,107.666666666667,6.65832811847939,3.84418753155693
"Gilia ochroleuca","annual",14,-2.92857142857143,29.0978833111072,7.77673643074933
"Gilia scopulorum","annual",42,9.69047619047619,36.9406168786807,5.70006093404662
"Gilia sinuata","annual",119,-29.5798319327731,45.3854482387904,4.16047721874508
"Gilia stellata","annual",48,36.4583333333333,38.888798547683,5.61311457749147
"Gilia tricolor","annual",27,44.2962962962963,23.0247606098218,4.4311172453691
"Gilia valdiviensis","annual",5,60.4,41.5848530116436,18.5973116336744
"Gilia yorkii","annual",1,-39,NA,NA
"Giliastrum foetidum","perennial",2,-103,60.8111831820431,43
"Giliastrum ludens","perennial",NA,NA,NA,NA
"Giliastrum purpusii","perennial",1,80,NA,NA
"Giliastrum rigidulum","annual",30,12.1333333333333,37.8141857465973,6.90389417570055
"Gymnosteris nudicaulis","annual",15,-60.2666666666667,18.2696730233727,4.71720929067849
"Gymnosteris parvula","annual",31,-91.7741935483871,34.9911509550814,6.28459623555186
"Ipomopsis aggregata","annual",142,-72.6971830985916,41.8601165037906,3.51282294261086
"Ipomopsis arizonica","annual",25,-71.52,34.6796289868659,6.93592579737317
"Ipomopsis congesta","perennial",71,-85.0704225352113,27.7057621359384,3.28806903292135
"Ipomopsis effusa","no_life_form_on_database",8,33.875,47.6338340138304,16.8411035225469
"Ipomopsis gossypifera","annual",12,-73.8333333333333,51.7086828181484,14.9270109722495
"Ipomopsis gunnisonii","annual",20,-50.7,21.0365596546884,4.70391774006127
"Ipomopsis guttata","no_life_form_on_database",2,25,32.5269119345812,23
"Ipomopsis havardii","no_life_form_on_database",5,43,17.8465682975747,7.98122797569397
"Ipomopsis laxiflora","annual",51,-37.3137254901961,43.0694741997524,6.03093269514715
"Ipomopsis longiflora","annual",107,-31.2429906542056,44.2837849112511,4.28107507467562
"Ipomopsis macombii","perennial",21,-4.80952380952381,26.749988874052,5.83732613593189
"Ipomopsis macrosiphon","perennial",NA,NA,NA,NA
"Ipomopsis monticola","no_life_form_on_database",NA,NA,NA,NA
"Ipomopsis multiflora","perennial",40,-41.275,38.8468310425868,6.14222329871538
"Ipomopsis pinnata","annual",27,18.2222222222222,23.2218950616958,4.4690557883211
"Ipomopsis polyantha","perennial",6,-96,22.3248740198013,9.114091653405
"Ipomopsis polycladon","annual",68,-35.0735294117647,38.2311571679711,4.63620879979807
"Ipomopsis pringlei","no_life_form_on_database",NA,NA,NA,NA
"Ipomopsis pumila","annual",53,-54.7358490566038,37.7064322932371,5.1793768042921
"Ipomopsis roseata","perennial",10,-77.8,22.7097629519406,7.18145760506412
"Ipomopsis rubra","annual",66,25.2878787878788,53.8652921366783,6.63035912114106
"Ipomopsis sancti-spiritus","no_life_form_on_database",NA,NA,NA,NA
"Ipomopsis sonorae","no_life_form_on_database",7,90.4285714285714,22.2025309582575,8.39176791310883
"Ipomopsis spicata","perennial",40,-98.225,31.3209092935432,4.95227058775659
"Ipomopsis tenuifolia","no_life_form_on_database",13,35.1538461538462,63.1438122514077,17.5129425231324
"Ipomopsis tenuituba","annual",30,-110.733333333333,27.0617854156938,4.94078343951327
"Ipomopsis thurberi","no_life_form_on_database",11,-7.18181818181818,9.98817482644534,3.0115480217993
"Ipomopsis tridactyla","no_life_form_on_database",1,-107,NA,NA
"Ipomopsis wendtii","no_life_form_on_database",NA,NA,NA,NA
"Ipomopsis wrightii","perennial",NA,NA,NA,NA
"Langloisia matthewsii","no_life_form_on_database",NA,NA,NA,NA
"Langloisia punctata","no_life_form_on_database",6,-6.66666666666667,45.7456737480897,18.6755931037753
"Langloisia setosissima","no_life_form_on_database",37,22.2162162162162,53.9135806098443,8.86333805426414
"Lathrocasis tenerrima","annual",53,-91.7735849056604,27.5392318125322,3.78280441248309
"Leptosiphon acicularis","annual",6,39,21.4941852602047,8.77496438739212
"Leptosiphon ambiguus","annual",6,15.1666666666667,41.1505366510167,16.7996362394481
"Leptosiphon androsaceus","annual",22,36.9545454545455,27.6241393276437,5.88948629336084
"Leptosiphon aureus","no_life_form_on_database",NA,NA,NA,NA
"Leptosiphon bicolor","annual",42,15.1904761904762,42.2733486329834,6.52291930818476
"Leptosiphon bolanderi","annual",23,-7.91304347826087,33.1935276323539,6.92132896474759
"Leptosiphon breviculus","annual",5,-10,13.7113092008021,6.13188388670236
"Leptosiphon ciliatus","annual",44,-24.0681818181818,51.2678319413467,7.72891647111114
"Leptosiphon croceus","no_life_form_on_database",NA,NA,NA,NA
"Leptosiphon filipes","annual",14,19.4285714285714,25.2456067334627,6.74717220841792
"Leptosiphon floribundum","perennial",5,-11.4,81.5248428394683,36.4590180888076
"Leptosiphon grandiflorus","annual",2,45.5,14.8492424049175,10.5
"Leptosiphon harknessii","no_life_form_on_database",63,-73,34.4364772841523,4.33858832966628
"Leptosiphon jamauensis","no_life_form_on_database",1,27,NA,NA
"Leptosiphon jepsonii","annual",1,36,NA,NA
"Leptosiphon latisectus","annual",6,17.1666666666667,15.9174956154122,6.49829037345807
"Leptosiphon laxus","no_life_form_on_database",2,89,4.24264068711928,3
"Leptosiphon lemmonii","no_life_form_on_database",5,12.2,15.4175224987674,6.89492567037528
"Leptosiphon liniflorus","annual",39,-2.38461538461538,54.3926346526204,8.70979216751871
"Leptosiphon melingii","no_life_form_on_database",4,22.25,58.7615236925207,29.3807618462603
"Leptosiphon minimus","annual",NA,NA,NA,NA
"Leptosiphon montanus","annual",14,7,20.8916619363214,5.58353151471577
"Leptosiphon nudatus","annual",10,-56.4,30.576679566842,9.66919507163514
"Leptosiphon nuttallii","perennial",35,-77.8857142857143,42.2936314414381,7.14892851213023
"Leptosiphon oblanceolatus","annual",NA,NA,NA,NA
"Leptosiphon pachyphyllus","perennial",NA,NA,NA,NA
"Leptosiphon parviflorus","no_life_form_on_database",NA,NA,NA,NA
"Leptosiphon pygmaeus","no_life_form_on_database",NA,NA,NA,NA
"Leptosiphon rattanii","annual",5,18,50.0549697832293,22.3852630093997
"Leptosiphon rosaceus","annual",NA,NA,NA,NA
"Leptosiphon septentrionalis","annual",89,-86.0112359550562,37.8335151990757,4.01034459042086
"Leptosiphon serrulatus","annual",NA,NA,NA,NA
"Linanthus arenicola","annual",13,-3.30769230769231,38.5538251785401,10.6929071958847
"Linanthus bellus","no_life_form_on_database",8,34.625,42.9482662214503,15.1845051426963
"Linanthus bigelovii","annual",72,20.7916666666667,42.3758958524274,4.99404721935105
"Linanthus caespitosus","perennial",27,-86.9259259259259,19.0524093488016,3.66663788874718
"Linanthus californicus","perennial",11,21.9090909090909,72.0520014232145,21.7244958286324
"Linanthus campanulatus","annual",11,-15.9090909090909,25.8126114349345,7.78279518081044
"Linanthus concinnus","annual",NA,NA,NA,NA
"Linanthus demissus","annual",31,25.4516129032258,29.3153415008563,5.26519076427935
"Linanthus dianthiflorus","no_life_form_on_database",19,69.4210526315789,30.3796638659513,6.9695728805482
"Linanthus dichotomus","annual",48,16.6458333333333,34.3743407415828,4.96150872009219
"Linanthus filiformis","annual",22,17.1363636363636,31.9751323829799,6.81712112961679
"Linanthus inyoensis","annual",6,-62.6666666666667,18.7900682986163,7.67101326060935
"Linanthus jaegeri","perennial",NA,NA,NA,NA
"Linanthus jamauensis","no_life_form_on_database",1,28,NA,NA
"Linanthus jonesii","no_life_form_on_database",40,51.375,39.8488731623329,6.30066006920642
"Linanthus killipii","annual",1,-64,NA,NA
"Linanthus maculatus","no_life_form_on_database",1,48,NA,NA
"Linanthus orcuttii","no_life_form_on_database",6,-3.16666666666667,21.7017664411602,8.85970904964968
"Linanthus parryae","annual",14,3.64285714285714,33.4540031934943,8.94095844043551
"Linanthus pungens","perennial",122,-63.2377049180328,46.3112098024523,4.19281992959661
"Linanthus pusillus","no_life_form_on_database",NA,NA,NA,NA
"Linanthus uncialis","no_life_form_on_database",3,112.333333333333,33.0807093837683,19.0991564677024
"Linanthus watsonii","perennial",NA,NA,NA,NA
"Loeselia ciliata","perennial",69,151.565217391304,60.2713175030627,7.25581397420945
"Loeselia coerulea","no_life_form_on_database",42,60.4285714285714,35.7157769723504,5.51106403333261
"Loeselia glandulosa","perennial",95,98.4842105263158,55.7200187789018,5.71675330449315
"Loeselia involucrata","no_life_form_on_database",10,120.6,38.8163768416259,12.2748161334951
"Loeselia pumila","no_life_form_on_database",35,111.057142857143,40.0770895805034,6.77426455521968
"Loeseliastrum depressum","annual",19,-33.5263157894737,28.3712852116608,6.50881921768418
"Loeseliastrum schottii","no_life_form_on_database",49,21.9387755102041,41.8551112785052,5.97930161121503
"Microgilia minutiflora","annual",22,-42.0909090909091,28.4436101970014,6.06419806974044
"Microsteris gracilis","annual",201,-41.8756218905473,50.781881146097,3.58187772314519
"Navarretia atractyloides","no_life_form_on_database",28,50.3928571428571,31.0582955885819,5.86946616235158
"Navarretia breweri","annual",76,-81.9078947368421,36.0637131131664,4.13679160497724
"Navarretia capillaris","annual",27,-57.5925925925926,43.4575471530367,8.36340884904219
"Navarretia divaricata","annual",34,-51.7352941176471,37.1975144359661,6.37932109658623
"Navarretia eriocephala","annual",4,30.5,18.8767935130237,9.43839675651185
"Navarretia filicaulis","annual",4,19.75,12.3119183449751,6.15595917248753
"Navarretia fossalis","no_life_form_on_database",7,69.1428571428571,26.6922496331087,10.0887220660087
"Navarretia furnissii","annual",NA,NA,NA,NA
"Navarretia hamata","no_life_form_on_database",17,64.8235294117647,30.9702181420265,7.51138121458797
"Navarretia heterandra","annual",10,5.4,30.4419301475959,9.6265835638149
"Navarretia intertexta","annual",62,-31.4032258064516,50.9288992253792,6.46797666960306
"Navarretia involucrata","annual",17,-17.5294117647059,38.5877533147805,9.35890486894812
"Navarretia jaredii","annual",NA,NA,NA,NA
"Navarretia jepsonii","annual",4,22,2.94392028877595,1.47196014438797
"Navarretia leptalea","annual",15,-48.7333333333333,17.9581524131866,4.63677501499507
"Navarretia leucocephala","annual",14,3.71428571428571,44.989620292529,12.0239817925497
"Navarretia linearifolia","no_life_form_on_database",NA,NA,NA,NA
"Navarretia mellita","annual",14,32.2142857142857,28.5257739635541,7.62383377601257
"Navarretia myersii","no_life_form_on_database",NA,NA,NA,NA
"Navarretia nigelliformis","annual",11,39.4545454545455,11.6992618259755,3.52746016371717
"Navarretia paradoxiclara","no_life_form_on_database",NA,NA,NA,NA
"Navarretia paradoxinota","no_life_form_on_database",NA,NA,NA,NA
"Navarretia peninsularis","no_life_form_on_database",7,-23.8571428571429,25.2020407336957,9.52547604466837
"Navarretia prolifera","annual",3,8.66666666666667,33.6501609703926,19.4279294945304
"Navarretia propinqua","no_life_form_on_database",18,-48.3333333333333,35.633757953412,8.3989572960059
"Navarretia prostrata","annual",10,41.9,32.8005758757034,10.3724528332395
"Navarretia pubescens","annual",23,24.5652173913043,19.2986718501006,4.02405125290349
"Navarretia rosulata","annual",NA,NA,NA,NA
"Navarretia saximontana","annual",8,-89.625,40.8828902388972,14.4542844612148
"Navarretia setiloba","annual",2,23.5,21.920310216783,15.5
"Navarretia sinistra","annual",20,-67.05,22.0250455522559,4.92494990623736
"Navarretia squarrosa","annual",40,36.5,27.6164202362773,4.36653943835008
"Navarretia subuligera","annual",5,11.2,24.3659598620699,10.8967885177239
"Navarretia tagetina","annual",16,22.375,23.1570723538188,5.78926808845471
"Navarretia viscidula","annual",9,38.4444444444444,15.6773013550731,5.22576711835771
"Navarretia willamettensis","no_life_form_on_database",1,30,NA,NA
"Phlox alaskensis","no_life_form_on_database",53,-262,39.6707604006935,5.44919802091258
"Phlox alyssifolia","perennial",15,-117.466666666667,24.899416707645,6.42900174926586
"Phlox amoena","perennial",25,16.08,24.272618317767,4.85452366355341
"Phlox amplifolia","perennial",NA,NA,NA,NA
"Phlox bifida","perennial",16,-51.5625,26.3159489030258,6.57898722575646
"Phlox buckleyi","perennial",NA,NA,NA,NA
"Phlox carolina","perennial",37,20.3513513513514,30.4742297470942,5.00993250933307
"Phlox condensata","perennial",23,-135.652173913043,54.5665637677775,11.3779150711461
"Phlox cuspidata","annual",18,54.5,24.9003897914211,5.86907815856737
"Phlox diffusa","perennial",77,-59.9090909090909,40.9798351625791,4.67008563834845
"Phlox divaricata","perennial",175,-43.4228571428571,51.5222699629456,3.89471752295677
"Phlox drummondii","annual",49,50.4081632653061,48.2566568669317,6.89380812384739
"Phlox floridana","perennial",15,69.8,20.2244547869299,5.22193177172696
"Phlox glaberrima","perennial",75,9.46666666666667,39.1270741038469,4.51800535329169
"Phlox hoodii","perennial",156,-112.358974358974,56.4540291105271,4.51993972816368
"Phlox longifolia","perennial",132,-70.4242424242424,37.8746669976788,3.29656662552927
"Phlox maculata","no_life_form_on_database",52,-39.9230769230769,41.7141750270822,5.78471526822401
"Phlox nana","no_life_form_on_database",44,-15.0454545454545,37.4395354681072,5.64422233967793
"Phlox nivalis","perennial",7,56.2857142857143,31.0360773171819,11.7305346074623
"Phlox oklahomensis","perennial",3,-48,3,1.73205080756888
"Phlox ovata","no_life_form_on_database",14,-23.6428571428571,23.6305120321397,6.31551999273614
"Phlox paniculata","perennial",135,-50.9259259259259,45.6970278320269,3.93297395032482
"Phlox pattersonii","no_life_form_on_database",3,45,25.3574446662119,14.6401275039985
"Phlox pilosa","no_life_form_on_database",158,-24.0759493670886,67.639409639308,5.38110250358975
"Phlox pulcherrima","no_life_form_on_database",3,62.3333333333333,6.65832811847939,3.84418753155693
"Phlox pulchra","no_life_form_on_database",NA,NA,NA,NA
"Phlox roemeriana","annual",18,38.6111111111111,24.7912197191546,5.84334652576662
"Phlox stansburyi","no_life_form_on_database",39,-47.1282051282051,36.9944373394444,5.92385095222321
"Phlox stolonifera","perennial",24,-49.9166666666667,39.5671324588287,8.07660709243701
"Phlox subulata","perennial",73,-62.6438356164384,42.4723340877505,4.97101070572764
"Polemonium acutiflorum","no_life_form_on_database",57,-166.035087719298,60.5182867617835,8.01584290101233
"Polemonium boreale","perennial",178,-254.539325842697,84.7873453114713,6.35508021367824
"Polemonium brandegeei","perennial",24,-126.833333333333,34.2416815244694,6.98955397248634
"Polemonium caeruleum","perennial",397,-118.261964735516,67.3226955981021,3.37882923644488
"Polemonium californicum","no_life_form_on_database",38,-70.3157894736842,48.1355660289505,7.80861992815001
"Polemonium carneum","perennial",18,-5.11111111111111,43.6737758020812,10.2940076765575
"Polemonium chartaceum","no_life_form_on_database",4,-97.75,46.5,23.25
"Polemonium chinense","perennial",36,-126.083333333333,85.0107136105293,14.1684522684215
"Polemonium confertum","no_life_form_on_database",14,-166.928571428571,40.0258844820627,10.6973675953193
"Polemonium delicatum","no_life_form_on_database",17,-149.235294117647,33.108777936834,8.03005815109919
"Polemonium eddyense","perennial",1,-108,NA,NA
"Polemonium elegans","perennial",17,-115.823529411765,43.6222926009707,10.5799600014942
"Polemonium elusum","perennial",NA,NA,NA,NA
"Polemonium eximium","perennial",2,-148,7.07106781186548,5
"Polemonium foliosissimum","perennial",56,-108.964285714286,31.2007950281657,4.16938161394128
"Polemonium grandiflorum","no_life_form_on_database",14,32.4285714285714,57.2494061584442,15.3005473886546
"Polemonium mexicanum","no_life_form_on_database",4,39.25,47.1690223204453,23.5845111602226
"Polemonium micranthum","annual",84,-42.7738095238095,31.0022739898478,3.38262541129139
"Polemonium occidentale","perennial",105,-106.685714285714,40.5245211345774,3.95478831314385
"Polemonium pauciflorum","no_life_form_on_database",14,-17,30.4251919910509,8.13147459695221
"Polemonium pectinatum","perennial",4,-44,34.554305086342,17.277152543171
"Polemonium pulcherrimum","perennial",199,-139.371859296482,66.3851815951003,4.70592075238319
"Polemonium reptans","perennial",109,-58.3302752293578,38.9498859043333,3.73072245255353
"Polemonium vanbruntiae","perennial",18,-80.7777777777778,32.4028966670929,7.63743598779612
"Polemonium viscosum","perennial",61,-145.868852459016,34.9354048732973,4.47302023916947
