"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Acanthogilia gloriosa","perennial",6,6.741858,0.540569,0.220686,0.050765
"Aliciella caespitosa","perennial",1,7.441907,NA,NA,0.304592
"Aliciella hutchinsifolia","annual",38,6.718793,0.504594,0.081856,0.008016
"Aliciella latifolia","annual",20,6.195262,0.461703,0.10324,0.01523
"Aliciella leptomeria","annual",85,7.090795,0.453976,0.049241,0.003583
"Aliciella mcvickerae","annual",8,7.647993,0.356997,0.126217,0.038074
"Aliciella subnuda","annual",16,7.226684,0.264141,0.066035,0.019037
"Aliciella tenuis","perennial",NA,NA,NA,NA,NA
"Aliciella triodon","annual",36,7.100655,0.360281,0.060047,0.008461
"Allophyllum divaricatum","annual",27,8.405376,0.552353,0.1063,0.011281
"Allophyllum gilioides","annual",44,7.958964,0.592038,0.089253,0.006923
"Allophyllum glutinosum","annual",19,7.695601,0.536897,0.123173,0.016031
"Allophyllum integrifolium","annual",14,8.497167,0.500303,0.133712,0.021757
"Bonplandia geminiflora","perennial",41,8.546145,0.346157,0.054061,0.007429
"Bryantiella glutinosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Bryantiella palmeri","annual",6,6.437765,0.447263,0.182594,0.050765
"Cantua bicolor","perennial",NA,NA,NA,NA,NA
"Cantua buxifolia","perennial",22,8.301145,0.804818,0.171588,0.013845
"Cantua candelilla","perennial",NA,NA,NA,NA,NA
"Cantua cuzcoensis","perennial",NA,NA,NA,NA,NA
"Cantua flexuosa","perennial",9,8.668446,0.603183,0.201061,0.033844
"Cantua pyrifolia","perennial",NA,NA,NA,NA,NA
"Cantua quercifolia","perennial",10,8.400369,1.033031,0.326673,0.030459
"Cantua volcanica","perennial",1,6.955593,NA,NA,0.304592
"Cobaea minor","perennial",2,9.559756,0.90685,0.64124,0.152296
"Cobaea pachysepala","perennial",7,9.090244,0.334505,0.126431,0.043513
"Cobaea penduliflora","perennial",NA,NA,NA,NA,NA
"Cobaea scandens","perennial",15,8.82782,0.542404,0.140048,0.020306
"Collomia biflora","annual",27,8.649125,0.681809,0.131214,0.011281
"Collomia cavanillesii","no_life_form_on_database",3,9.158542,0.301281,0.173945,0.101531
"Collomia debilis","annual",17,8.446335,0.780957,0.18941,0.017917
"Collomia diversifolia","annual",7,8.824872,0.211999,0.080128,0.043513
"Collomia grandiflora","annual",112,8.343544,0.652716,0.061676,0.00272
"Collomia heterophylla","annual",60,9.358697,0.701255,0.090532,0.005077
"Collomia larsenii","annual",12,9.646511,0.750343,0.216605,0.025383
"Collomia linearis","annual",362,8.431486,0.60507,0.031802,0.000841
"Collomia macrocalyx","annual",NA,NA,NA,NA,NA
"Collomia mazama","annual",1,8.961623,NA,NA,0.304592
"Collomia rawsoniana","perennial",1,8.510169,NA,NA,0.304592
"Collomia renacta","no_life_form_on_database",2,7.633762,0.019158,0.013547,0.152296
"Collomia tenella","annual",23,8.447361,0.723829,0.150929,0.013243
"Collomia tinctoria","annual",50,8.522666,0.74668,0.105596,0.006092
"Collomia tracyi","annual",9,8.885105,0.620744,0.206915,0.033844
"Collomia wilkenii","no_life_form_on_database",8,7.759962,0.223099,0.078877,0.038074
"Dayia grantii","perennial",1,6.037871,NA,NA,0.304592
"Dayia scabra","annual",2,6.227013,0.230839,0.163228,0.152296
"Eriastrum densifolium","perennial",19,7.529688,0.662301,0.151942,0.016031
"Eriastrum sapphirinum","annual",19,7.318376,0.495379,0.113648,0.016031
"Eriastrum signatum","annual",29,7.586361,0.267184,0.049615,0.010503
"Eriastrum wilcoxii","annual",53,7.310271,0.492769,0.067687,0.005747
"Gilia achilleifolia","annual",18,7.866603,0.618551,0.145794,0.016922
"Gilia angelensis","annual",26,7.645787,0.565827,0.110968,0.011715
"Gilia brecciarum","annual",17,7.388297,0.652823,0.158333,0.017917
"Gilia cana","annual",13,6.912458,0.943369,0.261643,0.02343
"Gilia capitata","annual",53,8.487578,0.795818,0.109314,0.005747
"Gilia clivorum","annual",20,7.777823,0.523249,0.117002,0.01523
"Gilia clokeyi","annual",43,6.950081,0.455603,0.069479,0.007084
"Gilia crassifolia","annual",38,7.114822,1.062789,0.172407,0.008016
"Gilia diegensis","annual",10,7.518334,0.565796,0.17892,0.030459
"Gilia inconspicua","annual",96,7.311686,0.528448,0.053934,0.003173
"Gilia laciniata","annual",40,7.236911,1.034725,0.163604,0.007615
"Gilia leptantha","annual",5,7.780379,0.671183,0.300162,0.060918
"Gilia lomensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Gilia millefoliata","annual",3,9.11357,0.151353,0.087384,0.101531
"Gilia nevinii","annual",2,7.522106,0.074179,0.052452,0.152296
"Gilia ochroleuca","annual",14,7.123514,0.447877,0.1197,0.021757
"Gilia scopulorum","annual",42,6.780249,0.609028,0.093975,0.007252
"Gilia sinuata","annual",119,7.244351,0.603306,0.055305,0.00256
"Gilia stellata","annual",48,6.706907,0.532522,0.076863,0.006346
"Gilia tricolor","annual",27,7.979953,0.762918,0.146824,0.011281
"Gilia valdiviensis","annual",5,7.395498,1.050128,0.469632,0.060918
"Gilia yorkii","annual",1,8.233769,NA,NA,0.304592
"Giliastrum foetidum","perennial",2,7.163866,1.013369,0.71656,0.152296
"Giliastrum ludens","perennial",NA,NA,NA,NA,NA
"Giliastrum purpusii","perennial",1,6.917706,NA,NA,0.304592
"Giliastrum rigidulum","annual",30,7.688814,0.400854,0.073186,0.010153
"Gymnosteris nudicaulis","annual",15,7.41029,0.205018,0.052935,0.020306
"Gymnosteris parvula","annual",31,7.767083,0.379702,0.068196,0.009826
"Ipomopsis aggregata","annual",142,8.065548,0.598953,0.050263,0.002145
"Ipomopsis arizonica","annual",25,7.704402,0.461886,0.092377,0.012184
"Ipomopsis congesta","perennial",71,7.797579,0.669286,0.07943,0.00429
"Ipomopsis effusa","no_life_form_on_database",8,7.126875,0.463427,0.163846,0.038074
"Ipomopsis gossypifera","annual",12,6.402166,0.61883,0.178641,0.025383
"Ipomopsis gunnisonii","annual",20,7.084774,0.415362,0.092878,0.01523
"Ipomopsis guttata","no_life_form_on_database",2,7.349836,0.385144,0.272338,0.152296
"Ipomopsis havardii","no_life_form_on_database",5,7.248424,0.352498,0.157642,0.060918
"Ipomopsis laxiflora","annual",51,7.456427,0.214976,0.030103,0.005972
"Ipomopsis longiflora","annual",107,7.45874,0.387089,0.037421,0.002847
"Ipomopsis macombii","perennial",21,7.705835,0.329726,0.071952,0.014504
"Ipomopsis macrosiphon","perennial",NA,NA,NA,NA,NA
"Ipomopsis monticola","no_life_form_on_database",NA,NA,NA,NA,NA
"Ipomopsis multiflora","perennial",40,7.528426,0.361246,0.057118,0.007615
"Ipomopsis pinnata","annual",27,7.991435,0.329521,0.063416,0.011281
"Ipomopsis polyantha","perennial",6,7.659066,0.374634,0.152944,0.050765
"Ipomopsis polycladon","annual",68,6.951749,0.417746,0.050659,0.004479
"Ipomopsis pringlei","no_life_form_on_database",NA,NA,NA,NA,NA
"Ipomopsis pumila","annual",53,7.304911,0.332117,0.04562,0.005747
"Ipomopsis roseata","perennial",10,7.296368,0.353366,0.111744,0.030459
"Ipomopsis rubra","annual",64,8.606469,0.497781,0.062223,0.004759
"Ipomopsis sancti-spiritus","no_life_form_on_database",NA,NA,NA,NA,NA
"Ipomopsis sonorae","no_life_form_on_database",7,7.300093,0.5613,0.212151,0.043513
"Ipomopsis spicata","perennial",40,7.713287,0.356029,0.056293,0.007615
"Ipomopsis tenuifolia","no_life_form_on_database",13,7.253542,0.827867,0.229609,0.02343
"Ipomopsis tenuituba","annual",30,8.178728,0.297331,0.054285,0.010153
"Ipomopsis thurberi","no_life_form_on_database",11,7.614515,0.286918,0.086509,0.02769
"Ipomopsis tridactyla","no_life_form_on_database",1,7.916807,NA,NA,0.304592
"Ipomopsis wendtii","no_life_form_on_database",NA,NA,NA,NA,NA
"Ipomopsis wrightii","perennial",NA,NA,NA,NA,NA
"Langloisia matthewsii","no_life_form_on_database",NA,NA,NA,NA,NA
"Langloisia punctata","no_life_form_on_database",6,6.769491,0.927199,0.378527,0.050765
"Langloisia setosissima","no_life_form_on_database",37,6.485157,0.686824,0.112913,0.008232
"Lathrocasis tenerrima","annual",53,7.892326,0.452234,0.062119,0.005747
"Leptosiphon acicularis","annual",6,8.52253,0.31136,0.127112,0.050765
"Leptosiphon ambiguus","annual",6,8.476576,0.547929,0.223691,0.050765
"Leptosiphon androsaceus","annual",22,8.17316,0.524824,0.111893,0.013845
"Leptosiphon aureus","no_life_form_on_database",NA,NA,NA,NA,NA
"Leptosiphon bicolor","annual",42,8.398648,0.746651,0.115211,0.007252
"Leptosiphon bolanderi","annual",23,8.598208,0.561579,0.117097,0.013243
"Leptosiphon breviculus","annual",5,7.872532,0.427234,0.191065,0.060918
"Leptosiphon ciliatus","annual",44,8.460604,0.537241,0.080992,0.006923
"Leptosiphon croceus","no_life_form_on_database",NA,NA,NA,NA,NA
"Leptosiphon filipes","annual",14,8.381076,0.478394,0.127856,0.021757
"Leptosiphon floribundum","perennial",5,8.003457,0.281037,0.125684,0.060918
"Leptosiphon grandiflorus","annual",2,8.063282,0.939739,0.664496,0.152296
"Leptosiphon harknessii","no_life_form_on_database",63,8.26375,0.638897,0.080493,0.004835
"Leptosiphon jamauensis","no_life_form_on_database",1,7.401842,NA,NA,0.304592
"Leptosiphon jepsonii","annual",1,8.514991,NA,NA,0.304592
"Leptosiphon latisectus","annual",6,8.924797,0.266197,0.108674,0.050765
"Leptosiphon laxus","no_life_form_on_database",2,7.10609,0.06087,0.043042,0.152296
"Leptosiphon lemmonii","no_life_form_on_database",5,7.525423,0.174119,0.077868,0.060918
"Leptosiphon liniflorus","annual",39,7.841078,0.605977,0.097034,0.00781
"Leptosiphon melingii","no_life_form_on_database",4,7.284247,0.499395,0.249697,0.076148
"Leptosiphon minimus","annual",NA,NA,NA,NA,NA
"Leptosiphon montanus","annual",14,8.411664,0.423869,0.113284,0.021757
"Leptosiphon nudatus","annual",10,8.151712,0.549736,0.173842,0.030459
"Leptosiphon nuttallii","perennial",35,8.219593,0.603906,0.102079,0.008703
"Leptosiphon oblanceolatus","annual",NA,NA,NA,NA,NA
"Leptosiphon pachyphyllus","perennial",NA,NA,NA,NA,NA
"Leptosiphon parviflorus","no_life_form_on_database",NA,NA,NA,NA,NA
"Leptosiphon pygmaeus","no_life_form_on_database",NA,NA,NA,NA,NA
"Leptosiphon rattanii","annual",5,8.732559,0.708786,0.316979,0.060918
"Leptosiphon rosaceus","annual",NA,NA,NA,NA,NA
