"species","life_form","n","mean","sd","se"
"Androsace adfinis","perennial",1,225,NA,NA
"Androsace albana","annual",8,203.5,96.0907309339906,33.9732037262983
"Androsace alpina","perennial",17,192.588235294118,57.9051582584935,14.0440637510515
"Androsace armeniaca","annual",NA,NA,NA,NA
"Androsace axillaris","perennial",16,28.0625,19.9615254928074,4.99038137320185
"Androsace barbulata","no_life_form_on_database",2,162,25.4558441227157,18
"Androsace brevis","perennial",1,223,NA,NA
"Androsace brigantiaca","no_life_form_on_database",1,116,NA,NA
"Androsace bulleyana","annual",11,11.9090909090909,8.65395337928909,2.60926511930274
"Androsace bungeana","perennial",65,28.6153846153846,24.9246942732581,3.09152783890073
"Androsace cantabrica","no_life_form_on_database",1,160,NA,NA
"Androsace chaixii","annual",3,181.333333333333,38.7857362097632,22.3929552414246
"Androsace chamaejasme","perennial",18,203.222222222222,55.165585558982,13.0026532122943
"Androsace ciliata","perennial",2,235,82.0243866176395,58
"Androsace cuscutiformis","perennial",NA,NA,NA,NA
"Androsace cuttingii","perennial",8,2.25,2.86605752110555,1.01330435422222
"Androsace cylindrica subsp. cylindrica","no_life_form_on_database",1,308,NA,NA
"Androsace cylindrica subsp. willkommii","no_life_form_on_database",2,167.5,81.317279836453,57.5
"Androsace cylindrica var. hirtella","perennial",NA,NA,NA,NA
"Androsace delavayi","perennial",15,22.5333333333333,16.608374250302,4.28826379193332
"Androsace elatior","perennial",3,5,2.64575131106459,1.52752523165195
"Androsace elongata subsp. elongata","no_life_form_on_database",NA,NA,NA,NA
"Androsace elongata var. breistrofferi","annual",NA,NA,NA,NA
"Androsace erecta","annual",46,9.17391304347826,10.4887333158036,1.54647935766912
"Androsace filiformis","annual",335,47.5164179104478,36.0489379489879,1.96956387872747
"Androsace globifera","perennial",6,18.5,23.8306525298826,9.7288231559629
"Androsace halleri","perennial",NA,NA,NA,NA
"Androsace halleri","perennial",NA,NA,NA,NA
"Androsace hausmannii","perennial",3,244,113.696965658719,65.6429737291052
"Androsace hedraeantha","no_life_form_on_database",3,151,30.4466746952767,17.5783958312469
"Androsace helvetica","perennial",20,210.2,78.9427507421476,17.6521356990264
"Androsace hookeriana","perennial",NA,NA,NA,NA
"Androsace komovensis","perennial",NA,NA,NA,NA
