"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Asperula accrescens","no_life_form_on_database",NA,NA,NA,NA,NA
"Asperula aristata","perennial",10,8.629854,0.369624,0.116885,0.030414
"Asperula arvensis","annual",135,8.415032,0.462815,0.039833,0.002253
"Asperula breviflora","no_life_form_on_database",NA,NA,NA,NA,NA
"Asperula capitata","perennial",NA,NA,NA,NA,NA
"Asperula chlorantha","no_life_form_on_database",4,8.975259,0.042989,0.021494,0.076035
"Asperula conferta","perennial",136,8.167055,0.595001,0.051021,0.002236
"Asperula crassifolia","perennial",NA,NA,NA,NA,NA
"Asperula cynanchica","perennial",157,8.775053,0.437599,0.034924,0.001937
"Asperula cypria","perennial",NA,NA,NA,NA,NA
"Asperula deficiens","perennial",NA,NA,NA,NA,NA
"Asperula gunnii","perennial",28,9.185273,0.393987,0.074457,0.010862
"Asperula gussonei","perennial",NA,NA,NA,NA,NA
"Asperula hirsuta","perennial",38,8.078843,0.444669,0.072135,0.008004
"Asperula hirta","perennial",7,9.393491,0.113435,0.042874,0.043449
"Asperula laevigata","perennial",34,8.609347,0.37536,0.064374,0.008945
"Asperula libanotica","no_life_form_on_database",NA,NA,NA,NA,NA
"Asperula maximoviczii","no_life_form_on_database",NA,NA,NA,NA,NA
"Asperula orientalis","annual",2,8.346147,1.345842,0.951654,0.152071
"Asperula paui subsp. paui","perennial",0,NA,NA,NA,Inf
"Asperula paui var. dianensis","perennial",1,7.641084,NA,NA,0.304142
"Asperula prostrata","perennial",9,8.463955,0.520075,0.173358,0.033794
"Asperula purpurea","perennial",17,9.050015,0.514187,0.124709,0.017891
"Asperula rupestris","perennial",1,8.083946,NA,NA,0.304142
"Asperula taurina","perennial",28,9.120361,0.374798,0.07083,0.010862
"Asperula tinctoria","perennial",76,9.010695,0.253098,0.029032,0.004002
"Callipeltis aperta","no_life_form_on_database",NA,NA,NA,NA,NA
"Callipeltis cucullaria","no_life_form_on_database",NA,NA,NA,NA,NA
"Callipeltis microstegia","annual",NA,NA,NA,NA,NA
"Crucianella aegyptiaca","no_life_form_on_database",NA,NA,NA,NA,NA
"Crucianella angustifolia","annual",129,8.366127,0.482545,0.042486,0.002358
"Crucianella gilanica","perennial",NA,NA,NA,NA,NA
"Crucianella imbricata","annual",5,8.172863,0.257698,0.115246,0.060828
"Crucianella latifolia","annual",58,8.307603,0.406304,0.05335,0.005244
"Crucianella macrostachya","annual",4,7.990437,0.429575,0.214787,0.076035
"Crucianella maritima","perennial",50,8.153705,1.173435,0.165949,0.006083
"Crucianella patula","annual",31,7.938832,0.362553,0.065116,0.009811
"Crucianella rupestris","no_life_form_on_database",1,7.863267,NA,NA,0.304142
"Crucianella suaveolens","perennial",NA,NA,NA,NA,NA
"Cruciata articulata","annual",5,8.096458,0.38268,0.17114,0.060828
"Cruciata laevipes","perennial",214,8.9094,0.424024,0.028986,0.001421
"Cruciata pedemontana","annual",78,8.584343,0.367964,0.041664,0.003899
"Cruciata taurica","perennial",NA,NA,NA,NA,NA
"Cruciata verna","no_life_form_on_database",6,9.095934,0.296724,0.121137,0.05069
"Didymaea alsinoides","perennial",13,8.608191,0.452081,0.125385,0.023396
"Galium acutum","perennial",5,9.046617,0.444977,0.199,0.060828
"Galium aetnicum","perennial",3,8.697268,0.320909,0.185277,0.101381
"Galium album","perennial",119,8.905934,0.398211,0.036504,0.002556
"Galium anisophyllon","perennial",35,9.408121,0.436073,0.07371,0.00869
"Galium aparine","annual",552,8.87471,0.537175,0.022864,0.000551
"Galium araucanum","perennial",2,9.026473,0.212425,0.150207,0.152071
"Galium arenarium","perennial",6,9.264551,0.230794,0.094221,0.05069
"Galium asparagifolium","perennial",10,8.556931,0.197227,0.062369,0.030414
"Galium asperifolium","perennial",42,9.003392,0.383407,0.059161,0.007241
"Galium baillonii","perennial",NA,NA,NA,NA,NA
"Galium bermudense","perennial",23,8.965291,0.142476,0.029708,0.013224
"Galium bigeminum","annual",10,8.693286,0.62976,0.199148,0.030414
"Galium blinii","perennial",NA,NA,NA,NA,NA
"Galium boreale","perennial",1167,8.866698,0.544593,0.015942,0.000261
"Galium bungei","perennial",128,9.113305,0.420296,0.037149,0.002376
"Galium californicum","no_life_form_on_database",22,8.465838,0.497937,0.106161,0.013825
"Galium canum","perennial",5,8.287773,0.064565,0.028874,0.060828
"Galium capense","perennial",NA,NA,NA,NA,NA
"Galium capitatum","annual",6,8.355434,0.444064,0.181288,0.05069
"Galium centroniae","perennial",NA,NA,NA,NA,NA
