"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia absconditiflora","no_life_form_on_database",2,4.175215,0.490129,0.346574,0.111692
"Salvia acerifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia adenocaulon","perennial",NA,NA,NA,NA,NA
"Salvia adenophora","perennial",6,5.194745,0.234593,0.095772,0.037231
"Salvia adenophylla","perennial",NA,NA,NA,NA,NA
"Salvia aegyptiaca","perennial",19,3.353296,0.539017,0.123659,0.011757
"Salvia aequidistans","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia aerea","perennial",4,5.084004,0.257428,0.128714,0.055846
"Salvia aethiopis","annual",76,4.311583,0.308525,0.03539,0.002939
"Salvia africana","perennial",NA,NA,NA,NA,NA
"Salvia africana-lutea","no_life_form_on_database",15,4.041647,0.618063,0.159583,0.014892
"Salvia agnes","perennial",8,5.444357,0.384438,0.135919,0.027923
"Salvia akiensis","no_life_form_on_database",1,5.438079,NA,NA,0.223385
"Salvia alamosana","perennial",13,5.379395,0.343228,0.095194,0.017183
"Salvia alba","no_life_form_on_database",11,5.044311,0.349849,0.105483,0.020308
"Salvia albicaulis","no_life_form_on_database",2,4.242335,0.647915,0.458145,0.111692
"Salvia albimaculata","perennial",NA,NA,NA,NA,NA
"Salvia albocaerulea","perennial",10,5.529983,0.291623,0.092219,0.022338
"Salvia alborosea","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia amarissima","no_life_form_on_database",33,5.24115,0.50417,0.087765,0.006769
"Salvia amethystina","perennial",6,5.281544,0.386735,0.157884,0.037231
"Salvia amplexicaulis","perennial",NA,NA,NA,NA,NA
"Salvia amplifrons","annual",NA,NA,NA,NA,NA
"Salvia anatolica","perennial",NA,NA,NA,NA,NA
"Salvia angulata","perennial",12,5.470091,0.500271,0.144416,0.018615
"Salvia angustiarum","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia apiana","no_life_form_on_database",22,3.879901,0.731934,0.156049,0.010154
"Salvia appendiculata","perennial",NA,NA,NA,NA,NA
"Salvia aramiensis","no_life_form_on_database",NA,NA,NA,NA,NA
