"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia absconditiflora","no_life_form_on_database",2,8.16141,0.294783,0.208443,0.152071
"Salvia acerifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia adenocaulon","perennial",NA,NA,NA,NA,NA
"Salvia adenophora","perennial",6,8.631204,0.2732,0.111533,0.05069
"Salvia adenophylla","perennial",NA,NA,NA,NA,NA
"Salvia aegyptiaca","perennial",18,6.538821,0.69667,0.164207,0.016897
"Salvia aequidistans","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia aerea","perennial",4,8.862235,0.158002,0.079001,0.076035
"Salvia aethiopis","perennial",75,8.476602,0.353133,0.040776,0.004055
"Salvia africana","perennial",NA,NA,NA,NA,NA
"Salvia africana-lutea","no_life_form_on_database",14,7.485438,0.819392,0.218992,0.021724
"Salvia agnes","perennial",8,8.684422,0.302243,0.106859,0.038018
"Salvia akiensis","no_life_form_on_database",1,9.854402,NA,NA,0.304142
"Salvia alamosana","perennial",13,8.434159,0.355866,0.098699,0.023396
"Salvia alba","no_life_form_on_database",11,8.42096,0.398921,0.120279,0.027649
"Salvia albicaulis","no_life_form_on_database",2,7.400199,0.54756,0.387183,0.152071
"Salvia albimaculata","perennial",NA,NA,NA,NA,NA
"Salvia albocaerulea","perennial",10,8.828243,0.220611,0.069763,0.030414
"Salvia alborosea","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia amarissima","no_life_form_on_database",33,8.509528,0.490657,0.085412,0.009216
"Salvia amethystina","perennial",6,9.184356,0.194109,0.079245,0.05069
"Salvia amplexicaulis","perennial",NA,NA,NA,NA,NA
"Salvia amplifrons","annual",NA,NA,NA,NA,NA
"Salvia anatolica","perennial",NA,NA,NA,NA,NA
"Salvia angulata","perennial",12,9.357953,0.424581,0.122566,0.025345
"Salvia angustiarum","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia apiana","no_life_form_on_database",22,7.221562,0.73469,0.156636,0.013825
"Salvia appendiculata","perennial",NA,NA,NA,NA,NA
"Salvia aramiensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia arbuscula","no_life_form_on_database",13,8.825101,0.159092,0.044124,0.023396
"Salvia areolata","perennial",1,9.151121,NA,NA,0.304142
"Salvia areysiana","perennial",NA,NA,NA,NA,NA
"Salvia argentea","perennial",55,8.152395,0.534533,0.072076,0.00553
"Salvia ariana","perennial",NA,NA,NA,NA,NA
"Salvia arisanensis","no_life_form_on_database",3,10.348392,0.313732,0.181133,0.101381
"Salvia aristata","perennial",3,7.868416,0.084986,0.049067,0.101381
"Salvia articulata","perennial",NA,NA,NA,NA,NA
"Salvia aspera","perennial",4,8.383619,0.719611,0.359806,0.076035
"Salvia atrocyanea","perennial",7,7.988366,0.626958,0.236968,0.043449
"Salvia atropatana","perennial",4,7.374391,0.106028,0.053014,0.076035
"Salvia atropurpurea","perennial",1,9.157889,NA,NA,0.304142
"Salvia atrorubra","perennial",1,8.729882,NA,NA,0.304142
"Salvia aucheri","perennial",NA,NA,NA,NA,NA
"Salvia aurita","no_life_form_on_database",8,8.297152,0.293647,0.10382,0.038018
"Salvia austriaca","perennial",18,8.57506,0.184219,0.043421,0.016897
"Salvia axillaris","perennial",22,8.152423,0.368572,0.07858,0.013825
"Salvia azurea","perennial",59,8.753026,0.500704,0.065186,0.005155
"Salvia baimaensis","perennial",NA,NA,NA,NA,NA
"Salvia ballotiflora","perennial",59,7.749359,0.404537,0.052666,0.005155
"Salvia ballsiana","perennial",NA,NA,NA,NA,NA
"Salvia bangii","no_life_form_on_database",2,8.5303,0.218411,0.15444,0.152071
"Salvia bariensis","perennial",NA,NA,NA,NA,NA
"Salvia betulifolia","no_life_form_on_database",7,7.918791,0.392942,0.148518,0.043449
"Salvia bifidocalyx","perennial",1,8.717682,NA,NA,0.304142
"Salvia blepharochlaena","perennial",NA,NA,NA,NA,NA
"Salvia blepharophylla","no_life_form_on_database",2,7.904378,0.291822,0.206349,0.152071
"Salvia bogotensis","perennial",4,9.387113,0.297445,0.148723,0.076035
"Salvia bowleyana","perennial",10,9.389241,0.087821,0.027771,0.030414
"Salvia brachyantha","perennial",NA,NA,NA,NA,NA
"Salvia brachyloma","perennial",3,8.746992,0.041272,0.023828,0.101381
"Salvia brandegeei","perennial",8,7.795554,0.636382,0.224995,0.038018
"Salvia breviflora","perennial",8,8.386715,0.201335,0.071183,0.038018
"Salvia brevilabra","perennial",5,9.07374,0.290842,0.130068,0.060828
"Salvia brevipes","perennial",18,9.12718,0.232172,0.054723,0.016897
"Salvia broussonetii","perennial",NA,NA,NA,NA,NA
"Salvia buchananii","perennial",NA,NA,NA,NA,NA
"Salvia bucharica","perennial",1,7.998671,NA,NA,0.304142
"Salvia bulleyana","perennial",3,8.950939,0.277543,0.16024,0.101381
"Salvia bullulata","no_life_form_on_database",NA,NA,NA,NA,NA
