"species","life_form","n","mean","sd","se"
"Salvia absconditiflora","no_life_form_on_database",2,1409,203.646752981726,144
"Salvia acerifolia","no_life_form_on_database",NA,NA,NA,NA
"Salvia adenocaulon","perennial",NA,NA,NA,NA
"Salvia adenophora","perennial",6,1827.66666666667,164.863175593177,67.3051095963581
"Salvia adenophylla","perennial",NA,NA,NA,NA
"Salvia aegyptiaca","perennial",19,2238.42105263158,482.702728370794,110.739600670508
"Salvia aequidistans","no_life_form_on_database",NA,NA,NA,NA
"Salvia aerea","perennial",4,1153,170.823495651701,85.4117478258504
"Salvia aethiopis","annual",75,1192.09333333333,189.38058159348,21.8677859524567
"Salvia africana","perennial",NA,NA,NA,NA
"Salvia africana-lutea","no_life_form_on_database",15,1831.06666666667,320.036262826276,82.6330077405752
"Salvia agnes","perennial",8,1800.125,216.262695746235,76.4604093399229
"Salvia akiensis","no_life_form_on_database",1,1026,NA,NA
"Salvia alamosana","perennial",13,1917.23076923077,261.299047659367,72.4713165050583
"Salvia alba","no_life_form_on_database",11,1648.63636363636,86.9439736005581,26.2145943832379
"Salvia albicaulis","no_life_form_on_database",2,1976,271.529003975634,192
"Salvia albimaculata","perennial",NA,NA,NA,NA
"Salvia albocaerulea","perennial",10,1672.5,147.594226023769,46.6733923724809
"Salvia alborosea","no_life_form_on_database",NA,NA,NA,NA
"Salvia amarissima","no_life_form_on_database",33,1775.27272727273,172.108118766822,29.9601778858732
"Salvia amethystina","perennial",6,1171.66666666667,83.0413551591414,33.901491281522
"Salvia amplexicaulis","perennial",NA,NA,NA,NA
"Salvia amplifrons","annual",NA,NA,NA,NA
"Salvia anatolica","perennial",NA,NA,NA,NA
"Salvia angulata","perennial",12,1465.75,199.730329558268,57.6571797678995
"Salvia angustiarum","no_life_form_on_database",NA,NA,NA,NA
"Salvia apiana","no_life_form_on_database",22,2066.81818181818,372.585641975185,79.4355257729244
"Salvia appendiculata","perennial",NA,NA,NA,NA
"Salvia aramiensis","no_life_form_on_database",NA,NA,NA,NA
"Salvia arbuscula","no_life_form_on_database",13,1714.38461538462,126.153701532125,34.9887414972043
"Salvia areolata","perennial",1,1512,NA,NA
"Salvia areysiana","perennial",NA,NA,NA,NA
"Salvia argentea","annual",55,1581.23636363636,283.613127447596,38.2423863035878
"Salvia ariana","perennial",NA,NA,NA,NA
"Salvia arisanensis","no_life_form_on_database",3,1095,231.551290214501,133.686199736547
"Salvia aristata","perennial",3,1765.66666666667,150.187660389705,86.7108861549562
"Salvia articulata","perennial",NA,NA,NA,NA
"Salvia aspera","perennial",4,1674.75,146.693274101667,73.3466370508333
"Salvia atrocyanea","perennial",7,1690.14285714286,171.911245096056,64.9763431570909
"Salvia atropatana","perennial",4,1730.5,258.679338177598,129.339669088799
