"species","life_form","n","mean","sd","se"
"Acnistus arborescens","perennial",132,56.5530303030303,28.3328941605076,2.46606190095102
"Anisodus acutangulus","perennial",NA,NA,NA,NA
"Anisodus carniolicoides","perennial",NA,NA,NA,NA
"Anisodus luridus","perennial",17,93.4705882352941,27.2720499024615,6.61444366911558
"Anisodus tanguticus","perennial",37,100.324324324324,19.862099662498,3.26530907027275
"Anthocercis angustifolia","perennial",4,36,14.5143607047182,7.25718035235908
"Anthocercis gracilis","perennial",1,88,NA,NA
"Anthocercis ilicifolia","perennial",NA,NA,NA,NA
"Anthocercis intricata","perennial",4,86.75,7.9320026895272,3.9660013447636
"Anthocercis littorea","perennial",27,66.8518518518518,22.308507697054,4.29327430803765
"Anthocercis myosotidea","perennial",NA,NA,NA,NA
"Anthocercis racemosa","perennial",NA,NA,NA,NA
"Anthocercis sylvicola","perennial",1,59,NA,NA
"Anthocercis viscosa","perennial",NA,NA,NA,NA
"Anthotroche blackii","perennial",NA,NA,NA,NA
"Anthotroche myoporoides","perennial",3,71,3,1.73205080756888
"Anthotroche pannosa","perennial",44,46.1363636363636,17.1838091847312,2.59055670612801
"Anthotroche walcottii","perennial",7,66,14.247806848775,5.3851648071345
"Athenaea pogogena","perennial",15,53.6,25.7454572969402,6.64744849010291
"Atropa belladonna","perennial",146,27.6438356164384,13.6122357362157,1.12655664523357
"Atropa komarovii","perennial",NA,NA,NA,NA
"Atropanthe sinensis","perennial",5,62,6.20483682299543,2.77488738510232
"Aureliana fasciculata","perennial",80,44.45,21.497659572349,2.40351140804607
"Benthamiella patagonica","perennial",26,30.4615384615385,9.65082698728257,1.89268288963314
"Benthamiella skottsbergii","perennial",3,25,5.19615242270663,3
"Bouchetia anomala","perennial",9,96.2222222222222,14.8726071838277,4.95753572794258
"Bouchetia erecta","perennial",6,72.3333333333333,16.1822948516787,6.60639420898
"Brachistus stramonifolius","perennial",33,88.7272727272727,17.2323691190314,2.99977042280433
"Browallia eludens","annual",4,91.75,6.80073525436772,3.40036762718386
"Browallia speciosa","annual",25,39.96,21.755229256434,4.35104585128679
"Brugmansia arborea","perennial",10,72.1,35.6259892650171,11.2659269974162
"Brugmansia aurea","perennial",24,40.3333333333333,15.5721788335219,3.17865769379144
"Brugmansia sanguinea","perennial",24,50,24.8438602335536,5.07123173443571
"Brunfelsia americana","perennial",NA,NA,NA,NA
"Brunfelsia uniflora","perennial",107,58.588785046729,27.6592995965252,2.67392541814069
"Calibrachoa parviflora","perennial",118,63.1949152542373,28.6697250826991,2.63926212132557
"Calibrachoa pygmaea","annual",7,25.4285714285714,8.73416935293301,3.30120571665467
"Calibrachoa sellowiana","perennial",11,17.5454545454545,4.82418151324422,1.45454545454545
"Capsicum annuum","annual",112,85.5535714285714,20.247940295968,1.91325052087196
"Capsicum baccatum","perennial",71,52.6760563380282,26.2546728618449,3.11585641943174
"Capsicum campylopodium","annual",7,56,17.8885438199983,6.76123403782813
"Capsicum cardenasii","no_life_form_on_database",1,74,NA,NA
"Capsicum ceratocalyx","no_life_form_on_database",1,60,NA,NA
"Capsicum chacoense","perennial",76,66,19.7996632968004,2.27117714281275
"Capsicum chinense","perennial",28,50.6785714285714,20.7989557633685,3.93063317712191
"Capsicum ciliatum","no_life_form_on_database",34,78.7941176470588,20.1536212427906,3.4563175286366
"Capsicum coccineum","perennial",17,46.0588235294118,9.3572871885719,2.26947549692476
"Capsicum eximium","perennial",11,86.8181818181818,12.6634764722661,3.81818181818182
"Capsicum flexuosum","perennial",49,25.3877551020408,14.1565890526441,2.02236986466344
"Capsicum frutescens","perennial",18,64.0555555555556,14.2311680402857,3.35431847516377
"Capsicum galapagoense","perennial",NA,NA,NA,NA
"Capsicum geminifolium","perennial",18,42.2777777777778,24.7239002147733,5.82747916641524
"Capsicum hunzikerianum","no_life_form_on_database",2,46,1.4142135623731,1
"Capsicum lanceolatum","perennial",14,70.7857142857143,18.1666582652802,4.85524364937739
"Capsicum lycianthoides","no_life_form_on_database",18,39.2222222222222,24.4601850686942,5.76532091038387
"Capsicum minutiflorum","no_life_form_on_database",3,56.6666666666667,3.05505046330389,1.76383420737639
"Capsicum pereirae","no_life_form_on_database",7,67,18.2208671582886,6.88684045325369
"Capsicum pubescens","perennial",17,60.4705882352941,19.834054196819,4.81046473163
"Capsicum recurvatum","perennial",15,43.3333333333333,13.9829828550209,3.61039064852
"Capsicum rhomboideum","perennial",75,68.36,26.8628347702154,3.10185297715606
"Capsicum schottianum","no_life_form_on_database",14,57.5,17.0372894196592,4.55340712911952
"Capsicum tovarii","no_life_form_on_database",NA,NA,NA,NA
"Capsicum villosum","no_life_form_on_database",9,53.5555555555556,15.0092564032259,5.00308546774197
"Cestrum acutifolium","perennial",NA,NA,NA,NA
"Cestrum aurantiacum","perennial",41,84.3658536585366,14.8049925659572,2.31215138375839
"Cestrum chiriquianum","perennial",1,38,NA,NA
"Cestrum dasyanthum","perennial",3,74.6666666666667,14.3643076176102,8.29323686974982
"Cestrum diurnum","perennial",36,59.0555555555556,15.0369914248533,2.50616523747555
"Cestrum elegans","perennial",12,78.25,11.2016638374517,3.23364181596221
"Cestrum endlicheri","perennial",4,69,11.7473401244707,5.87367006223537
"Cestrum fasciculatum","perennial",20,75,14.5095250022002,3.24442842261525
"Cestrum fragile","perennial",7,56,22.5018517756502,8.50490054811538
"Cestrum fulvescens","perennial",11,85.3636363636364,9.39438904104708,2.83251487125271
"Cestrum glanduliferum","perennial",41,71.6341463414634,25.5946831368948,3.99721794983573
"Cestrum guatemalense","perennial",10,78.5,7.1219535397405,2.25215945754785
"Cestrum inclusum","perennial",4,45.5,12.6095202129185,6.30476010645925
"Cestrum irazuense","perennial",3,66.6666666666667,9.81495457622364,5.66666666666667
