"species","life_form","n","mean","sd","se"
"Acnistus arborescens","perennial",132,46.9166666666667,42.9507158835675,3.7383799713153
"Anisodus acutangulus","perennial",NA,NA,NA,NA
"Anisodus carniolicoides","perennial",NA,NA,NA,NA
"Anisodus luridus","perennial",17,4.41176470588235,5.11198131267872,1.23983758284459
"Anisodus tanguticus","perennial",37,1.81081081081081,1.59579025769258,0.262346302316415
"Anthocercis angustifolia","perennial",4,23,6.6332495807108,3.3166247903554
"Anthocercis gracilis","perennial",1,8,NA,NA
"Anthocercis ilicifolia","perennial",NA,NA,NA,NA
"Anthocercis intricata","perennial",4,3.5,2.08166599946613,1.04083299973307
"Anthocercis littorea","perennial",27,11.5555555555556,7.13244662593383,1.37263999315451
"Anthocercis myosotidea","perennial",NA,NA,NA,NA
"Anthocercis racemosa","perennial",NA,NA,NA,NA
"Anthocercis sylvicola","perennial",1,25,NA,NA
"Anthocercis viscosa","perennial",NA,NA,NA,NA
"Anthotroche blackii","perennial",NA,NA,NA,NA
"Anthotroche myoporoides","perennial",3,5.33333333333333,1.52752523165195,0.881917103688197
"Anthotroche pannosa","perennial",44,8.47727272727273,3.29544178753818,0.496806542169193
"Anthotroche walcottii","perennial",7,5.57142857142857,1.90237946242268,0.719031850978167
"Athenaea pogogena","perennial",15,44.5333333333333,33.5045128445763,8.65082801798911
"Atropa belladonna","perennial",146,42.5958904109589,22.3367885096725,1.84860577030707
"Atropa komarovii","perennial",NA,NA,NA,NA
"Atropanthe sinensis","perennial",5,15.2,5.6302753041037,2.51793566240283
"Aureliana fasciculata","perennial",80,57.45,34.7209126054011,3.88191604132531
"Benthamiella patagonica","perennial",26,11.1538461538462,5.69696275355427,1.11726631725325
"Benthamiella skottsbergii","perennial",3,11,5.56776436283002,3.21455025366432
"Bouchetia anomala","perennial",9,4.77777777777778,2.58736244937667,0.862454149792224
"Bouchetia erecta","perennial",6,12.8333333333333,7.70497674666619,3.14554358489029
"Brachistus stramonifolius","perennial",33,16.6060606060606,17.9285725065107,3.12096387656516
"Browallia eludens","annual",4,7.25,3.30403793359983,1.65201896679992
"Browallia speciosa","annual",25,94.12,51.3105901999448,10.262118039989
"Brugmansia arborea","perennial",10,28.5,32.0112827331587,10.1228564260401
"Brugmansia aurea","perennial",24,64.9166666666667,42.9022312855096,8.75738128969729
"Brugmansia sanguinea","perennial",24,48.3333333333333,60.4509622800143,12.3395010038557
"Brunfelsia americana","perennial",NA,NA,NA,NA
"Brunfelsia uniflora","perennial",107,39.1682242990654,37.3616911007984,3.61189100795945
"Calibrachoa parviflora","perennial",118,19.3474576271186,22.6294479949914,2.08320954412391
"Calibrachoa pygmaea","annual",7,70.4285714285714,32.7864664297997,12.392119505974
"Calibrachoa sellowiana","perennial",11,114.363636363636,21.4068807969434,6.45441741230232
"Capsicum annuum","annual",112,15.4821428571429,15.2220691747669,1.4383503384377
"Capsicum baccatum","perennial",71,42.1267605633803,34.8973718115869,4.14155607851625
"Capsicum campylopodium","annual",7,37.2857142857143,17.9788235220799,6.79535655784885
"Capsicum cardenasii","no_life_form_on_database",1,11,NA,NA
"Capsicum ceratocalyx","no_life_form_on_database",1,32,NA,NA
"Capsicum chacoense","perennial",76,18.0526315789474,16.4632072507897,1.88845938665154
"Capsicum chinense","perennial",28,53.25,39.6424996408877,7.49172824276829
"Capsicum ciliatum","no_life_form_on_database",34,15.0588235294118,10.0240352863734,1.71910786903163
"Capsicum coccineum","perennial",17,82.1764705882353,54.5930802553282,13.2407668423847
"Capsicum eximium","perennial",11,7.18181818181818,5.82783290457408,1.75715773503266
"Capsicum flexuosum","perennial",49,90.9183673469388,33.4195780535738,4.77422543622483
"Capsicum frutescens","perennial",18,23.6111111111111,17.081599625083,4.02617164280325
"Capsicum galapagoense","perennial",NA,NA,NA,NA
"Capsicum geminifolium","perennial",18,80.1666666666667,65.6266176271219,15.4683421168248
"Capsicum hunzikerianum","no_life_form_on_database",2,61,7.07106781186548,5
"Capsicum lanceolatum","perennial",14,42,27.7155885045554,7.4073026040612
"Capsicum lycianthoides","no_life_form_on_database",18,79.1111111111111,60.5405929826659,14.2695546116992
"Capsicum minutiflorum","no_life_form_on_database",3,25,10.816653826392,6.2449979983984
"Capsicum pereirae","no_life_form_on_database",7,32,23.3595091272626,8.82906455704006
"Capsicum pubescens","perennial",17,19.1764705882353,13.9384149660105,3.38056218579714
"Capsicum recurvatum","perennial",15,69.6666666666667,26.5751405497336,6.86167178481598
"Capsicum rhomboideum","perennial",75,29.2266666666667,38.3753064371367,4.43119870034305
"Capsicum schottianum","no_life_form_on_database",14,44.9285714285714,22.3037226479358,5.96092061415759
"Capsicum tovarii","no_life_form_on_database",NA,NA,NA,NA
"Capsicum villosum","no_life_form_on_database",9,48.1111111111111,19.9025403180376,6.63418010601252
"Cestrum acutifolium","perennial",NA,NA,NA,NA
