"species","life_form","n_bio_15","mean_bio_15","sd_bio_15","se_bio_15","within_sp_var_bio_15"
"Acnistus arborescens","perennial",132,3.894413,0.558853,0.048642,0.001668
"Anisodus acutangulus","perennial",NA,NA,NA,NA,NA
"Anisodus carniolicoides","perennial",NA,NA,NA,NA,NA
"Anisodus luridus","perennial",17,4.489508,0.338031,0.081985,0.012951
"Anisodus tanguticus","perennial",37,4.589591,0.196877,0.032366,0.00595
"Anthocercis angustifolia","perennial",4,3.511255,0.459137,0.229569,0.055042
"Anthocercis gracilis","perennial",1,4.477337,NA,NA,0.220168
"Anthocercis ilicifolia","perennial",NA,NA,NA,NA,NA
"Anthocercis intricata","perennial",4,4.45986,0.092215,0.046108,0.055042
"Anthocercis littorea","perennial",27,4.132409,0.410754,0.07905,0.008154
"Anthocercis myosotidea","perennial",NA,NA,NA,NA,NA
"Anthocercis racemosa","perennial",NA,NA,NA,NA,NA
"Anthocercis sylvicola","perennial",1,4.077537,NA,NA,0.220168
"Anthocercis viscosa","perennial",NA,NA,NA,NA,NA
"Anthotroche blackii","perennial",NA,NA,NA,NA,NA
"Anthotroche myoporoides","perennial",3,4.262084,0.042282,0.024412,0.073389
"Anthotroche pannosa","perennial",44,3.75993,0.391458,0.059015,0.005004
"Anthotroche walcottii","perennial",7,4.167937,0.230339,0.08706,0.031453
"Athenaea pogogena","perennial",15,3.823471,0.648712,0.167497,0.014678
"Atropa belladonna","perennial",146,3.194142,0.518348,0.042899,0.001508
"Atropa komarovii","perennial",NA,NA,NA,NA,NA
"Atropanthe sinensis","perennial",5,4.123153,0.099657,0.044568,0.044034
"Aureliana fasciculata","perennial",80,3.654389,0.562332,0.062871,0.002752
"Benthamiella patagonica","perennial",26,3.369431,0.312647,0.061315,0.008468
"Benthamiella skottsbergii","perennial",3,3.202949,0.223877,0.129255,0.073389
"Bouchetia anomala","perennial",9,4.555831,0.15705,0.05235,0.024463
"Bouchetia erecta","perennial",6,4.257906,0.244452,0.099797,0.036695
"Brachistus stramonifolius","perennial",33,4.465395,0.209531,0.036475,0.006672
"Browallia eludens","annual",4,4.517007,0.074123,0.037062,0.055042
"Browallia speciosa","annual",25,3.571901,0.478797,0.095759,0.008807
"Brugmansia arborea","perennial",10,4.15758,0.540941,0.171061,0.022017
"Brugmansia aurea","perennial",24,3.632653,0.360405,0.073567,0.009174
"Brugmansia sanguinea","perennial",24,3.798686,0.490875,0.100199,0.009174
"Brunfelsia americana","perennial",NA,NA,NA,NA,NA
"Brunfelsia uniflora","perennial",107,3.926301,0.587279,0.056774,0.002058
"Calibrachoa parviflora","perennial",118,4.020352,0.541689,0.049867,0.001866
"Calibrachoa pygmaea","annual",7,3.177801,0.380914,0.143972,0.031453
"Calibrachoa sellowiana","perennial",11,2.834044,0.252949,0.076267,0.020015
"Capsicum annuum","annual",112,4.419597,0.248593,0.02349,0.001966
"Capsicum baccatum","perennial",71,3.80889,0.605319,0.071838,0.003101
"Capsicum campylopodium","annual",7,3.983588,0.309148,0.116847,0.031453
"Capsicum cardenasii","no_life_form_on_database",1,4.304065,NA,NA,0.220168
"Capsicum ceratocalyx","no_life_form_on_database",1,4.094345,NA,NA,0.220168
"Capsicum chacoense","perennial",76,4.138286,0.337132,0.038672,0.002897
"Capsicum chinense","perennial",28,3.803949,0.5642,0.106624,0.007863
"Capsicum ciliatum","no_life_form_on_database",34,4.328904,0.293448,0.050326,0.006476
"Capsicum coccineum","perennial",17,3.808989,0.215146,0.052181,0.012951
"Capsicum eximium","perennial",11,4.452669,0.162617,0.049031,0.020015
"Capsicum flexuosum","perennial",49,3.107383,0.495012,0.070716,0.004493
"Capsicum frutescens","perennial",18,4.136745,0.220887,0.052064,0.012232
"Capsicum galapagoense","perennial",NA,NA,NA,NA,NA
"Capsicum geminifolium","perennial",18,3.615811,0.501418,0.118185,0.012232
"Capsicum hunzikerianum","no_life_form_on_database",2,3.828405,0.030749,0.021743,0.110084
"Capsicum lanceolatum","perennial",14,4.226966,0.271035,0.072437,0.015726
"Capsicum lycianthoides","no_life_form_on_database",18,3.522964,0.5347,0.12603,0.012232
"Capsicum minutiflorum","no_life_form_on_database",3,4.036227,0.053516,0.030897,0.073389
"Capsicum pereirae","no_life_form_on_database",7,4.17065,0.286725,0.108372,0.031453
"Capsicum pubescens","perennial",17,4.044012,0.370955,0.08997,0.012951
"Capsicum recurvatum","perennial",15,3.714658,0.354324,0.091486,0.014678
"Capsicum rhomboideum","perennial",75,4.130171,0.46829,0.054073,0.002936
"Capsicum schottianum","no_life_form_on_database",14,4.010757,0.298156,0.079686,0.015726
"Capsicum tovarii","no_life_form_on_database",NA,NA,NA,NA,NA
"Capsicum villosum","no_life_form_on_database",9,3.948478,0.264981,0.088327,0.024463
"Cestrum acutifolium","perennial",NA,NA,NA,NA,NA
"Cestrum aurantiacum","perennial",41,4.418286,0.191954,0.029978,0.00537
"Cestrum chiriquianum","perennial",1,3.637586,NA,NA,0.220168
"Cestrum dasyanthum","perennial",3,4.301283,0.185355,0.107015,0.073389
"Cestrum diurnum","perennial",36,4.050064,0.240138,0.040023,0.006116
"Cestrum elegans","perennial",12,4.35086,0.139387,0.040238,0.018347
"Cestrum endlicheri","perennial",4,4.222644,0.177198,0.088599,0.055042
"Cestrum fasciculatum","perennial",20,4.300896,0.18464,0.041287,0.011008
"Cestrum fragile","perennial",7,3.9275,0.518916,0.196132,0.031453
