"species","life_form","n","mean","sd","se"
"Agathisanthemum bojeri","perennial",36,83.3611111111111,19.5362707038952,3.25604511731586
"Agathisanthemum chlorophyllum","perennial",2,59,4.24264068711928,3
"Agathisanthemum globosum","perennial",20,84.2,11.180810628742,2.50010526094192
"Agathisanthemum quadricostatum","no_life_form_on_database",7,90.4285714285714,11.1333903619868,4.20802602097436
"Amphiasma luzuloides","perennial",4,91.25,6.34428877022476,3.17214438511238
"Amphiasma merenskyanum","perennial",6,124.166666666667,4.79235502302017,1.95647074544389
"Amphistemon humbertii","perennial",1,100,NA,NA
"Amphistemon rakotonasolianus","perennial",2,134,1.4142135623731,1
"Arcytophyllum aristatum","perennial",5,29.4,11.9079805172834,5.32541078227774
"Arcytophyllum capitatum","no_life_form_on_database",NA,NA,NA,NA
"Arcytophyllum ciliolatum","perennial",NA,NA,NA,NA
"Arcytophyllum ericoides","perennial",NA,NA,NA,NA
"Arcytophyllum filiforme","perennial",21,49.4761904761905,17.0985936486573,3.73121903201254
"Arcytophyllum lavarum","perennial",NA,NA,NA,NA
"Arcytophyllum macbridei","perennial",NA,NA,NA,NA
"Arcytophyllum muticum","perennial",23,41.0434782608696,14.3573809363609,2.9937208733395
"Arcytophyllum nitidum","perennial",22,39.3636363636364,8.89914631831645,1.89730437001846
"Arcytophyllum rivetii","perennial",12,57.25,21.7511755168229,6.27902351991425
"Arcytophyllum setosum","perennial",24,46.4166666666667,18.4318171664644,3.76237892417578
"Arcytophyllum thymifolium","perennial",29,54.6551724137931,25.0945011934444,4.65993188550109
"Arcytophyllum vernicosum","perennial",5,53.2,7.25947656515261,3.24653661614959
"Astiella delicatula","annual",5,112.2,16.3768128767474,7.32393336944022
"Astiella desseinii","no_life_form_on_database",NA,NA,NA,NA
"Astiella latifolia","annual",7,98.5714285714286,29.6246358225557,11.1970598667625
"Astiella perrieri","annual",3,71.3333333333333,22.2336081942031,12.8365796759798
"Astiella tsaratanensis","no_life_form_on_database",6,78,22.8035085019828,9.30949336251263
"Batopedina pulvinellata","perennial",3,94,9.53939201416946,5.5075705472861
"Bouvardia glaberrima","perennial",21,87.0476190476191,17.1419841047534,3.74068760579821
"Carphalea madagascariensis","perennial",6,95.3333333333333,29.3303028737629,11.9740460070011
"Conostomium natalense","perennial",22,71.6363636363636,14.7439913654777,3.14342952106078
"Conostomium quadrangulare","annual",9,76.4444444444444,29.0822588149163,9.69408627163877
"Conostomium zoutpansbergense","perennial",2,84,7.07106781186548,5
"Cordylostigma microcala","annual",NA,NA,NA,NA
"Cordylostigma virgatum","annual",45,89.6222222222222,26.1092885673844,3.89214293872197
"Crusea calocephala","perennial",59,81.406779661017,20.7398655301628,2.70010050726062
"Crusea megalocarpa","annual",19,105.894736842105,10.0603442443979,2.30800125781902
"Dentella repens","perennial",86,87.5116279069767,28.2920667267643,3.05081201480372
"Diodella teres","annual",161,64.7763975155279,30.1203783083977,2.37381835847067
"Diodia aulacosperma","annual",NA,NA,NA,NA
"Diodia spicata","perennial",5,76.4,11.458621208505,5.12445119012758
"Emmeorhiza umbellata","perennial",160,53.18125,21.7408614141999,1.71876600907353
"Ernodea littoralis","perennial",44,52.3181818181818,10.9772973487308,1.65488984172287
"Exallage auricularia","perennial",NA,NA,NA,NA
"Exallage chrysotricha","annual",1,83,NA,NA
"Exallage pachycarpa","annual",NA,NA,NA,NA
"Galianthe brasiliensis","perennial",84,43.2857142857143,26.7359112447296,2.91712707268082
"Galianthe eupatorioides","perennial",39,45.5384615384615,23.3968578118,3.74649564624367
"Hedyotis acutangula","perennial",12,64,9.84424151009568,2.84178774291072
"Hedyotis albonerva","perennial",NA,NA,NA,NA
"Hedyotis angustifolia","annual",NA,NA,NA,NA
"Hedyotis articularis","perennial",NA,NA,NA,NA
"Hedyotis cantoniensis","perennial",NA,NA,NA,NA
"Hedyotis capitellata","perennial",26,39.9230769230769,23.0337544953889,4.51729090935743
"Hedyotis cathayana","perennial",1,76,NA,NA
"Hedyotis caudatifolia","perennial",17,62.5294117647059,9.41486621691211,2.28344046255223
"Hedyotis cheniana","perennial",NA,NA,NA,NA
"Hedyotis communis","perennial",1,79,NA,NA
"Hedyotis coprosmoides","perennial",NA,NA,NA,NA
"Hedyotis coronaria","no_life_form_on_database",12,77.4166666666667,12.8873322814822,3.72025238092495
"Hedyotis corymbiformis","perennial",NA,NA,NA,NA
"Hedyotis costata","no_life_form_on_database",NA,NA,NA,NA
"Hedyotis cyanantha","annual",NA,NA,NA,NA
"Hedyotis dendroides","perennial",NA,NA,NA,NA
"Hedyotis dianxiensis","no_life_form_on_database",NA,NA,NA,NA
"Hedyotis effusa","perennial",8,65.875,6.89590976076191,2.43807227714263
"Hedyotis fissistipula","no_life_form_on_database",NA,NA,NA,NA
"Hedyotis flavescens","perennial",NA,NA,NA,NA
"Hedyotis fruticosa","perennial",NA,NA,NA,NA
"Hedyotis fruticulosa","perennial",NA,NA,NA,NA
"Hedyotis fulva","no_life_form_on_database",NA,NA,NA,NA
