"species","life_form","n","mean","sd","se"
"Chaunanthus acuminatus","perennial",1,102,NA,NA
"Chaunanthus petiolatus","perennial",2,91,9.89949493661167,7
"Chilocardamum castellanosii","perennial",3,46.3333333333333,2.08166599946613,1.20185042515466
"Chilocardamum patagonicum","perennial",10,32.9,10.3864227613639,3.28447526673254
"Chlorocrambe hastata","perennial",5,32.8,17.5698605572156,7.85748051222528
"Dictyophragmus englerianus","annual",NA,NA,NA,NA
"Dictyophragmus punensis","annual",1,100,NA,NA
"Dryopetalon auriculatum","annual",NA,NA,NA,NA
"Dryopetalon paysonii","no_life_form_on_database",NA,NA,NA,NA
"Dryopetalon runcinatum","annual",29,86.0344827586207,18.8309827499801,3.49682570996379
"Englerocharis pauciflora","perennial",NA,NA,NA,NA
"Hesperidanthus argillaceus","perennial",NA,NA,NA,NA
"Hesperidanthus barnebyi","perennial",NA,NA,NA,NA
"Hesperidanthus jaegeri","perennial",1,48,NA,NA
"Hesperidanthus linearifolius","perennial",69,64.3333333333333,22.2866793944583,2.6830009113509
"Ivania cremnophila","perennial",1,116,NA,NA
"Ivania juncalensis","no_life_form_on_database",NA,NA,NA,NA
"Mostacillastrum andinum","perennial",7,53.8571428571429,20.3586883289713,7.69486090541873
"Mostacillastrum commune","annual",12,53.8333333333333,17.4763910011261,5.04499952448166
"Mostacillastrum gracile","perennial",3,149,47.4447046571058,27.3922130054023
"Mostacillastrum leptocarpum","perennial",5,48.6,16.1956784359285,7.24292758489273
"Mostacillastrum orbignyanum","perennial",25,82.52,29.197773887747,5.8395547775494
"Mostacillastrum sagittatum","no_life_form_on_database",NA,NA,NA,NA
"Mostacillastrum stenophyllum","perennial",12,76.6666666666667,11.6019852010792,3.34920463948856
"Mostacillastrum subauriculatum","annual",NA,NA,NA,NA
"Mostacillastrum subscandens","perennial",3,24.6666666666667,8.14452781524708,4.70224532655529
"Mostacillastrum vaseyi","no_life_form_on_database",NA,NA,NA,NA
"Neuontobotrys frutescens","perennial",12,86.6666666666667,23.3445860312342,6.73900151462673
"Neuontobotrys grayana","no_life_form_on_database",NA,NA,NA,NA
"Neuontobotrys lanata","perennial",7,150.428571428571,54.3839962453942,20.5552184810262
"Neuontobotrys linearifolia","perennial",NA,NA,NA,NA
"Neuontobotrys tarapacana","perennial",15,137.8,42.0156433452385,10.8483924637533
"Parodiodoxa chionophila","perennial",8,108.625,17.0288620540876,6.02061191716779
"Phlebolobium maclovianum","perennial",NA,NA,NA,NA
"Phravenia viereckii","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium adscendens","perennial",NA,NA,NA,NA
"Polypsecadium effusum","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium grandiflorum","annual",4,100,15.0775771705315,7.53878858526576
"Polypsecadium harmsianum","annual",4,90,7.52772652709081,3.7638632635454
"Polypsecadium magellanicum","perennial",6,25.1666666666667,9.26102946041457,3.78079944514972
"Polypsecadium rusbyi","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium solidagineum","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium tucumanense","perennial",1,93,NA,NA
"Pringlea antiscorbutica","no_life_form_on_database",NA,NA,NA,NA
"Romanschulzia arabiformis","annual",15,90.4,14.2668446806874,3.68368345674867
"Romanschulzia costaricensis","annual",2,60.5,6.36396103067893,4.5
"Sarcodraba dusenii","perennial",2,30,14.142135623731,10
"Sibara angelorum","no_life_form_on_database",10,83,7.87400787401181,2.48997991959775
"Sibara deserti","annual",6,51.3333333333333,14.5005747012547,5.91983483253076
"Sibara laxa","no_life_form_on_database",17,82.8823529411765,11.931483315902,2.89380976363286
"Sibara macrostachya","no_life_form_on_database",NA,NA,NA,NA
"Sibara mendocina","no_life_form_on_database",NA,NA,NA,NA
"Sibara tehuelches","no_life_form_on_database",NA,NA,NA,NA
"Stanleya elata","perennial",16,42.5625,19.359644452658,4.83991111316451
"Stanleya pinnata","perennial",149,46.0469798657718,21.1721820201139,1.73449273379166
"Stanleya tomentosa","perennial",NA,NA,NA,NA
"Streptanthella longirostris","no_life_form_on_database",95,42.6315789473684,18.5719146411416,1.90543823785846
"Streptanthus amplexicaulis","annual",NA,NA,NA,NA
"Streptanthus anceps","annual",NA,NA,NA,NA
"Streptanthus barbatus","perennial",6,78.1666666666667,13.0447946195663,5.32551510289015
"Streptanthus barbiger","annual",3,91.3333333333333,6.65832811847939,3.84418753155693
"Streptanthus batrachopus","annual",1,92,NA,NA
"Streptanthus bernardinus","perennial",4,80.25,4.3493294502333,2.17466472511665
"Streptanthus brachiatus","annual",1,91,NA,NA
"Streptanthus bracteatus","annual",3,29,1.73205080756888,1
"Streptanthus breweri","annual",9,87.2222222222222,6.49572508996836,2.16524169665612
"Streptanthus californicus","annual",NA,NA,NA,NA
"Streptanthus callistus","annual",NA,NA,NA,NA
"Streptanthus campestris","perennial",15,73.2,17.9491344797299,4.63444659458875
"Streptanthus carinatus","annual",19,76.7368421052632,10.7540282130473,2.46714327456097
"Streptanthus cooperi","annual",NA,NA,NA,NA
"Streptanthus cordatus","perennial",62,38.1774193548387,19.901004335434,2.52743007803146
"Streptanthus coulteri","annual",1,93,NA,NA
"Streptanthus crassicaulis","perennial",NA,NA,NA,NA
"Streptanthus cutleri","annual",1,50,NA,NA
"Streptanthus diversifolius","annual",5,80.6,2.96647939483827,1.32664991614216
"Streptanthus farnsworthianus","annual",2,81,0,0
"Streptanthus fenestratus","annual",1,85,NA,NA
"Streptanthus flavescens","annual",NA,NA,NA,NA
"Streptanthus glandulosus subsp. glandulosus","no_life_form_on_database",9,88,6.40312423743285,2.13437474581095
"Streptanthus glandulosus var. albidus","no_life_form_on_database",NA,NA,NA,NA
"Streptanthus glandulosus var. niger","annual",NA,NA,NA,NA
"Streptanthus glaucus","perennial",NA,NA,NA,NA
"Streptanthus hallii","annual",NA,NA,NA,NA
"Streptanthus hammittii","annual",NA,NA,NA,NA
"Streptanthus hesperidis","annual",2,87.5,3.53553390593274,2.5
"Streptanthus heterophyllus","annual",6,86.8333333333333,14.9052563435409,6.08504542117623
"Streptanthus hispidus","annual",1,87,NA,NA
"Streptanthus howellii","perennial",2,73.5,6.36396103067893,4.5
"Streptanthus hyacinthoides","annual",17,32,16.140012391569,3.91452799348334
"Streptanthus inflatus","annual",NA,NA,NA,NA
"Streptanthus insignis subsp. insignis","no_life_form_on_database",1,85,NA,NA
"Streptanthus lasiophyllus","annual",6,80.5,18.2071414560331,7.43303437365925
"Streptanthus lemmonii","annual",NA,NA,NA,NA
"Streptanthus longirostris","annual",8,50.75,18.2893411581719,6.46625857818878
"Streptanthus longisiliquus","perennial",5,81.6,3.84707681233427,1.72046505340853
"Streptanthus maculatus","annual",NA,NA,NA,NA
"Streptanthus major","annual",NA,NA,NA,NA
"Streptanthus morrisonii","annual",1,94,NA,NA
"Streptanthus petiolaris","annual",NA,NA,NA,NA
"Streptanthus pilosus","annual",NA,NA,NA,NA
"Streptanthus platycarpus","annual",11,56.3636363636364,16.3784781177784,4.93829695942884
"Streptanthus polygaloides","annual",7,81.7142857142857,5.67786009321252,2.14602939795119
"Streptanthus simulans","annual",NA,NA,NA,NA
"Streptanthus tortuosus","annual",26,80.1153846153846,7.25163111624922,1.42216186796659
"Streptanthus vernalis","annual",1,98,NA,NA
"Thelypodiopsis ambigua","annual",7,45.7142857142857,5.67786009321252,2.14602939795119
"Thelypodiopsis elegans","annual",25,24.2,9.46484724300046,1.89296944860009
"Thelypodium crispum","annual",9,49.7777777777778,15.7224185303803,5.24080617679342
"Thelypodium flexuosum","perennial",34,35.5,12.9854230628506,2.22698168275578
"Thelypodium integrifolium","annual",32,36.1875,16.8627046007339,2.98093319308114
"Thelypodium laciniatum","annual",43,36.7906976744186,10.6179500746319,1.61922220624434
"Thelypodium sagittatum","annual",13,23.3846153846154,9.71715374598328,2.69505354482382
"Thelypodium wrightii","annual",48,60.125,15.0892733493951,2.17794900753728
"Thysanocarpus conchuliferus","no_life_form_on_database",2,101,1.4142135623731,1
"Thysanocarpus curvipes var. curvipes","no_life_form_on_database",38,70.7894736842105,20.5783379870703,3.3382472327717
"Thysanocarpus erectus","no_life_form_on_database",9,79.1111111111111,12.5244205898361,4.17480686327871
"Thysanocarpus laciniatus","annual",50,75.94,18.7327172048678,2.64920627312239
"Thysanocarpus radians","annual",16,84.25,7.84431853849226,1.96107963462306
"Warea amplexifolia","annual",1,53,NA,NA
"Warea cuneifolia","annual",9,31,14.0534693225552,4.68448977418507
"Warea sessilifolia","annual",4,30.25,8.65544144839919,4.32772072419959
"Weberbauera herzogii","perennial",4,108.25,9.21502396451939,4.6075119822597
"Weberbauera peruviana","annual",13,93.6923076923077,20.0681531096105,5.56590423388944
"Weberbauera rosulans","no_life_form_on_database",NA,NA,NA,NA
"Werdermannia anethifolia","no_life_form_on_database",NA,NA,NA,NA
"Zuloagocardamum jujuyensis","no_life_form_on_database",NA,NA,NA,NA
