"species","life_form","n","mean","sd","se"
"Chaunanthus acuminatus","perennial",1,169,NA,NA
"Chaunanthus petiolatus","perennial",2,115,16.9705627484771,12
"Chilocardamum castellanosii","perennial",3,23,3.60555127546399,2.08166599946613
"Chilocardamum patagonicum","perennial",10,18.5,9.78945010372561,3.09569593683445
"Chlorocrambe hastata","perennial",5,-43.8,30.0116643990299,13.4216243428283
"Dictyophragmus englerianus","annual",NA,NA,NA,NA
"Dictyophragmus punensis","annual",1,-20,NA,NA
"Dryopetalon auriculatum","annual",NA,NA,NA,NA
"Dryopetalon paysonii","no_life_form_on_database",NA,NA,NA,NA
"Dryopetalon runcinatum","annual",29,95.8620689655172,53.945557302797,10.0174385064924
"Englerocharis pauciflora","perennial",NA,NA,NA,NA
"Hesperidanthus argillaceus","perennial",NA,NA,NA,NA
"Hesperidanthus barnebyi","perennial",NA,NA,NA,NA
"Hesperidanthus jaegeri","perennial",1,-17,NA,NA
"Hesperidanthus linearifolius","perennial",69,36.4782608695652,50.0254666602722,6.02235847991057
"Ivania cremnophila","perennial",1,-4,NA,NA
"Ivania juncalensis","no_life_form_on_database",NA,NA,NA,NA
"Mostacillastrum andinum","perennial",7,-16.2857142857143,48.4104475146784,18.2974292830263
"Mostacillastrum commune","annual",12,8.83333333333333,27.9539664882149,8.06961503844433
"Mostacillastrum gracile","perennial",3,53.6666666666667,20.0333056017556,11.5662343819316
"Mostacillastrum leptocarpum","perennial",5,10.8,45.2625673156086,20.2420354707722
"Mostacillastrum orbignyanum","perennial",25,44.12,48.5380606672056,9.70761213344112
"Mostacillastrum sagittatum","no_life_form_on_database",NA,NA,NA,NA
"Mostacillastrum stenophyllum","perennial",12,78.1666666666667,50.691281899416,14.6333126250975
"Mostacillastrum subauriculatum","annual",NA,NA,NA,NA
"Mostacillastrum subscandens","perennial",3,70.3333333333333,10.2143689640297,5.89726867098471
"Mostacillastrum vaseyi","no_life_form_on_database",NA,NA,NA,NA
"Neuontobotrys frutescens","perennial",12,51.5833333333333,42.6858680751995,12.3223487119046
"Neuontobotrys grayana","no_life_form_on_database",NA,NA,NA,NA
"Neuontobotrys lanata","perennial",7,41.4285714285714,42.9024363832527,16.215596758408
"Neuontobotrys linearifolia","perennial",NA,NA,NA,NA
"Neuontobotrys tarapacana","perennial",15,15.4666666666667,37.1423260035284,9.59010733673814
"Parodiodoxa chionophila","perennial",8,-17.25,72.8300369745498,25.7493065093856
"Phlebolobium maclovianum","perennial",NA,NA,NA,NA
"Phravenia viereckii","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium adscendens","perennial",NA,NA,NA,NA
"Polypsecadium effusum","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium grandiflorum","annual",4,39.25,45.6608877122058,22.8304438561029
"Polypsecadium harmsianum","annual",4,89.25,52.2071195655663,26.1035597827831
"Polypsecadium magellanicum","perennial",6,0.666666666666667,25.8043923909606,10.5345990800684
"Polypsecadium rusbyi","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium solidagineum","no_life_form_on_database",NA,NA,NA,NA
"Polypsecadium tucumanense","perennial",1,-42,NA,NA
"Pringlea antiscorbutica","no_life_form_on_database",NA,NA,NA,NA
"Romanschulzia arabiformis","annual",15,112,43.5086198356142,11.2338773359869
"Romanschulzia costaricensis","annual",2,135,26.8700576850888,19
"Sarcodraba dusenii","perennial",2,13,0,0
"Sibara angelorum","no_life_form_on_database",10,154.8,12.0995867698033,3.8262252939418
"Sibara deserti","annual",6,74.6666666666667,25.7112167480784,10.4965602831488
"Sibara laxa","no_life_form_on_database",17,159.529411764706,18.1559826471153,4.40347259946693
"Sibara macrostachya","no_life_form_on_database",NA,NA,NA,NA
"Sibara mendocina","no_life_form_on_database",NA,NA,NA,NA
"Sibara tehuelches","no_life_form_on_database",NA,NA,NA,NA
"Stanleya elata","perennial",16,27.375,39.0945435237877,9.77363588094693
"Stanleya pinnata","perennial",150,5.46666666666667,54.8630591315385,4.47955002001369
"Stanleya tomentosa","perennial",NA,NA,NA,NA
"Streptanthella longirostris","no_life_form_on_database",94,31.7978723404255,57.6234681483672,5.94340693313428
"Streptanthus amplexicaulis","annual",NA,NA,NA,NA
"Streptanthus anceps","annual",NA,NA,NA,NA
"Streptanthus barbatus","perennial",6,2,28.2205598810513,11.5209953273723
"Streptanthus barbiger","annual",3,63.3333333333333,23.6924741918891,13.6788563524555
"Streptanthus batrachopus","annual",1,82,NA,NA
"Streptanthus bernardinus","perennial",4,51,24.2624538467705,12.1312269233852
"Streptanthus brachiatus","annual",1,43,NA,NA
"Streptanthus bracteatus","annual",3,105,8.88819441731559,5.13160143944688
"Streptanthus breweri","annual",9,43.4444444444444,36.0073295007805,12.0024431669268
"Streptanthus californicus","annual",NA,NA,NA,NA
"Streptanthus callistus","annual",NA,NA,NA,NA
"Streptanthus campestris","perennial",15,46.9333333333333,41.2058710564867,10.6393101578496
"Streptanthus carinatus","annual",19,86.4736842105263,26.2665152725177,6.02595187746696
"Streptanthus cooperi","annual",NA,NA,NA,NA
"Streptanthus cordatus","perennial",62,-12.8870967741935,40.5390339475464,5.14846245980342
"Streptanthus coulteri","annual",1,53,NA,NA
"Streptanthus crassicaulis","perennial",NA,NA,NA,NA
"Streptanthus cutleri","annual",1,113,NA,NA
"Streptanthus diversifolius","annual",5,63.4,17.184295155752,7.68505042273634
"Streptanthus farnsworthianus","annual",2,77.5,20.5060966544099,14.5
"Streptanthus fenestratus","annual",1,35,NA,NA
"Streptanthus flavescens","annual",NA,NA,NA,NA
"Streptanthus glandulosus subsp. glandulosus","no_life_form_on_database",9,77.6666666666667,12.2474487139159,4.08248290463863
"Streptanthus glandulosus var. albidus","no_life_form_on_database",NA,NA,NA,NA
"Streptanthus glandulosus var. niger","annual",NA,NA,NA,NA
"Streptanthus glaucus","perennial",NA,NA,NA,NA
"Streptanthus hallii","annual",NA,NA,NA,NA
"Streptanthus hammittii","annual",NA,NA,NA,NA
"Streptanthus hesperidis","annual",2,37,57.9827560572969,41
"Streptanthus heterophyllus","annual",6,106,25.3140277316748,10.3344085462111
"Streptanthus hispidus","annual",1,48,NA,NA
"Streptanthus howellii","perennial",2,19,48.0832611206852,34
"Streptanthus hyacinthoides","annual",17,64.4117647058823,36.5035252125213,8.85340530344839
"Streptanthus inflatus","annual",NA,NA,NA,NA
"Streptanthus insignis subsp. insignis","no_life_form_on_database",1,36,NA,NA
"Streptanthus lasiophyllus","annual",6,98.8333333333333,33.9258996441755,13.8501905321832
"Streptanthus lemmonii","annual",NA,NA,NA,NA
"Streptanthus longirostris","annual",8,40.375,73.9226188079709,26.1355925210922
"Streptanthus longisiliquus","perennial",5,33.6,32.5622480796397,14.5622800412573
"Streptanthus maculatus","annual",NA,NA,NA,NA
"Streptanthus major","annual",NA,NA,NA,NA
"Streptanthus morrisonii","annual",1,68,NA,NA
"Streptanthus petiolaris","annual",NA,NA,NA,NA
"Streptanthus pilosus","annual",NA,NA,NA,NA
"Streptanthus platycarpus","annual",11,80.1818181818182,33.9553182338737,10.2379136562611
"Streptanthus polygaloides","annual",7,61.7142857142857,22.5884504833354,8.53763178302889
"Streptanthus simulans","annual",NA,NA,NA,NA
"Streptanthus tortuosus","annual",26,12.8461538461538,46.9780308720511,9.21314985102895
"Streptanthus vernalis","annual",1,55,NA,NA
"Thelypodiopsis ambigua","annual",7,55,35.0333174754166,13.2413493773608
"Thelypodiopsis elegans","annual",26,-35.5384615384615,22.4912974623178,4.41090633255301
"Thelypodium crispum","annual",9,-18.1111111111111,16.8481782727721,5.61605942425738
"Thelypodium flexuosum","perennial",34,-8.94117647058824,16.9293383079101,2.90335756720545
"Thelypodium integrifolium","annual",32,-24.5,24.6170672501823,4.3517237963823
"Thelypodium laciniatum","annual",43,-1.2093023255814,22.9373454472903,3.49791238793685
"Thelypodium sagittatum","annual",13,-43.2307692307692,23.4455178593331,6.50261667858709
"Thelypodium wrightii","annual",48,42.3541666666667,53.8024319561594,7.76571214323629
"Thysanocarpus conchuliferus","no_life_form_on_database",2,110.5,13.4350288425444,9.5
"Thysanocarpus curvipes var. curvipes","no_life_form_on_database",38,46.5263157894737,41.4446794042928,6.72321479127322
"Thysanocarpus erectus","no_life_form_on_database",9,125,18.2893411581719,6.09644705272396
"Thysanocarpus laciniatus","annual",50,85.54,32.552757806618,4.60365515827658
"Thysanocarpus radians","annual",16,78.6875,21.2343079315841,5.30857698289601
"Warea amplexifolia","annual",1,153,NA,NA
"Warea cuneifolia","annual",9,113.444444444444,41.5545157326827,13.8515052442276
