"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Acanthorrhinum ramosissimum (Coss. & Durieu) Rothm.",2,5.64362,0.010797,2.7e-05,"perennial"
"Albraunia foveopilosa Speta",NA,NA,NA,NA,"annual"
"Anarrhinum bellidifolium Fenzl ex Jaub. & Spach",NA,NA,NA,NA,"annual"
"Anarrhinum corsicum Jord. & Fourr.",1,5.62492,NA,5.4e-05,"perennial"
"Anarrhinum duriminium (Brot.) Pers.",8,5.635346,0.002633,7e-06,"annual"
"Anarrhinum forskaohlii (J.F.Gmel.) Cufod.",NA,NA,NA,NA,"perennial"
"Anarrhinum fruticosum Hochst. ex Engl.",NA,NA,NA,NA,"perennial"
"Anarrhinum laxiflorum Boiss.",16,5.641692,0.001455,3e-06,"annual"
"Anarrhinum longipedicellatum R.Fern.",4,5.638443,0.00084,1.4e-05,"annual"
"Anarrhinum pedatum Desf.",11,5.637958,0.002199,5e-06,"annual"
"Antirrhinum australe Rothm.",15,5.644472,0.0017,4e-06,"perennial"
"Antirrhinum charidemi Lange",3,5.640619,0.006772,1.8e-05,"perennial"
"Antirrhinum cirrhigerum Welw. ex Ficalho",NA,NA,NA,NA,"perennial"
"Antirrhinum controversum Pau",10,5.64075,0.00221,5e-06,"perennial"
"Antirrhinum graniticum Rothm.",30,5.643129,0.000652,2e-06,"perennial"
"Antirrhinum grosii Font Quer",2,5.643855,0.000354,2.7e-05,"perennial"
"Antirrhinum hispanicum Chav.",13,5.644969,0.000578,4e-06,"perennial"
"Antirrhinum L._indet_sp2",NA,NA,NA,NA,"no_life_form_on_database"
"Antirrhinum latifolium Mill.",24,5.634174,0.001328,2e-06,"perennial"
"Antirrhinum linkianum Boiss. & Reut.",4,5.631649,0.002664,1.4e-05,"no_life_form_on_database"
"Antirrhinum litigiosum Pau",27,5.641703,0.001014,2e-06,"no_life_form_on_database"
"Antirrhinum lopesianum Rothm.",2,5.643147,0.000354,2.7e-05,"no_life_form_on_database"
"Antirrhinum majus L.",69,5.637112,0.000898,1e-06,"perennial"
"Antirrhinum meonanthum Hoffmanns. & Link",22,5.640994,0.000985,2e-06,"perennial"
"Antirrhinum microphyllum Rothm.",1,5.644563,NA,5.4e-05,"perennial"
"Antirrhinum molle L.",9,5.642548,0.001459,6e-06,"perennial"
"Antirrhinum mollissimum (Pau) Rothm.",4,5.643851,0.001806,1.4e-05,"no_life_form_on_database"
"Antirrhinum onubense (Fern.Casas) Fern.Casas",3,5.640529,0.004212,1.8e-05,"no_life_form_on_database"
"Antirrhinum pertegasii Rothm.",3,5.639002,0.002136,1.8e-05,"perennial"
"Antirrhinum pulverulentum Lázaro Ibiza",6,5.644916,0.000524,9e-06,"perennial"
"Antirrhinum rothmaleri (P.Silva) Amich",NA,NA,NA,NA,"perennial"
"Antirrhinum sempervirens Lapeyr.",9,5.640304,0.001215,6e-06,"perennial"
"Antirrhinum siculum Mill.",16,5.628845,0.002758,3e-06,"perennial"
"Antirrhinum subbaeticum Güemes, Mateu & Sánchez-Gómez",4,5.648178,0.001496,1.4e-05,"no_life_form_on_database"
"Antirrhinum tortuosum Bosc ex Vent.",11,5.637342,0.002266,5e-06,"perennial"
"Antirrhinum valentinum Font Quer",5,5.633444,0.003395,1.1e-05,"perennial"
"Asarina procumbens Mill.",7,5.636891,0.002111,8e-06,"perennial"
"Chaenorhinum (DC.) Rchb.",70,5.640333,0.000971,1e-06,"no_life_form_on_database"
"Chaenorhinum calycinum (Banks & Sol.) P.H.Davis",1,5.649854,NA,5.4e-05,"annual"
"Chaenorhinum crassifolium (Cav.) Kostel.",14,5.639362,0.002288,4e-06,"no_life_form_on_database"
"Chaenorhinum cryptarum (Boiss. & Hausskn.) Davis",1,5.652314,NA,5.4e-05,"annual"
"Chaenorhinum exile (Coss. & Kralik) Lange",13,5.640738,0.001257,4e-06,"no_life_form_on_database"
"Chaenorhinum flexuosum (Desf.) Lange",9,5.642071,0.003643,6e-06,"perennial"
"Chaenorhinum formenterae Gand.",1,5.614769,NA,5.4e-05,"no_life_form_on_database"
"Chaenorhinum glareosum (Boiss.) Willk.",2,5.64029,0.006393,2.7e-05,"perennial"
"Chaenorhinum grandiflorum (Coss.) Willk.",5,5.640793,0.002641,1.1e-05,"annual"
"Chaenorhinum johnstonii (Stapf) Pennell",4,5.653452,0.001158,1.4e-05,"annual"
"Chaenorhinum litorale (Bernh. ex Willd.) Fritsch",2,5.632437,0.007517,2.7e-05,"annual"
"Chaenorhinum litorale subsp. pterosporum (Fisch. & C.A.Mey.) Davis",NA,NA,NA,NA,"annual"
"Chaenorhinum macropodum (Boiss. & Reut.) Lange",7,5.644851,0.002248,8e-06,"perennial"
"Chaenorhinum minus (L.) Lange",313,5.633401,0.000377,0,"annual"
"Chaenorhinum origanifolium (L.) Kostel.",42,5.637378,0.001162,1e-06,"perennial"
"Chaenorhinum raveyi (Boiss.) Pau",3,5.642909,0.001481,1.8e-05,"annual"
"Chaenorhinum reyesii (C.Vicioso & Pau) Benedí",15,5.645174,0.000473,4e-06,"no_life_form_on_database"
"Chaenorhinum robustum Loscos",17,5.6445,0.000384,3e-06,"annual"
"Chaenorhinum rubrifolium (Robill. & Castagne ex DC.) Lange, 1870",NA,NA,NA,NA,"annual"
"Chaenorhinum segoviense Willk.",NA,NA,NA,NA,"no_life_form_on_database"
"Chaenorhinum serpyllifolium Pau",NA,NA,NA,NA,"annual"
"Chaenorhinum spicatum Korovin ex Popov",NA,NA,NA,NA,"no_life_form_on_database"
"Chaenorhinum tenellum (Cav.) Lange",1,5.640665,NA,5.4e-05,"perennial"
"Chaenorhinum tuberculatum Speta",1,5.652665,NA,5.4e-05,"annual"
"Chaenorhinum villosum (L.) Lange",20,5.644444,0.001153,3e-06,"perennial"
"Cymbalaria aequitriloba (Viv.) A.Chev.",7,5.623814,0.002783,8e-06,"perennial"
"Cymbalaria fragilis (Rodr.) A.Chev.",1,5.614769,NA,5.4e-05,"perennial"
"Cymbalaria glutinosa Bigazzi & Raffaelli",2,5.630486,0.004125,2.7e-05,"perennial"
"Cymbalaria glutinosa subsp. brevicalcarata Bigazzi & Raffaelli",1,5.632465,NA,5.4e-05,"perennial"
"Cymbalaria hepaticifolia (Poir.) Wettst.",4,5.620394,0.002107,1.4e-05,"perennial"
"Cymbalaria longipes (Boiss. & Heldr.) A.Chev.",10,5.62242,0.003122,5e-06,"perennial"
"Cymbalaria microcalyx (Boiss.) Wettst.",12,5.6249,0.003006,5e-06,"perennial"
"Cymbalaria microcalyx subsp. acutiloba (Boiss. & Heldr.) Greuter",1,5.647036,NA,5.4e-05,"no_life_form_on_database"
