"wcvp_name","gbif_name"
"Aa","Aa Baker, 1940"
"Aa fiebrigii","Aa fiebrigii (Schltr.) Schltr. Schltr. (Schltr.)"
"Acalypha peckoltii","Acalypha peckoltii Müll.Arg."
"Homalomena major","Homalomena major Griff."
"Eriotheca saxicola","Eriotheca saxicola Carv.-Sobr."
"Homalomena megalophylla","Homalomena megalophylla M.Hotta"
"Homalomena melanesica","Homalomena melanesica A.Hay"
"Homalomena metallica","Homalomena metallica hort. ex Gentil"
"Echinocereus dasyacanthus subsp. crockettianus","Echinocereus dasyacanthus subsp. crockettianus D.Felix & H.Bauer"
"Ecbolium ligustrinum var. aryankavensis","Ecbolium ligustrinum var. aryankavensis Remadevi & Binojk."
"Echeveria novogaliciana","Echeveria novogaliciana J.Reyes, Brachet & O.González"
"Homalomena minor","Homalomena minor Griff."
"Echinocereus dasyacanthus subsp. multispinosus","Echinocereus dasyacanthus subsp. multispinosus D.Felix & H.Bauer"
"Echinocereus felixianus","Echinocereus felixianus H.Bauer"
"Homalomena minutissima","Homalomena minutissima M.Hotta"
"Equisetum variegatum","Equisetum variegatum Schleich."
"Eriastrum ertterae","Eriastrum ertterae D.Gowen"
"Eriastrum rosamondense","Eriastrum rosamondense D.Gowen"
"Elatostema tricostatum","Elatostema tricostatum W.T.Wang"
"Elatostema actinodromum","Elatostema actinodromum W.T.Wang"
"Elatostema tenuibracteatum","Elatostema tenuibracteatum W.T.Wang"
"Elatostema wugangense","Elatostema wugangense W.T.Wang"
"Fissistigma breviflorum","Fissistigma breviflorum (Ridl.) I.M.Turner I.M.Turner (Ridl.)"
"Forchhammeria tamaulipana","Forchhammeria tamaulipana B.F.Hansen, Iltis & Carlquist"
"Fothergilla latifolia","Fothergilla latifolia Pritz."
"Homalomena monandra","Homalomena monandra M.Hotta"
"Homalomena montana","Homalomena montana Furtado"
"Ferula shehbaziana","Ferula shehbaziana S.A.Ahmad"
"Ficus goiana","Ficus goiana C.C.Berg, Carauta & A.F.P.Machado"
"Goniolimon tataricum var. platypterum","Goniolimon tataricum var. platypterum (Klokov) Tzvelev Tzvelev (Klokov)"
"Heracleum leskovii","Heracleum leskovii Grossh."
"Hymenophyllum pluviatile","Hymenophyllum pluviatile Perrie & Brownsey"
"Huperzia intermedia","Huperzia intermedia Trevis."
"Homalomena nigrescens","Homalomena nigrescens (Schott) Engl. Engl. (Schott)"
"Huperzia keysseri","Huperzia keysseri (Herter & Schltr. ex Diels) P.J.Edwards P.J.Edwards (Herter & Schltr. ex Diels)"
"Hymenophyllum hirtellum var. gratum","Hymenophyllum hirtellum var. gratum (Fée) Proctor Proctor (Fée)"
"Hymenophyllum hirtellum var. vincentinum","Hymenophyllum hirtellum var. vincentinum Proctor"
"Hydrocotyle coriacea","Hydrocotyle coriacea M.Mend."
"Hiraea macrophylla","Hiraea macrophylla (Colla) P.L.R.Moraes & Guglielmone P.L.R.Moraes & Guglielmone (Colla)"
"Hopea vietnamensis","Hopea vietnamensis H.V.Sam & V.D.Vu"
"Indofevillea jiroi","Indofevillea jiroi H.Schaef., B.M.Barthol. & Boufford"
"Indigofera himachalensis","Indigofera himachalensis V.Chauhan & A.K.Pandey"
"Homalomena nutans","Homalomena nutans Hook.f."
"Impatiens minae","Impatiens minae Ratheesh, Anil Kumar & Sivad."
"Jaltomata spooneri","Jaltomata spooneri Mione & S.Leiva"
"Kuepferia","Kuepferia Adr.Favre"
"Homalomena obovata","Homalomena obovata Ridl."
"Leuenbergeria guamacho","Leuenbergeria guamacho (F.A.C.Weber) Lodé Lodé (F.A.C.Weber)"
"Homalomena obscurifolia","Homalomena obscurifolia Alderw."
"Leuenbergeria zinniiflora","Leuenbergeria zinniiflora (DC.) Lodé Lodé (DC.)"
"Leuenbergeria","Leuenbergeria Lodé"
"Leuenbergeria aureiflora","Leuenbergeria aureiflora (F.Ritter) Lodé Lodé (F.Ritter)"
"Leuenbergeria bleo","Leuenbergeria bleo (Kunth) Lodé Lodé (Kunth)"
"Leuenbergeria lychnidiflora","Leuenbergeria lychnidiflora (DC.) Lodé Lodé (DC.)"
"Leuenbergeria marcanoi","Leuenbergeria marcanoi (Areces) Lodé Lodé (Areces)"
"Leuenbergeria quisqueyana","Leuenbergeria quisqueyana (Alain) Lodé Lodé (Alain)"
"Leuenbergeria portulacifolia","Leuenbergeria portulacifolia (L.) Lodé Lodé (L.)"
"Lycopodiella tomentosa","Lycopodiella tomentosa (Alderw.) P.J.Edwards P.J.Edwards (Alderw.)"
"Homalomena occulta","Homalomena occulta (Lour.) Schott Schott (Lour.)"
"Lycopodiella tupiana","Lycopodiella tupiana (B.Øllg. & P.G.Windisch) B.Øllg. B.Øllg. (B.Øllg. & P.G.Windisch)"
"Homalomena ovalifolia","Homalomena ovalifolia Engl."
"Lycopodiella hydrophila","Lycopodiella hydrophila (Alderw.) P.J.Edwards P.J.Edwards (Alderw.)"
"Lycopodiella duseniana","Lycopodiella duseniana (B.Øllg. & P.G.Windisch) B.Øllg. B.Øllg. (B.Øllg. & P.G.Windisch)"
"Homalomena ovata","Homalomena ovata Engl."
"Lathyrus tefennicus","Lathyrus tefennicus Genç & Sahin"
"Lepisorus scolopendrium","Lepisorus scolopendrium (Ching) Mehra & Bir Mehra & Bir (Ching)"
"Homalomena padangensis","Homalomena padangensis M.Hotta"
"Homalomena palawanensis","Homalomena palawanensis Engl."
"Lepidium galapagoensis","Lepidium galapagoensis Al-Shehbaz"
"Mostacillastrum gracielae","Mostacillastrum gracielae (M.Martínez & L.Hernández) Al-Shehbaz & M.Martínez Al-Shehbaz & M.Martínez (M.Martínez & L.Hernández)"
"Microchirita prostrata","Microchirita prostrata J.M.Li & Z.Xia"
"Homalomena peekelii","Homalomena peekelii Engl."
"Maytenus psammophila","Maytenus psammophila Biral & Lombardi"
"Meliosma cornejoi","Meliosma cornejoi E.Ramos"
"Meliosma robusta","Meliosma robusta E.Ramos & Cornejo"
"Meliosma starkii","Meliosma starkii E.Ramos"
"Mammillaria bertholdii","Mammillaria bertholdii Linzen"
"Homalomena pendula","Homalomena pendula (Blume) Bakh.f. Bakh.f. (Blume)"
"Noccaea abchasica","Noccaea abchasica (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Noccaea antitaurica","Noccaea antitaurica (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Noccaea atlantica","Noccaea atlantica (Batt.) Al-Shehbaz Al-Shehbaz (Batt.)"
"Noccaea bornmuelleri","Noccaea bornmuelleri (Rech.f.) Al-Shehbaz Al-Shehbaz (Rech.f.)"
"Homalomena philippinensis","Homalomena philippinensis Engl."
"Noccaea bovis","Noccaea bovis (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Nigella arvensis var. longicornis","Nigella arvensis var. longicornis (Zohary) C.C.Towns. C.C.Towns. (Zohary)"
"Noccaea bulbosa","Noccaea bulbosa (Spruner) Al-Shehbaz Al-Shehbaz (Spruner)"
"Noccaea huber-morathii","Noccaea huber-morathii (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Norrisia major","Norrisia maior Soler."
"Noccaea kurdica","Noccaea kurdica (Hedge) Al-Shehbaz Al-Shehbaz (Hedge)"
"Noccaea iranica","Noccaea iranica Al-Shehbaz"
"Noccaea campylophylla","Noccaea campylophylla (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Noccaea germanii","Noccaea germanii Al-Shehbaz"
"Noccaea elegans","Noccaea elegans (Boiss.) Al-Shehbaz Al-Shehbaz (Boiss.)"
"Noccaea eigii","Noccaea eigii (Zohary) Al-Shehbaz Al-Shehbaz (Zohary)"
"Noccaea dolichocarpa","Noccaea dolichocarpa (Zohary) Al-Shehbaz Al-Shehbaz (Zohary)"
"Noccaea cornuticarpa","Noccaea cornuticarpa (Naqshi) Al-Shehbaz Al-Shehbaz (Naqshi)"
"Noccaea cilicica","Noccaea cilicica (Schott & Kotschy ex Boiss.) Al-Shehbaz Al-Shehbaz (Schott & Kotschy ex Boiss.)"
"Noccaea capricornuta","Noccaea capricornuta (F.K.Mey.) Al-Shehbaz Al-Shehbaz (F.K.Mey.)"
"Noccaea cappadocica","Noccaea cappadocica (Boiss. & Balansa) Al-Shehbaz Al-Shehbaz (Boiss. & Balansa)"
"Noccaea jaubertii","Noccaea jaubertii (Hedge) Al-Shehbaz Al-Shehbaz (Hedge)"
"Homalomena pontederifolia","Homalomena pontederifolia Griff. ex Hook.f."
"Nepenthes × kinabaluensis","Nepenthes ×kinabaluensis Sh.Kurata ex J.H.Adam & Wilcock"
"Nemophila hoplandensis","Nemophila hoplandensis C.M.Barr"
"Nicotiana langsdorffii","Nicotiana langsdorffii Weinm."
"Nicotiana forgetiana","Nicotiana forgetiana Hort.Sand. ex Hemsl."
"Homalomena producta","Homalomena producta A.Hay"
"Oxalis monochasiata","Oxalis monochasiata Fiaschi"
"Opuntia galapageia var. macrocarpa","Opuntia galapageia var. macrocarpa Dawson"
"Oxalis calcicola","Oxalis calcicola Standl. & Steyerm."
"Ormosia mataridek","Ormosia mataridek Aymard & Sanoja"
"Ocotea estrellensis","Ocotea estrellensis (Meisn.) P.L.R.Moraes P.L.R.Moraes (Meisn.)"
"Homalomena pulleana","Homalomena pulleana Engl. & K.Krause"
"Homalomena punctulata","Homalomena punctulata Engl."
"Pseuduvaria parviflora","Pseuduvaria parviflora (Ast) Bân Bân (Ast)"
"Polypodium vulgare subsp. melitense","Polypodium vulgare subsp. melitense Peroni, G.Peroni & Mifsud"
"Polygonum zakirovii","Polygonum zakirovii Czevr."
"Rubus procerus","Rubus procerus P.J.Müll. ex Boulay"
"Schinopsis boqueronensis","Schinopsis boqueronensis Mogni & Oakley"
"Primulina purpurea","Primulina purpurea F.Wen, Bo Zhao & Y.G.Wei"
"Primulina guizhongensis","Primulina guizhongensis Bo Zhao, B.Pan & F.Wen"
"Pouzolzia zeylanica var. angustifolia","Pouzolzia zeylanica var. angustifolia (Wight) C.J.Chen C.J.Chen (Wight)"
"Peristethium reticulatum","Peristethium reticulatum (Rizzini) Caires Caires (Rizzini)"
"Peperomia kerinciensis","Peperomia kerinciensis I.M.Turner"
"Homalomena robusta","Homalomena robusta Engl. & K.Krause"
"Peperomia incana","Peperomia incana (Haw.) Hook. Hook. (Haw.)"
"Pediomelum verdiense","Pediomelum verdiense S.L.Welsh & Licher"
"Homalomena rostrata","Homalomena rostrata Griff."
"Pavonia boisiana","Pavonia boisiana Krapov."
"Pavonia undulata","Pavonia undulata Krapov."
"Pavonia teresina","Pavonia teresina Krapov."
"Pavonia queirozii","Pavonia queirozii Krapov."
"Pavonia botumirima","Pavonia botumirima Krapov."
"Pastinaca pimpinellifolia","Pastinaca pimpinellifolia M.Bieb."
"Homalomena rubescens","Homalomena rubescens Miq."
"Physalis pumila var. hispida","Physalis pumila var. hispida (Waterf.) J.R.Sullivan J.R.Sullivan (Waterf.)"
"Physalis longifolia var. texana","Physalis longifolia var. texana (Rydb.) J.R.Sullivan J.R.Sullivan (Rydb.)"
"Pilea vermicularis","Pilea vermicularis Majure, Skean & Judd"
"Piper claseanum","Piper claseanum Bornst."
"Piper angsiense","Piper angsiense I.M.Turner"
"Piper abajoense","Piper abajoense Bornst."
"Homalomena rusdii","Homalomena rusdii M.Hotta"
"Homalomena sarawakensis","Homalomena sarawakensis Ridl."
"Rubus leptothyrsos","Rubus leptothyrsos G.Braun"
"Homalomena saxorum","Homalomena saxorum (Schott) Engl. Engl. (Schott)"
"Homalomena schlechteri","Homalomena schlechteri Engl."
"Rubus stereacanthos","Rubus stereacanthos P.J.Müll. ex Genev."
"Homalomena scortechinii","Homalomena scortechinii Hook.f."
"Rungia sisparensis","Rungia sisparensis T.Anderson ex C.B.Clarke"
"Homalomena silvatica","Homalomena silvatica Alderw."
"Rosa abyssinica","Rosa abyssinica R.Br. ex Lindl."
"Rhynchocorys stricta","Rhynchocorys stricta (C.Koch) Albov Albov (C.Koch)"
"Rosa bridgesii","Rosa bridgesii Crép."
"Homalomena singaporensis","Homalomena singaporensis Regel"
"Homalomena soniae","Homalomena soniae A.Hay"
"Homalomena steenisiana","Homalomena steenisiana A.Hay"
"Homalomena stollei","Homalomena stollei Engl. & K.Krause"
"Staminodianthus rosae","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima D.B.O.S.Cardoso & H.C.Lima (H.C.Lima)"
"Staminodianthus racemosus","Staminodianthus racemosus (Hoehne) D.B.O.S.Cardoso & H.C.Lima D.B.O.S.Cardoso & H.C.Lima (Hoehne)"
