"wcvp_name","gbif_name"
"Pilosella × maschukensis","Pilosella maschukensis (Litv. & Zahn) Soják Soják (Litv. & Zahn)"
"Pilosella massagetovii","Pilosella massagetovii (Gamajun. ex Kamelin & Zuckerw.) Sennikov Sennikov (Gamajun. ex Kamelin & Zuckerw.)"
"Tragopogon dubius subsp. dubius","Tragopogon dubius subsp. dubius"
"Tragopogon dubius subsp. desertorum","Tragopogon dubius subsp. desertorum (Lindem.) Tzvelev Tzvelev (Lindem.)"
"Tragopogon dubius subsp. major","Tragopogon dubius var. major (Jacq.) Nyár. Nyár. (Jacq.)"
"Tragopogon elatior","Tragopogon elatior Stev."
"Anthurium brenesii","Anthurium brenesii Croat & R.A.Baker"
"Lagochilus diacanthophyllus","Lagochilus diacanthophyllus Bong. & C.A.Mey."
"Tragopogon elongatus","Tragopogon elongatus Nikitin"
"Tragopogon erostris","Tragopogon erostris Boiss. & Hausskn."
"Tragopogon fibrosus","Tragopogon fibrosus Freyn & Sint. ex Freyn"
"Tragopogon heterospermus","Tragopogon heterospermus Schweigg."
"Tragopogon idae","Tragopogon idae Kuth."
"Tragopogon jesdianus","Tragopogon jesdianus Boiss. & Buhse"
"Tragopogon karelinii","Tragopogon karelinii Nikitin"
"Tragopogon karjaginii","Tragopogon karjaginii Kuth."
"Tragopogon kasahstanicus","Tragopogon kasahstanicus S.A.Nikitin"
"Tragopogon kashmirianus","Tragopogon kashmirianus G.Singh"
"Tragopogon kemulariae","Tragopogon kemulariae Kuth."
"Tragopogon ketzkhovelii","Tragopogon ketzkhovelii Kuth."
"Tragopogon kindingeri","Tragopogon kindingeri Adamovic"
"Tragopogon kopetdaghensis","Tragopogon kopetdaghensis Boriss."
"Tragopogon kotschyi","Tragopogon kotschyi Boiss."
"Tragopogon kultiassovii","Tragopogon kultiassovii Popov"
"Tragopogon kurdistanicus","Tragopogon kurdistanicum Chrtek & Hadac"
"Tragopogon lainzii","Tragopogon lainzii Suár.-Sant., P.S.Soltis, Soltis, C.Díaz & Blanca"
"Lagochilus diacanthophyllus subsp. diacanthophyllus","Lagochilus diacanthophyllus subsp. diacanthophyllus"
"Tragopogon lamottei","Tragopogon lamottei Rouy"
"Tragopogon lassithicus","Tragopogon lassithicus Rech.fil."
"Tragopogon latifolius","Tragopogon latifolius Boiss."
"Tragopogon leonidae","Tragopogon leonidae Kuth."
"Tragopogon leucanthus","Tragopogon leucanthus Rech.fil."
"Tragopogon longifolius","Tragopogon longifolius Heldr. & Sart. ex Boiss."
"Tragopogon macropogon","Tragopogon macropogon C.A.Mey."
"Tragopogon makaschwilii","Tragopogon makaschwilii Kuth."
"Tragopogon malikus","Tragopogon malikus S.A.Nikitin"
"Lagochilus diacanthophyllus subsp. karataviensis","Lagochilus diacanthophyllus subsp. karataviensis Knorring ex Tzukerv."
