"clade","Group.1","waiting_times","alpha","sigma.sq","theta"
"Alysseae","annual",0.0415540473720733,6.76094613713826,1.38224676222567,3.79661528520162
"Alysseae","perennial",0.0248619661695423,6.76094613713826,1.37899295124705,3.79316363746569
"Antirrhineae","annual",0.0287189778943245,0.189978287175961,0.069940898358883,3.93790739234357
"Antirrhineae","perennial",0.0121806994522694,0.189978287175961,0.074332157392969,3.95943991545159
"Apioideae","annual",0.0526604267003615,0.0977886693749008,0.0494441568055993,3.85233249396266
"Apioideae","perennial",0.00934631869950275,0.0977886693749008,0.0559091925223789,3.89088208539418
"Arabideae","annual",0.137365188372688,5.98079291404956,2.28870900683742,3.79356841816283
"Arabideae","perennial",0.136913815344701,5.98079291404956,2.18669782386588,3.82285345177333
"Balsamiaceae","annual",0.0142320822225752,0.0489272422240084,0.014773930711438,4.1321722883266
"Balsamiaceae","perennial",0.0134212935409794,0.0489272422240084,0.0154401216964117,4.06214418128027
"Brassiceae","annual",0.0452065996677709,0.787889556180241,0.418231763592071,3.83045966650137
"Brassiceae","perennial",0.0167912410788105,0.787889556180241,0.346605957958084,3.8668162248616
"Cardamineae","annual",0.0560997853874349,0.346535824100391,0.0843225725062721,3.5349026753881
"Cardamineae","perennial",0.0329056770809304,0.346535824100391,0.220584339134459,3.60329064583037
"Cardueae","annual",0.0576368275619393,0.224401503691303,0.0568345431196564,3.88045869954319
"Cardueae","perennial",0.0335334828234124,0.224401503691303,0.058178623786461,3.90034307307334
"CES","annual",0.0767961061499845,0.00798581760224637,0.00979194144786875,4.06059801245396
"CES","perennial",0.0314322661066843,0.00798581760224637,0.0207046946493653,3.93139689633262
"Chamaecrista","annual",0.0884329025541638,0.00586828066927848,0.00622705790208268,4.14633570529078
"Chamaecrista","perennial",0.0116198617370707,0.00586828066927848,0.00543901374650254,3.90529361999635
"Chorisporeae","annual",0.0686168855124529,0.498660281648301,0.138993304873941,4.02607213353873
"Chorisporeae","perennial",0.082178223619393,0.498660281648301,0.170456928989986,3.98113443667831
"Croton","annual",0.0182745818256967,0.182104444444216,0.056392810424712,3.41900188974845
"Croton","perennial",0.00489446371086849,0.182104444444216,0.0562661218834002,4.06993010768629
"Erysimeae","annual",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234
"Erysimeae","perennial",0.0644685334689083,0.513446091568242,0.157676262889124,4.04711483505003
"Euclidieae","annual",0.0332600758254929,0.240371283707793,0.087799281316752,4.14366646937018
"Euclidieae","perennial",0.0448249386528258,0.240371283707793,0.131819656012666,4.12335768574328
"Eumalvoideae","annual",0.0399384433877154,0.0764752044504564,0.00729255304229327,4.2293215792534
"Eumalvoideae","perennial",0.0135315210800571,0.0764752044504564,0.0219189479935325,4.21162142913272
"Gesneriaceae","annual",0.00385404578912464,0.0495878684102784,0.0177676703784715,4.00122058339864
"Gesneriaceae","perennial",0.00260615422243576,0.0495878684102784,0.0177286625982157,4.00082010586958
"Grewioideae","annual",0.0210324623300808,0.0794559609016306,0.00708681704207537,4.39063067872243
"Grewioideae","perennial",0.0016488538983399,0.0794559609016306,0.0213887070220224,4.01319546506204
"Heliophileae","annual",0.0363576634701531,0.233138325793458,0.0180225504858123,3.82037234192222
"Heliophileae","perennial",0.0255815948648385,0.233138325793458,0.0508661131252128,3.80351133707259
"Hypericum","annual",0.0993899043076715,0.294267827909571,0.177923476366827,3.41088444767744
"Hypericum","perennial",0.014015242121829,0.294267827909571,0.0515786289814739,3.23368565982585
"Lepidieae","annual",0.226855060784872,1.81377751895204,0.847385746386258,3.86200635340044
"Lepidieae","perennial",0.203731330506403,1.81377751895204,0.829253096606282,3.82621226847063
"Lupinus","annual",0.0291963913149498,0.037393739956109,0.0247704313315097,3.97964989885343
"Lupinus","perennial",0.0778718438006693,0.037393739956109,0.108532795486715,3.24632010917923
"Lysimachieae","annual",0.0371736237078043,0.118353879746588,0.00848735672640801,4.00125333532989
"Lysimachieae","perennial",0.0281206982966944,0.118353879746588,0.0507377045655775,3.82533476599473
"Onagraceae","annual",0.0383755782158652,0.661145349473119,0.434698021829571,4.00959810642046
"Onagraceae","perennial",0.0045882011816893,0.661145349473119,0.435033267516504,3.81326746862558
"Orobanchaceae","annual",0.0444135591204309,0.36790356628209,0.194909708650215,3.83165369467753
"Orobanchaceae","perennial",0.0414539736990457,0.36790356628209,0.199441750059002,3.88496486486835
"Panicoideae","annual",0.0280029078171116,9.99992237651382,3.40841590434551,4.18741051263359
"Panicoideae","perennial",0.0402662937158228,9.99992237651382,3.40836899742408,3.99529443619669
"Polemoniaceae","annual",0.0115838024740177,0.0743432605734992,0.0196348343664236,3.97675336592536
"Polemoniaceae","perennial",0.00885961510738537,0.0743432605734992,0.0531946048047468,3.97746893393945
"Pooideae","annual",0.025229155024794,8.71583652444739,4.21029625802636,3.84098246544242
"Pooideae","perennial",0.031128496532644,8.71583652444739,4.21029627330808,3.66684043509988
"Primulaceae","annual",0.0231426777660247,0.123215354548183,0.0616242374547719,4.05960667332243
"Primulaceae","perennial",0.0117881319000457,0.123215354548183,0.0647930283595215,4.07902526722626
"Rubieae","annual",0.10892769409334,0.783919792121986,0.255301724976545,3.85143834279564
"Rubieae","perennial",0.0236720218768577,0.783919792121986,0.337169848253702,3.82713992021898
"Salvia","annual",0.0170083182859396,0.0956773517220735,0.0155397550161799,4.19909232579284
"Salvia","perennial",0.0150281001957324,0.0956773517220735,0.0345256338174095,4.17605630469999
"Solanaceae","annual",0.0392579845700327,0.208682567885561,0.0829355283505805,4.12002721822405
"Solanaceae","perennial",0.0144130935611574,0.208682567885561,0.0811307593854709,4.02317650120839
"Spermacoceae","annual",0.0341261659483353,0.0584116264354631,0.0229572407283025,4.22272914878806
"Spermacoceae","perennial",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008
"Thelypodieae","annual",0.0431335477727519,0.0393926765472937,0.0394035965952023,4.09556299094043
"Thelypodieae","perennial",0.0720344268471001,0.0393926765472937,0.0375931994734124,4.12090552008583
