"clade","Group.1","waiting_times","alpha","sigma.sq","theta"
"Alysseae","annual",0.0403023325864141,0.348534817763459,0.166513191802984,8.23596116777933
"Alysseae","perennial",0.0242403775639176,0.348534817763459,0.200314819967267,8.33323374986398
"Antirrhineae","annual",0.0299266366029609,0.0526878300709868,0.066551697024446,7.83521595818967
"Antirrhineae","perennial",0.0128901755869306,0.0526878300709868,0.0889928280604624,7.91692405034789
"Apioideae","annual",0.0210721578067848,0.0710602727613628,0.0799758980809204,8.13484316391833
"Apioideae","perennial",0.0194620323849299,0.0710602727613628,0.0799758980809203,8.67364721129602
"Arabideae","annual",0.0969846226726076,10,5.48687265012498,8.7104771894521
"Arabideae","perennial",0.13109320547673,10,5.48687265012498,8.82531686991613
"Balsamiaceae","annual",0.0141610742968884,4.68829093865,1.15412891994432,9.12859413733902
"Balsamiaceae","perennial",0.0123255176747597,4.68829093865,1.15506066703421,9.45715807094184
"Brassiceae","annual",0.0448548575650504,2.05732314061144,2.67691747470603,8.10419080391616
"Brassiceae","perennial",0.0193011759154186,2.05732314061144,2.66802778040211,7.91405884269171
"Cardamineae","annual",0.0537746492052948,6.8854024038474,2.23948172557246,8.98243888431807
"Cardamineae","perennial",0.0329938086804612,6.8854024038474,2.23158769348444,9.1325134267662
"Cardueae","annual",0.0554100708315614,0.135706781356234,0.101299957454506,8.14747600412543
"Cardueae","perennial",0.0261670418924895,0.135706781356234,0.117857900237406,8.50145217180635
"CES","annual",0.0852524983396632,0.252689690831168,0.475382700159762,7.50996350973029
"CES","perennial",0.0308831576089623,0.252689690831168,0.138678620018759,7.91360517414151
"Chamaecrista","annual",0.084691107124447,0.00953601775484538,0.00697956807627195,9.03197266356334
"Chamaecrista","perennial",0.0115387647565487,0.00953601775484538,0.00673796921114279,9.03932254342175
"Chorisporeae","annual",0.0816139378788932,0.274421299547421,0.0167878818574005,7.04724848039719
"Chorisporeae","perennial",0.103282627791419,0.274421299547421,0.136630494917077,8.83609909306996
"Croton","annual",0.0341584783596746,0.069200903403353,0.415265374468481,8.93385664542411
"Croton","perennial",0.00640380843802707,0.069200903403353,0.0362755703273533,8.93386859725113
"Erysimeae","annual",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314
"Erysimeae","perennial",0.0605112751148063,0.716327780894655,0.344815912927144,8.27159024841568
"Euclidieae","annual",0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746
"Euclidieae","perennial",0.0527532136320022,0.509286310870477,0.484017923407889,8.24217853920253
"Eumalvoideae","annual",0.0409015989637452,0.0487787711479512,0.0933500335275931,7.1890252394733
"Eumalvoideae","perennial",0.0161490314669834,0.0487787711479512,0.0901543098277063,8.28117526304242
"Gesneriaceae","annual",0.00387630611992365,0.0432858548604076,0.011115324256908,9.43186044914309
"Gesneriaceae","perennial",0.00229390961380298,0.0432858548604076,0.0112113424978718,9.38561220124859
"Grewioideae","annual",0.0173409474482608,0.0218940429038528,0.0282793310443618,8.30361447965924
"Grewioideae","perennial",0.00186461812709073,0.0218940429038528,0.0181696016400524,9.04959078692368
"Heliophileae","annual",0.0663431262037551,0.136056487527747,0.0896950603033541,6.97503679345886
"Heliophileae","perennial",0.104042223094724,0.136056487527747,0.0625282639243204,8.39869432729696
"Hypericum","annual",0.0816255366505534,0.590042734887807,0.354753918745605,9.12085686335784
"Hypericum","perennial",0.0164343145965363,0.590042734887807,0.0260924945737508,9.16897766371056
"Lepidieae","annual",0.2437752777056,9.48539121320622,7.81624214920553,7.7732137173741
"Lepidieae","perennial",0.209016937324139,9.48539121320622,7.77153297264187,7.77984526118164
"Lupinus","annual",0.0280519496380138,0.0327964043596163,0.0856248170386408,8.11635690194459
"Lupinus","perennial",0.0786681824115688,0.0327964043596163,0.118805140829568,13.6381535153059
"Lysimachieae","annual",0.0377499266961018,0.115444355763521,0.0271210487450329,8.88684661764386
"Lysimachieae","perennial",0.0284909629738506,0.115444355763521,0.0238918530542098,8.99585703616003
"Onagraceae","annual",0.038710188923804,0.109430664956498,0.272452805387359,7.89504685053442
"Onagraceae","perennial",0.00416501984202095,0.109430664956498,0.0726706552817621,8.85193465120855
"Orobanchaceae","annual",0.0439899104350305,0.157400817435448,0.158042396867273,8.54117669536767
"Orobanchaceae","perennial",0.0417461235927066,0.157400817435448,0.159360422590598,8.48590866859677
"Panicoideae","annual",0.028155154855386,0.81789314502937,0.653248682987305,8.66344107289428
"Panicoideae","perennial",0.039495670810269,0.81789314502937,0.653248539750379,8.78505209173638
"Polemoniaceae","annual",0.0116773497457622,0.0336177591677908,0.0366836660481544,7.38397126000015
"Polemoniaceae","perennial",0.00838739081726521,0.0336177591677908,0.0366739302023253,9.26525933400122
"Pooideae","annual",0.0270248991131864,2.41066525358817,1.94154524326531,8.26179386736377
"Pooideae","perennial",0.0301347698692247,2.41066525358817,1.94154524327467,8.69603935623821
"Primulaceae","annual",0.0251973987667636,0.24835819656806,0.118088284457321,8.75717914088337
"Primulaceae","perennial",0.0115170379938843,0.24835819656806,0.152855361886819,8.8555176925249
"Rubieae","annual",0.0416951072995369,1.18607452475377,0.153634389723078,8.35687710914003
"Rubieae","perennial",0.0490828305102884,1.18607452475377,0.558829387476371,8.76969079579233
"Salvia","annual",0.0157760230090244,0.0566540518560801,0.0763919651217481,7.61132764146976
"Salvia","perennial",0.0152529998253367,0.0566540518560801,0.0763662516652544,8.19096073900154
"Solanaceae","annual",0.0241195753773928,0.126085271495603,0.313424690903647,7.88138697390726
"Solanaceae","perennial",0.014473004811818,0.126085271495603,0.236217957793524,8.45916170856782
"Spermacoceae","annual",0.0347938151777022,0.035365714272864,0.0311301747019613,8.84366585926703
"Spermacoceae","perennial",0.0119971814050935,0.035365714272864,0.0341988460766198,8.69948667907664
"Thelypodieae","annual",0.0456657634503099,0.0267011521677058,0.101773452152579,7.87572838201748
"Thelypodieae","perennial",0.0772474742756761,0.0267011521677058,0.0984078772063856,7.48079912645873
