"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Alysseae.Odontarrhena_bertolonii",0.0235508942752384,2.13850345348516,0.463430809461216,3.78713564115588,3.78807583032124,0.108129228794457,"perennial"
"Alysseae.Clypeola_cyclodontea",0.0437857526543446,2.13850345348516,0.467636749039951,3.79849318311597,3.79843351957115,0.112870117730966,"annual"
"Alysseae.Clypeola_jonthlaspi",0.0437857526501061,2.13850345348516,0.467636749039918,3.79849318311597,3.79843351957115,0.112870117730966,"annual"
"Alysseae.Alyssum_fastigiatum",0.0235508943052086,2.13850345348516,0.463430809461235,3.78713564115588,3.78870509000992,0.108284201289366,"perennial"
"Alysseae.Alyssum_montanum",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78870509000992,0.108284201289366,"perennial"
"Alysseae.Alyssum_cuneifolium",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78870509000963,0.108284201289281,"perennial"
"Alysseae.Alyssum_gmelinii",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78870509000963,0.108284201289281,"perennial"
"Alysseae.Alyssum_siculum",0.0437857528027369,2.13850345348516,0.467636749210124,3.79849318311597,3.79847825197587,0.112875897589795,"annual"
"Alysseae.Alyssum_alyssoides",0.0437857528055774,2.13850345348516,0.467636749213292,3.79849318311597,3.79847825197587,0.112875897589884,"annual"
"Alysseae.Alyssum_granatense",0.0437857526515745,2.13850345348516,0.46763674904157,3.79849318311597,3.79847825197587,0.112875897408492,"annual"
"Alysseae.Alyssum_turkestanicum",0.0437857526499896,2.13850345348516,0.467636749039803,3.79849318311597,3.79847825197586,0.112875897395833,"annual"
"Alysseae.Alyssum_foliosum",0.043785752651432,2.13850345348516,0.467636749041412,3.79849318311597,3.79847825197586,0.112875897402152,"annual"
"Alysseae.Alyssum_szovitsianum",0.0437857526499695,2.13850345348516,0.467636749039779,3.79849318311597,3.79847825197586,0.112875897395834,"annual"
"Alysseae.Alyssum_minutum",0.0437857526877411,2.13850345348516,0.467636749041662,3.79849318311597,3.79847825197586,0.112875897395834,"annual"
"Alysseae.Alyssum_stapfii",0.043785752650461,2.13850345348516,0.467636749040329,3.79849318311597,3.79847825197585,0.112875897395833,"annual"
"Alysseae.Alyssum_strigosum",0.0437857526502943,2.13850345348516,0.467636749040143,3.79849318311597,3.79847825197586,0.112875897395834,"annual"
"Alysseae.Alyssum_hirsutum",0.0437857526523583,2.13850345348516,0.467636749042444,3.79849318311597,3.79847825197587,0.11287589739709,"annual"
"Alysseae.Alyssum_simplex",0.043785752649878,2.13850345348516,0.467636749039671,3.79849318311597,3.79847825197587,0.112875897395834,"annual"
"Alysseae.Alyssum_umbellatum",0.043785752651314,2.13850345348516,0.46763674904128,3.79849318311597,3.79847825197587,0.112875897395834,"annual"
"Alysseae.Alyssum_persicum",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78844192962327,0.108243631254744,"perennial"
"Alysseae.Alyssum_lenense",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78844192962295,0.108243631254644,"perennial"
"Alysseae.Alyssum_dasycarpum",0.0437857526568524,2.13850345348516,0.467636749047398,3.79849318311597,3.79741502118426,0.112578006521312,"annual"
"Alysseae.Fibigia_clypeata",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218688,"perennial"
"Alysseae.Fibigia_eriocarpa",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218688,"perennial"
"Alysseae.Fibigia_macrocarpa",0.0235508942752456,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937482,0.107938158218689,"perennial"
"Alysseae.Lutzia_cretica",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218688,"perennial"
"Alysseae.Alyssoides_utriculata",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218688,"perennial"
"Alysseae.Clastopus_vestitus",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937482,0.107938158218689,"perennial"
"Alysseae.Hormathophylla_longicaulis",0.0235508942752312,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218689,"perennial"
"Alysseae.Hormathophylla_reverchonii",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218689,"perennial"
"Alysseae.Hormathophylla_spinosa",0.0235508942756717,2.13850345348516,0.463430809461221,3.78713564115588,3.78713623937483,0.107938158218689,"perennial"
"Alysseae.Hormathophylla_purpurea",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218689,"perennial"
"Alysseae.Hormathophylla_cadevalliana",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713623937483,0.107938158218688,"perennial"
"Alysseae.Bornmuellera_tymphaea",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.7871365074236,0.107938160174881,"perennial"
"Alysseae.Bornmuellera_angustifolia",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.7871365074236,0.107938160174881,"perennial"
"Alysseae.Berteroa_orbiculata",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78748417004273,0.108224974260957,"perennial"
"Alysseae.Berteroa_obliqua",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78748417004273,0.108224974260957,"perennial"
"Alysseae.Berteroa_incana",0.0437910144843257,2.13850345348516,0.467636747921934,3.79849315714637,3.78911011330023,0.109186586610001,"annual"
"Alysseae.Aurinia_gionae",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713639475632,0.107940111253693,"perennial"
"Alysseae.Aurinia_saxatilis",0.0235508942752328,2.13850345348516,0.463430809461216,3.78713564115588,3.78713639475632,0.107940111253692,"perennial"
"Alysseae.Aurinia_saxatilis_subsp._orientalis",0.0235509043925694,2.13850345348516,0.463430809574745,3.78713564115588,3.78713639475632,0.107940111253693,"perennial"
"Alysseae.Aurinia_petraea",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713639475632,0.107940111253693,"perennial"
"Alysseae.Aurinia_corymbosa",0.023550894275225,2.13850345348516,0.463430809461216,3.78713564115588,3.78713639475632,0.107940111253693,"perennial"
"Antirrhineae.Linaria_angustissima",0.0124793578856617,0.221754907418438,0.0801589466865109,3.9482978826897,3.94658412481475,0.183229180563128,"perennial"
"Antirrhineae.Linaria_kurdica",0.0124793578856617,0.221754907418438,0.0801589466865109,3.9482978826897,3.94658412481449,0.183229180563045,"perennial"
