"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Alysseae.CID_BM1",4,86.7610062210337,-15.0421622159456,105.725391544352,-165.522012442067,12.2926580982317,0.0010308932135348
"Alysseae.CID_OU1",5,93.9073352701495,-15.1588658233806,112.833143245304,-177.814670540299,0,0.48142703031766
"Alysseae.CD_BMV",5,86.9501854102243,-15.1471323286394,105.974049030478,-163.900370820449,13.9142997198503,0.000458224891109459
"Alysseae.CD_OUV",6,93.5331579615234,-15.3354817267786,112.465890895872,-175.066315923047,2.74835461725218,0.12182399809214
"Alysseae.CD_OUM",6,94.2547245738147,-15.3030100060138,113.139831835019,-176.509449147629,1.30522139266952,0.250671665398096
"Alysseae.CD_OUMV",7,94.2942876579089,-15.1401700024381,113.178754515829,-174.588575315818,3.2260952244811,0.0959384711939777
"Alysseae.CID_BMV",9,86.7998471401207,-15.1377851400297,105.642254821747,-155.599694280241,22.2149762600577,7.22120489625203e-06
"Alysseae.CID_OUV",10,93.2965911763085,-15.5167170816483,112.39699670813,-166.593182352617,11.2214881876819,0.0017612267430123
"Alysseae.CID_OUM",10,96.5617328524314,-16.6299905123977,119.184668203504,-173.123465704863,4.69120483543622,0.046115644635004
"Alysseae.CID_OUMV",11,93.4635169112536,-15.0714937951556,112.389806874581,-164.927033822507,12.8876367177917,0.000765624310569219
"Antirrhineae.CID_BM1",4,287.195507641989,-72.7502931781209,363.598006605546,-566.391015283977,3.41389274908136,0.104255850360745
"Antirrhineae.CID_OU1",5,287.215355081694,-73.3291765966302,363.599022744218,-564.430710163387,5.37419786967132,0.0391224087790511
"Antirrhineae.CD_BMV",5,288.72107964763,-72.6179952604571,364.948665513435,-567.44215929526,2.36274873779882,0.176341063977933
"Antirrhineae.CD_OUV",6,288.824415146383,-72.6513560665284,365.014331930159,-565.648830292765,4.15607774029343,0.0719344639839256
"Antirrhineae.CD_OUM",6,287.062515869314,-72.7748218263802,363.576274058243,-562.125031738628,7.67987629443064,0.0123524720001284
"Antirrhineae.CD_OUMV",7,288.577208251056,-72.6559001163875,364.984586274007,-563.154416502112,6.65049153094697,0.0206672141414165
"Antirrhineae.CID_BMV",9,287.129276794569,-72.7349321170118,363.243362061999,-556.258553589137,13.5463544439215,0.000657452428428711
"Antirrhineae.CID_OUV",10,245.207447002288,-72.7036137888476,321.47841571621,-470.414894004575,99.3900140284836,1.50366296028357e-22
"Antirrhineae.CID_OUM",10,294.902454016529,-72.6479725796365,371.181040288876,-569.804908033059,0,0.574669074328373
"Antirrhineae.CID_OUMV",11,244.80359131065,-72.7648038675827,321.426562499321,-467.607182621301,102.197725411758,3.6937178794482e-23
"Apioideae.CID_BM1",4,902.484776731399,-207.567296800589,1113.65994824961,-1796.9695534628,97.3037858936943,7.42591087062249e-22
"Apioideae.CID_OU1",5,903.633067263155,-208.396716381198,1114.41259136524,-1797.26613452631,97.0072048301822,8.61294139124762e-22
"Apioideae.CD_BMV",5,905.546520602126,-208.690739414583,1117.06534683938,-1801.09304120425,93.1802981522419,5.83651651127384e-21
"Apioideae.CD_OUV",6,903.952284795557,-208.892516615213,1114.7023551974,-1795.90456959111,98.3687697653784,4.3600495304909e-22
"Apioideae.CD_OUM",6,953.136669678247,-208.53270582904,1165.11620709196,-1894.27333935649,0,0.999996254327949
"Apioideae.CD_OUMV",7,906.834019255455,-209.985025817723,1118.31212360112,-1799.66803851091,94.6053008455831,2.86232085754325e-21
"Apioideae.CID_BMV",9,903.588247290994,-214.549104918646,1117.11662289954,-1789.17649458199,105.096844774506,1.50837212431496e-23
"Apioideae.CID_OUV",10,922.074781641448,-218.359871400069,1145.43466568242,-1824.1495632829,70.1237760735976,5.92671268153997e-16
"Apioideae.CID_OUM",10,944.64176391965,-209.281177460535,1157.15857575013,-1869.2835278393,24.9898115171929,3.74567205080821e-06
"Apioideae.CID_OUMV",11,876.835198030597,-208.535981399948,1088.75268627158,-1731.67039606119,162.602943295299,4.91154204421345e-36
"Arabideae.CID_BM1",4,216.696395907698,-107.578552870527,326.998932581214,-425.392791815395,75.2036971389279,3.04175157078371e-17
"Arabideae.CID_OU1",5,254.67232289566,-105.981903168571,364.112324274723,-499.34464579132,1.25184316300272,0.347988422359496
