"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Alysseae.Odontarrhena_bertolonii",0.0259993489504424,0.381856370348159,0.190555515390419,8.32478569638934,8.31253383831087,0.250037485158485,"perennial"
"Alysseae.Clypeola_cyclodontea",0.0474180508346564,0.381856370348159,0.163958183279802,8.25573227072829,8.25737365917028,0.209968621470963,"annual"
"Alysseae.Clypeola_jonthlaspi",0.047418050751359,0.381856370348159,0.16395818327975,8.2557322707282,8.25737365917028,0.209968621470963,"annual"
"Alysseae.Alyssum_fastigiatum",0.02598210237298,0.381856370348159,0.190555515390828,8.32478570577822,8.30640243597083,0.247404973321125,"perennial"
"Alysseae.Alyssum_montanum",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.30640243597083,0.247404973321125,"perennial"
"Alysseae.Alyssum_cuneifolium",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.30640243597301,0.247404973322282,"perennial"
"Alysseae.Alyssum_gmelinii",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.30640243597301,0.247404973322282,"perennial"
"Alysseae.Alyssum_siculum",0.0474180505644248,0.381856370348159,0.163958183279808,8.25573227072819,8.25640800177473,0.209756424473698,"annual"
"Alysseae.Alyssum_alyssoides",0.0474180505663797,0.381856370348159,0.163958183279801,8.25573227072819,8.25640800177473,0.209756424473698,"annual"
"Alysseae.Alyssum_granatense",0.0474198464405692,0.381856370348159,0.1639581855352,8.25573227072819,8.25640800177473,0.209756424473698,"annual"
"Alysseae.Alyssum_turkestanicum",0.0474181166822254,0.381856370348159,0.163958183056786,8.25573227072819,8.25640800177496,0.209756424473731,"annual"
"Alysseae.Alyssum_foliosum",0.0474180590565214,0.381856370348159,0.163958183279763,8.25573227072819,8.25640800177499,0.209756424473734,"annual"
"Alysseae.Alyssum_szovitsianum",0.0474188880406809,0.381856370348159,0.163958183663883,8.25573227201577,8.25640800177494,0.209756424473728,"annual"
"Alysseae.Alyssum_minutum",0.0474180508050522,0.381856370348159,0.163958183279778,8.25573227072819,8.25640800177494,0.209756424473728,"annual"
"Alysseae.Alyssum_stapfii",0.0474180508007126,0.381856370348159,0.163958183279792,8.25573227072819,8.25640800177517,0.20975642447376,"annual"
"Alysseae.Alyssum_strigosum",0.0474180506458322,0.381856370348159,0.163958183279592,8.25573227072819,8.25640800177494,0.209756424473728,"annual"
"Alysseae.Alyssum_hirsutum",0.0474184212914782,0.381856370348159,0.163958183745407,8.25573227072819,8.25640800177485,0.209756424473714,"annual"
"Alysseae.Alyssum_simplex",0.0474180674664082,0.381856370348159,0.16395818322281,8.25573227072819,8.25640800177485,0.209756424473714,"annual"
"Alysseae.Alyssum_umbellatum",0.0474180512329806,0.381856370348159,0.163958183280647,8.25573227072819,8.25640800177487,0.209756424473718,"annual"
"Alysseae.Alyssum_persicum",0.0259821023844284,0.381856370348159,0.190555515390876,8.32478570577822,8.30784177937542,0.248331341191697,"perennial"
"Alysseae.Alyssum_lenense",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.30784177937811,0.248331341193018,"perennial"
"Alysseae.Alyssum_dasycarpum",0.0474181979705081,0.381856370348159,0.163958182914967,8.25573227072819,8.26233185055044,0.213719738462056,"annual"
"Alysseae.Fibigia_clypeata",0.0259821023483686,0.381856370348159,0.190555515390864,8.32478570577822,8.32465760927147,0.253914665675776,"perennial"
"Alysseae.Fibigia_eriocarpa",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927147,0.253914665675776,"perennial"
"Alysseae.Fibigia_macrocarpa",0.0259821023702899,0.381856370348159,0.190555515390876,8.32478570577822,8.32465760927149,0.253914665675779,"perennial"
"Alysseae.Lutzia_cretica",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927146,0.253914665675775,"perennial"
"Alysseae.Alyssoides_utriculata",0.0259821023450897,0.381856370348159,0.190555515390929,8.32478570577838,8.32465760927146,0.253914665675775,"perennial"
"Alysseae.Clastopus_vestitus",0.0259821040665771,0.381856370348159,0.190555515390839,8.32478570577822,8.32465760927149,0.25391466567578,"perennial"
"Alysseae.Hormathophylla_longicaulis",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927143,0.253914665675771,"perennial"
"Alysseae.Hormathophylla_reverchonii",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927143,0.253914665675771,"perennial"
"Alysseae.Hormathophylla_spinosa",0.0259821023320759,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927142,0.253914665675769,"perennial"
"Alysseae.Hormathophylla_purpurea",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927143,0.25391466567577,"perennial"
"Alysseae.Hormathophylla_cadevalliana",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32465760927145,0.253914665675773,"perennial"
"Alysseae.Bornmuellera_tymphaea",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.3246438887563,0.253914665592621,"perennial"
"Alysseae.Bornmuellera_angustifolia",0.0259821030295805,0.381856370348159,0.19055551539019,8.32478570577822,8.32464388875629,0.25391466559262,"perennial"
"Alysseae.Berteroa_orbiculata",0.0259828807379466,0.381856370348159,0.19055551537364,8.32478570577822,8.32081628837109,0.249815389204943,"perennial"
"Alysseae.Berteroa_obliqua",0.0259828824106413,0.381856370348159,0.190555515373603,8.32478570577822,8.32081628837109,0.249815389204943,"perennial"
"Alysseae.Berteroa_incana",0.0474319892143135,0.381856370348159,0.163958139850841,8.25573227072832,8.31392545797684,0.243380019988834,"annual"
"Alysseae.Aurinia_gionae",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32452741501933,0.253863341068047,"perennial"
"Alysseae.Aurinia_saxatilis",0.0259821049878952,0.381856370348159,0.190555515390818,8.32478570577822,8.32452741501931,0.253863341068041,"perennial"
"Alysseae.Aurinia_saxatilis_subsp._orientalis",0.0259821023949013,0.381856370348159,0.190555515390876,8.32478570577822,8.32452741501932,0.253863341068044,"perennial"
"Alysseae.Aurinia_petraea",0.0259822403965403,0.381856370348159,0.190555515390877,8.32478570570303,8.32452741501933,0.253863341068051,"perennial"
"Alysseae.Aurinia_corymbosa",0.0259821023320755,0.381856370348159,0.190555515390877,8.32478570577822,8.32452741501933,0.253863341068051,"perennial"
"Antirrhineae.Linaria_angustissima",0.013050037011844,0.0559246670984821,0.0978656367745342,8.106852642411,7.94313954778004,0.81272569099427,"perennial"
"Antirrhineae.Linaria_kurdica",0.0130500370055806,0.0559246670984821,0.0978656367745342,8.10685264251242,7.94313954777312,0.812725690985106,"perennial"
"Antirrhineae.Linaria_vulgaris",0.0130500369856093,0.0559246670984821,0.0978656367745342,8.10685264283583,7.94313954777112,0.812725690982462,"perennial"
"Antirrhineae.Linaria_thibetica",0.0130500375294454,0.0559246670984821,0.0978656367745342,8.10685263402929,7.94313954777112,0.812725690982462,"perennial"
"Antirrhineae.Linaria_michauxii",0.0130500370102367,0.0559246670984821,0.0978656367745342,8.10685264243702,7.94313954777511,0.812725690987732,"perennial"
"Antirrhineae.Linaria_unaiensis",0.0130500370556741,0.0559246670984821,0.0978656367745342,8.10685264170124,7.94313954777597,0.812725690988891,"perennial"
"Antirrhineae.Linaria_pyramidalis_subsp._kopetdaghensis",0.0130500369995976,0.0559246670984821,0.0978656367745342,8.10685264260931,7.94313954777112,0.812725690982462,"perennial"
"Antirrhineae.Linaria_lineolata",0.0130500369860002,0.0559246670984821,0.0978656367742903,8.10685264283583,7.9431395477803,0.812725690994614,"perennial"
"Antirrhineae.Linaria_cretacea",0.0130500370225069,0.0559246670984821,0.0978656367745342,8.10685264223833,7.94313954777364,0.812725690985795,"perennial"
"Antirrhineae.Linaria_incompleta",0.0130500370354738,0.0559246670984821,0.0978656367745342,8.10685264202835,7.94313954777796,0.812725690991517,"perennial"
"Antirrhineae.Linaria_japonica",0.0130500375951803,0.0559246670984821,0.0978656367745351,8.10685263296454,7.94313954777286,0.812725690984762,"perennial"
"Antirrhineae.Linaria_dalmatica",0.0130500369856116,0.0559246670984821,0.0978656367745346,8.10685264283567,7.94313954777026,0.81272569098132,"perennial"
"Antirrhineae.Linaria_striatella",0.0130500376644524,0.0559246670984821,0.0978656367745342,8.10685263184307,7.94313954777286,0.812725690984762,"perennial"
"Antirrhineae.Linaria_sessilis",0.0130500369856093,0.0559246670984821,0.0978656367745342,8.10685264283583,7.94313954777346,0.812725690985559,"perennial"
"Antirrhineae.Linaria_venosa",0.0130500369856093,0.0559246670984821,0.0978656367745342,8.10685264283583,7.94313954777433,0.8127256909867,"perennial"
"Antirrhineae.Linaria_bamianica",0.0130500369856147,0.0559246670984821,0.0978656367745351,8.10685264283547,7.94313954777329,0.812725690985323,"perennial"
"Antirrhineae.Linaria_loeselii",0.0130500403399756,0.0559246670984821,0.0978656367745342,8.10685258851733,7.94313954777242,0.812725690984182,"perennial"
"Antirrhineae.Linaria_odora",0.0130500369856093,0.0559246670984821,0.0978656367745342,8.10685264283583,7.94313954777242,0.812725690984182,"perennial"
"Antirrhineae.Linaria_peloponnesiaca",0.0130500374744624,0.0559246670984821,0.0978656368242807,8.10685263492808,7.94313954777381,0.812725690380686,"perennial"
"Antirrhineae.Linaria_repens",0.0130500373620249,0.0559246670984821,0.0978656366491195,8.10685263999497,7.94313954777294,0.812725690502708,"perennial"
"Antirrhineae.Linaria_triphylla",0.0330017107634139,0.0559246670984821,0.0663745682969004,7.80572645389976,7.88715055394376,0.710657262457311,"annual"
"Antirrhineae.Linaria_cavanillesii",0.013050037024424,0.0559246670984821,0.0978656367689191,8.10685264235301,7.94313955629559,0.812725683676534,"perennial"
"Antirrhineae.Linaria_nivea",0.0130500405013239,0.0559246670984821,0.0978656367745367,8.10685258590378,7.94313955629559,0.812725683676534,"perennial"
"Antirrhineae.Linaria_purpurea",0.0130500405094662,0.0559246670984821,0.0978656367741332,8.10685258578296,7.94313955629559,0.812725533956936,"perennial"
"Antirrhineae.Linaria_reflexa",0.0330009529716275,0.0559246670984821,0.0663745185264359,7.80572624892856,7.80923342795774,0.591516823663832,"annual"
"Antirrhineae.Linaria_latifolia",0.0330009512606406,0.0559246670984821,0.0663745182096635,7.80572624892499,7.8092334279581,0.591516823662467,"annual"
"Antirrhineae.Linaria_oblongifolia_subsp._haenseleri",0.0330017160048489,0.0559246670984821,0.0663745687471016,7.80572651300964,7.80923349649515,0.591522591689114,"annual"
"Antirrhineae.Linaria_oblongifolia",0.0330017160048335,0.0559246670984821,0.0663745687471039,7.80572651300876,7.80923349649517,0.591522591689048,"annual"
"Antirrhineae.Linaria_saturejoides",0.0330017160048489,0.0559246670984821,0.0663745687471016,7.80572651300964,7.80923349649517,0.591522591689023,"annual"
"Antirrhineae.Linaria_amoi",0.0130506763153244,0.0559246670984821,0.0978656368458779,8.10684226739042,7.81445424497537,0.601668954621285,"perennial"
"Antirrhineae.Linaria_verticillata",0.0130506763153244,0.0559246670984821,0.0978656368458779,8.10684226739042,7.81445424497537,0.601668954621285,"perennial"
"Antirrhineae.Linaria_glacialis",0.033001716464865,0.0559246670984821,0.0663745688167998,7.80572651321738,7.80932060121152,0.591765561649394,"annual"
"Antirrhineae.Linaria_platycalyx",0.0330017164103806,0.0559246670984821,0.0663745688067117,7.80572651321738,7.8092334964952,0.591522591688941,"annual"
"Antirrhineae.Linaria_verticillata_subsp._cuartanensis",0.0130506763091036,0.0559246670984821,0.0978656368458779,8.10684226749116,7.81933593773626,0.610937535622753,"perennial"
"Antirrhineae.Linaria_anticaria",0.0130506679570034,0.0559246670984821,0.0978656368458779,8.1068424027398,7.8428482617421,0.654428285894572,"perennial"
"Antirrhineae.Linaria_tristis",0.0130506679570034,0.0559246670984821,0.0978656368458779,8.1068424027398,7.8428482617421,0.654428285894572,"perennial"
"Antirrhineae.Linaria_lilacina",0.0130506736311358,0.0559246670984821,0.0978656368458779,8.10684231085648,7.84284826182664,0.654428273295898,"perennial"
"Antirrhineae.Linaria_aeruginea",0.033001716464865,0.0559246670984821,0.0663745688167998,7.80572651321738,7.80923353078017,0.591525341885174,"annual"
"Antirrhineae.Linaria_tristis_subsp._mesatlantica",0.0130506338031764,0.0559246670984821,0.0978656368461279,8.10684295579905,7.83548080198782,0.641058802690889,"perennial"
"Antirrhineae.Linaria_tristis_subsp._pectinata",0.0130506337910385,0.0559246670984821,0.0978656368461279,8.1068429559956,7.83548080198782,0.641058802690889,"perennial"
"Antirrhineae.Linaria_supina",0.0330009515360874,0.0559246670984821,0.0663745182605435,7.80572624896292,7.80923342795778,0.591516823663699,"annual"
"Antirrhineae.Linaria_depauperata",0.0330009512792338,0.0559246670984821,0.0663745182102977,7.80572624928571,7.80923342795776,0.591516823663766,"annual"
"Antirrhineae.Linaria_simplex",0.033000951199549,0.0559246670984821,0.0663745181983593,7.80572624885603,7.80923342795772,0.591516823663898,"annual"
"Antirrhineae.Linaria_micrantha",0.0330009512033404,0.0559246670984821,0.0663745181993427,7.80572624885603,7.80923342795774,0.591516823663832,"annual"
"Antirrhineae.Linaria_arvensis",0.0330009512072645,0.0559246670984821,0.0663745181999947,7.80572624889995,7.80923342795769,0.591516823664038,"annual"
"Antirrhineae.Linaria_huteri",0.0330009590387304,0.0559246670984821,0.0663745196404026,7.80572624887083,7.80923342795759,0.591516825917639,"annual"
"Antirrhineae.Linaria_bubanii",0.0330009513614057,0.0559246670984821,0.0663745182287711,7.80572624887244,7.80923342795754,0.591516823664581,"annual"
"Antirrhineae.Linaria_badalii",0.0330009516758012,0.0559246670984821,0.0663745182871221,7.80572624885603,7.80923342795748,0.591516823664787,"annual"
"Antirrhineae.Linaria_munbyana",0.0330009534578877,0.0559246670984821,0.066374518611367,7.80572624947088,7.80923342795758,0.591516823664449,"annual"
